Abu Mazen: To the extent , that when Abu Mazen came to power , he had no power . ||| Bis zu dem Grad , dass , als Abu Masen an die Macht kam , er keine Macht hatte .
Abu Mazen: “ After one and a half years , in which I called for direct talks without pre-conditions , I had , in Washington , the chance to hold a long , private talk with Abu Mazen . ||| Nach eineinhalb Jahren , in denen ich zu direkten Gesprächen ohne Vorbedingungen aufgerufen habe , hatte ich in Washington die Chance , ein langes , privates Gespräch mit Abu Mazen zu führen .

Abu Mazen: BUT EVEN a person like Abu Mazen may lose patience from time to time . ||| ABER SELBST jemand wie Abu Mazen kann von Zeit zu Zeit die Geduld verlieren .

Abu Mazen: But he ' like every Palestinian ' knows that it was the 45 years of Arafat 's work that laid the foundations on which Abu Mazen is now building his new strategy . ||| Aber er weiß - wie jeder Palästinenser - daß die 45 Jahre von Arafats Arbeit den Grundstein legten , auf dem Abu Mazen nun seine neue Strategie aufbaut .

John Bunyan: I would as soon have thought of the devil preaching as John Bunyan ! ||| Eher hätte ich gedacht , daß der Teufel predigt als John Bunyan !

John Bunyan: Thus , John Bunyan no longer had that freedom to preach which he had enjoyed under the Puritan Commonwealth . ||| So hatte John Bunyan nicht mehr diese Freiheit zu predigen , der er unter dem Puritaner Commonwealth genossen hatte .

Klal Yisrael: They are rejected from having any connection with Klal Yisrael because they did something far worse than attack us – they made us sin . ||| Sie werden abgelehnt , jegliche Verbindung mit Klal Jisrael ( dem Volk Israel ) zu haben , weil sie etwas viel schlimmeres getan haben , als uns anzugreifen - sie haben uns zur Sünde verleitet .

Klal Yisrael: They are rejected from having any connection with Klal Yisrael because they did something far worse than attack us – they made us sin . ||| Sie werden abgelehnt , jegliche Verbindung mit Klal Jisrael ( dem Volk Israel ) zu haben , weil sie etwas viel schlimmeres getan haben , als uns anzugreifen – sie haben uns zur Sünde verleitet .

TheOnion.com: “ Who needs TheOnion.com when reality is now 10 times more surreal . ||| " Wer braucht TheOnion.com ( Amerikanische Finanznewsseite ) wenn die Realität nun 10-mal mehr surrealer scheint .

IntercontinentalExchange: Jeff Sprecher ' 's IntercontinentalExchange , or ICE , was another example . ||| Jeff Sprecher IntercontinentalExchange ( Interkontinentaler Austausch ) , oder EIS , war ein anderes Beispiel .

S.G.: S.G. who participated in our international seminar in Greece this summer told us , “ I am so glad to see you again ! ||| S.G. , eine Sozialarbeiterin , die auch in unseren internationalen Seminar in Griechenland teilgenommen diesem Sommer erzählte uns , " Ich bin so froh , dass Sie wieder zu sehen !

S.G.: It will have a multiplayer mode and it will use the U.S.G.N. ||| Es wird einen Multiplayermodus haben und das U.S.G.N. nutzen

FPSG: In short , they are not ' Israeli NGOs ' , but Foreign Political Subversion Groups ( FPSG ) . " ||| Kurz gesagt : Sie sind keine ' israelischen NGOs ' , sondern Foreign Political Subversion Groups ( FPSG - ausländische politische Zersetzungsgruppen ) . "

FP7: Each EIP , including the pilot on Active and Healthy Ageing , will be supported by FP7 projects . ||| Jede EIP , einschließlich der Pilotpartnerschaft zum Thema „ Aktives und gesundes Altern “ , wird durch Projekte des RP7 gefördert werden .

FP7: Each EIP , including the pilot on Active and Healthy Ageing , will be supported by FP7 projects . ||| Jede EIP , einschließlich der Pilotpartnerschaft zum Thema " Aktives und gesundes Altern " , wird durch Projekte des RP7 gefördert werden .

FP7: In collaboration with the agency FP7 / DXB , the National Health Insurance Company has devised a very relevant operation . ||| In Zusammenarbeit mit der Agentur FP7 / DXB hat die Nationale Krankenversicherungsgesellschaft eine sehr relevante Operation entwickelt .

FP7: Notes furthermore that under the FP7 audit strategy beneficiaries receiving 48 % of the FP7 budget have been audited ; ||| 274. stellt ferner fest , dass im Rahmen der RP7-Prüfungsstrategie Begünstigte , die 48 % des RP7-Etats erhalten , überprüft wurden ;

FP7: The EU , for its part , has earmarked almost EUR 2 million from the EU 's Seventh Framework Programme ( FP7 ) to foster this change . ||| Die EU hat ihrerseits fast zwei Millionen Euro aus dem Siebten EU-Rahmenprogramm ( RP7 ) vorgesehen , um diesen Wandel zu fördern .

FP7: Special attention will be paid to the joint participation in FP7 . ||| Spezielles Augenmerk wird auf die gemeinsame Teilnahme am FP7 gelegt .

FP7: In 2008 the Commission launched the Innovative Medicines Initiative ( IMI ) ( 8) as part of FP7 . ||| 2008 brachte die Kommission die „ Initiative Innovative Arzneimittel “ ( 8) als Teil des FP7 auf den Weg .

FP7: In addition to ERAfrica , FP7 has provided nearly € 137 million in funding for over 900 African participations in EU research projects or initiatives . ||| Neben ERAfrica wurden mit dem RP7 knapp 137 Mio. EUR in die Finanzierung von über 900 afrikanischen Beteiligungen an EU-Forschungsprojekten oder – initiativen gesteckt .

FP7: The FP7 project STADIUM ( Smart Transport Applications Designed for large events with Impacts on Urban Mobility ) recently finished . ||| Das 7RP ( Rahmenprogramm ) Projekt STADIUM , ( Smart Transport Applications Designed for large events with Impacts on Urban Mobility ) ist erst kürzlich ausgelaufen .

FP7: These networks will ensure increased cooperation , knowledge and participation in FP7‐funded projects . ||| Diese Netzwerke werden eine verstärkte Zusammenarbeit , Wissen und Beteiligung an RP7-finanzierten Projekten gewährleisten .

FP7: Each EIP , including the pilot on Active and Healthy Ageing , will be supported by FP7 projects . ||| Jede EIP , einschließlich der Pilotinitiative " Aktives und gesundes Altern " , wird durch RP7-Projekte unterstützt .

Hajj: Millions visit Saudi Arabia every year as part of their Hajj , but religion and faith are just one reason to explore all that can be found here . ||| Jedes Jahr besuchen Millionen von Menschen Saudi-Arabien als Teil ihres Hajj ( Pilgerschaft ) , aber Religion und Glaube sind nur ein Grund , alles zu erforschen , was hier zu finden ist .

Hajj: Our Hospital in Hajjah , and more precisely in Abs , has treated , for example , in October alone , 6990 people with a wide range of problems , an extremely high volume . ||| Unser Hospital in Hajjah , genauer gesagt in Abs , hat zum Beispiel allein im Oktober 6990 Menschen mit unterschiedlichsten Problemen behandelt , ein extrem hohes Aufkommen .

Hajj: This was the assembly , which was named Hajj . ||| Dies war die Versammlung , welche Hadsch genannt wurde .

Hajj: The decision about when the month of the Hajj begins is an example of this power . ||| Die Entscheidung darüber , wann der Monat des Haddsch beginnt , ist ein Beispiel dieser Macht .

Hajj: At Hajj , all Muslims are equal ; nothing about the rituals they perform makes one person better than another . ||| Beim Haǧǧ sind alle Muslime gleich ; nichts von den Ritualen , die sie durchführen , macht eine Person besser als die andere .

Hajj: The report pointed out that the province of Hajja , recorded the highest number of deaths by 381 cases , during the same period » . ||| Der Bericht wies darauf hin , dass die Provinz Hajja , die höchste Zahl der Todesfälle durch 381 Fälle , im gleichen Zeitraum » .

Hajj: She would have to start again from scratch , but not here in Hajjah City . ||| Sie müsste wieder von vorne anfangen , aber nicht hier in Hajjah City .

Hajj: The last time during the Hajj in Mecca was visited by almost 3 million people and all they sought to touch the unusual black part of the Kaaba . ||| Das letzte Mal während des Hajj in Mekka wurde von fast 3 Millionen Menschen besucht und alles , was sie suchten , um den ungewöhnlichen schwarzen Teil der Kaaba zu berühren .

Hajj: He loses both this world and the Hereafter . " [ al-Hajj 22:11 ] ||| Er verliert das Diesseits und das Jenseits . “ [ Al-Hajj:11 ]

Hajj: For Dr. Hajji , the battle against political radicalism is no less indispensable than the battle against religious radicalism . ||| Für Dr. Hajji ist der Kampf gegen politischen Radikalismus nicht weniger unverzichtbar als der Kampf gegen religiösen Radikalismus .

Hajj: 02 - Hajj and Focusing on Allah ||| 02 – Hajj und das Konzentrieren auf Allah

Baloch: It is forbidden to teach the customs and language of the Baloch , an ethnic minority . ||| Es wird verboten , den Zoll und die Sprache des Baloch ( Baloch Leute ) , eine ethnische Minderheit zu unterrichten .

Baloch: Even in the Pastun areas of Balochistan there are groups who sympathize with us . ||| Selbst in den paschtunischen Gebieten von Belutschistan gibt es Gruppen , die mit uns sympathisieren .

Baloch: As of 2012 , the Baloch are 7.11 % of Pakistan 's 177 million people ||| Ab 2012 sind die Baloch 7,11 % des pakistanischen 177 Millionen Menschen

Baloch: Today , every Baloch woman is standing up to the Pakistani state . ||| Heute stellt sich jede belutschische Frau dem pakistanischen Staat gegenüber .

Baloch: “ In Awaran , there may be some security threats for relief and aid workers , especially for those who are non-Baloch . ” ||| " In Awaran , kann es einige Sicherheitsrisiken für Erleichterung und Helfer sein , vor allem für diejenigen , die nicht-Baloch sind . "

Baloch: The event ‘ Baluchistan : Destiny Denied ’ was hosted by the European Conservatives and Reformists Group in the European Parliament and Balochistan House . ||| Das Event " Baluchistan : Destiny Denied " wurde von der Fraktion der Europäischen Konservativen und Reformisten im Europäischen Parlament und des Baluchistan House ausgerichtet .

Salome: Even the singers were initially unable or unwilling to give " Salome " justice . ||| Auch die Sänger zeigten sich anfangs unfähig oder unwillig , der " Salome " gerecht zu werden .

Salome: And the sister of the youth whom Jesus loved and his mother and Salome were there , and Jesus did not receive them.[19 ] ||| " Und die Schwester des Jünglings , den Jesus liebte , und seine Mutter und Salome [ Frau des Zebedäus und Mutter des Johannes ] waren dort , und Jesus empfing sie nicht " .

Salome: Salome : For him it was really strange because Georgia is a really corrupt place . ||| Salome : Für ihn war es wirklich komisch , weil Georgien eigentlich sehr korrupt ist .

Salome: And she said to her : Salome , Salome , a new sight have I to tell thee . ||| Und sie sagte zu ihr : " Salome , Salome , eine neue Sicht habe ich zu dir sagen .

DOW: I will be taking you around the neighborhood that has the best food in Seoul , HANDS DOWN ! ||| Ich werde Sie in die Nachbarschaft bringen , die das beste Essen in Seoul hat , HANDS DOWN !

DOW: On this the TOUCHDOWN 21 team can not agree . ||| Darüber ist sich das TOUCHDOWN 21-Team nicht einig .

DOW: DOWN red 1 The host does not answer network enquiries , is not accessible . ||| DOWN rot 1 Der Host antwortet nicht auf Anfragen aus dem Netzwerk , ist nicht erreichbar .

DOW: ROUND_DOWN is a rounding function . ||| ROUND_DOWN ist eine Rundungsfunktion .

DOW: From now on people in many more countries around the world can read and understand texts on the TOUCHDOWN 21 website . ||| Ab heute können viele Menschen in vielen Ländern der Welt die Texte auf der TOUCHDOWN 21 Internet-Seite lesen und verstehen .

DOW: If you do not feel the greatest improvement in speed , then we recommend pressing ' RYD DOWNLOAD-CACHE ' . ||| Wenn Sie nicht die größte Verbesserung in der Geschwindigkeit fühlen , dann empfehlen wir " RYD DOWNLOAD-CACHE " zu drücken .

DOW: ( l ) BLACK PR RUNDOWN TRAINING - This training was to teach you how to find out who is spreading negative information and to fully handle him with coercive mind practices . ||| ( l ) SCHWARZE PR RUNDOWN TRAINING - Dieses Training sollte einem beibringen , wie man herausfindet , wer negative Informationen verbreitet und ihn mit mentalen Zwangsmethoden vollständig handhabt .

DOW: If there 's one single lesson that all guitar students of all styles of music need to learn , it 's TAKE IT EASY - SLOW DOWN . ||| Wenn es eine einzige Lektion gibt , die alle Gitarrenschüler aller Musikstile erlernen müssen , ist es TAKE IT EASY – SLOW DOWN .

DOW: ( l ) BLACK PR RUNDOWN TRAINING — This training was to teach you how to find out who is spreading negative information and to fully handle him with coercive mind practices . ||| ( l ) SCHWARZE PR RUNDOWN TRAINING - Dieses Training sollte einem beibringen , wie man herausfindet , wer negative Informationen verbreitet und ihn mit mentalen Zwangsmethoden vollständig handhabt .

DOW: Another regularly exposing pedophilia in Hollywood was a PEDOWOOD Facebook page : ||| Eine weitere regelmäßig aufgedeckte Pädophilie in Hollywood war eine PEDOWOOD-Facebook-Seite :

DOW: The value is always 0 for a WM_SYSKEYDOWN message . ||| Der Wert ist immer 0 für eine Nachricht WM_SYSKEYDOWN .

DOW: If there ’s one single lesson that all guitar students of all styles of music need to learn , it ’s TAKE IT EASY – SLOW DOWN . ||| Wenn es eine einzige Lektion gibt , die alle Gitarrenschüler aller Musikstile erlernen müssen , ist es TAKE IT EASY – SLOW DOWN .

DOW: So this is the taxpayer supporting the DOW . ||| Also ist es der Steuerzahler , der den DOW unterstützt .

BLS: A survey by the Labor Department 's Bureau of Labor Statistics ( BLS ) of about 1,000 minor eye injuries reveals how and why many on-the-job accidents occur : ||| Eine Studie des Arbeitsministeriums der Bureau of Labor Statistics ( BLS ) von etwa 1,000 kleinere Augenverletzungen zeigt , wie und warum viele on-the-job-Unfällen :

BLS: AMERICA Bureau of Labor Statistics ( BLS ) studies this as 27 weeks or longer . ||| Das USA-Büro von der Arbeitsstatistik ( Büro von der Arbeitsstatistik ) ( BLS ) meldet das als 27 Wochen oder länger .

BLS: For example , the Bureau of Labor Statistics ( BLS ) publishes its predictions on how quickly jobs will grow based on current employment statistics and market trends . ||| Zum Beispiel veröffentlicht das Bureau of Labor Statistics ( BLS ) seine Voraussagen darüber , wie schnell die Arbeitsplätze auf der Grundlage der aktuellen Beschäftigungsstatistiken und Markttrends wachsen werden .

BLS: According to the BLS , inflation in the category of “ New Vehicles ” has been practically non-existent the past 21 years . ||| Nach Angaben der BLS , die inflation in der Kategorie " Neue Fahrzeuge " wurde praktisch nicht existent den letzten 21 Jahren .

BLS: According to the BLS , inflation in the category of " New Vehicles " has been practically non-existent the past 21 years . ||| Nach Angaben der BLS , die inflation in der Kategorie " Neue Fahrzeuge " wurde praktisch nicht existent den letzten 21 Jahren .

Hades: Due to his fairness , after his death , he was assigned as a judge in Hades ( like his brother Minos ) . ||| Wegen seiner Gerechtigkeit wurde er , nach seinem Tod , als Richter in Hades ( wie sein Bruder Minos ) zugewiesen .

Hades: Due to his fairness , after his death , he was assigned as a judge in Hades ( like his brother Minos ) . ||| Wegen seiner Schönheit , nach seinem Tod , wurde er als ein Richter in Hades ( wie sein Bruder Minos ) zugeteilt .

Hades: Hades is a holding place for the dead , a prison . ||| Hades ist ein Aufenthaltsort für die Toten , ein Gefängnis .

Hades: Especially if our opponent is Hades . ” ||| Besonders , wenn unser Gegner Hades ist . "

Hades: Hades has returned and is looking to spread chaos and destruction by sending his undead troops through his portal ! ||| Hades ist zurückgekehrt und will Chaos und Zerstörung verbreiten , indem er seine Truppen Untoter durch sein Portal schickt !

Hades: Due to his fairness , after his death , he was assigned as a judge in Hades ( like his brother Minos ) . ||| Aufgrund seiner Fairness , nach seinem Tod wurde er als Richter in Hades ( wie sein Bruder Minos ) zugeordnet .

Hades: If all those in Hades are destined to go to Hell , then even Hades would have been hardly necessary . ||| Wenn alle im Hades dazu bestimmt sind , in die Hölle zu kommen , dann wäre selbst Hades kaum notwendig gewesen .

Hades: Given that Percy is directly responsible for his position on the council with full privileges and rights , it would be fair to say that Hades has an improved opinion about him . ||| Angesichts der tatsache , dass percy direkt für seine position im rat mit vollen privilegien und rechten verantwortlich ist , wäre es fair zu sagen , dass hades eine verbesserte meinung über ihn hat .

Hades: One might sign off on this , for what would be greater than the overcoming of Hades through the resurrection of Jesus ? ||| Man könnte das unterschreiben , denn , was wäre größer als die Überwindung des Hades durch die Auferstehung Jesu ?

Hades: Was Hades sleeping on the job or something ? ” ||| Hat Hades bei der Arbeit geschlafen oder so was ? “

Hades: Denying the second chance in Hades has ever kept people from knowing Christ . ||| Die Verweigerung der zweiten Chance im Hades hat die Menschen jemals davon abgehalten , Christus zu kennen .

Hades: “ My lord Hades , are you sure we ca n’t let this little hero go ? ||| Mein herr hades , bist du sicher , dass wir diesen kleinen helden nicht gehen lassen können ? .

Hades: ( I say “ support ” because if I did n’t support the entire world , it would long ago have fallen into Hades . ) ||| ( Ich sage „ unterstützt “ , denn wenn Ich nicht die ganze Welt unterstützen würde , wäre sie vor langer Zeit in den Hades gestürzt . )

Hades: Hades ruled the dead , assisted by others over whom he had complete authority . ||| Hades herrschte über die Toten , die durch andere geholfen sind , über wen er ganze Autorität hatte .

Hades: Sheol ( Hades ) could be likened to a custody cell , and Hell would be more like prison . ||| Scheol ( Hades ) könnte man mit einer Haftzelle vergleichen , und die Hölle wäre eher wie ein Gefängnis .

Hades: Was Hades sleeping on the job o something ? " ||| Hat Hades bei der Arbeit geschlafen oder so was ? “

Hades: " My lord Hades , are you sure we ca n’t let this little hero go ? ||| Mein herr hades , bist du sicher , dass wir diesen kleinen helden nicht gehen lassen können ? .

Hades: If you think Hades is trying to sell you something , you may be right . ||| Wenn du meinst , dass Hades versucht , dir etwas zu verkaufen , magst du vielleicht recht haben .

Hades: Since this is what the Bible says , then how can Hades possibly be one and the same as Hell ? ||| Da es das ist , was die Bibel sagt , wie kann Hades dann möglicherweise ein und dasselbe sein wie die Hölle ?

UNEP: May 2016 : Iran and UNEP sign a Joint Environmental Action Plan ||| Mai 2016 : Iran und UNEP unterzeichnen einen gemeinsamen Umweltaktionsplan

UNEP: This means that 25 % ought to be left as biodiverse areas for the benefit of humans ( UNEP ) ||| Dies bedeutet , dass 25 % als Biodiversitätsgebiete zum Wohl des Menschen verbleiben sollten ( UNEP ) .

UNEP: Is there a date that UNEP has identified beyond which there is no more hope of meeting the 1.5 ° C objective ? ||| Gibt es denn ein Datum , das das UNEP festgelegt hat , über das hinaus keine Hoffnung mehr besteht , das 1,5 ° C-Ziel zu erreichen ?

UNEP: Humankind is consuming resources too fast , warns UNEP ||| Die Menschheit verbraucht ihre Ressourcen zu schnell , warnt UNEP

UNEP: The UNEP , the UNCTAD and the G20 have made the same proposal . ||| Die UNEP , die UNCTAD und die G20 haben den gleichen Vorschlag gemacht .

UNEP: That ’s because it ’s a similar warning given by the head of the United Nations Environment Program ( UNEP ) nearly four decades ago . ||| Weil es eine ähnliche Warnung ist , wie vor fast vier Jahrzehnten vom Leiter des Umweltprogramms der Vereinten Nationen ( UNEP ) abgegeben wurde .

UNEP: in support of UNEPs " One billion trees for Life " programme ||| zur Unterstützung von dem UNEPs " One billion trees for Life " Programm

UNEP: Merlyn Van Voore , UNEP : One very important impulse for me comes out of the various dialogue sessions we have convened . ||| Merlyn Van Voore , UNEP : Ein sehr bedeutender Impuls für mich ist aus den verschiedenen Dialogsitzungen entstanden , die wir veranstaltet haben .

UNEP: As part of the Marrakech Process , UNEP set out a 10-year-programme for diverse sectors , inter alia for sustainable tourism . ||| Im Rahmen des Marrakesch-Prozesses entwickelte die UNEP ein 10 Jahres Programm in verschiedenen Sektoren , u.a. für Nachhaltigen Tourismus .

UNEP: This international UNEP / UNESCO / BMU studies programme is a German contribution to the United Nations Environment Programme ( UNEP ) . ||| Dieses internationale UNEP / UNESCO /BMUB Studienprogramm ist ein deutscher Beitrag zum Umweltprogramm der Vereinten Nationen ( UNEP ) .

UNEP: Finally , Mr. Fujica promised us that he personally , with his own money , would buy a digital camera for the boy and ensure that it arrived through the UNEP regional office in Mexico . ||| Schließlich versprach Herr Fujica uns , daß er persönlich , mit seinem eigenen Geld , eine digitale Kamera für den Jungen kaufen und sicherstellen würde , daß sie durch das UNEP regionale Büro in Mexiko ankam .

NFPA: Protective suits which are certified to NFPA 1991 or NFPA 1992 will meet all of the above requirements . ||| Schutzanzüge , die nach NFPA 1991 oder NFPA 1992 zertifiziert sind , erfüllen alle oben genannten Anforderungen .

NFPA: He worked for two years in New York for the UN Population Fund ( UNFPAUnited Nations Population Fund ) and was responsible for procuring financial resources . ||| Zwei Jahre lang arbeitete er in New York für den Bevölkerungsfond der Vereinten Nationen ( UNFPAUnited Nations Population Fund ) und war zuständig für die Beschaffung von finanziellen Ressourcen .

NFPA: Through “ My Body , My Life , My World ! ” , UNFPA is also contributing to each of the five priorities of the UN ’s overall Youth Strategy , “ Youth 2030 ” . ||| Mit „ Mein Körper , mein Leben , meine Welt ! “ Leistet UNFPA auch einen Beitrag zu jeder der fünf Prioritäten der UN-Jugendstrategie „ Youth 2030 “ .

NFPA: Through " My Body , My Life , My World ! " , UNFPA is also contributing to each of the five priorities of the UN 's overall Youth Strategy , " Youth 2030 " . ||| Mit „ Mein Körper , mein Leben , meine Welt ! “ Leistet UNFPA auch einen Beitrag zu jeder der fünf Prioritäten der UN-Jugendstrategie „ Youth 2030 “ .

NFPA: The NFPA sets these standards and most fire departments and water companies try to follow them . ||| Die NFPA setzt diese Standards und die meisten Feuerwehren und Wasserunternehmen versuchen , ihnen zu folgen .

NFPA: This is why NFPA 79 must be applied in this case . ||| Deshalb ist in diesem Fall die NFPA 79 anzuwenden .

NFPA: First step to stronger collaboration with UNFPA 05 - 12 - 2012 ||| Erster Schritt auf dem Weg zu einer stärkeren Zusammenarbeit mit UNFPA 05 - 12 - 2012

NFPA: Numerous other certifications such as DIN 14675 , VdS , FM Global or NFPA also prove our high standard . ||| Zahlreiche weitere Zertifizierungen wie DIN 14675 , VdS , FM Global oder NFPA belegen ebenfalls unseren hohen Standard .

NFPA: Therefore , we were delighted to note that the UN Population Fund invited UNFPA to a regional expert meeting in Alexandria . ||| Deshalb haben wir hocherfreut zur Kenntnis genommen , dass der UN Bevölkerungsfonds UNFPA zu einem regionalen Expertentreffen in Alexandria einlud .

NFPA: Most other countries have similar organizations for developing these standards , many of which have requirements similar to those of the NFPA . ||| Die meisten anderen Länder haben ähnliche Organisationen für das Entwickeln dieser Standards , von denen viele die Anforderungen haben , die denen des NFPA ähnlich sind .

NFPA: This changed in 1904 to allow other industries and individuals to participate in the development of the standards to be promulgated by the NFPA . ||| Das änderte sich im Jahr 1904 , damit andere Industrien und Privatpersonen , um bei der Entwicklung von Normen zu beteiligen , die von der NFPA verkündet .

NFPA: The NFPA uses a multi-colored diamond design to achieve a similar goal . ||| Die NFPA verwendet ein mehrfarbiges Diamantdesign , um ein ähnliches Ziel zu erreichen .

NFPA: The NEC , some 800 pages describing proper methods of doing nearly all electrical work , is just a small part of the NFPA - National Fire Protection Association . ||| Das NEC , rund 800 Seiten , die die richtigen Methoden für fast alle elektrischen Arbeiten beschreiben , ist nur ein kleiner Teil der NFPA - National Fire Protection Association .

BusinessWeek: Only two business schools from Pakistan are listed in BusinessWeek . ||| Nur zwei Business Schools aus Pakistan sind in BusinessWeek aufgeführt .

BusinessWeek: 2002 BusinessWeek recognizes Black Box as one of the “ Best 100 Small Companies . ” ||| 2002 BusinessWeek erkennt Black Box als eines der " 100 besten kleinen Unternehmen " an .

BusinessWeek: BusinessWeek positioned it first as the best business college outside the United States in October 2004 . ||| Business Week rangiert es zuerst als die beste Business School außerhalb der Vereinigten Staaten im Oktober 2004.

BusinessWeek: BusinessWeek recently ran a story about the fact that Wallet is losing money for the company . ||| BusinessWeek kürzlich lief eine Geschichte über die Tatsache , dass Wallet Geld für das Unternehmen verliert .

BusinessWeek: As BusinessWeek noted in its carefully worded article , ||| Wie BusinessWeek in seinem sorgfältig formulierten Artikel feststellte ,

BusinessWeek: ( During her five and a half years at H.P. , she was on the cover of Forbes , Fortune , or BusinessWeek at least 10 times . ) ||| ( Während ihrer fünfeinhalb Jahre bei HP war sie mindestens zehnmal auf dem Cover von Forbes , Fortune oder BusinessWeek . )

Azel: You will flee by the valley of My mountains , for the valley of the mountains will reach to Azel . . . ||| Und ihr werdet gewißlich zum Tal meiner Berge fliehen ; denn das Tal der Berge wird bis nach Azel hin reichen .

Azel: Azelis acquired Chance & Hunt in 2002 . ||| Azelis erwarb Chance & Hunt im Jahre 2002.

ECIU: Though both Vietnam and Indonesia have ambitious coal plant construction plans , the ECIU says these are likely to be scaled back in the years ahead . ||| Obwohl sowohl Vietnam als auch Indonesien ehrgeizige Pläne für den Bau von Kohlekraftwerken haben , sagt die ECIU , dass diese wahrscheinlich in den kommenden Jahren zurückgefahren werden .

SSG: The SSG / SSL only supports scientific contributions of high quality . ||| Die SSG / SSL fördert nur wissenschaftliche Beiträge von hoher Qualität .

SSG: Most recently , the International Syria Support Group ( ISSG ) met in January this year , again without any noteworthy result . ||| Zuletzt traf sich die Internationale Syrien-Unterstützergruppe “ ( ISSG ) im Januar dieses Jahres , wieder ohne nennenswertes Ergebnis .

SSG: They are especially interesting for people who use earlier versions of FOSSGIS have known , and wonder why things have changed . ||| Sie sind vor allem für Leute interessant , die frühere Versionen der FOSSGIS gekannt haben und sich wundern , warum sich Dinge geändert haben .

Agni: Therefore , let us be fully aware of the significance of the experiment that the Mother of Agni Yoga has performed here without withdrawing from life . ||| Daher beachten wir so sehr die Bedeutung des Experiments , das die Mutter des Agni Yoga hier vollbracht hat , ohne sich vom Leben zurückzuziehen .

Agni: Because therewith we could already solve many problems in this country as well as in Agnita . ||| Denn damit würden wir hierzulande schon viele Probleme lösen , auch in Agnita .

Agni: In general , the fire Agni is responsible for all transformations , as there are 13 types with different functions . ||| Im Allgemeinen ist das Feuer Agni für alle Transformationen verantwortlich , da es 13 Typen mit unterschiedlichen Funktionen gibt .

Agni: Meet Agni and me and ask us your burning questions in person . ||| Triff Agni und mich und stelle uns deine brennenden Fragen persönlich .

Agni: Agnieszka Salamon : Our son is growing up here , has a Polish citizenship and speaks both languages . ||| Agnieszka Salamon : Unser Sohn wächst hier auf , hat eine polnische Staatsbürgerschaft und spricht beide Sprachen .

Agni: How strongly then does create the spirit of the Agni Yogi whose centers have been kindled by sacred fire ! ||| Wie stark schöpferisch ist dann der Geist des Agni Yogi , dessen Zentren durch heiliges Feuer entflammt wurden !

