Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | entity: Golang - none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。 
Autoweek Autoweek | w_freq: 4 - 4 | wiki_freq: 92 - 3 | sentence_idx: 335232 | align_1: 7-14 | align_2: 8-18 | entity: Autoweek - none |    I feel ready , " he told Autoweek . ||| 我 感觉 已经 准备 好 了    ， ” 他 告诉 《 Autoweek 》   。 

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 338401 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - N EW YORK |    NEW YORK – Apple wants the plastic credit card to become as rare as the paper check . ||| N EW YORK （ 美联社 ） - Apple 希望 塑料 信用卡 变 得 像 纸质 支票 一样 罕见 。 

WILD 首页 | w_freq: 4 - 845 | wiki_freq: 318 - 770 | sentence_idx: 343671 | align_1: 1-0 | align_2: 2-9 | entity: WILD - none |    Previous WILD – 75 Freshwater Tropical Fish of the World ||| 首页 〉外 文书 〉 生活 〉动 植物 〉 Wild : 75 Freshwater Tropical Fish of the World 

Robinhood Robinhood | w_freq: 8 - 7 | wiki_freq: 665 - 24 | sentence_idx: 349649 | align_1: 4-6 | align_2: 5-11 | entity: Robinhood - Robinhood |    We want to make Robinhood a tantalizing target for researchers and it 's important that , as a researcher , you know your time wo n't be wasted finding potential bugs in our software . " ||| ” 我们 想 让 罗宾汉 ( Robinhood ) 成为 研究 人员 的 诱人 目标 ， 作为 一 名 研究 人员 ， 重要 的 是 ， 你 知道 你 的 时间 不 会 浪费 在 寻找 我们 软件 中 的 潜在 漏洞 上 。 

CHLT-TV CHLT-TV | w_freq: 1 - 2 | wiki_freq: 10 - 0 | sentence_idx: 356740 | align_1: 0-0 | align_2: 1-8 | entity: CHLT-TV - none |    CHLT-TV , 50 years of looking at it our way ||| CHLT-TV ， 50年 的 发展 历程 （ CHLT-TV , 50 Years of Looking at It Our Way ） 

Moorehead Moorehead | w_freq: 3 - 3 | wiki_freq: 811 - 3 | sentence_idx: 363410 | align_1: 3-5 | align_2: 4-10 | entity: Moorehead - none |    Finally , says Moorehead “ The best way to get more distributors is to get more customers . ||| 最后    ， Moorehead 表示   ： “ 获得 更 多 分销商 的 最佳 途径 是 获取 更 多 客户    。 

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 382774 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - N EW YORK |    NEW YORK - Barbara Corcoran expects entrepreneurs to listen to what she says , and then do what they want . ||| N EW YORK （ 美联社 ） - Barbara Corcoran 希望 企业家 能 听取 她 的 意见 ， 然后 做 他们 想 做 的 事 。 

Soaga Soaga | w_freq: 1 - 1 | wiki_freq: 36 - 0 | sentence_idx: 384634 | align_1: 11-13 | align_2: 12-18 | entity: Lupe Ole Soaga - none |    Like AS , Marist just need to win against Lupe Ole Soaga and hope the first game ’s result on Friday goes their way . ||| 像 AS 一样   ， Marist 只 需要 赢得 对阵 Lupe Ole Soaga 的 比赛  ， 并 希望 周五 的 第一 场 比赛 结果 能够 顺利 进行   。 

Allaah 安拉 | w_freq: 62 - 167 | wiki_freq: 28 - 280 | sentence_idx: 390386 | align_1: 1-1 | align_2: 2-6 | entity: Allaah - 安拉 |    And Allaah is the Guide to the Straight Path . ||| “ 安拉 的 引导 ， 才 是 正导 。 

Belmonts Belmonts | w_freq: 3 - 4 | wiki_freq: 257 - 0 | sentence_idx: 394762 | align_1: 5-3 | align_2: 6-12 | entity: The Belmonts - none |    11 ) Dion and The Belmonts , " I Wonder Why " ||| Dion and the Belmonts （ 英语 ： Dion and the Belmonts ） （ " I Wonder Why （ 英语 ： I Wonder Why ） " ） 

Systemantics systemfunny | w_freq: 1 - 1 | wiki_freq: 9 - 0 | sentence_idx: 395297 | align_1: 7-7 | align_2: 8-14 | entity: Systemantics - none |    As John Gall argues in his book Systemantics , every successful large system was grown from smaller systems that already worked . ||| 正如 John Gall 在 其 著作 《 systemfunny 》 中 所 指出 的 那样 ， 每 一个 成功 的 大型 系统 都 是 从 已经 运行 的 小型 系统 发展 而 来 的 。 

L.S. LS | w_freq: 1 - 17 | wiki_freq: 405 - 198 | sentence_idx: 397462 | align_1: 2-2 | align_2: 3-7 | entity: L.S. - none |    6 ) L.S. When and above all why did you decide to disclose these information about classified space missions and is there anybody who is protecting you ? ||| 6 、 LS ： 你 是 什么 时候 ， 最 主要 的 是 你 为什么 要 决定 揭露 这些 绝密 太空 任务 的 信息 ， 是否 有人 在 保护 你 呢 ？ 

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 414034 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - none |    NEW YORK — Maybe the middle child really should be the favorite . ||| N EW YORK （ 美联社 ） - 也许 中间 孩子 真的 应该 是 最 喜欢 的 ... 

CENTCOM Centcom | w_freq: 4 - 1 | wiki_freq: 480 - 0 | sentence_idx: 414435 | align_1: 0-0 | align_2: 1-4 | entity: CENTCOM - none |    CENTCOM will restore service to its Twitter and YouTube accounts as quickly as possible . ||| Centcom 表示 ， 它 将 “ 尽快 ” 恢复 其 Twitter 和 YouTube 帐户 的 服务 。 

Damianos 主Damianos | w_freq: 2 - 1 | wiki_freq: 71 - 0 | sentence_idx: 431102 | align_1: 4-4 | align_2: 5-9 | entity: Damianos - none |    But in 1900 Patriarch Damianos revived it for one day in the year , not 23 October but 31 December . ||| 但是 ， 在 1900年 主Damianos ， 东正教 主教 ， 恢复 它 一 天 的 一 年 ， 而 不是 10月 23日 ， 但 12月 31日 。 

DIAZ Diaz | w_freq: 1 - 10 | wiki_freq: 6 - 83 | sentence_idx: 454402 | align_1: 0-1 | align_2: 1-10 | entity: DIAZ - none |    DIAZ Do n't clean up this blood ||| 《 Diaz ， 不要 清理 血迹 》 ( Diaz : Don’t Clean Up This Blood ) 

Mastery Mastery | w_freq: 6 - 3 | wiki_freq: 686 - 7 | sentence_idx: 470855 | align_1: 8-9 | align_2: 9-14 | entity: Mastery - none |    But as Robert Greene explains in his book Mastery , you can learn to love this internal resistance . ||| 不过 ， Robert Greene 在 他 的 书 《 Mastery 》 中 解释 道 ， 你 可以 学会 喜欢 这种 内在 的 阻力 。 

Gillon Gillon | w_freq: 2 - 1 | wiki_freq: 524 - 3 | sentence_idx: 478562 | align_1: 1-1 | align_2: 2-5 | entity: Raanan Gillon - none |    Raanan Gillon reviews the case of M , a woman in minimally conscious state , who was the subject of a court of protection ruling last year . ||| Raanan Gillon （ 图 ） 回顾 了 M 的 案例 ， 一个 处于 最低 意识 状态 的 女人 ， 他 是 去年 保护 法庭 裁决 的 对象 。 

Hottie Hottie | w_freq: 2 - 2 | wiki_freq: 155 - 2 | sentence_idx: 480665 | align_1: 22-24 | align_2: 23-33 | entity: Hottie - none |    Very soon after at 2:16 , he says , “ Have any of you enjoyed this special pizza here tonight called the Hottie ? … If you have n’t had it , you should try it , it ’s delicious . ” ||| 之后 不久 ， 在 2:16 ， 他 说 ： “ 你们 有 没有 人 享受 过 今晚 这里 的 这个 特别 的 披萨 叫 Hottie （ 字面 上 是 辣妹 的 意思 ） ？ …… 如果 你 还 没有 ， 你 应该 试 一下 ， 它 很 美味 。 

Dyers 染发 | w_freq: 1 - 2 | wiki_freq: 391 - 106 | sentence_idx: 509222 | align_1: 22-16 | align_2: 23-20 | entity: Dyers - none |    He had always seen her from time to time , for he had often been called to the farm or to the Dyers and had watched her at play . ||| 他 总是 时不时 地 看到 她   ， 因为 他 经常 被 叫到 农场 或者是 染发   ， 并且 看 着 她 玩   。 

Bergner Bergner | w_freq: 1 - 1 | wiki_freq: 491 - 2 | sentence_idx: 510801 | align_1: 3-1 | align_2: 4-14 | entity: Daniel Bergner - Daniel Bergner |    According to Daniel Bergner ( What Do Women Want ? ||| Daniel Bergner 在 他 的 2013年 《 女人 要 的 是 什么 ？ 》 ( What Do Women Want ? 

Brejcha Brejcha | w_freq: 1 - 1 | wiki_freq: 21 - 0 | sentence_idx: 516525 | align_1: 2-1 | align_2: 3-5 | entity: Brejcha - none |    According to Brejcha people will be able to buy the tomatoes in ordinary shops . ||| 根据 Brejcha 的 说法 ， 人们 可以 在 普通 商店 购买 这些 西红柿 。 

F4F f4f | w_freq: 2 - 2 | wiki_freq: 355 - 0 | sentence_idx: 532046 | align_1: 2-4 | align_2: 3-10 | entity: F4F - none |    We created F4F as a platform that helps children around the globe make their voices heard , and we are happy to see more than 200 countries from every continent contributing to the project this year . ||| 我们 已经 启动 了 f4f 计划 ， 并 使 之 成为 一个 平台 ， 帮助 世界 各地 的 儿童 听到 他们 的 声音 ， 我们 高兴 地 看到 来自 各 大洲 的 200多 个 国家 参加 了 今年 的 f4f 计划 。 

Juda 犹大王国 | w_freq: 4 - 2 | wiki_freq: 398 - 93 | sentence_idx: 532973 | align_1: 12-10 | align_2: 13-15 | entity: Juda - 犹大王国 |    In chapter 2 the prophet develops his threats against the Kingdom of Juda and gives his reasons for them . ||| 在 第2 章 先知 ​​ 的 发展 对 他 的 犹大王国 ​​ 的 威胁 ， 并 给出 了 他们 他 的 理由 。 

EMK EMK | w_freq: 51 - 25 | wiki_freq: 76 - 2 | sentence_idx: 537811 | align_1: 14-16 | align_2: 15-20 | entity: EMK - none |    Very true that emotionally a divorce can be dreadful and I do concur with EMK that individuals tender their feelings in different ways….countless variables to consider . ||| 非常 真实 的 是 ， 在 情感 上 离婚 可能 是 可怕 的 ， 我 同意 EMK 的 观点 ， 即 个人 以 不同 的 方式 抚慰 自己 的 感情 …… 需要 考虑 的 变量 数不胜数 。 

Alesha 阿莱莎 | w_freq: 4 - 2 | wiki_freq: 518 - 1 | sentence_idx: 543004 | align_1: 8-9 | align_2: 9-13 | entity: Alesha - 阿莱莎 |    Lord Matthew continued : " When you saw Alesha your reaction was ' a moment of opportunity ' . ||| 马修 勋爵 接着 说 ： “ 当 你 看到 阿莱莎 的 时候 ， 你 的 反应 是 ‘ 一个 机会 的 时刻 ’ 。 

Madiba 马迪巴 | w_freq: 6 - 3 | wiki_freq: 108 - 4 | sentence_idx: 544929 | align_1: 6-5 | align_2: 7-9 | entity: Madiba - 马迪巴 |    " Over the past 24 years Madiba taught us how to come together and to believe in ourselves and each other . ||| “ 过去 24年 来 ， 马迪巴 （ 曼德拉 ） 教会 我们 如何 团结 ， 如何 相信 自己 和 彼此 。 

DataMatrix DataMatrix | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 554469 | align_1: 13-14 | align_2: 14-18 | entity: DataMatrix - none |    The two most popular types are Quick Response ( QR ) Code and DataMatrix but there are other options available . ||| 两 种 最 流行 的 类型 是 快速 响应 （ QR ） 代码 和 DataMatrix   ， 但 还有 其他 选项 可用    。 

Sinim 希尼 | w_freq: 3 - 3 | wiki_freq: 16 - 56 | sentence_idx: 555148 | align_1: 15-24 | align_2: 16-37 | entity: Sinim - 希尼 |    these from the north and from the west ; and these from the land of Sinim . ” ||| 看 哪 ， 这些 从 远方 来 ， 这些 从 北方 、 从 西方 来 ， 这些 从 秦国 来 （ 秦 原文 为 希尼 ， 因 有些 解经家 认为 这是 指 中国 ， 故译 秦国 ） 。 

Easyway Easyway | w_freq: 1 - 1 | wiki_freq: 29 - 0 | sentence_idx: 556215 | align_1: 16-21 | align_2: 17-26 | entity: Easyway - none |    When you are ready to have your final cigarette you ’ll understand why Allen Carr ’s Easyway method has sold more than 15 MILLION books worldwide almost entirely on the strength of word of mouth ; it works ! ||| 当 你 准备 好 你 要 吸 的 最后 一 根 香烟 时 ， 你 会 明白 为什么 亚伦.卡尔 的 “ Easyway － 易 为 ” 方法 已经 在 全世界 销售 了 超过 1500万 本书 ， 几乎 完全 靠 口碑 的 力量 ; 有用 ！ 

Dontae Dontae | w_freq: 1 - 1 | wiki_freq: 59 - 0 | sentence_idx: 574070 | align_1: 17-16 | align_2: 18-22 | entity: Dontae - none |    “ She said I ’d signed a form when I was pregnant to say she could take Dontae away for half an hour for a medical check . ||| 她 说 我 怀孕 的 时候 签署 了 一 封 表格 ， 说 她 可以 将 Dontae （ 乌拉 的 儿子 ） 带走 半 个 小时 接受 医疗 检查 。 

LVM LVM | w_freq: 3 - 6 | wiki_freq: 119 - 15 | sentence_idx: 574199 | align_1: 8-8 | align_2: 9-14 | entity: LVM - none |    I have to tell you that , when LVM first made its appearance in Fedora Linux , I resisted it rather strongly . ||| 我 想 告诉 你 的 是 ， 当 LVM （ 逻辑 卷 管理 ） 首次 出现 在 Fedora Linux 中时 ， 我 是 非常 抗拒 它 的 。 

Jor-el 乔˙艾尔 | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 578794 | align_1: 13-13 | align_2: 14-18 | entity: Jor-el - 乔˙艾尔 |    I was actually born on Krypton and sent here by my father , Jor-el , to save the Planet Earth . '' ||| 其实 我 是 出生 在 氪普顿 星球 上 ， 然后 被 我 父亲 乔˙艾尔 （ 超人 的 生父 ） 派 过来 拯救 这个 星球 － 地球 」 。 

CovalX CovalX | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 603647 | align_1: 6-4 | align_2: 7-9 | entity: CovalX - none |    He also is a co-founder of CovalX and has extensive experience developing and expanding businesses on a worldwide basis . ||| 他 也 是 一个 CovalX 的 创始人 之一 ， 并 拥有 丰富 的 经验 ， 发展 和 扩大 在 全球 范围 内 的 企业 。 

Rancher Rancher | w_freq: 5 - 6 | wiki_freq: 492 - 16 | sentence_idx: 610265 | align_1: 1-1 | align_2: 2-8 | entity: Rancher - none |    Slime Rancher – Developed by Monomi Park ||| Slime Rancher （ 英语 ： Slime Rancher ） – 由 Monomi Park 开发 

Gerstein Gerstein | w_freq: 3 - 2 | wiki_freq: 563 - 5 | sentence_idx: 611380 | align_1: 0-0 | align_2: 1-4 | entity: Gerstein - none |    Gerstein suggested that regulations like the Kimberley Process may be less effective in practice than initially intended . ||| Gerstein （ 格斯坦 ） 表示 ， 金伯利 进程 等 规定 在 实践 中 并 不如 最初 预期 那般 有效 。 

Winzip WinZip | w_freq: 1 - 4 | wiki_freq: 1 - 34 | sentence_idx: 632014 | align_1: 2-2 | align_2: 3-6 | entity: Winzip - none |    WinRAR and Winzip need paying for ( eventually ) , 7zip is free and does the same thing . ||| WinRAR 的 WinZip 的 ， 并 需要 支付 （ 最终 ） ， 7zip 是 免费 的 而且 也 获得 了 同样 的 事 。 

Buys Buys | w_freq: 3 - 2 | wiki_freq: 490 - 4 | sentence_idx: 644060 | align_1: 0-0 | align_2: 1-4 | entity: Buys - none |    Buys and her partner successfully ran their store for nearly 20 years , but when they sold it in 2000 she was ready for a change . ||| Buys （ 拜斯 ） 和 合作 伙伴 将 他们 的 店 成功 地 经营 了 近 20 年 ， 但是 ， 当 他们 在 2000 年 把 它 卖掉 时 ， 她 已经 准备 做 一番 改变 了 。 

Kunstler Kunstler | w_freq: 1 - 2 | wiki_freq: 522 - 1 | sentence_idx: 647317 | align_1: 1-1 | align_2: 2-8 | entity: William Kunstler - none |    William Kunstler as Boston Judge ||| William Kunstler （ 英语 ： William Kunstler ） 饰 Boston Judge 

Wisner Wisner | w_freq: 1 - 1 | wiki_freq: 811 - 4 | sentence_idx: 659021 | align_1: 32-26 | align_2: 33-30 | entity: Wisner - none |    “ At the time I could n’t believe that CAD could get any more advanced than what I ’d just experienced , but now I know how right he was , ” Wisner says . ||| “ 当时 我 不 相信 CAD 能 比 我 刚刚 了解 的 更 先进 ， 但 现在 我 知道 他 是 多么 的 正确 ， ” Wisner （ 威斯纳 ） 说 。 

Install Install | w_freq: 21 - 3 | wiki_freq: 182 - 12 | sentence_idx: 665691 | align_1: 1-1 | align_2: 2-8 | entity: Zero Install - none |    Zero Install , another similar project ||| Zero Install （ 英语 ： Zero Install ） ， 另 一个 类似 的 项目 

Samay Samay | w_freq: 3 - 6 | wiki_freq: 299 - 0 | sentence_idx: 670004 | align_1: 4-5 | align_2: 5-12 | entity: Soluna Samay - none |    13 Denmark English Soluna Samay " Should 've Known Better " — 9 63 ||| 13 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 9 63 

VMWare VM | w_freq: 3 - 25 | wiki_freq: 92 - 147 | sentence_idx: 687279 | align_1: 0-1 | align_2: 1-10 | entity: VMWare Workstation - none |    VMWare Workstation : This virtual machine appears to be in use . ||| 重开 VM （ 虚拟机 ） 的 时候 ， 出现 以下 画面 ： This virtual machine appears to be in use . 

Northup Northup | w_freq: 2 - 4 | wiki_freq: 792 - 3 | sentence_idx: 698258 | align_1: 1-1 | align_2: 2-8 | entity: Harry Northup - Harry Northup |    Harry Northup as Joe & Jim 's Bartender ||| Harry Northup （ 英语 ： Harry Northup ） 饰 Joe & Jim's bartender 

Hizballah Asura | w_freq: 5 - 3 | wiki_freq: 107 - 9 | sentence_idx: 703706 | align_1: 9-9 | align_2: 10-18 | entity: Hizballah - none |    Eight out of ten Shi’a reject the disarming of Hizballah . ||| “ 八 神 将 ” 之一 的 阿修罗 （ Asura ） 被 诬蔑 成 凶手    。 

