Allah Allah | w_freq: 1378 - 1180 | wiki_freq: 12189 - 1130 | sentence_idx: 9161 | align_1: 0-0 | align_2: 1-4 | entity: Allah - Allah |    Allah knows what we will do before we do it . ||| Allah ( swt ) weiß was wir machen werden bevor es geschieht . 
Allah Allah | w_freq: 1378 - 1180 | wiki_freq: 12189 - 1130 | sentence_idx: 598698 | align_1: 9-12 | align_2: 10-20 | entity: Allah - Allah |    Take me and my mother for two gods besides Allah he will say : Glory be ||| ` Nehmt mich und meine Mutter als zwei Gottheiten an Stelle von Allah an ! ‘ ? “ , sagt er : „ Gepriesen seiest DU ! 

Kelis Kelis | w_freq: 1 - 1 | wiki_freq: 903 - 119 | sentence_idx: 614782 | align_1: 4-2 | align_2: 5-7 | entity: Kelis - Kelis |    It was thanks to Kelis I discovered a life outside of monograms . ” ||| Es ist Kelis zu verdanken , dass ich ein Leben außerhalb von Monogrammen entdeckte . " 

Astraea Astraea | w_freq: 2 - 4 | wiki_freq: 486 - 158 | sentence_idx: 626307 | align_1: 7-6 | align_2: 8-11 | entity: 5 Astraea - Astraea |    Fifteen years later , he found 5   Astraea , the first new asteroid in 38 years . ||| Fünfzehn Jahre später fand er 5 Astraea ( 5 Astraea ) , der erste neue Asteroid in 38 Jahren . 

WooCommerce WooCommerce | w_freq: 25 - 25 | wiki_freq: 46 - 9 | sentence_idx: 685086 | align_1: 7-9 | align_2: 8-14 | entity: WooCommerce - WooCommerce |    If you ’re interested in contributing to WooCommerce we ’ve got more than 350 contributors , and there ’s always room for more . ||| Wenn Sie daran interessiert sind , einen Beitrag zu WooCommerce zu leisten , haben wir mehr als 350 Mitwirkende , und es gibt immer Platz für mehr . 

Freud sigmund | w_freq: 58 - 1 | wiki_freq: 11940 - 1 | sentence_idx: 693110 | align_1: 4-2 | align_2: 5-7 | entity: Sigmund Freud - sigmund freud |    If I asked Sigmund Freud why we do the things we do , he ’d say that our behavior is motivated by sex and aggression . ||| Wenn ich sigmund freud fragen würde , warum wir die dinge tun , die wir tun , würde er sagen , dass unser verhalten von sex und aggression motiviert ist . 

Ki-moon Ki-Moon | w_freq: 9 - 5 | wiki_freq: 1573 - 44 | sentence_idx: 832724 | align_1: 10-11 | align_2: 11-15 | entity: Ban Ki-moon - Ban Ki-Moon |    So he did something exceedingly foolish : he told Ban Ki-moon not to go to Tehran . ||| Also tat er etwas ausgesprochen Törichtes : Er sagte zu Ban Ki-Moon , er solle nicht nach Teheran gehen . 

Allah Allah | w_freq: 1378 - 1180 | wiki_freq: 12189 - 1130 | sentence_idx: 936750 | align_1: 5-4 | align_2: 6-10 | entity: Allah - Allah |    " We swear by almighty Allah we will never stop fighting you . " ||| „ Wir schwören bei Allah , dem Allmächtigen , dass wir nie aufhören werden , euch zu bekämpfen . 

Volkswagen Volkswagen | w_freq: 168 - 167 | wiki_freq: 13240 - 5124 | sentence_idx: 965891 | align_1: 15-18 | align_2: 16-25 | entity: Volkswagen - Volkswagen |    And what about a ‘ city ’ full of Bugattis or one dedicated to everything Volkswagen ? ||| Und was halten Sie von einer ‘ Stadt ’ voller Bugattis oder einer die allem , was mit Volkswagen zu tun hat , gewidmet ist ? 

