Thessalonians 撒罗尼迦 | w_freq: 8 - 6 | wiki_freq: 563 - 92 | sentence_idx: 38 | align_1: 1-2 | align_2: 2-6 | entity: Thessalonians - 帖 撒罗尼迦 |    2 Thessalonians 2 tells us more about this end-time False Prophet . ||| 《 帖 撒罗尼迦 后 书 》 2 里 告诉 我们 更 多 关于 这 终期 的 “ 假 先知 ” 的 事 。 
XSRF XSRF | w_freq: 1 - 1 | wiki_freq: 5 - 3 | sentence_idx: 92727 | align_1: 5-7 | align_2: 6-11 | entity: XSRF - none |    To protect your app against XSRF you should not allow state changing actions to be called via GET ; the POST method was invented for this kind of state-changing request . ||| 为了 保护 您 的 应用 程序 免遭 XSRF 的 侵害 ， 您 不 应当 允许 通过 GET 来 要求 更改 状态 的 活动 ； POST 方法 的 发明 就是 为了 应对 此 种 状态 更改 请求 。 

ROUS ROUS | w_freq: 1 - 1 | wiki_freq: 1 - 12 | sentence_idx: 100052 | align_1: 9-7 | align_2: 10-11 | entity: ROUS - none |    In the movie , Westley refused to believe in ROUS until one of them literally jumped on top of him . ||| 在 电影 中 ， Westley 拒绝 相信 ROUS 的 存在 ， 直到 其中 一 只 跳上 了 他 的 头顶 。 

Shottas Shottas | w_freq: 1 - 1 | wiki_freq: 25 - 0 | sentence_idx: 110184 | align_1: 24-21 | align_2: 25-27 | entity: Shottas - none |    He ’s never specifically said where the name came from , but there ’s speculation that it ’s drawn from the 2002 crime movie Shottas . ||| 他 从来 没有 具体 说 过 这个 名字 来自 哪里 ， 但 有人 猜测 它 是 2002年 的 犯罪 电影 “ Shottas ” 中 的 一 部 。 

Samay Samay | w_freq: 3 - 6 | wiki_freq: 299 - 0 | sentence_idx: 121229 | align_1: 3-5 | align_2: 4-12 | entity: Soluna Samay - none |    13 Denmark Soluna Samay " Should 've Known Better " English 9 63 ||| 13 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 9 63 

MixBit MixBit | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 127849 | align_1: 21-19 | align_2: 22-23 | entity: MixBit - none |    Actually , it was a very personal and difficult decision to make , but with the decision to turn Avos into MixBit it became pretty clear . ||| 实际上 ， 这是 一个 非常 私人 而 困难 的 决定 ， 但是 ， 在 决定 将 Avos 发展 成为 MixBit 时 ， 一切 就 已经 非常 明朗 了 。 

Fae 凡果 | w_freq: 1 - 1 | wiki_freq: 421 - 0 | sentence_idx: 132471 | align_1: 4-0 | align_2: 5-6 | entity: Fae - none |    But all of the Fae except Allsún have retreated from the world . ||| 凡果 皆 从 下生 上 ， 惟 莲子 根 从 上 生 下 。 

Allâh 玛土撒拉 | w_freq: 36 - 1 | wiki_freq: 36 - 30 | sentence_idx: 139291 | align_1: 13-3 | align_2: 14-9 | entity: Allâh - 玛土撒拉 |    ' Iesa ( Jesus ) , son of Maryam(Mary ) ] : But Allâh raised him [ ' Iesa ( Jesus ) ] up ( with his body and soul ) unto Himself ( and he is in the heavens ) . ||| 以诺 的 儿子 玛土撒拉 生活 到 挪亚 时候 ， 是 他 世代 的 义人 ， 且 与 神 同行 。 

Botkin 博金 | w_freq: 3 - 1 | wiki_freq: 572 - 5 | sentence_idx: 140019 | align_1: 19-16 | align_2: 20-20 | entity: Botkin - 博金 |    At the time , the meaning of the words had hardly sunk in , but as I sit with Botkin they burn like acid , and I can barely stand to think of them . ||| 那个 时候 ， 这个 词 的 含义 几乎 没有 沉入 ， 但是 当 我 坐 在 博金 身上 时 ， 他们 像 酸 一样 燃烧 着 ， 我 几乎 忍 不住 想起 它们 。 

GNH GNH | w_freq: 2 - 2 | wiki_freq: 191 - 12 | sentence_idx: 142028 | align_1: 6-6 | align_2: 7-13 | entity: GNH - none |    We ’re No . 72 in GNH but we could be better ||| 上 一 篇 ： 我们 在 GNH 中 排名 第72   ， 但 我们 可能 会 更 好 

Silwood 席尔伍德 | w_freq: 2 - 1 | wiki_freq: 67 - 0 | sentence_idx: 159416 | align_1: 8-5 | align_2: 9-10 | entity: Silwood Park - 席尔伍德 公园 |    The college also has a research centre at Silwood Park , and teaching hospitals throughout London . ||| 此外 ， 该 学院 在 席尔伍德 公园 （ Sil wood Park ） 设有 研究 中心 ， 并 在 伦敦 各地 开设 教学 医院 。 

Centeno Centeno | w_freq: 3 - 1 | wiki_freq: 454 - 1 | sentence_idx: 168458 | align_1: 3-6 | align_2: 4-12 | entity: Mario Centeno - Mario Centeno |    Eurogroup President Mario Centeno said early Tuesday that “ after several months of intense negotiations and a very tough and long meeting we delivered a comprehensive plan to strengthen the euro . ” ||| 欧元 集团 主席 马里奥·森特诺 ( Mario Centeno ) 在 12月 4日 早间 称 ， “ 经过 几 个 月 的 紧张 谈判 和 非常 艰苦 的 长期 会晤 ， 我们 提出 了 一 项 加强 欧元 的 全面 计划 。 

Menosky 梅诺斯基 | w_freq: 1 - 1 | wiki_freq: 49 - 0 | sentence_idx: 176307 | align_1: 3-3 | align_2: 4-8 | entity: Menosky - 梅诺斯基 |    Neither Hall nor Menosky indulge in any grand fantasy that once it ’s safe to re-emerge , their band of survivors will become like Adam and Eve , creating a new and better human race . ||| 无论是 霍尔 还是 梅诺斯基 ， 都 不 会 沉迷于 任何 宏大 的 幻想 : 一旦 安全 地 重新 出现 ， 他们 的 幸存者 将 变 得 像 亚当 和 夏娃 一样 ， 创造 出 一个 更新 、 更 好的 人类 。 

CHIP CHIP | w_freq: 6 - 5 | wiki_freq: 458 - 32 | sentence_idx: 181916 | align_1: 10-7 | align_2: 11-14 | entity: CHIP - none |    “ About one in eight children are covered only by CHIP . ||| “ 大约 八分之一 的 孩子 只 被 CHIP 所 覆盖 ， 并 没有 争议 。 

Lemo 雷莫 | w_freq: 1 - 2 | wiki_freq: 71 - 37 | sentence_idx: 196745 | align_1: 2-4 | align_2: 3-10 | entity: Lemo - 雷莫 |    Since 2005 Lemo is certified Green Partner . ||| 自 2005年 以来 ， 雷莫 （ LEMO ） 就 已经 被 认证 为 绿色 合作 伙伴 

Lemo LEMO | w_freq: 1 - 1 | wiki_freq: 71 - 1 | sentence_idx: 196745 | align_1: 2-6 | align_2: 3-10 | entity: Lemo - none |    Since 2005 Lemo is certified Green Partner . ||| 自 2005年 以来 ， 雷莫 （ LEMO ） 就 已经 被 认证 为 绿色 合作 伙伴 

Kudur-Mabuk Kudur-Mabuk | w_freq: 1 - 2 | wiki_freq: 17 - 0 | sentence_idx: 196993 | align_1: 5-9 | align_2: 6-15 | entity: Kudur-Mabuk - none |    1770—1758 BCE Possible co-regency with Kudur-Mabuk his father ||| 瓦拉德·辛 约 前 1770 – 1758年 Possible co-regency with Kudur-Mabuk （ 英语 ： Kudur-Mabuk ） his father 

Al-Wahid 凯里目 | w_freq: 2 - 1 | wiki_freq: 4 - 0 | sentence_idx: 199767 | align_1: 0-1 | align_2: 1-7 | entity: Al-Wahid - 凯里目 |    Al-Wahid is one of the names of Allah . ||| “ 凯里目 ” （ 尊贵 的 ） 是 真主 的 尊名 之一 。 

Ψ Ψ | w_freq: 1 - 1 | wiki_freq: 343 - 42 | sentence_idx: 199793 | align_1: 4-1 | align_2: 5-8 | entity: Ψ - none |    When the change in Ψ can be ignored , a very useful form of this equation is : ||| 当 Ψ {\ displaystyle \ Psi } 变化 可以 忽略 ， 一个 非常 有用 的 形式 的 方程式 是 : 

Schweppes Schweppes | w_freq: 1 - 1 | wiki_freq: 613 - 1 | sentence_idx: 214434 | align_1: 6-5 | align_2: 7-11 | entity: Cadbury Schweppes - Cadbury Schweppes |    In 2006 and 2007 , Cadbury Schweppes purchased the Dr Pepper / Seven Up Bottling Group , along with several other regional bottlers . ||| 2006 和 2007年 ， Cadbury Schweppes （ 吉 百利史 威士 ） 收购 Dr Pepper / Seven Up Bottling Group 以及 其他 几 家 小型 瓶装 公司 。 

Moonglows Moonglows | w_freq: 1 - 2 | wiki_freq: 113 - 2 | sentence_idx: 219649 | align_1: 1-1 | align_2: 2-8 | entity: Moonglows - none |    The Moonglows , " The Ten Commandments Of Love " ||| The Moonglows （ 英语 ： The Moonglows ） （ " The Ten Commandments of Love " ） 

Backups Backups | w_freq: 4 - 3 | wiki_freq: 61 - 0 | sentence_idx: 227899 | align_1: 22-26 | align_2: 23-33 | entity: Backups - none |    You can find more information in two of the articles I wrote for TechNet Magazine in 2009 : “ Understanding SQL Server Backups ” and “ SQL Server : Recovering From Disasters Using Backups . ” ||| 您 可以 从 作者 2009 年 为 《 TechNet 杂志 》 撰写 的 两 篇 文章 中 找到 更 多 资讯 ： “ Understanding SQL Server Backups （ 了解 SQL Server 备份 ） ” 和 “ SQL Server : Recovering From Disasters Using Backups （ SQL Server ： 使用 备份 进行 灾难 恢复 ） ” 。 

Happyness 真善美 | w_freq: 1 - 5 | wiki_freq: 111 - 193 | sentence_idx: 231430 | align_1: 3-1 | align_2: 4-5 | entity: Pursuit of Happyness - none |    The Pursuit of Happyness is a true story . ||| 追求 真善美   ， 是 文艺 的 永恒 价值  。 

CRUSOE 鲁滨逊·克鲁索 | w_freq: 3 - 1 | wiki_freq: 0 - 14 | sentence_idx: 241300 | align_1: 14-14 | align_2: 15-18 | entity: CRUSOE - 鲁滨逊·克鲁索 |    I said , pointing to the well-remembered book on his knee , has ROBINSON CRUSOE informed you , this evening , that you might expect to see Franklin Blake ? ||| ” 我 说 ， 在 他 的 膝盖 上 写 好记 的 书 ， 鲁滨逊·克鲁索 ( RobinsonCrucoe ) 告诉 你 ， 今天 晚上 ， 你 可能 会 看到 富兰克林·布莱克 ( FranklinBlake ) 。 

Rive 鲁迪恩 | w_freq: 1 - 1 | wiki_freq: 782 - 0 | sentence_idx: 243921 | align_1: 0-0 | align_2: 1-4 | entity: Rive - 鲁迪恩 |    Rive and Musa are an awesome couple . ||| 鲁迪恩 （ Rodions ） 和 穆萨 （ Musa ） 也 都 表现 出 很 大 的 进步 。 

Zakariyya 优努斯 | w_freq: 4 - 9 | wiki_freq: 200 - 5 | sentence_idx: 252154 | align_1: 41-55 | align_2: 42-59 | entity: Zakariyya - 优努斯 |    They are Adam , Noah , Idris , Salih , Abraham , Hud , Lot , Jonah , Ismail , Isaac , Jacob , Joseph , Job , Shu’ayb , Moses , Aaron , Elysha , Dhul Kfli , David , Zakariyya , Solomon , Elyas , John , Jesus and Muhammad – may Allah ’s peace and blessings be on them all . ||| 其中 许多 讲 的 是 圣经 人物 、 事件 ， 如 真主 创造 阿丹 （ 亚当 ） ， 努哈 （ 挪亚 ） 与 洪水 ， 易卜拉欣 （ 亚伯拉罕 ） 、 易司哈格 （ 以 撒 ） 、 易 司马仪 （ 以实玛利 ） 、 叶尔孤白 （ 雅 各 ） 、 安 优卜 （ 约 伯 ） 、 优努斯 （ 约拿 ） 、 穆萨 （ 摩西 ） 、 易勒雅斯 （ 以利亚 ） 、 达 五德 （ 大卫 ） 、 素莱曼 （ 所罗门 ） 、 尔 撒 （ 耶稣 ） ， 还有 其他 人物 的 故事 ， 但 这些 内容 却 没 甚么 属灵 应用 可 言 。 

Elyas 易勒雅斯 | w_freq: 1 - 4 | wiki_freq: 140 - 3 | sentence_idx: 252154 | align_1: 45-65 | align_2: 46-80 | entity: Elyas - 易勒雅斯 |    They are Adam , Noah , Idris , Salih , Abraham , Hud , Lot , Jonah , Ismail , Isaac , Jacob , Joseph , Job , Shu’ayb , Moses , Aaron , Elysha , Dhul Kfli , David , Zakariyya , Solomon , Elyas , John , Jesus and Muhammad – may Allah ’s peace and blessings be on them all . ||| 其中 许多 讲 的 是 圣经 人物 、 事件 ， 如 真主 创造 阿丹 （ 亚当 ） ， 努哈 （ 挪亚 ） 与 洪水 ， 易卜拉欣 （ 亚伯拉罕 ） 、 易司哈格 （ 以 撒 ） 、 易 司马仪 （ 以实玛利 ） 、 叶尔孤白 （ 雅 各 ） 、 安 优卜 （ 约 伯 ） 、 优努斯 （ 约拿 ） 、 穆萨 （ 摩西 ） 、 易勒雅斯 （ 以利亚 ） 、 达 五德 （ 大卫 ） 、 素莱曼 （ 所罗门 ） 、 尔 撒 （ 耶稣 ） ， 还有 其他 人物 的 故事 ， 但 这些 内容 却 没 甚么 属灵 应用 可 言 。 

Elyas 以利亚 | w_freq: 1 - 27 | wiki_freq: 140 - 192 | sentence_idx: 252154 | align_1: 45-67 | align_2: 46-80 | entity: Elyas - 以利亚 |    They are Adam , Noah , Idris , Salih , Abraham , Hud , Lot , Jonah , Ismail , Isaac , Jacob , Joseph , Job , Shu’ayb , Moses , Aaron , Elysha , Dhul Kfli , David , Zakariyya , Solomon , Elyas , John , Jesus and Muhammad – may Allah ’s peace and blessings be on them all . ||| 其中 许多 讲 的 是 圣经 人物 、 事件 ， 如 真主 创造 阿丹 （ 亚当 ） ， 努哈 （ 挪亚 ） 与 洪水 ， 易卜拉欣 （ 亚伯拉罕 ） 、 易司哈格 （ 以 撒 ） 、 易 司马仪 （ 以实玛利 ） 、 叶尔孤白 （ 雅 各 ） 、 安 优卜 （ 约 伯 ） 、 优努斯 （ 约拿 ） 、 穆萨 （ 摩西 ） 、 易勒雅斯 （ 以利亚 ） 、 达 五德 （ 大卫 ） 、 素莱曼 （ 所罗门 ） 、 尔 撒 （ 耶稣 ） ， 还有 其他 人物 的 故事 ， 但 这些 内容 却 没 甚么 属灵 应用 可 言 。 

IADS IADS | w_freq: 2 - 1 | wiki_freq: 67 - 0 | sentence_idx: 259788 | align_1: 17-21 | align_2: 18-25 | entity: IADS - none |    “ In broad strategic terms , this means that Russia can present a sufficiently dense and sophisticated IADS to make sustained NATO air operations over the Baltic states and significant parts of Poland prohibitively costly during the first phases of any military clash in the region . ||| “ 从 广泛 的 战略 意义 上 讲   ， 这 意味着 俄罗斯 可以 提供 足够 密集 和 先进 的 IADS   ， 以 使 北约 在 波罗的海 国家 和 波兰 大部分 地区 的 持续 空中 作战 在 该 地区 任何 军事 冲突 的 第一 阶段 都 付出 高昂 的 代价   。 

Fingerspitzengefühl 指尖 | w_freq: 1 - 44 | wiki_freq: 9 - 219 | sentence_idx: 280374 | align_1: 8-11 | align_2: 9-16 | entity: Fingerspitzengefühl - none |    This guarantees that few intelligence analysts have the Fingerspitzengefühl – the feeling derived from direct experience – necessary to really understand China or the Chinese . ||| 这 确保 了 很少 有 情报 分析 人士 能够 拥有 “ 指尖 上 的 触觉 ” —— 即 从 直接 经验 中 得来 的 感觉 —— 而 这种 感觉 对于 真正 地 理解 中国 或是 中国人 而言 是 必不可少 的 。 

EGO EGO | w_freq: 1 - 1 | wiki_freq: 191 - 13 | sentence_idx: 298786 | align_1: 1-2 | align_2: 2-6 | entity: EGO - none |    " EGO is the only requirement to destroy any relationship . ||| ， “ EGO （ 自我 ） 是 摧毁 任何 关系 的 唯一 条件 。 

GAVI GAVI | w_freq: 4 - 5 | wiki_freq: 252 - 3 | sentence_idx: 299788 | align_1: 13-8 | align_2: 14-12 | entity: GAVI Alliance - GAVI 联盟 |    Thanks to the efforts of these suppliers and their close partnerships with the GAVI Alliance , multinational vaccine manufacturers , and international donors , more than 100 million children a year — more than ever before — are being immunized . ||| 感谢 这些 供应者 的 努力 以及 它们 与 GAVI 联盟 （ GAVI Alliance ） 、 跨国 疫苗 制造商 和 国际 赞助者 的 紧密 合作 ， 每年 有 超过 1亿 儿童 —— 比 以往 任何 时候 都 要 多 —— 可以 获得 免疫力 。 

Nanonets Nanonets | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 302822 | align_1: 11-12 | align_2: 12-16 | entity: Nanonets - none |    So , to build our second model , I turned to Nanonets . ||| 所以 ， 为了 建立 我们 的 第二 个 模型 ， 我 转向 Nanonets [ 9 ] 。 

Grundgesetz Grundgesetz | w_freq: 1 - 1 | wiki_freq: 138 - 4 | sentence_idx: 306813 | align_1: 20-16 | align_2: 21-20 | entity: Grundgesetz - none |    Nothing is more symbolic of the Federal Republic of Germany than its constitution , the Basic Law , or " Grundgesetz " . ||| 没有 什么 比 联邦 德国 宪法 更 有 标志性 了 ， 就是 基本法 ， 或者 “ Grundgesetz （ 宪法 ） ” 。 

Videze 上图 | w_freq: 1 - 49 | wiki_freq: 0 - 279 | sentence_idx: 309975 | align_1: 1-1 | align_2: 2-6 | entity: Videze - none |    And Videze is one of them . ||| 而 上图 所 见 ， 便 是 其中 一 例 。 

Osho Osho | w_freq: 11 - 2 | wiki_freq: 409 - 4 | sentence_idx: 320038 | align_1: 0-7 | align_2: 1-14 | entity: Osho - none |    Osho , My Way : The Way of the White Clouds , Talk # 10 ||| 白云 之 道 / 奥修 大师 ( Osho ) 原著 ; 谦达 那 译 , My way : the way of the white clouds , TPE 

Lepper Lepper | w_freq: 3 - 3 | wiki_freq: 364 - 4 | sentence_idx: 321212 | align_1: 7-7 | align_2: 8-21 | entity: Mark Lepper - Mark Lepper |    In 1987 , Thomas Malone and Mark Lepper published”Making learning fun : A taxonomy of intrinsic motivation . ” ||| 1987 年 ， Thomas Malone 和 Mark Lepper 发表 了 ” 让 学习 变 有趣 ： 内在 动机 的 分类 ( Making Learning Fun : A Taxonomy of Intrinsic Motivation ) ” 。 

Lepper Lepper | w_freq: 3 - 3 | wiki_freq: 364 - 4 | sentence_idx: 321213 | align_1: 7-7 | align_2: 8-21 | entity: Mark Lepper - Thomas Malone 和 Mark Lepper |    In 1987 , Thomas Malone and Mark Lepper published”Making learning fun : A taxonomy of intrinsic motivation . ” ||| 1987 年 ， Thomas Malone 和 Mark Lepper 发表 了 " 让 学习 变 有趣 ： 内在 动机 的 分类 ( Making learning fun : A taxonomy of intrinsic motivation ) " 。 

CND CND | w_freq: 3 - 2 | wiki_freq: 866 - 10 | sentence_idx: 323314 | align_1: 7-2 | align_2: 8-7 | entity: CND - CND （ 核裁军 运动 ） 党 |    She was an active member of the CND party , and had numerous friends in the art world . ||| 她 是 CND （ 核裁军 运动 ） 党 的 积极 成员 ， 并 在 艺术界 拥有 众多 朋友 

AIIB 亚投行 | w_freq: 18 - 15 | wiki_freq: 83 - 128 | sentence_idx: 332194 | align_1: 9-6 | align_2: 10-11 | entity: AIIB - 亚投行 |    An optimist would say that European influence in the AIIB will ensure that it does not become a political tool for Beijing , though past experience suggests Britain will do as it is told . ||| 乐观者 会 说 ， 欧洲 在 亚投行 中 的 影响力 ， 将 会 确保 该行 不 会 成为 北京 的 政治 工具 ， 尽管 过去 的 经验 表明 ， 英国 将 会 唯命是从 。 

DARSHAN 达显 | w_freq: 1 - 1 | wiki_freq: 6 - 6 | sentence_idx: 343310 | align_1: 11-13 | align_2: 12-18 | entity: DARSHAN - 达显 |    We have a totally different word for it , that is DARSHAN . ||| 我们 有 一个 完全 不同 的 字 给 它 ， 那 是 「 达显 （ darshan ） 」 。 

CB1 CB1 | w_freq: 3 - 3 | wiki_freq: 954 - 27 | sentence_idx: 364133 | align_1: 1-1 | align_2: 2-7 | entity: CB1 - none |    Unlike CB1 , the structure of CB2 had remained unknown . ||| 与 CB1 不同 ， 到 目前 为止 ， CB2 的 结构 一直 未知 。 

Arburg ARBURG | w_freq: 3 - 2 | wiki_freq: 15 - 0 | sentence_idx: 364165 | align_1: 14-13 | align_2: 15-17 | entity: Arburg - none |    When it comes to hot topics such as lightweight construction and Industry 4.0 , Arburg states : “ Wir sind da . ” – with its “ Technology on Tour ” roadshow . ||| 当 提及 诸如 轻质 结构 和 工业 4.0 的 热门 话题 时 ， ARBURG （ 阿博格 ） 秉承 ： “ Wir sind da . ” - 跟随 路演 “ 技术 巡回 ” 一起 。 

Emerick Emerick | w_freq: 2 - 2 | wiki_freq: 616 - 8 | sentence_idx: 365274 | align_1: 1-8 | align_2: 2-21 | entity: Geoff Emerick - none |    Geoff Emerick ’s Here , There and Everywhere : My Life Recording the Music of The Beatles ||| 多次 担任 The Beatles 录音 工程师 的 Geoff Emerick , 把 这 首 歌 用作 他 2006年 的 回忆录 书名 ， 《 Here , There , and Everywhere : My Life Recording the Music of The Beatles 》 。 

JVM JVM | w_freq: 40 - 43 | wiki_freq: 632 - 90 | sentence_idx: 374291 | align_1: 10-10 | align_2: 11-14 | entity: JVM - none |    I know each of these compiles to run on the JVM but I 'd like a simple comparison between them . ||| 我 知道 这些 语言 都 是 编译 之后 运行 在 JVM 上 的 ， 但是 我 想 要 一个 它们 之间 的 简单 比较 。 

IAB IAB | w_freq: 5 - 4 | wiki_freq: 619 - 28 | sentence_idx: 386246 | align_1: 5-4 | align_2: 6-9 | entity: IAB - none |    I decided to chair the IAB because it ’s vital that biomass is sourced sustainably and takes the latest scientific thinking into account . ||| 我 之所以 决定 担任 IAB 的 主席 ， 是 因为 生物质 能 的 来源 必须 是 可 持续 的 ， 并 纳入 最 新 的 科学 思想 。 

Deny 说谎 | w_freq: 32 - 452 | wiki_freq: 667 - 892 | sentence_idx: 390491 | align_1: 1-2 | align_2: 2-8 | entity: Deny - none |    Deny Deny and then deny you are denying . ||| 他们 热爱 说谎 ， 为 说谎 而 说谎 ， 为 骗 你 而 说谎 。 

Khazaks Khazaks | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 418439 | align_1: 15-12 | align_2: 16-18 | entity: Khazaks - none |    The U.S. awarded 22,000 green cards to Turks in that time , and 7,000 to Khazaks . ||| 当时 美国 向 土耳其 人 颁发 了 22,000 张 绿卡 ， 向 Khazaks 颁发 了 7,000 张 绿卡 。 

Habakkuk 卡夫卡 | w_freq: 4 - 20 | wiki_freq: 454 - 423 | sentence_idx: 433389 | align_1: 4-0 | align_2: 5-5 | entity: Habakkuk - 卡夫卡 |    God ’s answer to Habakkuk is : “ Be patient . ||| 卡夫卡 的 《 箴言 》 告诉 我们 ： “ 要 冷静 耐心 。 

Qur’an 奇葩 | w_freq: 183 - 9 | wiki_freq: 541 - 229 | sentence_idx: 440350 | align_1: 11-17 | align_2: 12-28 | entity: Qur’an - none |    And you will find that peace is the cornerstone of the Qur’an . ||| 师 ： 漫步 文苑   ， 你 会 发现    ， 古诗 当 属 奇葩 一 枝    ， 可谓 风华绝代   。 

LORD 烈怒 | w_freq: 364 - 18 | wiki_freq: 627 - 19 | sentence_idx: 449747 | align_1: 2-2 | align_2: 3-7 | entity: LORD - none |    17 The LORD God proclaims : Are you the one about whom I spoke in former times through my servants , Israel 's prophets , the ones who prophesied for years in those days to bring you against them ? ||| 主 的 烈怒 17 “ ‘ 主耶 和华 这样 说 ： 我 从前 藉著 我 的 众仆人 以色列 的 先知 所 说 的 ， 岂 不是 你 吗 ？ 在 那些 年间 ， 他们 曾 预言 我 必 领 你 来 攻击 以色列人 。 

EventBrite Eventbrite | w_freq: 2 - 2 | wiki_freq: 4 - 0 | sentence_idx: 450290 | align_1: 23-22 | align_2: 24-27 | entity: EventBrite - none |    Courses with fewer than 10 registrants may be cancelled , therefore , it ’s important you register online and cancel your reservation in EventBrite if you are unable to attend . ||| 少于 10 个 注册 的 课程 可能 会 被 取消 ， 因此 ， 你 在 网上 注册 并 取消 您 预订 在 Eventbrite 在 线上 售票 ， 如果 你 是 无法 参加 重要 的 。 

