café Café | w_freq: 82 - 139 | wiki_freq: 10709 - 11741 | sentence_idx: 438 | align_1: 8-6 | align_2: 9-11 |    For instance , think of a small neighborhood café that you love . ||| Denken Sie beispielsweise an ein kleines Café in der Nachbarschaft , das sie lieben . 
Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 27243 | align_1: 0-0 | align_2: 1-4 |    Remember which way you think your security 's price will move . ||| Denken Sie daran , welche Art und Weise Sie denken , Ihre Sicherheit Preis bewegen wird . 

medications Medikamente | w_freq: 288 - 718 | wiki_freq: 11266 - 5433 | sentence_idx: 27323 | align_1: 18-14 | align_2: 19-19 |    She said she can not currently get Medicaid or private insurance companies to pay for some of the medications she believes might help some of her patients with HIV . ||| Sie sagte , sie könne derzeit keine Medicaid oder private Versicherungsgesellschaften für einige der Medikamente bezahlen , von denen sie glaubt , dass sie einigen ihrer HIV-Patienten helfen könnten . 

Remember Mach | w_freq: 1149 - 168 | wiki_freq: 9753 - 2692 | sentence_idx: 27911 | align_1: 0-0 | align_2: 1-6 |    Remember that in most cases we will require a lifetime to complete Step Nine . ||| Mach ' dich darauf gefaßt , daß es in den meisten Fällen ein ganzes Leben erfordern wird , den Neunten Schritt zu vervollständigen . 

firefighters Feuerwehrleute | w_freq: 38 - 28 | wiki_freq: 9426 - 1141 | sentence_idx: 28050 | align_1: 6-8 | align_2: 7-12 |    But he wonders why the 1,400 firefighters FEMA attracted to Atlanta are n’t being put to better use . ||| Nichtsdestotrotz wundere er sich , warum die 1400 Feuerwehrleute , die die Fema nach Atlanta holte , nicht sinnvoller eingesetzt würden . 

satisfaction Zufriedenheit | w_freq: 340 - 203 | wiki_freq: 13640 - 1878 | sentence_idx: 28705 | align_1: 9-8 | align_2: 10-13 |    However , there ’s truly no satisfaction like the satisfaction of being the bigger person . ||| Es gibt jedoch wirklich keine Zufriedenheit wie die Zufriedenheit , die darin besteht , die größere Person zu sein . 

swear Schwörst | w_freq: 306 - 1 | wiki_freq: 5814 - 1 | sentence_idx: 30354 | align_1: 3-0 | align_2: 4-8 |    Do you solemnly swear that you will support and defend the ||| Schwörst du , [ Name des Knappen ] , mir treu zu dienen und die 

Consider Schauen | w_freq: 340 - 467 | wiki_freq: 6355 - 614 | sentence_idx: 30781 | align_1: 0-0 | align_2: 1-5 |    Consider what evolutionary researchers say about the following topics . * ||| Schauen wir uns an , was Evolutionsforscher zu den folgenden Themen sagen . * 

Remember Erinnerst | w_freq: 1149 - 83 | wiki_freq: 9753 - 20 | sentence_idx: 31005 | align_1: 0-0 | align_2: 1-5 |    Remember what a big deal it was when Ford first showed the all-new Fusion in 2012 ? ||| Erinnerst du dich noch , was das für eine große Sache war , als Ford zum ersten Mal den kompletten neuen Fusion im Jahr 2012 vorstellte ? 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 31780 | align_1: 0-0 | align_2: 1-4 |    Remember that this is a test , so some elements might be rough and we ’ll need your feedback about the system . ||| Denken Sie daran , dass dies ein Test ist , daher können einige Elemente grob sein und wir benötigen Ihr Feedback zum System . 

Thinking Thinking | w_freq: 88 - 25 | wiki_freq: 7277 - 651 | sentence_idx: 32822 | align_1: 7-7 | align_2: 8-16 |    How I wrote … Thinking / Not Thinking , 2011 , with Martin Creed ( voc . , git . ) and Band , 3:00 min ||| How I wrote … Thinking / Not Thinking / Wie ich schrieb … Denken / Nicht-Denken , 2011 , mit Martin Creed ( voc . , git . ) und Band , 3:00 min 

secondly zweitens | w_freq: 93 - 155 | wiki_freq: 7385 - 1684 | sentence_idx: 32918 | align_1: 31-36 | align_2: 32-41 |    Given that we now know that batteries are so dangerous , you might be wondering how it ’s possible that a dog could first gain access to a battery , and secondly eat it ! ||| Angesichts der Tatsache , dass wir jetzt wissen , dass Batterien so gefährlich sind , fragen Sie sich vielleicht , wie es möglich ist , dass ein Hund zuerst Zugang zu einer Batterie hat , und zweitens , dass er ihn isst ! 

anchors anchors | w_freq: 8 - 1 | wiki_freq: 7542 - 1 | sentence_idx: 33083 | align_1: 3-3 | align_2: 4-7 |    5 % Generic anchors : These are so-called safe and neutral words that are not related to the content of your website . ||| 5 % Generic anchors ( Generischer Anker ): Dies sind sogenannte sichere und neutrale Wörter , die nicht auf den Inhalt Ihrer Webseite bezogen sind . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 33852 | align_1: 0-0 | align_2: 1-4 |    Remember that usernames are subject to moderation and must meet our Roblox Community Rules . ||| Denken Sie daran , dass die Benutzernamen der Moderation unterliegen und unseren Roblox-Community-Regeln entsprechen müssen . 

Gird stehet | w_freq: 2 - 1 | wiki_freq: 269 - 99 | sentence_idx: 34209 | align_1: 1-2 | align_2: 2-7 |    “ Gird your loins with truth . ” ||| " So stehet nun , umgürtet an euren Lenden mit Wahrheit . " 

Remember Erinnert | w_freq: 1149 - 72 | wiki_freq: 9753 - 103 | sentence_idx: 34417 | align_1: 0-0 | align_2: 1-4 |    Remember that YOU can talk to any of us in the higher frequencies of reality . ||| Erinnert euch daran , dass IHR mit einem von UNS in den höheren Frequenzen der Wirklichkeit sprechen könnt . 

Assuming Nehmen | w_freq: 36 - 569 | wiki_freq: 3789 - 469 | sentence_idx: 35138 | align_1: 0-0 | align_2: 1-4 |    Assuming that you only accept five of them , is n’t that enough ? ||| Nehmen wir an , dass man nur fünf von ihnen akzeptiert , ist das nicht genug ? 

checked überprüft | w_freq: 320 - 490 | wiki_freq: 11527 - 6847 | sentence_idx: 36049 | align_1: 5-8 | align_2: 6-12 |    I ’m pretty sure you checked what year it is now . ||| Ich bin mir ziemlich sicher , dass du überprüft hast , in welchem ​​jahr es jetzt ist . 

stakeholders Stakeholder | w_freq: 227 - 90 | wiki_freq: 9864 - 405 | sentence_idx: 36819 | align_1: 23-21 | align_2: 24-27 |    Since 2012 , we have been working on a systematic and comprehensive sustainability strategy to address the following developments facing Linde and its stakeholders : ||| Seit 2012 arbeiten wir an einer systematischen und umfassenden Nachhaltigkeitsstrategie , um den folgenden Entwicklungen , vor denen Linde und seine Stakeholder stehen , gerecht zu werden : 

Hajj Hajj | w_freq: 6 - 3 | wiki_freq: 4290 - 64 | sentence_idx: 37181 | align_1: 10-10 | align_2: 11-14 |    Millions visit Saudi Arabia every year as part of their Hajj , but religion and faith are just one reason to explore all that can be found here . ||| Jedes Jahr besuchen Millionen von Menschen Saudi-Arabien als Teil ihres Hajj ( Pilgerschaft ) , aber Religion und Glaube sind nur ein Grund , alles zu erforschen , was hier zu finden ist . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 37505 | align_1: 0-0 | align_2: 1-4 |    Remember that the person has feelings and those feelings can be easily broken by a wrong approach . ||| Denken Sie daran , dass die Person Gefühle hat und diese Gefühle können leicht durch einen falschen Ansatz gebrochen werden . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 37571 | align_1: 0-0 | align_2: 1-4 |    Remember that we have a total supply of 1000 Blockonomi coins in the market . ||| Denken Sie daran , dass wir insgesamt die Versorgung von 1000 Blockonomi Münzen auf dem Markt . 

Dutchman Dutchman | w_freq: 19 - 5 | wiki_freq: 3808 - 370 | sentence_idx: 37923 | align_1: 12-12 | align_2: 13-17 |    Is it a boat or a bus … It is the Floating Dutchman ! ||| Ist es ein Schiff oder ein Bus … Es ist der Floating Dutchman ( schwimmender Niederländer ) ! 

wonder fragt | w_freq: 1132 - 714 | wiki_freq: 10438 - 7516 | sentence_idx: 37945 | align_1: 7-7 | align_2: 8-12 |    Just looking at one , you may wonder what brave soul first decided we should try to eat these . ||| Wenn man sich nur eines ansieht , fragt man sich vielleicht , welche mutige Seele zuerst entschieden hat , dass wir versuchen sollten , diese zu essen . 

Effective Effective | w_freq: 117 - 8 | wiki_freq: 5946 - 135 | sentence_idx: 37968 | align_1: 11-12 | align_2: 12-22 |    ( RELATED : Energy Spokeswoman : Pipeline Protests Are n’t Very Effective ) ||| ( RELATED : Energy Spokeswoman : Pipeline Protests Aren ’ t Very Effective ) ( Energiesprecherin : Pipeline-Proteste sind nicht sehr effektiv ) 

tattoo Tattoo | w_freq: 449 - 320 | wiki_freq: 6837 - 901 | sentence_idx: 38799 | align_1: 20-20 | align_2: 21-25 |    It does n’t matter the type of # design you want , they are ready to give you that incredible tattoo you can not resist . ||| Es spielt keine Rolle , welche Art von # Design Sie wollen , Sie sind bereit , Ihnen dieses unglaubliche Tattoo zu geben , dem Sie nicht widerstehen können . 

Thinks denkt | w_freq: 24 - 1020 | wiki_freq: 347 - 4573 | sentence_idx: 39392 | align_1: 2-1 | align_2: 3-6 |    Putin Now Thinks Western Elites Are ‘ Swine ’ ||| Putin denkt jetzt , dass die westlichen Eliten „ Schweine “ sind » 

Could Könnte | w_freq: 1007 - 453 | wiki_freq: 8216 - 144 | sentence_idx: 40616 | align_1: 0-0 | align_2: 1-5 |    Could the pastors and leaders of the religious world possibly not see the facts of God ’s work ? ||| Könnte es sein , dass die Pfarrer und Führer der religiösen Welt die Tatsachen der Arbeit Gottes womöglich nicht sehen ? 

Think Denken | w_freq: 618 - 1801 | wiki_freq: 12764 - 11243 | sentence_idx: 40796 | align_1: 0-0 | align_2: 1-4 |    Think it wo n’t be the same without the meat ? ||| Denken Sie , dass es ohne das Fleisch nicht dasselbe sein wird ? 

Read Lesen | w_freq: 765 - 932 | wiki_freq: 14171 - 5652 | sentence_idx: 41729 | align_1: 0-0 | align_2: 1-4 |    Read what they write about Turkey and you will change your mind . ||| Lesen Sie doch , was die über die Türkei schreiben und Sie werden Ihre Meinung ändern . 

Remember Erinnerst | w_freq: 1149 - 83 | wiki_freq: 9753 - 20 | sentence_idx: 42124 | align_1: 0-0 | align_2: 1-4 |    Remember when I talked about how I ran over Freddrick a few days ago ? ||| Erinnerst du dich , als ich darüber sprach , wie ich vor ein paar Tagen Freddrick überfahren habe ? 

miracles Wunder | w_freq: 188 - 973 | wiki_freq: 6232 - 7763 | sentence_idx: 43402 | align_1: 14-16 | align_2: 15-21 |    How can we learn to trust that disasters are often thresholds to the very miracles we seek ? ||| Wie können wir lernen , darauf zu vertrauen , dass Katastrophen oft die Schwelle für die Wunder sind , nach denen wir suchen ? 

translators Übersetzer | w_freq: 97 - 163 | wiki_freq: 6529 - 11896 | sentence_idx: 43559 | align_1: 8-10 | align_2: 9-16 |    I love to monitor large projects involving many translators and , for example , to ensure that the terminology is consistent . ||| Ich liebe es , umfangreiche Projekte , an denen viele Übersetzer beteiligt sind , zu überwachen und beispielsweise sicherzustellen , dass die Terminologie konsistent ist . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 43821 | align_1: 0-0 | align_2: 1-4 |    Remember that the best marketing plan in the world is not likely to increase sales 80 percent next year unless there are special circumstances , such as an outstanding new product introduction or the sudden disappearance of your competition . ||| Denken Sie daran , dass der beste Marketingplan der Welt den Umsatz im nächsten Jahr wahrscheinlich nicht um 80 Prozent steigern wird , es sei denn , es liegen besondere Umstände vor , wie beispielsweise eine hervorragende Einführung neuer Produkte oder das plötzliche Verschwinden Ihrer Konkurrenz . 

