39:25 39:25 | w_freq: 1 - 1 | wiki_freq: 2 - 3 | sentence_idx: 2340 | align_1: 0-0 | align_2: 1-4 |    39:25 Those who preceded them denounced as liars [ the Messenger ] , whereupon punishment afflicted them from whence they did not know . ||| 39:25 ( Schon ) diejenigen , die vor ihnen lebten , haben ( die göttliche Botschaft ) für Lüge erklärt . 
Remember Erinnere | w_freq: 1026 - 78 | wiki_freq: 9753 - 36 | sentence_idx: 4689 | align_1: 0-0 | align_2: 1-4 |    Remember that only YOU have a “ birthday ” on which you were born into the world from your Mother . ||| Erinnere Dich daran , das nur Du einen „ Geburtstag “ hast , an welchem Du geboren wurdest auf diese Erde von Deiner Mutter . 

guess raten | w_freq: 632 - 164 | wiki_freq: 8827 - 640 | sentence_idx: 5059 | align_1: 1-1 | align_2: 2-5 |    And guess what they did that helped them to grow ? ||| Und raten Sie mal , was sie getan haben , die ihnen half , wachsen ? 

Revelation Offenbarung | w_freq: 203 - 399 | wiki_freq: 6976 - 3890 | sentence_idx: 5091 | align_1: 10-11 | align_2: 11-15 |    This represents a far greater education for humanity and a Revelation unlike any of God ’s former Revelations to the human family . ||| Dies stellt eine weitaus größere Bildung für die Menschheit und eine Offenbarung dar , im Gegensatz zu früheren Offenbarungen Gottes an die menschliche Familie . 

Quran Qur | w_freq: 212 - 98 | wiki_freq: 13254 - 33 | sentence_idx: 5725 | align_1: 14-15 | align_2: 15-20 |    25:30 The messenger said , " My Lord , my people have deserted this Quran . " ||| 25:30. Und der Gesandte sagt : „ O mein Herr , mein Volk mied diesen Qur ’ an unter Missachtung . “ 

Ventures Ventures | w_freq: 22 - 43 | wiki_freq: 11219 - 1387 | sentence_idx: 6757 | align_1: 15-13 | align_2: 16-19 |    It was high quality material too , good enough to attract the attention of the Ventures who recorded no less than three of their compositions . ||| Es war auch hochwertiges Material , gut genug , um die Aufmerksamkeit der Ventures auf sich zu ziehen , die nicht weniger als drei ihrer Kompositionen aufgenommen haben . 

tankers Tankern | w_freq: 24 - 7 | wiki_freq: 5547 - 251 | sentence_idx: 7025 | align_1: 5-6 | align_2: 6-10 |    Russia plans to build 15 tankers as big as the ‘ Christophe de Margerie ‘ . ||| Russland plant den Bau von 15 Tankern , die von gleicher Größe sind wie die „ Christophe de Margerie “ . 

Remember Erinnern | w_freq: 1026 - 176 | wiki_freq: 9753 - 488 | sentence_idx: 7207 | align_1: 0-0 | align_2: 1-4 |    Remember what Libya or Iraq looked like before these countries and their organisations were destroyed as states by our Western partners ’ forces ? ||| Erinnern Sie sich , wie Libyen oder der Irak aussahen , bevor diese Länder und ihre Organisationen als Staaten zerstört wurden von den Streitkräften unserer westlichen Partner ? " 

imagine stelle | w_freq: 1145 - 286 | wiki_freq: 9379 - 3298 | sentence_idx: 7684 | align_1: 3-3 | align_2: 4-7 |    Cameron : I imagine that there are those who might believe it to be prostitution . ||| Cameron : ich stelle mir vor , dass es da welche gibt , die glauben , dass es prostitution ist . 

Considering Anbetracht | w_freq: 167 - 189 | wiki_freq: 5212 - 2270 | sentence_idx: 9542 | align_1: 0-1 | align_2: 1-5 |    Considering that you can get good VPN services in the 3 - 7$/month range , I say a VPN that promises the protection of your privacy and security is an investment worth making . ||| In Anbetracht der Tatsache , dass Sie gute VPN Dienste im Bereich von 3 - 7 $ /Monat erhalten können , Ich sage , ein VPN , das den Schutz Ihrer Privatsphäre und Sicherheit verspricht , ist eine lohnende Investition . 

perfect—except abgesehen | w_freq: 2 - 340 | wiki_freq: 0 - 12988 | sentence_idx: 10597 | align_1: 3-4 | align_2: 4-8 |    Everything would be perfect—except nobody knows Josh and Dane are gay . ||| Alles wäre perfekt - abgesehen davon , dass niemand weiß , dass Josh und Dane homosexuell sind . 

Bones Bones | w_freq: 14 - 8 | wiki_freq: 8782 - 1533 | sentence_idx: 10754 | align_1: 14-17 | align_2: 15-26 |    I spent almost three years working on this film which I called “ Dry Bones . ” ||| Ich verbrachte fast drei Jahre damit , an diesem Film zu arbeiten , den ich „ Dry Bones “ ( „ Trockene Knochen “ ) nannte . 

jealousy Eifersucht | w_freq: 120 - 109 | wiki_freq: 7338 - 2971 | sentence_idx: 10981 | align_1: 17-13 | align_2: 18-18 |    ( By the way , this means that you do whatever you can to deal with your jealousy when you ’re alone . ) ||| ( Übrigens bedeutet das , dass Sie alles tun , um mit Ihrer Eifersucht fertig zu werden , wenn Sie alleine sind . ) 

Trott Trott | w_freq: 2 - 3 | wiki_freq: 1875 - 868 | sentence_idx: 11526 | align_1: 4-5 | align_2: 5-10 |    I remember warning Adam Trott that this would happen . ||| Ich erinnere mich , Adam Trott gewarnt zu haben , daß dies passieren werde . 

alternatives Alternativen | w_freq: 629 - 593 | wiki_freq: 14795 - 5431 | sentence_idx: 12302 | align_1: 11-11 | align_2: 12-17 |    Over time , we encourage all new residents to consider local alternatives which are often less costly even though the range of cover in other countries ( outside Portugal ) may be lower . ||| Im Laufe der Zeit ermutigen wir alle neuen Bewohner , lokale Alternativen in Betracht zu ziehen , die oft weniger kostspielig sind , obwohl die Abdeckung in anderen Ländern ( außerhalb Portugals ) möglicherweise geringer ist . 

behave verhalten | w_freq: 279 - 534 | wiki_freq: 8294 - 5403 | sentence_idx: 12846 | align_1: 15-13 | align_2: 16-18 |    Google Analytics can sometimes be mean , because some dimensions paired with segments do not behave as you might think at first . ||| Google Analytics kann mitunter fies sein , denn manche Dimensionen gepaart mit Segmenten verhalten sich nicht so , wie man das zunächst denken mag . 

enjoyment Nutznießung | w_freq: 164 - 13 | wiki_freq: 6917 - 217 | sentence_idx: 13122 | align_1: 15-13 | align_2: 16-20 |    And this world ’s life , compared with the Hereafter , is only a temporary enjoyment . ||| Das diesseitige Leben hier ( w. Dieses diesseitige Leben ) ist nur eine Nutznießung ( auf eine beschränkte Zeit ) . 

Venezuelans Venezolaner | w_freq: 36 - 27 | wiki_freq: 1804 - 311 | sentence_idx: 14008 | align_1: 8-8 | align_2: 9-13 |    Ecuador is scrambling to deal with the half-million Venezuelans who have entered this year . ||| Ecuador kämpft , um mit der halben Million Venezolaner fertig zu werden , die in diesem Jahr gekommen sind . 

Remember Erinnern | w_freq: 1026 - 176 | wiki_freq: 9753 - 488 | sentence_idx: 15085 | align_1: 0-0 | align_2: 1-5 |    Remember I said earlier that I felt that the Universe is within me ? ||| Erinnern Sie sich , daß ich vorhin sagte , ich fühlte das Universum in mir ? 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 15377 | align_1: 0-0 | align_2: 1-4 |    Remember we could supply the sources we wanted to select from . ||| Denken sie daran , wir könnten die quellen liefern , aus denen wir auswählen wollten . 

estimation Schätzung | w_freq: 32 - 178 | wiki_freq: 7713 - 4680 | sentence_idx: 15551 | align_1: 8-8 | align_2: 9-13 |    Unfortunately we ca n’t – but the refund estimation we give you is based upon the average refund we ’ve gotten for thousands of customers over the past 17 years , so it ’s a pretty good estimation of what you ’ll get . ||| Das können wir leider nicht – aber die Schätzung der Rückerstattung , die wir Ihnen geben , fußt auf der durchschnittlichen Rückerstattung , die wir für Tausende von Kunden in den vergangenen 17 Jahren erreicht haben , deshalb handelt es sich um eine ziemlich gute Schätzung dessen , was Sie erhalten werden . 

hints deutet | w_freq: 28 - 216 | wiki_freq: 7190 - 11084 | sentence_idx: 16154 | align_1: 3-2 | align_2: 4-7 |    The chart also hints that the next relevant support level could be at around $ 820 . ||| Das Chart deutet auch darauf hin , dass der nächste relevante Unterstützungslevel bei ungefähr $ 820 liegen könnte . 

Lamas Lama | w_freq: 8 - 131 | wiki_freq: 1660 - 3095 | sentence_idx: 16273 | align_1: 9-9 | align_2: 10-14 |    I see all of us going back like Dalai Lamas to bring peace to our own places . ||| Ich sehe , wie wir alle wie der Dalai Lama nach Hause zurückkehren , um Frieden an unsere eigenen Orte zu bringen . 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 16694 | align_1: 0-0 | align_2: 1-4 |    Remember that it 's normal for teenagers to do unwise things . ||| Denken sie daran , dass es normal ist , dass teenager unkluge dinge tun . 

pulsar Pulsar | w_freq: 9 - 14 | wiki_freq: 1119 - 320 | sentence_idx: 18750 | align_1: 7-8 | align_2: 8-13 |    This could make it the fastest moving pulsar ever known ! ||| Dies könnte ihn zu dem schnellsten sich bewegenden Pulsar machen , den man bisher kennt ! 

beloved Geliebten | w_freq: 342 - 65 | wiki_freq: 14327 - 6124 | sentence_idx: 19763 | align_1: 9-10 | align_2: 10-15 |    We decided to recall the long-forgotten rules of the beloved by all " rezinochki . " ||| Wir beschlossen , uns an die längst vergessenen Regeln der Geliebten zu erinnern , die von allen „ rezinochki . 

revelations Versen | w_freq: 101 - 53 | wiki_freq: 6557 - 3382 | sentence_idx: 20341 | align_1: 8-22 | align_2: 9-27 |    45:9 And when he knoweth aught of Our revelations he maketh it a jest . ||| 45:9 Und wenn er auf Grund unserer Verse ( w. Zeichen ) etwas weiß ( oder : wenn er etwas von unseren Versen kennengelernt hat ) treibt er seinen Spott mit ihnen . 

taboo Tabu | w_freq: 161 - 68 | wiki_freq: 5368 - 1162 | sentence_idx: 20364 | align_1: 5-8 | align_2: 6-12 |    It is as though a taboo tells us : ‘ It is forbidden to know about knowing . ’ ||| Es ist so , als ob es ein Tabu gäbe , das besagt : Es ist verboten , das Erkennen zu erkennen . 

Looks Sieht | w_freq: 62 - 57 | wiki_freq: 1850 - 379 | sentence_idx: 20535 | align_1: 0-0 | align_2: 1-4 |    Looks like He 'd have led them to good water . ||| Sieht so aus , als hätte Er sie zu gutem Wasser führen sollen . 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 21399 | align_1: 0-0 | align_2: 1-4 |    Remember that they are incredibly weak against Dragons ( also baby dragons ) and are particularly weak against enemies who use fire aggression . ||| Denken Sie daran , dass sie unglaublich schwachen gegen Dragons ( auch Baby-Drachen ) und sind besonders schwach gegen Feinde , die Feuer Aggressionen zu nutzen . 

imagine stell | w_freq: 1145 - 28 | wiki_freq: 9379 - 61 | sentence_idx: 21662 | align_1: 1-1 | align_2: 2-5 |    And imagine what would happen if we did that on a large scale ? ||| Und stell dir vor , was passieren würde , wenn wir in großem Maßstab tat das ? 

flexibility Flexibilität | w_freq: 634 - 635 | wiki_freq: 14834 - 2828 | sentence_idx: 22015 | align_1: 3-3 | align_2: 4-8 |    Core-Backbone demonstrates a flexibility that we are not used to with other providers . " ||| Core-Backbone legt eine Flexibilität an den Tag , die wir von anderen Dienstleistern nicht gewohnt sind . " 

ESA ESA | w_freq: 70 - 67 | wiki_freq: 5776 - 1987 | sentence_idx: 22333 | align_1: 14-12 | align_2: 15-18 |    ( The launch capabilities of the United Kingdom and France now fall under the ESA . ) ||| ( Die Start-Fähigkeiten zum Vereinigten Königreich und Frankreich fallen jetzt unter dem ESA ( E S A ) . ) 

cocktails Cocktails | w_freq: 57 - 49 | wiki_freq: 2594 - 622 | sentence_idx: 22746 | align_1: 10-10 | align_2: 11-14 |    Or should I just walk to the nearest bar for cocktails to wait them out ? ||| Oder sollte ich einfach zur nächsten Bar gehen , um Cocktails zu trinken , um sie abzuwarten ? 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 23570 | align_1: 0-0 | align_2: 1-4 |    Remember that the person to whom you are writing is not responsible for creating the problem . ||| Denken Sie daran , dass die Person , an die Sie schreiben , nicht verantwortlich ist für die Erstellung des Problems . 

worry sorgen | w_freq: 992 - 914 | wiki_freq: 8490 - 13736 | sentence_idx: 24120 | align_1: 5-6 | align_2: 6-10 |    There is no reason to worry that your sugar daddy would leave you just because you 're having a boyfriend . ||| Es gibt keinen grund , sich sorgen zu machen , dass dein sugar daddy dich verlassen würde , nur weil du einen freund hast . 

liars Lügner | w_freq: 143 - 249 | wiki_freq: 646 - 731 | sentence_idx: 24671 | align_1: 8-5 | align_2: 9-15 |    Those who are nervous and those who are liars . ” ||| und Frevler ... und alle Lügner ( auch die , die sich selbst belügen ) , 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 25302 | align_1: 0-0 | align_2: 1-4 |    Remember that the most crucial period is 50 days before the expected flowering ( September-October ) . ||| Denken Sie daran , dass der wichtigste Zeitraum 50 Tage vor der erwarteten Blüte liegt ( September-Oktober ) . 

lesson Taten | w_freq: 491 - 457 | wiki_freq: 10590 - 7864 | sentence_idx: 25686 | align_1: 9-13 | align_2: 10-17 |    Then he forgives them and thanks them for the lesson . ||| Er ist bereit zu vergeben und weiß ( den Menschen für ihre guten Taten ) zu danken . 

Musa Musa | w_freq: 98 - 94 | wiki_freq: 11287 - 2031 | sentence_idx: 25912 | align_1: 0-0 | align_2: 1-4 |    Musa said : ' O my Lord , all your slaves say this . ' ||| Musa ( as ) sagte : Mein Herr , all Deine Diener sagen das . 

Remember Erinnern | w_freq: 1026 - 176 | wiki_freq: 9753 - 488 | sentence_idx: 26131 | align_1: 0-0 | align_2: 1-4 |    Remember that the mountains are there for everybody so please respect them . ||| Erinnern Sie sich , dass die Berge für alle da sind , bitte respektieren Sie sie . 

hated hasste | w_freq: 229 - 94 | wiki_freq: 8694 - 372 | sentence_idx: 26824 | align_1: 8-10 | align_2: 9-15 |    He ’d never told him how much he hated coming home . ||| Er hatte ihm nie gesagt , wie sehr er es hasste , nach Hause zu kommen . 

bothers schert | w_freq: 46 - 6 | wiki_freq: 399 - 126 | sentence_idx: 26997 | align_1: 12-10 | align_2: 13-14 |    We have been punishing criminals for thousands of years , but nobody bothers whether those criminals are ever transformed through our punishment or not . ||| Seit tausenden von Jahren werden Verbrecher bestraft , aber niemand schert sich darum , ob diese Verbrechen jemals durch unsere Bestrafung verbessert werden oder nicht . 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 27474 | align_1: 0-0 | align_2: 1-4 |    Remember that baths in non-guarded places are allowed in Poland but they carry many risks . ||| Denken Sie daran , dass Bäder an nicht bewachten Orten in Polen erlaubt sind , sie bergen jedoch viele Risiken . 

Pharaoh Pharao | w_freq: 384 - 352 | wiki_freq: 5590 - 2745 | sentence_idx: 27543 | align_1: 10-6 | align_2: 11-12 |    How old were Moses and Aaron when they spoke with Pharaoh ? ||| Was sagen Moses und Aaron zu Pharao , und was antwortet Pharao ? 

announce verkünden | w_freq: 315 - 143 | wiki_freq: 14722 - 1814 | sentence_idx: 27857 | align_1: 5-5 | align_2: 6-9 |    I am also happy to announce that in 2020 Air Europa will have the most modern and efficient fleet of the market operating between both continents . ” ||| Ich bin sehr froh , verkünden zu können , dass Air Europa im Jahr 2020 die modernste und effizienteste Flotte der Branche zwischen beiden Kontinenten betreiben wird . " 

paradise Paradies | w_freq: 261 - 324 | wiki_freq: 5515 - 4969 | sentence_idx: 28630 | align_1: 11-12 | align_2: 12-17 |    Islam also believes that one of the surest ways to achieve paradise is to cut short the lives of infidels . ||| Der Islam glaubt auch , dass einer der sichersten Wege , das Paradies zu erreichen , darin besteht , das Leben von Ungläubigen zu verkürzen . 

disbelievers Ungläubigen | w_freq: 40 - 112 | wiki_freq: 253 - 753 | sentence_idx: 28632 | align_1: 3-4 | align_2: 4-10 |    54:43 Are your disbelievers better than those , or have ye some immunity in the scriptures ? ||| 54:43 Sind etwa die Ungläubigen von euch ( Mekkanern ) besser als diese ( die in den Generationen vor euch gelebt haben ) ? 

mad verrückt | w_freq: 138 - 626 | wiki_freq: 10624 - 1969 | sentence_idx: 29455 | align_1: 19-18 | align_2: 20-22 |    " For her 16th birthday , I bought her a pack of condoms as a joke – she went mad ! " ||| „ Für Ihren 16ten Geburtstag , ich kaufte Ihr eine Packung Kondome wie ein Witz – ist Sie verrückt , ha ha ! ‘ 

fearful ängstlich | w_freq: 119 - 88 | wiki_freq: 5324 - 603 | sentence_idx: 30087 | align_1: 5-7 | align_2: 6-11 |    Spending too much time being fearful instead of trying all the new things I want to do someday . ||| Zu viel Zeit damit zu verbringen , ängstlich zu sein , anstatt all die neuen Dinge auszuprobieren , die ich eines Tages machen möchte . 

Remembering Sich | w_freq: 26 - 273 | wiki_freq: 1779 - 1605 | sentence_idx: 30413 | align_1: 0-0 | align_2: 1-5 |    Remembering that we are separate but connected strengthens us for the tough times . ||| Sich daran zu erinnern , dass wir getrennt sind , aber verbunden sind , stärkt uns für die schwierigen Zeiten . 

holocron Holocron | w_freq: 2 - 2 | wiki_freq: 33 - 9 | sentence_idx: 31431 | align_1: 7-8 | align_2: 8-12 |    And who else is after the ancient holocron that they seek ? ||| Und wer sonst ist noch hinter dem uralten Holocron her , nach dem sie suchen ? 

wondered wunderte | w_freq: 299 - 15 | wiki_freq: 4051 - 239 | sentence_idx: 32978 | align_1: 3-1 | align_2: 4-6 |    Coman had always wondered why the price of wood in Romania consistently rose while it was declining worldwide . ||| Coman wunderte sich immer nur , warum der Holzpreis in Rumänien stetig stieg , während er weltweit sank . 

Thee thee | w_freq: 27 - 1 | wiki_freq: 3731 - 127 | sentence_idx: 33341 | align_1: 4-5 | align_2: 5-14 |    Nearer my God to Thee , ||| „ Near my God to thee “ ( Näher mein Gott zu Dir ) → 

Asteroid Asteroiden | w_freq: 6 - 50 | wiki_freq: 3856 - 7468 | sentence_idx: 33466 | align_1: 2-2 | align_2: 3-8 |    Why the Asteroid Approaching Earth Was Only Spotted 5 Days Ago ||| Warum die Asteroiden , die sich der Erde nähern , erst vor 5 Tagen entdeckt wurden → 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 33577 | align_1: 0-0 | align_2: 1-4 |    Remember that the Super Bowl sex traffickers were arrested by the FBI . ||| Denken sie daran , dass die super bowl-sexhändler vom fbi verhaftet wurden . 

Yours geh | w_freq: 45 - 83 | wiki_freq: 4542 - 665 | sentence_idx: 34223 | align_1: 2-2 | align_2: 3-6 |    What ’s Yours is Sometimes Mine , for the Right Price ||| Was dir geh ? rt , ist manchmal meins , zum richtigen Preis 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 34289 | align_1: 1-1 | align_2: 2-5 |    “ Remember that your life is a gift latent with infinite potential . ” ||| " Denken Sie daran , dass Ihr Leben ein Geschenk ist , das mit unendlichem Potenzial latent ist . " 

Imagine Stellt | w_freq: 320 - 69 | wiki_freq: 5922 - 590 | sentence_idx: 34295 | align_1: 0-0 | align_2: 1-4 |    Imagine you 're drinking a coffee in the Dutch Quarter and Claire Danes is sitting across from you ... ! ||| Stellt euch vor , ihr trinkt gerade einen Kaffee im Holländischen Viertel und Claire Danes sitzt euch gegenüber … ! 

Recall Denken | w_freq: 34 - 1785 | wiki_freq: 2267 - 11243 | sentence_idx: 35189 | align_1: 0-0 | align_2: 1-4 |    Recall how wij said that you need to take your profile to the next level ? ||| Denken sie daran , wie wir gesagt haben , dass sie ihr profil auf die nächste ebene bringen müssen . 

Satanists Satanisten | w_freq: 21 - 21 | wiki_freq: 407 - 140 | sentence_idx: 35214 | align_1: 14-13 | align_2: 15-18 |    The true christians within the Vatican have also made a move to isolate the Satanists meaning the end-game is truly near . ||| Die wahren Christen innerhalb des Vatikan haben sich auch bewegt , um die Satanisten zu isolieren , das bedeutet , dass das Endspiel wirklich sehr nah ist . 

exultant übermütig | w_freq: 5 - 4 | wiki_freq: 180 - 157 | sentence_idx: 35368 | align_1: 14-27 | align_2: 15-31 |    When his people said to him Exult not ; surely Allah loves not the exultant . ||| Als sein Volk zu ihm sagte : " Sei nicht ( übermütig ) froh , denn Allah liebt nicht diejenigen ( Unterdrücker ) , die ( zu übermütig ) froh sind , 

exultant Unterdrücker | w_freq: 5 - 22 | wiki_freq: 180 - 247 | sentence_idx: 35368 | align_1: 14-21 | align_2: 15-31 |    When his people said to him Exult not ; surely Allah loves not the exultant . ||| Als sein Volk zu ihm sagte : " Sei nicht ( übermütig ) froh , denn Allah liebt nicht diejenigen ( Unterdrücker ) , die ( zu übermütig ) froh sind , 

Pharaoh Pharaos | w_freq: 384 - 54 | wiki_freq: 5590 - 587 | sentence_idx: 36110 | align_1: 5-12 | align_2: 6-20 |    Now , we know that Pharaoh was absorbed in idol worship . ||| Wir wissen , daß [ [ Solon ] ] ein Freund des Pharaos [ [ Amasis ( Ahmose)|Amasis ] ] war , der in [ [ Saïs ] ] residierte . 

fantasies phantasien | w_freq: 134 - 17 | wiki_freq: 4193 - 0 | sentence_idx: 36758 | align_1: 11-11 | align_2: 12-16 |    I have even expressed my interest in trying to fulfill any fantasies she has or wants to try . ||| Ich habe sogar mein interesse ausgedrückt , zu versuchen , irgendwelche phantasien zu erfüllen , die sie hat oder versuchen möchte . 

prospects Perspektiven | w_freq: 334 - 382 | wiki_freq: 13933 - 4714 | sentence_idx: 37062 | align_1: 15-18 | align_2: 16-23 |    As Christians engaged in public life , you have come together to reflect on the prospects currently opening up before Europe . ||| Als Christen , die sich im öffentlichen Leben engagieren , sind Sie hier zusammengekommen , um über die Perspektiven nachzudenken , die sich derzeit für Europa eröffnen . 

Start Fang | w_freq: 384 - 46 | wiki_freq: 12134 - 3167 | sentence_idx: 37575 | align_1: 5-5 | align_2: 6-9 |    A Jewish telegram : " Start worrying . ||| Ein jüdisches Telegramm : ‚ Fang an , Dir Sorgen zu machen . 

yourself Dich | w_freq: 3703 - 561 | wiki_freq: 9426 - 2315 | sentence_idx: 38779 | align_1: 12-11 | align_2: 13-16 |    Look at that time as an opportunity — a few minutes to yourself where you do n’t have any other obligations . ||| Betrachte diese Zeit als eine Gelegenheit – ein paar Minuten für Dich selbst zu haben , wo Du keine andere Verpflichtung hast . 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 39358 | align_1: 0-0 | align_2: 1-5 |    Remember it is best to pursue activities that involve slow , controlled movements with minimal impact if you suffer from osteoporosis . ||| Denken Sie daran , dass es am besten ist , Aktivitäten zu verfolgen , die langsame , kontrollierte Bewegungen mit minimalen Auswirkungen beinhalten , wenn Sie an Osteoporose leiden . 

Musa Moses | w_freq: 98 - 678 | wiki_freq: 11287 - 8409 | sentence_idx: 41107 | align_1: 3-3 | align_2: 4-7 |    And We gave Musa an authority clear . ||| Und wir gaben Moses ( gegen Pharao ) offenkundige Vollmacht . 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 41524 | align_1: 0-0 | align_2: 1-4 |    Remember that you never really know who you ’re talking to online so never give out details such as banking information or where you live . ||| Denken sie daran , dass sie nie wirklich wissen , mit wem sie online sprechen , also geben sie nie details wie bankinformationen oder wo sie leben . 

Think Denken | w_freq: 618 - 1785 | wiki_freq: 12764 - 11243 | sentence_idx: 42303 | align_1: 0-0 | align_2: 1-4 |    Think you can use this information to predict the top asset class of 2012 ? ||| Denken Sie , dass Sie diese Informationen nutzen können , um die Top-Assetklasse von 2012 vorherzusagen ? 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 43165 | align_1: 1-0 | align_2: 2-4 |    54 Remember that the Holy Spirit interprets the body only as a means of communication . ||| Denken Sie daran , dass der Heilige Geist den Körper NUR interpretiert als ein Mittel der Kommunikation . 

hints deutet | w_freq: 28 - 216 | wiki_freq: 7190 - 11084 | sentence_idx: 43887 | align_1: 2-2 | align_2: 3-7 |    Research also hints that if you want to remember something you have just learned , you should aim to exercise 4 hours later . ||| Die Forschung deutet auch darauf hin , dass wenn Sie sich an etwas erinnern möchten , das Sie gerade gelernt haben , sollten Sie 4 Stunden später versuchen , zu trainieren . 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 45217 | align_1: 0-0 | align_2: 1-4 |    Remember that the exclusive items are valued quite highly in our time . ||| Denken Sie daran , dass die exklusiven Gegenstände recht hoch in unserer Zeit bewertet werden . 

Remember Denken | w_freq: 1026 - 1785 | wiki_freq: 9753 - 11243 | sentence_idx: 45346 | align_1: 0-0 | align_2: 1-4 |    Remember that the original computer was a DOS system without a mouse . ||| Denken Sie daran , dass der ursprüngliche Computer ein DOS-System ohne Maus war . 

Maduro Maduro | w_freq: 83 - 70 | wiki_freq: 4482 - 492 | sentence_idx: 46229 | align_1: 17-15 | align_2: 18-20 |    However , in practical terms , there is very little that the Chinese can do to defend Maduro other than veto resolutions at the UN Security Council . ||| Praktisch gesehen gibt es jedoch sehr wenig , was die Chinesen tun können , um Maduro zu verteidigen , mit Ausnahme von Veto-Resolutionen im UN-Sicherheitsrat . 

Guess Raten | w_freq: 47 - 57 | wiki_freq: 2796 - 1118 | sentence_idx: 47891 | align_1: 0-0 | align_2: 1-4 |    Guess where they found a violation of women 's rights ? ||| Raten Sie mal , wo sie eine Verletzung von Frauenrechten fanden ? 

