Penny Penny | w_freq: 50 - 111 | wiki_freq: 14299 - 2199 | sentence_idx: 8365 | align_1: 8-8 | align_2: 9-12 | entity: Penny - Penny |    ‘ I ’m really close with her mum Penny , but that ’s it . ||| „ Ich bin wirklich nah mit ihrer Mutter Penny [ Adkins ] , aber das ist es . 
Kinloss Kinloss | w_freq: 1 - 2 | wiki_freq: 531 - 128 | sentence_idx: 589865 | align_1: 4-4 | align_2: 5-9 | entity: RAF Kinloss - RAF Kinloss |    A third , RAF Kinloss will be closed as an RAF unit in 2013–14 . ||| Ein Drittel , RAF Kinloss ( RAF Kinloss ) wird als eine Einheit von RAF in 2013 - 14 geschlossen . 

Ishmael Ismael | w_freq: 7 - 8 | wiki_freq: 3118 - 1010 | sentence_idx: 591445 | align_1: 5-3 | align_2: 6-11 | entity: Ishmael - Ismael |    “ You will name him Ishmael , for the Lord has heard of your misery . ” ||| Den solle sie Ismael ( " Gott hört " ) nennen , " denn der HERR hat auf dein Elend gehört . " 

Allah Allahs | w_freq: 728 - 112 | wiki_freq: 12189 - 337 | sentence_idx: 593602 | align_1: 7-9 | align_2: 8-13 | entity: Allah - Allahs |    I said , “ Peace , and Allah ’s Mercy be on him . ” ||| Ich hörte wie gesagt wird : ' Die Barmherzigkeit Allahs ( c.c . ) möge auf Ihm sein . ' 

Bhakti Bhakti | w_freq: 5 - 6 | wiki_freq: 2081 - 204 | sentence_idx: 596470 | align_1: 8-9 | align_2: 9-13 | entity: Bhakti - Bhakti |    As with most things on the path of Bhakti , there are no prescribed rules as to how one should perform rituals , as each person has a unique and different relationship to God . ||| Wie bei den meisten Dingen auf dem Weg des Bhakti , der Hingabe , gibt keine vorgeschriebenen Regeln , wie man Rituale durchführen sollte , da jeder Mensch eine einzigartige und unterschiedliche Beziehung zu Gott hat . 

Malawi Malawi | w_freq: 41 - 40 | wiki_freq: 14949 - 2293 | sentence_idx: 640943 | align_1: 7-6 | align_2: 8-11 | entity: Malawi - Malawi |    It is nonsense to say I left Malawi because I was in trouble . ||| Es ist Nonsens , dass ich Malawi verlassen haben soll , weil ich in Schwierigkeiten steckte . 

Newmarch Newmarch | w_freq: 1 - 2 | wiki_freq: 223 - 30 | sentence_idx: 643837 | align_1: 13-10 | align_2: 14-15 | entity: Rosa Newmarch - Rosa Newmarch |    In the same year he went to England at the invitation of Rosa Newmarch . ||| In dasselbe Jahr er ging nach England an Einladung Rosa Newmarch ( Rosa Newmarch ) . 

Win Win | w_freq: 105 - 29 | wiki_freq: 10035 - 912 | sentence_idx: 649344 | align_1: 2-4 | align_2: 3-9 | entity: Ne Win - Ne Win |    During Ne Win 's isolationist rule ( 1962–1988 ) , the city 's infrastructure deteriorated . ||| Während des Generals Ne Win ( Ne Gewinn ) 's isolationistische Regel ( 1962 - 1988 ) verschlechterte sich die Infrastruktur der Stadt . 

Grattan Grattan | w_freq: 1 - 2 | wiki_freq: 1346 - 101 | sentence_idx: 690868 | align_1: 8-6 | align_2: 9-11 | entity: Henry Grattan - Henry Grattan |    This was similar to the policy of Henry Grattan a century earlier . ||| Das war der Politik von Henry Grattan ( Henry Grattan ) ein Jahrhundert früher ähnlich . 

Haryana Haryana | w_freq: 6 - 4 | wiki_freq: 11076 - 526 | sentence_idx: 703995 | align_1: 9-8 | align_2: 10-13 | entity: Haryana - Haryana |    Prohibition was also observed from 1996 to 1998 in Haryana . ||| Verbot wurde auch von 1996 bis 1998 in Haryana ( Haryana ) beobachtet . 

Bloomberg Bloomberg | w_freq: 46 - 43 | wiki_freq: 10917 - 754 | sentence_idx: 719831 | align_1: 7-8 | align_2: 8-13 | entity: Michael Bloomberg - Michael Bloomberg |    I remember reading a story about Michael Bloomberg when he spoke to managers inside his organization . ||| Ich erinnere mich , eine Geschichte über Michael Bloomberg gelesen zu haben , als er mit Managern in seiner Organisation sprach . 

ESF ESF | w_freq: 36 - 23 | wiki_freq: 696 - 246 | sentence_idx: 730012 | align_1: 12-14 | align_2: 13-19 | entity: ESF - ESF |    It also serves as a forum for discussing issues relevant to the ESF between stakeholders in the different countries . ||| Er dient auch als Forum für die Erörterung von Fragen , die für den ESF von Bedeutung sind , zwischen den Akteuren in den verschiedenen Ländern . 

Chifley Chifley | w_freq: 1 - 2 | wiki_freq: 958 - 84 | sentence_idx: 774227 | align_1: 15-18 | align_2: 16-23 | entity: Ben Chifley - Ben Chifley |    But Labor was firmly entrenched in power and in 1946 Curtin 's successor , Ben Chifley , was comfortably re-elected . ||| Aber Arbeit wurde in der Macht fest verschanzt , und 1946 wurde der Nachfolger von Curtin , Ben Chifley ( Ben Chifley ) , bequem wiedergewählt . 

Parkinson Parkinson | w_freq: 60 - 31 | wiki_freq: 13003 - 1070 | sentence_idx: 812206 | align_1: 10-11 | align_2: 11-16 | entity: James Parkinson - James Parkinson |    For example , in Parkinson disease ( named after James Parkinson ) , Parkinson is capitalized , but disease is not . ||| Zum Beispiel , in Krankheit von Parkinson ( genannt nach James Parkinson ( James Parkinson ) ) , wird Parkinson kapitalisiert , aber Krankheit ist nicht . 

Win Win | w_freq: 105 - 29 | wiki_freq: 10035 - 912 | sentence_idx: 815614 | align_1: 3-4 | align_2: 4-9 | entity: Ne Win - Ne Win |    During Gen. Ne Win 's isolationist rule ( 1962–1988 ) , the city 's infrastructure deteriorated . ||| Während des Generals Ne Win ( Ne Gewinn ) 's isolationistische Regel ( 1962 - 1988 ) verschlechterte sich die Infrastruktur der Stadt . 

Allah Allah | w_freq: 728 - 635 | wiki_freq: 12189 - 1130 | sentence_idx: 817616 | align_1: 0-0 | align_2: 1-6 | entity: Allah - Allah |    Allah says about the people of Fir'awn , “ The Fire ; they are exposed to it , morning and afternoon . ” ||| Allah , erhaben sei Er , sagte über die Sippe von Pharao : „ das ( Höllen ) feuer , dem sie morgens und abends vorgeführt werden . 

Levant Levante | w_freq: 10 - 14 | wiki_freq: 10122 - 2475 | sentence_idx: 845470 | align_1: 21-22 | align_2: 22-27 | entity: Levant - Levante |    Can someone explain to me how a policy that helped shift the balance of power in the Persian Gulf and the Levant helped advance U.S. interests ? ||| Kann mir jemand erklären , wie eine Politik , die dazu beigetragen hat , das Kräfteverhältnis im Persischen Golf und in der Levante zu verändern , dazu beigetragen hat , die Interessen der USA voranzutreiben ? 

Midian Midians | w_freq: 7 - 1 | wiki_freq: 333 - 4 | sentence_idx: 850225 | align_1: 39-37 | align_2: 40-45 | entity: Midian - Midians |    And if they reject thee , already before them did the people of Noah and ‘ Ad and Thamud reject ( prophets ) , And the people of Abraham and the people of Lot , And the dwellers of Midian . ||| Und wenn sie dich der Lüge zeihen , so hat schon vor ihnen das Volk Noahs und Ads und Thamuds ( 43. ) und das Volk Abrahams und das Volk Lots ( 44. ) und die Bewohner Midians ( ihre Propheten ) der Lüge geziehen . 

Lanarkshire Lanarkshire | w_freq: 1 - 1 | wiki_freq: 5021 - 636 | sentence_idx: 853913 | align_1: 5-4 | align_2: 6-9 | entity: North Lanarkshire - North Lanarkshire |    Securing the streets of North Lanarkshire is the task of TCA . ||| Die Straßen von North Lanarkshire sicher zu machen , ist die Aufgabe von TCA . 

Lampedusa Lampedusa | w_freq: 27 - 26 | wiki_freq: 524 - 485 | sentence_idx: 872267 | align_1: 9-10 | align_2: 10-14 | entity: Lampedusa - Lampedusa |    We currently have 100 activists from 20 countries on Lampedusa monitoring how many people die every year . ||| Wir sind momentan mit 100 Aktivisten aus 20 Ländern auf Lampedusa , um darauf hinzuweisen , wie viele Menschen jedes Jahr sterben . 

Steinem Steinem | w_freq: 4 - 5 | wiki_freq: 866 - 88 | sentence_idx: 880253 | align_1: 6-5 | align_2: 7-10 | entity: Gloria Steinem - Gloria Steinem |    As she told the writer Gloria Steinem during the 1968 presidential campaign , " I never had time to think about things like that—who I wanted to be , or who I admired , or to have ideas . ||| Als sie erzählte Schriftsteller Gloria Steinem ( Gloria Steinem ) während 1968 Präsidentenkampagne , " Ich hatte nie Zeit , um an Dinge wie das zu denken - wen ich zu wollte sein , oder wen ich bewunderte , oder Ideen zu haben . 

Allah Allah | w_freq: 728 - 635 | wiki_freq: 12189 - 1130 | sentence_idx: 887942 | align_1: 0-0 | align_2: 1-4 | entity: Allah - Allah |    Allah says : “ And no moving creature is there on earth but its provision is due from Allah . ||| Allah ( y ) sagt : Und es gibt kein Tier auf der Erde , ohne dass Allah sein Unterhalt obläge . 

Hawthorne Hawthorne | w_freq: 5 - 5 | wiki_freq: 7511 - 1077 | sentence_idx: 897794 | align_1: 17-19 | align_2: 18-24 | entity: Nathaniel Hawthorne - Nathaniel Hawthorne |    He is and always will be no less a national treasure than his 19th-century precursor , Nathaniel Hawthorne . ” ||| Er ist und wird immer nicht weniger ein nationaler Schatz sein als sein Vorgänger des 19. Jahrhunderts , Nathaniel Hawthorne ( Nathaniel Hawthorne ) . " 

Gable Gable | w_freq: 4 - 5 | wiki_freq: 3539 - 705 | sentence_idx: 921230 | align_1: 24-26 | align_2: 25-31 | entity: Clark Gable - Clark Gable |    He became active in both society and politics , but Crawford was far more interested in her career and had an affair with Clark Gable . ||| Er wurde aktiv sowohl in der Gesellschaft als auch in Politik , aber Crawford interessierte sich viel mehr für ihre Karriere und hatte Angelegenheit mit Clark Gable ( Clark Gable ) . 

Jaisalmer Jaisalmer | w_freq: 2 - 3 | wiki_freq: 842 - 88 | sentence_idx: 935922 | align_1: 8-8 | align_2: 9-13 | entity: Jaisalmer - Jaisalmer |    There are two other airports in Kota and Jaisalmer , but are not open for commercial / civilian flights . ||| Es gibt zwei andere Flughäfen in Kota und Jaisalmer ( Jaisalmer Flughafen ) , aber ist für kommerzielle / zivile Flüge noch nicht offen . 

Blueprint Blueprint | w_freq: 15 - 16 | wiki_freq: 1688 - 194 | sentence_idx: 943807 | align_1: 9-7 | align_2: 10-12 | entity: Blueprint - Blueprint |    That 's why , in 2015 , we launched Blueprint – a free global education and certification programme , available in 15 languages . ||| Deshalb haben wir 2015 das Projekt „ Blueprint “ ins Leben gerufen – ein kostenloses und globales Bildungs- und Zertifizierungsprogramm , das in 15 Sprachen verfügbar ist . 

Elijah Elijah | w_freq: 72 - 21 | wiki_freq: 9618 - 995 | sentence_idx: 951665 | align_1: 16-16 | align_2: 17-21 | entity: Elijah - Elijah |    Staple reveals that she has been given three days to persuade David , Kevin , and Elijah that they are " normal " people who simply believe they have super powers . ||| Staple offenbart , dass ihr drei Tage Zeit gegeben wurde , um David , Kevin und Elijah davon zu überzeugen , dass sie " normale " Menschen sind , die einfach glauben , dass sie Supermächte haben . 

Mooney Mooney | w_freq: 7 - 8 | wiki_freq: 5872 - 680 | sentence_idx: 966052 | align_1: 3-2 | align_2: 4-6 | entity: James Mooney - James Mooney |    According to James Mooney , the name " can not be analyzed " and its meaning is lost . ||| Gemäß James Mooney ( James Mooney ) kann der Name " nicht analysiert werden " , und seine Bedeutung wird verloren . 

Allah Allahs | w_freq: 728 - 112 | wiki_freq: 12189 - 337 | sentence_idx: 966679 | align_1: 15-11 | align_2: 16-15 | entity: Allah - Allahs |    106And the others , they are the ones who are left to the command of Allah . ||| 106Und ( wieder ) andere werden zurückgestellt , bis die Anordnung Allahs ( ergeht ) . 

Gor Gor | w_freq: 26 - 21 | wiki_freq: 1212 - 216 | sentence_idx: 989290 | align_1: 10-9 | align_2: 11-14 | entity: Gor - Gor |    We must also consider the barbarian cultures outside of civilized Gor as they do not have a caste system . ||| Wir müssen auch die barbarischen Kulturen außerhalb des zivilisierten Gor in Betracht ziehen , da sie ebenfalls kein Kasten-System besitzen . 

Calendar Kalender | w_freq: 56 - 262 | wiki_freq: 10401 - 7724 | sentence_idx: 990196 | align_1: 9-9 | align_2: 10-13 | entity: Google Calendar - Google Kalender |    Some have even started scheduling practice time through Google Calendar and have sent me recordings through the Google Classroom we ’ve set up . ||| Einige haben sogar angefangen , die Übungszeit über Google Kalender zu planen , und haben mir Aufzeichnungen über den von uns eingerichteten Google-Klassenzimmer gesendet . 

Gaia Gaia | w_freq: 207 - 167 | wiki_freq: 4660 - 1629 | sentence_idx: 994645 | align_1: 4-3 | align_2: 5-8 | entity: Gaia - Gaia |    What is happening on Gaia is indeed a miracle . ||| Was da auf Gaia vor sich geht , ist in der Tat ein Wunder . 

