Internas Internas | w_freq: 1 - 1 | wiki_freq: 90 - 5 | sentence_idx: 224 | align_1: 13-14 | align_2: 14-19 |    Secondly , we have greatly improved controls , and the Servicio de Rentas Internas has also improved a lot in terms of human resources . ||| Deuxièmement , nous avons beaucoup amélioré les contrôles , et le Servicio de Rentas Internas ( SRI ) s’ est aussi beaucoup amélioré en termes de ressources humaines . 
Frontex Frontex | w_freq: 42 - 43 | wiki_freq: 232 - 180 | sentence_idx: 15783 | align_1: 6-7 | align_2: 7-11 |    " The two latest reports by Frontex show that joint surveillance operations with countries neighbouring the European Union ( EU ) are still a priority for its member states . ||| Les deux derniers rapports de l’ agence Frontex [ 1 ] montrent que les activités conjointes de surveillance avec les pays voisins de l’ Union européenne ( UE ) constituent toujours une priorité pour les États membres . 

prioritised accordée | w_freq: 14 - 293 | wiki_freq: 991 - 10052 | sentence_idx: 16432 | align_1: 3-3 | align_2: 4-9 |    Education must be prioritised even in crisis situations – because it provides an effective means of child protection . ||| Priorité doit être accordée à l’ éducation , y compris dans des situations de crise – car elle constitue , entre autres , un moyen effectif de protéger les enfants . 

Talks Talks | w_freq: 33 - 9 | wiki_freq: 3794 - 139 | sentence_idx: 16569 | align_1: 4-4 | align_2: 5-12 |    In his “ Table Talks ” he speaks jokingly of his sex relations with the mother of his six children . ||| Dans ses « Tables Talks » [ « propos de table » ] , il parle en plaisantant de ses relations sexuelles avec la mère de ses six enfants . 

Karana Karana | w_freq: 5 - 2 | wiki_freq: 266 - 27 | sentence_idx: 16592 | align_1: 10-9 | align_2: 11-14 |    The question asked here is , “ What challenges did Karana face while alone in the wilderness ? ” ||| La question posée ici est : « Quels défis Karana a -t -elle fait face tout seul dans le désert ? 

Keep Gardez | w_freq: 534 - 411 | wiki_freq: 13153 - 94 | sentence_idx: 16987 | align_1: 0-0 | align_2: 1-5 |    Keep water privatization away from our communities . ” ||| Gardez la privatisation de l’ eau loin de nos communautés » . 

Lara Lara | w_freq: 36 - 34 | wiki_freq: 11677 - 4054 | sentence_idx: 17131 | align_1: 6-7 | align_2: 7-12 |    A question arose : how did Lara become the proud heroine we all know now ? ||| Une question est alors posée : comment Lara a -t -elle pu devenir la fière héroïne que nous connaissons tous ? 

devour dévore | w_freq: 14 - 9 | wiki_freq: 1341 - 680 | sentence_idx: 17567 | align_1: 3-2 | align_2: 4-7 |    Does your dog devour food without savoring a single taste ? ||| Votre chien dévore -t -il de la nourriture sans savourer un seul goût ? 

recurrence récurrence | w_freq: 28 - 12 | wiki_freq: 5073 - 2057 | sentence_idx: 18371 | align_1: 13-16 | align_2: 14-20 |    This gives us additional information that allows us to clearly reveal the second recurrence for the first time in the world . ||| Cela nous donne des informations supplémentaires qui nous permettent de clairement mettre en évidence la deuxième récurrence , et ce pour la première fois au monde . 

advise conseillons | w_freq: 391 - 153 | wiki_freq: 10406 - 10 | sentence_idx: 18649 | align_1: 12-15 | align_2: 13-20 |    If you are interested in a lunch or buffet on board we advise a maximum of 18 persons . ||| Si vous êtes intéressé par un lunch ou un buffet à bord , nous vous conseillons alors un groupe d’ au maximum 18 personnes . 

Nato Otan | w_freq: 32 - 103 | wiki_freq: 489 - 431 | sentence_idx: 22522 | align_1: 14-16 | align_2: 15-20 |    At the same time we are aware that accession to the European Union and Nato do not exclusively involve advantages . ||| Nous sommes en même temps conscients que l’ adhésion à l’ Union européenne et à l’ Otan , ce ne sont pas uniquement des avantages . 

clarity clarté | w_freq: 272 - 279 | wiki_freq: 9025 - 2765 | sentence_idx: 22647 | align_1: 4-5 | align_2: 5-9 |    But even more the clarity and professionalism with which a project can be directed , from the moment of the brief to the final delivery . ” ||| Mais plus encore , la clarté , la facilité et le professionnalisme avec lequel un projet peut être dirigé , du moment du brief à la livraison finale . » 

grandmothers mères | w_freq: 27 - 453 | wiki_freq: 1016 - 6157 | sentence_idx: 23647 | align_1: 15-18 | align_2: 16-22 |    According to scientists , however , there is something special we get from our maternal grandmothers apart from their love and affection . ||| Selon les scientifiques , il y a quelque chose de spécial que nous recevons de nos grands - mères maternelles , en plus de leur amour et de leur affection . 

revolutionaries révolutionnaires | w_freq: 105 - 340 | wiki_freq: 8340 - 13161 | sentence_idx: 24131 | align_1: 9-12 | align_2: 10-16 |    The fact is that reality has changed , whereas revolutionaries continue to produce language the same way , or rather worse . ||| Le fait est que la réalité a changé , alors que les révolutionnaires , eux , continuent de produire du langage de la même façon , ou plutôt d’ une façon plus mauvaise encore . 

honestly Honnêtement | w_freq: 238 - 83 | wiki_freq: 2946 - 20 | sentence_idx: 24717 | align_1: 1-0 | align_2: 2-5 |    I honestly have no idea but I do know that it has a very cool root structure that intertwines with itself . ||| Honnêtement , je n’ en ai aucune idée , mais je sais qu’ elle a une structure de racine très cool qui se mêle à elle-même . 

hopefully espérons | w_freq: 201 - 943 | wiki_freq: 3850 - 195 | sentence_idx: 25518 | align_1: 23-28 | align_2: 24-33 |    My friends and I joined a yoga studio because it was a way for us to do something together , sweat , and hopefully shed a few pounds . ||| Mes amis et moi avons rejoint un studio de yoga parce que c' était une façon pour nous de faire quelque chose ensemble , de transpirer et , espérons - le , de perdre quelques kilos . 

IFEA IFEA | w_freq: 1 - 1 | wiki_freq: 24 - 55 | sentence_idx: 26003 | align_1: 16-19 | align_2: 17-23 |    Inaccuracies and technical errors of the so-called “ experts ” prove that no specialist of the IFEA really addressed the issue . ||| Les imprécisions et les erreurs techniques des soi - disant « experts » prouvent qu’ aucun spécialiste de l’ IFEA ne s’ est réellement penché sur le dossier . 

Anglicum anglicum | w_freq: 1 - 1 | wiki_freq: 18 - 13 | sentence_idx: 27129 | align_1: 23-29 | align_2: 24-33 |    It is from such a text that this ancient recipe was derived , meaning the recipe is likely much older than the Medicinale Anglicum it came from . ||| C’ est à partir d’ un tel texte que cette ancienne recette a été dérivée , ce qui signifie que la recette est probablement beaucoup plus ancienne que l’ anglicum médicinal d’ où elle provient . 

E-22 E-51 | w_freq: 14 - 11 | wiki_freq: 13 - 2 | sentence_idx: 28263 | align_1: 0-0 | align_2: 1-7 |    E-22 From Adam until now , man has tried to make his own substitute . ||| E-51 ( 23 ) Eh bien , d' Adam jusqu' aujourd'hui , l' homme a essayé de faire son propre substitut . 

Apparently Apparemment | w_freq: 208 - 228 | wiki_freq: 5920 - 958 | sentence_idx: 28768 | align_1: 0-0 | align_2: 1-5 |    Apparently Volvo management thinks , We own “ safety ” so all we need to do is to remind people of that fact . ||| Apparemment , la direction de Volvo pense , “ nous possédons la sécurité ” donc tout ce que nous devons faire est de rappeler aux gens de ce fait . 

Remember Te | w_freq: 906 - 100 | wiki_freq: 9753 - 4278 | sentence_idx: 28872 | align_1: 2-2 | align_2: 3-7 |    A : Remember we once told you that people would unite against the " invasion " at the time just before the earth changes ? ||| R : Te souviens - tu que nous t’ avions dit jadis que les gens s’ uniraient contre «   l’ invasion   » dans les temps précédant les changements terrestres   ? 

Anyway Quoi | w_freq: 174 - 512 | wiki_freq: 1705 - 4268 | sentence_idx: 29927 | align_1: 0-0 | align_2: 1-5 |    Anyway , Speedflirt , once opened , shows its user the members closest to him and who are his age . ||| Quoi qu’ il en soit , Speedflirt , une fois ouverte , montre à son utilisateur les membres les plus proches de lui et qui ont son âge . 

Abroad Suisses | w_freq: 31 - 41 | wiki_freq: 4324 - 2894 | sentence_idx: 29993 | align_1: 8-11 | align_2: 9-15 |    This is not always easy for young Swiss Abroad . ||| Or , ce n’ est pas toujours simple pour les jeunes Suisses de l’ étranger . 

emphasize mets | w_freq: 264 - 133 | wiki_freq: 13585 - 3339 | sentence_idx: 31021 | align_1: 6-7 | align_2: 7-11 |    Through these two characters , I emphasize what I was talking about earlier , namely , the need for an individual to claim a culture , because I think that without culture , we lose the foundation which allows us to have a balance . ||| A travers ces deux personnages , je mets l’ accent sur ce dont je parlais antérieurement , à savoir la nécessité pour un individu de se réclamer d’ une culture , car je pense que sans culture , nous perdons le socle qui nous permet d’ avoir un équilibre . 

Offer Offrez | w_freq: 51 - 19 | wiki_freq: 1125 - 9 | sentence_idx: 31512 | align_1: 0-0 | align_2: 1-5 |    Offer information about people like him / her who have made a purchase . ||| Offrez - lui de l’ information sur des gens comme lui ou elle qui ont procédé à un achat . 

threaten lancent | w_freq: 272 - 75 | wiki_freq: 11700 - 9166 | sentence_idx: 33172 | align_1: 1-2 | align_2: 2-7 |    They threaten even when states have taken strong and positive decisions . ||| “ Elles lancent des menaces , alors même que les États ont pris des décisions fortes et positives . 

threaten lancent | w_freq: 272 - 75 | wiki_freq: 11700 - 9166 | sentence_idx: 33173 | align_1: 1-2 | align_2: 2-7 |    They threaten even when states have taken strong and positive decisions . ||| " Elles lancent des menaces , alors même que les États ont pris des décisions fortes et positives . 

bother prendrait | w_freq: 135 - 157 | wiki_freq: 2692 - 1390 | sentence_idx: 33331 | align_1: 17-18 | align_2: 18-22 |    If the US can default on its international commitments for no reason , why would Kim Jong-un bother to engage in negotiations ? ||| Si les États-Unis peuvent sans raison se dédire de leurs engagements internationaux , pourquoi Kim Jong - un prendrait -il la peine d’ engager des négociations ? 

activate activer | w_freq: 191 - 186 | wiki_freq: 9616 - 2191 | sentence_idx: 33497 | align_1: 11-11 | align_2: 12-16 |    In August 2013 , we will begin a new project to activate local platforms to address child marriage in cities across Turkey . ||| En août 2013 , nous commencerons un nouveau projet visant à activer les plates - formes locales pour traiter le mariage des enfants dans les villes de Turquie . 

Whatever Quel | w_freq: 532 - 1090 | wiki_freq: 7726 - 2271 | sentence_idx: 34487 | align_1: 0-0 | align_2: 1-4 |    Whatever love Jesus may have had for him he did not give him a favored position in his kingdom . ||| Quel que soit l’ amour que Jésus a pu avoir pour lui , il ne lui a pas attribué une position privilégiée dans son Royaume . 

dissatisfaction mécontentement | w_freq: 71 - 80 | wiki_freq: 7851 - 4270 | sentence_idx: 34839 | align_1: 8-9 | align_2: 9-13 |    They knew very well that there is great dissatisfaction with Hillary Clinton , to whom I have referred as “ The Lady Macbeth of American politics . ” ||| Ils étaient parfaitement conscients qu’ il existait un fort mécontentement à l’ égard de Hillary Clinton que j’ ai qualifiée de « Lady Macbeth de la politique américaine . » 

Dawes)11 Dawes | w_freq: 1 - 3 | wiki_freq: 0 - 537 | sentence_idx: 35217 | align_1: 5-5 | align_2: 5-9 |    Someday Never Comes ( with Dawes)11 . ||| Someday Never Comes ( avec Dawes ( en ) ) 

Shift Shift | w_freq: 20 - 9 | wiki_freq: 4642 - 460 | sentence_idx: 35479 | align_1: 23-24 | align_2: 24-35 |    We actually spoke on the same stage at a conference I was doing in Portland in 2003 , called “ Time and Global Shift ” . ||| Nous avons parlé sur la même scène lors d’ une conférence que je faisais à Portland en 2003 , intitulée « Time and Global Shift » [ « Le Temps et le Changement Global » ] . 

KIK KiK | w_freq: 1 - 1 | wiki_freq: 81 - 2 | sentence_idx: 35763 | align_1: 15-20 | align_2: 16-24 |    We can not build a sustainable supply chain in the garment industry if companies like KIK do not commit . ||| Nous ne pouvons pas construire une chaîne d’ approvisionnement durable dans l’ industrie de la confection si des entreprises comme KiK ne s’ y engagent pas . 

Capitalism capitalisme | w_freq: 78 - 763 | wiki_freq: 2244 - 5662 | sentence_idx: 37629 | align_1: 1-1 | align_2: 2-7 |    Is Capitalism Obsolete ? : A Journey through Alternative Economic Systems ||| Le capitalisme a -t -il fait son temps ? - Un voyage à travers les systèmes économiques alternatifs 

Nobody Personne | w_freq: 380 - 1172 | wiki_freq: 10051 - 2957 | sentence_idx: 37839 | align_1: 0-0 | align_2: 1-4 |    Nobody wondered what does it mean to people who are under that kind of occupation . ||| Personne ne s’ est demandé ce que ça signifie pour les gens qui sont sous ce type d’ occupation . 

excuse excuse | w_freq: 288 - 295 | wiki_freq: 7594 - 2093 | sentence_idx: 38430 | align_1: 1-1 | align_2: 2-5 |    The excuse that Christians could do such miracles if they had more faith , meets big problems here . ||| L’ excuse à l’ effet que les Chrétiens pourraient faire de tels miracles s’ ils avaient plus de foi rencontre un gros problème ici . 

stranger gentil | w_freq: 129 - 133 | wiki_freq: 8535 - 1778 | sentence_idx: 38487 | align_1: 4-4 | align_2: 5-8 |    Thank god a kind stranger bought me some food for my child and gave me a few dollars to buy food for my 14-year-old and me . ” ||| Dieu merci , un gentil inconnu m’ a acheté un peu de nourriture pour mon enfant et donné quelques dollars pour acheter de la nourriture pour ma fille de 14 ans et moi . » 

dependence dépendance | w_freq: 182 - 360 | wiki_freq: 13273 - 10555 | sentence_idx: 38944 | align_1: 12-13 | align_2: 13-18 |    “ Legalization and regulation of all psychoactive substances would reduce people ’s dependence on the toxic illegal supply . ” ||| ‘ La légalisation et la réglementation de toutes les substances psychoactives réduiraient la dépendance de la population vis-à-vis de la fourniture illicite de produits toxiques . ’ 

discomfort inconfort | w_freq: 75 - 57 | wiki_freq: 5517 - 566 | sentence_idx: 39390 | align_1: 4-9 | align_2: 5-13 |    Japan also noted some discomfort at suspending the Review Conference indefinitely , and wondered if the General Assembly could make a decision to hold a conference in future . ||| Le Japon a également fait état d’ un certain inconfort à l’ égard de la suspension indéfinie de la Conférence d’ examen , et s’ est demandé si l’ Assemblée générale pouvait prendre une décision d’ organiser une conférence à l’ avenir . 

Maybe Peut | w_freq: 952 - 2054 | wiki_freq: 6736 - 3705 | sentence_idx: 39401 | align_1: 12-12 | align_2: 13-16 |    How to answer a guy , a man to the question " Maybe we will meet ? " joke ? ||| Comment répondre à un gars , un homme à la question " Peut - être que nous nous rencontrerons ? " blague ? 

intensifying intensifier | w_freq: 29 - 162 | wiki_freq: 2519 - 985 | sentence_idx: 39464 | align_1: 14-20 | align_2: 15-26 |    - To commit to ambitiously implementing the Paris Agreement at all levels and to intensifying global efforts by multilateralism ; to this end the Petersberg Climate Dialogue gave a strong signal . ||| – S’ engager à mettre en oeuvre de manière ambitieuse l’ Accord de Paris à tous les niveaux et à intensifier l’ action menée au niveau mondial grâce au multilatéralisme ; à cet effet , le Dialogue de Petersberg sur le climat a constitué un signal fort . 

reliance dépendance | w_freq: 32 - 360 | wiki_freq: 9149 - 10555 | sentence_idx: 40132 | align_1: 8-11 | align_2: 9-19 |    Much else explains why self-reliance rather than debt reliance catapulted Hitler ’s Germany into the future . ||| Beaucoup d’ autres choses expliquent pourquoi l’ autosuffisance plutôt que la dépendance à l’ égard de la dette a catapulté l’ Allemagne hitlérienne dans l’ avenir . 

E-66 E-66 | w_freq: 22 - 24 | wiki_freq: 7 - 6 | sentence_idx: 40398 | align_1: 0-0 | align_2: 1-4 |    E-66 Now , we find out though in the next chapter , that when the builders found out that they were wrong ... ||| E-66 ( 30 ) Maintenant , nous voyons cependant , dans le chapitre suivant , que quand les bâtisseurs ont compris qu' ils s' étaient trompés ... 

cryptocurrency crypto | w_freq: 126 - 305 | wiki_freq: 2392 - 726 | sentence_idx: 41906 | align_1: 3-5 | align_2: 4-9 |    " Whereas with cryptocurrency there 's more transparency , which is actually good for the users because now they know what 's going on . " ||| “ Alors qu’ avec la crypto - monnaie , il y a plus de transparence , ce qui est bon pour les utilisateurs parce qu’ ils savent maintenant ce qui se passe . ” 

Collect Recueillir | w_freq: 25 - 6 | wiki_freq: 625 - 9 | sentence_idx: 42763 | align_1: 0-0 | align_2: 1-5 |    Collect EU funding and connect EU ecosystems ||| Recueillir les fonds de l’ UE et connecter les écosystèmes de l’ UE 

Please S’ | w_freq: 1225 - 1386 | wiki_freq: 10571 - 5625 | sentence_idx: 43456 | align_1: 12-12 | align_2: 13-17 |    Then the one whom he tried to seduce says to him ' Please repeat here privately what you told me before . ' ||| Puis celui qu’ il avait tenté de séduire lui dit : « S’ il te plaît , répète ici , en privé , ce que tu m’ as dit déjà avant . » 

re-examine revoir | w_freq: 17 - 428 | wiki_freq: 638 - 5830 | sentence_idx: 44766 | align_1: 13-17 | align_2: 14-21 |    Whatever the content of this text , banks and e-traders will have to re-examine their security system at least , and “ in the worst case ” will completely overhaul it [ 19 ] . ||| Quel que soit le contenu de ce texte , les banques et les e-commerçants devront à minima revoir l’ organisation de leur dispositif de sécurité et « dans le pire des cas » le refondre complètement[19]. 

compassion compassion | w_freq: 286 - 326 | wiki_freq: 7668 - 2403 | sentence_idx: 45182 | align_1: 2-1 | align_2: 3-9 |    His extraordinary compassion after 27 years in prison showed that human rights and equality are stronger than discrimination and hate . ||| La compassion extraordinaire dont il avait fait preuve , après 27 années d' emprisonnement , avait montré que les droits de l' homme et l' égalité étaient plus forts que la discrimination et la haine . 

basket panière | w_freq: 46 - 2 | wiki_freq: 9962 - 11 | sentence_idx: 45662 | align_1: 26-25 | align_2: 27-30 |    Gen 40:17 - And in the uppermost basket there was of all manner of bake-meats for Pharaoh ; and the birds ate them out of the basket upon my head . ||| 17 Et dans la plus haute panière il y avait de toutes sortes de mets pour Pharaon ; et les oiseaux les mangeaient de la panière [ qui était ] sur ma tête . 

Expect Attendez | w_freq: 64 - 121 | wiki_freq: 746 - 47 | sentence_idx: 46087 | align_1: 0-0 | align_2: 1-4 |    Expect that the free version will have a lot of limitations including time of use . ||| Attendez -vous à ce que la version gratuite ait beaucoup de limitations , y compris le temps d’ utilisation . 

Miduchi Miduchi | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 46366 | align_1: 3-2 | align_2: 4-6 |    To be a Miduchi is not to be pure , Tané . ||| Être une Miduchi , ce n’ est pas être pure , Tané . 

disregard mépris | w_freq: 66 - 116 | wiki_freq: 5346 - 4332 | sentence_idx: 47220 | align_1: 3-5 | align_2: 4-10 |    They show astonishing disregard for what Western European history might actually be able to tell us . ||| Elles font preuve d’ un mépris étonnant à l’ égard de ce que pourrait en réalité nous dire l’ histoire de l’ Europe de l’ Ouest . 

Remember souvenez | w_freq: 906 - 324 | wiki_freq: 9753 - 75 | sentence_idx: 47638 | align_1: 0-1 | align_2: 1-5 |    Remember how our parents would teach us rules when we were young ? ||| Vous souvenez -vous de la façon dont nos parents nous enseignaient les règles lorsque nous étions jeunes ? 

frugality frugalité | w_freq: 7 - 6 | wiki_freq: 578 - 193 | sentence_idx: 47784 | align_1: 10-10 | align_2: 11-15 |    The nation that does show up on both lists for frugality is Switzerland . ||| La nation qui apparaît sur les deux listes pour sa frugalité , en revanche , est la Suisse . 

ridiculous calomnie | w_freq: 258 - 13 | wiki_freq: 6160 - 551 | sentence_idx: 50588 | align_1: 10-11 | align_2: 11-18 |    Kim denied the charges , which he called , “ ridiculous , ” later Tuesday . ||| Des allégations vivement démenties par les intéressés - de la " calomnie " visant à " salir " , a dit Nicolas Sarkozy mardi . 

Chica Chica | w_freq: 7 - 7 | wiki_freq: 1346 - 256 | sentence_idx: 51638 | align_1: 12-13 | align_2: 13-17 |    While many of their neighbours , who do n't live in Boca Chica year round , have taken the offer , they continue to try to negotiate . ||| Bien que beaucoup de leurs voisins , qui ne vivent pas dans Boca Chica long de l’ année , ont pris de l’ offre , ils continuent d’ essayer de négocier . 

MacArthur MacArthur | w_freq: 12 - 12 | wiki_freq: 12628 - 1940 | sentence_idx: 52290 | align_1: 18-22 | align_2: 19-26 |    In 1945 , Americans knew that there was truly “ no substitute for victory , ” as General MacArthur said in his farewell speech to Congress . ||| En 1945 , les américains savaient qu' il y avait véritablement « aucun substitut à la victoire » , comme le général MacArthur l’ avait clairement dit dans son discours d' adieu au Congrès . 

oversimplifying simplifier | w_freq: 4 - 171 | wiki_freq: 80 - 2745 | sentence_idx: 54100 | align_1: 16-18 | align_2: 17-22 |    Saying the immune system is " weaker " in certain seasons at this stage is therefore oversimplifying the findings of this research . ||| Dire que le système immunitaire est « plus faible » dans certaines saisons à ce stade est donc simplifier à l’ extrême les résultats de cette recherche . 

’m j’ | w_freq: 3716 - 12938 | wiki_freq: 8986 - 5889 | sentence_idx: 54671 | align_1: 8-4 | align_2: 9-9 |    In these moments , I feel like I ’m following Paul ’s command to redeem the time ( Ephesians 5:16 ) , making better use of my most precious resource . ||| Dans ces moments , j’ ai l’ impression de suivre l’ ordre de Paul de racheter le temps ( Ephésiens 5:16 ) , en utilisant mieux ma ressource la plus précieuse . 

tuner tuner | w_freq: 8 - 7 | wiki_freq: 1742 - 172 | sentence_idx: 55472 | align_1: 19-19 | align_2: 20-24 |    While not official , it is widely accepted that the winner of the Tuner GP is Europe 's best tuner . ||| Bien que non officielle , il est largement admis que le vainqueur du GP de Tuner est le meilleur tuner de l ’ Europe . 

Canada16 Canada16 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 56316 | align_1: 13-18 | align_2: 14-23 |    Post-tax income is generally considered to be a better measure of low-income in Canada16 for two reasons . ||| En effet , le revenu après impôt est généralement considéré comme une meilleure mesure du faible revenu au Canada16 , et ce , pour deux raisons . 

