Novecento Novecento | w_freq: 1 - 1 | wiki_freq: 278 - 136 | sentence_idx: 36726 | align_1: 3-1 | align_2: 4-7 | entity: Novecento - Novecento |    ‘ Please , Novecento , just the normal notes , OK ? ’ ||| " Novecento , s' il te plaît , que les notes normales , d' accord ? " 
Dor Dor | w_freq: 1 - 1 | wiki_freq: 1319 - 637 | sentence_idx: 469677 | align_1: 8-10 | align_2: 9-15 | entity: Gil Dor - Gil Dor |    I will end with something beautiful that Gil Dor once told me . ||| Je vais terminer avec quelque chose de beau que Gil Dor m’ a dit une fois . 

Cheadle Cheadle | w_freq: 2 - 2 | wiki_freq: 2086 - 212 | sentence_idx: 576173 | align_1: 1-1 | align_2: 2-5 | entity: Don Cheadle - Don Cheadle |    Don Cheadle is 19 percent European . ||| Don Cheadle , lui , est à 19 % européen . 

Ponzi Ponzi | w_freq: 7 - 8 | wiki_freq: 1617 - 221 | sentence_idx: 588591 | align_1: 5-5 | align_2: 6-10 | entity: Charles Ponzi - Charles Ponzi |    The case relating to Charles Ponzi approximately 100 years ago provides the basis for these laws . ||| L' affaire relative à Charles Ponzi , il y a environ 100 ans constitue la base de ces lois . 

Srebrenica Srebrenica | w_freq: 23 - 23 | wiki_freq: 1998 - 497 | sentence_idx: 639964 | align_1: 5-6 | align_2: 6-11 | entity: Srebrenica - Srebrenica |    First , the attack on Srebrenica in which he participated was not unlawful as such . ||| D’ abord , l’ attaque sur Srebrenica , à la préparation de laquelle il a participé , n’ était pas illégale en tant que telle . 

Luxemburg Luxemburg | w_freq: 63 - 44 | wiki_freq: 2313 - 744 | sentence_idx: 651225 | align_1: 4-6 | align_2: 5-11 | entity: Rosa Luxemburg - Rosa Luxemburg |    They agree with Rosa Luxemburg ’s understanding that nothing is more revolutionary than recognizing and stating what is . ||| Ils partagent la conception de Rosa Luxemburg , selon laquelle il n’ y a rien de plus révolutionnaire que de reconnaître et d’ exprimer ce qui est . 

Alcoa Alcoa | w_freq: 9 - 9 | wiki_freq: 1664 - 308 | sentence_idx: 704867 | align_1: 0-0 | align_2: 1-5 | entity: Alcoa - Alcoa |    Alcoa successfully defended itself , even against one of the charges , which was , believe it or not , excessive prices . ||| Alcoa s’ est défendue avec succès , même contre l’ une des accusations , qui était , croyez - le ou non , des prix excessifs . 

Damen Damen | w_freq: 4 - 4 | wiki_freq: 1061 - 334 | sentence_idx: 756328 | align_1: 9-8 | align_2: 10-13 | entity: Damen - Damen |    But if this was so clear , why did Damen not form a new party in 1935 ? ||| Mais si c' était si clair , pourquoi Damen n' a -t -il pas fondé ce nouveau parti en 1935 ? 

Welland Welland | w_freq: 1 - 1 | wiki_freq: 2441 - 326 | sentence_idx: 792590 | align_1: 16-22 | align_2: 17-31 | entity: Welland - Welland |    Bill C-50 will not particularly help the auto sector and workers , as the member for Welland noted quite correctly . ||| Le projet de loi C-50 n' aidera pas particulièrement le secteur et les travailleurs de l' automobile , comme le député de Welland l' a , à juste titre , fait remarquer . 

Douro Douro | w_freq: 10 - 10 | wiki_freq: 1838 - 827 | sentence_idx: 794047 | align_1: 4-2 | align_2: 5-6 | entity: Douro - Douro |    To talk about the Douro is not only to talk about a river or a region . ||| Parler du Douro , ce n’ est pas simplement parler d’ un fleuve ou d’ une région . 

Jullien Jullien | w_freq: 3 - 3 | wiki_freq: 405 - 961 | sentence_idx: 822541 | align_1: 12-12 | align_2: 13-17 | entity: François Jullien - François Jullien |    We are also beginning to talk about efficiency in France because François Jullien praised it in his Treaty on Effectiveness . ||| On commence aussi à parler de l’ efficience en France car François Jullien en a fait l’ éloge dans son Traité de l’ efficacité . 

Hertz Hertz | w_freq: 13 - 13 | wiki_freq: 3567 - 891 | sentence_idx: 935653 | align_1: 7-9 | align_2: 8-16 | entity: Hertz - Hertz |    Nobody ’s done a Hertz Chumash since Hertz a century ago and it ’s an urgent necessity . ||| Personne n’ a fait un Hertz Chumash depuis que Hertz l’ a fait il y a un siècle et c’ est une nécessité urgente . 

WINS WINS | w_freq: 1 - 1 | wiki_freq: 494 - 26 | sentence_idx: 974200 | align_1: 10-11 | align_2: 11-19 | entity: WINS - WINS |    eighteen guides for the World Institute for Nuclear Security ( WINS ) . ||| de dix-huit guides pour le World Institute for Nuclear Security ( WINS , Institut mondial pour la sécurité nucléaire ) . 

