Novecento Novecento | w_freq: 1 - 1 | wiki_freq: 278 - 136 | sentence_idx: 36726 | align_1: 3-1 | align_2: 4-7 | entity: Novecento - Novecento |    ‘ Please , Novecento , just the normal notes , OK ? ’ ||| " Novecento , s' il te plaît , que les notes normales , d' accord ? " 
Schutz Schutz | w_freq: 3 - 3 | wiki_freq: 817 - 155 | sentence_idx: 210264 | align_1: 1-0 | align_2: 2-5 | entity: Schutz - Schutz |    Was Schutz right too early with the one that is not without mentioning the future Panamera ? ||| Schutz a -t -il eu raison trop tôt avec celle qui n’ est pas sans évoquer la future Panamera ? 

Manson Manson | w_freq: 24 - 24 | wiki_freq: 10039 - 1716 | sentence_idx: 255039 | align_1: 8-8 | align_2: 9-13 | entity: Mark Manson - Mark Manson |    This story , told by the journalist Mark Manson , could be a problem that affects us all . ||| Cette histoire , racontée par le journaliste Mark Manson ( en anglais ) , pourrait être un problème qui nous concerne tous . 

Cent Cent | w_freq: 30 - 68 | wiki_freq: 3939 - 13350 | sentence_idx: 258284 | align_1: 6-9 | align_2: 7-14 | entity: 50 Cent - 50 Cent |    However that ’s not what 50 Cent is saying happened . ||| Cependant , ce n’ est pas ce que 50 Cent dit qu’ il s’ est passé . 

Hermione Hermione | w_freq: 17 - 18 | wiki_freq: 2714 - 1353 | sentence_idx: 282631 | align_1: 2-1 | align_2: 3-6 | entity: Hermione - Hermione |    Or has Hermione mistakenly assumed you still want to know as much as I can tell you ? " ||| Ou Hermione a -t -elle par erreur supposé que vous voulez toujours en savoir autant que je peux vous en dire ? " 

Sabbath Sabbat | w_freq: 280 - 142 | wiki_freq: 10374 - 313 | sentence_idx: 285059 | align_1: 10-9 | align_2: 11-16 | entity: Sabbath - Sabbat |    The Lord 's Day is never referred to as the Sabbath . ||| Le jour du Seigneur n’ est jamais appelé « Sabbat » , tant s’ en faut . 

Armenians Arméniens | w_freq: 132 - 120 | wiki_freq: 13678 - 4061 | sentence_idx: 302959 | align_1: 12-13 | align_2: 13-17 | entity: Armenians - Arméniens |    " In all this diplomatic discussions the interest and safety of the Armenians themselves unfortunately counts for next to nothing . ||| " Dans toutes ces discussions diplomatiques , les intérêts et la sécurité des Arméniens pour eux - mêmes ne compte pratiquement pour rien . 

Chaturbate Chaturbate | w_freq: 9 - 5 | wiki_freq: 24 - 6 | sentence_idx: 308232 | align_1: 5-8 | align_2: 6-12 | entity: Chaturbate - Chaturbate |    6 ) Has anyone from Chaturbate bought you anything ? ||| 7 ) Est -ce que quelqu’ un de Chaturbate t’ as déjà acheté quelque chose ? 

Fisk Fisk | w_freq: 16 - 15 | wiki_freq: 5609 - 584 | sentence_idx: 312653 | align_1: 3-2 | align_2: 4-7 | entity: Robert Fisk - Robert Fisk |    Why has Robert Fisk never attempted to contact people of Eastern Ghouta to ask them what happened there last August ? ||| Pourquoi Robert Fisk n’ a -t -il jamais tenté d’ entrer en contact avec les gens de la Ghouta orientale pour leur demander ce qui s’ est passé en août dernier ? 

Ukrainians Ukrainiens | w_freq: 183 - 181 | wiki_freq: 7153 - 2375 | sentence_idx: 314499 | align_1: 12-15 | align_2: 13-22 | entity: Ukrainians - Ukrainiens |    The Russians immediately rediscovered their passion for Georgian wine - while the Ukrainians never lost it . ||| Les Russes ont immédiatement redécouvert leur passion pour le vin géorgien - alors que les Ukrainiens , eux , ne l' ont jamais perdu . 

Siddhartha Siddhartha | w_freq: 3 - 3 | wiki_freq: 1299 - 229 | sentence_idx: 317928 | align_1: 6-6 | align_2: 7-11 | entity: Siddhartha - Siddhartha |    But he has given to me Siddhartha myself . ” ||| Mais il m’ a donné à Siddhartha , à moi - même . » 

Balkans Balkans | w_freq: 144 - 195 | wiki_freq: 13941 - 7535 | sentence_idx: 320080 | align_1: 19-19 | align_2: 20-25 | entity: Balkans - Balkans |    “ The reason the route does , and will , succeed , though , is because of the Western Balkans itself . ||| " La raison pour laquelle ce sentier a , et aura , du succès , ce sont pour les Balkans de l' Ouest eux - mêmes . 

Copeland Copeland | w_freq: 2 - 2 | wiki_freq: 7187 - 950 | sentence_idx: 339141 | align_1: 5-5 | align_2: 6-10 | entity: Copeland - Copeland |    Senator Johnson : Did Mr. Copeland not resign after about six months ? ||| Le sénateur Johnson : M. Copeland n' a -t -il pas démissionné après six mois ? 

Crispus Crispus | w_freq: 1 - 1 | wiki_freq: 605 - 174 | sentence_idx: 346637 | align_1: 6-5 | align_2: 7-10 | entity: Crispus - Crispus |    Why , for example , was Crispus poisoned in Pola , of all places ? ||| Pourquoi , par exemple , Crispus a -t -il été empoisonné à Pola , de tous les endroits ? 

Hillman Hillman | w_freq: 3 - 3 | wiki_freq: 4667 - 660 | sentence_idx: 372505 | align_1: 1-1 | align_2: 2-6 | entity: James Hillman - James Hillman |    James Hillman once said to me : “ It is important to be Protestant once a week ” . ||| James Hillman m’ a dit une fois : « Il est important d’ être protestant une fois par semaine » . 

Abbas Abbas | w_freq: 254 - 256 | wiki_freq: 14387 - 3505 | sentence_idx: 411584 | align_1: 4-5 | align_2: 5-9 | entity: Abbas - Abbas |    How many times has Abbas threatened in the past to resign from his post or suspend security coordination with Israel ? ||| Combien de fois n' a Abbas a -t -il menacé dans le passé de démissionner de son poste ou de suspendre la coordination de la sécurité avec Israël ? 

Cyberpunk Cyberpunk | w_freq: 11 - 11 | wiki_freq: 662 - 138 | sentence_idx: 446979 | align_1: 13-17 | align_2: 14-22 | entity: Cyberpunk - Cyberpunk |    When asked , during a 2005 interview , " Why was your book Cyberpunk never published when you sold it to a publisher in 1989 ? " ||| Lorsqu’ on lui a demandé , lors d’ une interview en 2005 , " Pourquoi votre livre Cyberpunk n’ a -t -il jamais été publié quand vous l' avez vendu à un éditeur en 1989 ? " 

Dor Dor | w_freq: 1 - 1 | wiki_freq: 1319 - 637 | sentence_idx: 469677 | align_1: 8-10 | align_2: 9-15 | entity: Gil Dor - Gil Dor |    I will end with something beautiful that Gil Dor once told me . ||| Je vais terminer avec quelque chose de beau que Gil Dor m’ a dit une fois . 

Abbas Abbas | w_freq: 254 - 256 | wiki_freq: 14387 - 3505 | sentence_idx: 488821 | align_1: 2-1 | align_2: 3-6 | entity: Abbas - Abbas |    Was Mr. Abbas informed of the fact that Hamas has n’t carried out one suicide bombing since 2005 ? ||| M. Abbas a -t -il été informé du fait que le Hamas n’ a pas effectué un seul attentat - suicide depuis 2005 ? 

Heinz Heinz | w_freq: 6 - 7 | wiki_freq: 11295 - 4390 | sentence_idx: 507541 | align_1: 1-2 | align_2: 2-7 | entity: Heinz - Heinz |    Father Heinz later told me that he used it for sacred dances . ||| Le père Heinz m’ a dit plus tard qu’ il l’ utilisait pour des danses sacrées . 

Tsar Tsar | w_freq: 33 - 16 | wiki_freq: 11912 - 1274 | sentence_idx: 510807 | align_1: 12-10 | align_2: 13-15 | entity: Tsar - Tsar |    Q : If this is the case , why then was the Tsar deposed and then murdered ? ||| Q : Si c’ est le cas , pourquoi le Tsar a -t -il été destitué et puis tué ? 

Abbas Abbas | w_freq: 254 - 256 | wiki_freq: 14387 - 3505 | sentence_idx: 549988 | align_1: 0-0 | align_2: 1-4 | entity: Abbas - Abbas |    Abbas basically made accusations against Israel and asked for international support - and that was pretty much it . ||| Abbas a pour l’ essentiel porté des accusations contre Israël et demandé un soutien international - et c’ était à peu près tout . 

Cheadle Cheadle | w_freq: 2 - 2 | wiki_freq: 2086 - 212 | sentence_idx: 576173 | align_1: 1-1 | align_2: 2-5 | entity: Don Cheadle - Don Cheadle |    Don Cheadle is 19 percent European . ||| Don Cheadle , lui , est à 19 % européen . 

Ponzi Ponzi | w_freq: 7 - 8 | wiki_freq: 1617 - 221 | sentence_idx: 588591 | align_1: 5-5 | align_2: 6-10 | entity: Charles Ponzi - Charles Ponzi |    The case relating to Charles Ponzi approximately 100 years ago provides the basis for these laws . ||| L' affaire relative à Charles Ponzi , il y a environ 100 ans constitue la base de ces lois . 

Srebrenica Srebrenica | w_freq: 23 - 23 | wiki_freq: 1998 - 497 | sentence_idx: 639964 | align_1: 5-6 | align_2: 6-11 | entity: Srebrenica - Srebrenica |    First , the attack on Srebrenica in which he participated was not unlawful as such . ||| D’ abord , l’ attaque sur Srebrenica , à la préparation de laquelle il a participé , n’ était pas illégale en tant que telle . 

Luxemburg Luxemburg | w_freq: 63 - 44 | wiki_freq: 2313 - 744 | sentence_idx: 651225 | align_1: 4-6 | align_2: 5-11 | entity: Rosa Luxemburg - Rosa Luxemburg |    They agree with Rosa Luxemburg ’s understanding that nothing is more revolutionary than recognizing and stating what is . ||| Ils partagent la conception de Rosa Luxemburg , selon laquelle il n’ y a rien de plus révolutionnaire que de reconnaître et d’ exprimer ce qui est . 

Rory Rory | w_freq: 19 - 21 | wiki_freq: 8982 - 1702 | sentence_idx: 654987 | align_1: 5-5 | align_2: 6-9 | entity: Rory - Rory |    Not only that , but Rory never distances himself from his fans . ||| Pas seulement ça , mais Rory ne s’ est jamais éloignés de ses fans . 

Hamas Hamas | w_freq: 979 - 980 | wiki_freq: 10491 - 2724 | sentence_idx: 676545 | align_1: 1-2 | align_2: 2-6 | entity: Hamas - Hamas |    Why Hamas was created by the Brothers ? ||| Pourquoi le Hamas a -t -il été créé par les Frères ? 

Levi Lévi | w_freq: 60 - 29 | wiki_freq: 14236 - 2007 | sentence_idx: 701255 | align_1: 7-6 | align_2: 8-11 | entity: Levi - Lévi |    “ He shall purify the sons of Levi . ” ||| » Il purifiera les fils de Lévi … » ( Mal . 

Alcoa Alcoa | w_freq: 9 - 9 | wiki_freq: 1664 - 308 | sentence_idx: 704867 | align_1: 0-0 | align_2: 1-5 | entity: Alcoa - Alcoa |    Alcoa successfully defended itself , even against one of the charges , which was , believe it or not , excessive prices . ||| Alcoa s’ est défendue avec succès , même contre l’ une des accusations , qui était , croyez - le ou non , des prix excessifs . 

Damen Damen | w_freq: 4 - 4 | wiki_freq: 1061 - 334 | sentence_idx: 756328 | align_1: 9-8 | align_2: 10-13 | entity: Damen - Damen |    But if this was so clear , why did Damen not form a new party in 1935 ? ||| Mais si c' était si clair , pourquoi Damen n' a -t -il pas fondé ce nouveau parti en 1935 ? 

Welland Welland | w_freq: 1 - 1 | wiki_freq: 2441 - 326 | sentence_idx: 792590 | align_1: 16-22 | align_2: 17-31 | entity: Welland - Welland |    Bill C-50 will not particularly help the auto sector and workers , as the member for Welland noted quite correctly . ||| Le projet de loi C-50 n' aidera pas particulièrement le secteur et les travailleurs de l' automobile , comme le député de Welland l' a , à juste titre , fait remarquer . 

Douro Douro | w_freq: 10 - 10 | wiki_freq: 1838 - 827 | sentence_idx: 794047 | align_1: 4-2 | align_2: 5-6 | entity: Douro - Douro |    To talk about the Douro is not only to talk about a river or a region . ||| Parler du Douro , ce n’ est pas simplement parler d’ un fleuve ou d’ une région . 

Jullien Jullien | w_freq: 3 - 3 | wiki_freq: 405 - 961 | sentence_idx: 822541 | align_1: 12-12 | align_2: 13-17 | entity: François Jullien - François Jullien |    We are also beginning to talk about efficiency in France because François Jullien praised it in his Treaty on Effectiveness . ||| On commence aussi à parler de l’ efficience en France car François Jullien en a fait l’ éloge dans son Traité de l’ efficacité . 

Tesla Tesla | w_freq: 209 - 209 | wiki_freq: 8862 - 2254 | sentence_idx: 907721 | align_1: 8-7 | align_2: 9-12 | entity: Tesla - Tesla |    The question has always been ; when will Tesla collapse ? ||| La question a toujours été ; Quand Tesla va -t -elle s' effondrer ? 

Holloway Holloway | w_freq: 4 - 3 | wiki_freq: 10260 - 1134 | sentence_idx: 930572 | align_1: 7-7 | align_2: 8-11 | entity: Max Holloway - Max Holloway |    Max Holloway , how many times Max Holloway defend his title ? ||| Max Holloway , combien de fois Max Holloway a -t -il défendu son titre ? 

Hertz Hertz | w_freq: 13 - 13 | wiki_freq: 3567 - 891 | sentence_idx: 935653 | align_1: 7-9 | align_2: 8-16 | entity: Hertz - Hertz |    Nobody ’s done a Hertz Chumash since Hertz a century ago and it ’s an urgent necessity . ||| Personne n’ a fait un Hertz Chumash depuis que Hertz l’ a fait il y a un siècle et c’ est une nécessité urgente . 

Aleppo Alep | w_freq: 65 - 60 | wiki_freq: 12414 - 4787 | sentence_idx: 954233 | align_1: 6-6 | align_2: 7-10 | entity: Aleppo - Alep |    “ What is going on in Aleppo is not a popular revolution for democracy and freedom . ||| « Ce qui se passe à Alep , ce n’ est pas une révolution populaire pour la démocratie et la liberté . 

WINS WINS | w_freq: 1 - 1 | wiki_freq: 494 - 26 | sentence_idx: 974200 | align_1: 10-11 | align_2: 11-19 | entity: WINS - WINS |    eighteen guides for the World Institute for Nuclear Security ( WINS ) . ||| de dix-huit guides pour le World Institute for Nuclear Security ( WINS , Institut mondial pour la sécurité nucléaire ) . 

