FAADE token | w_freq: 1 - 11 | wiki_freq: 0 - 61 | sentence_idx: 3148 | align_1: 3-5 | align_2: 4-10 | ner_entity: FAADE-none |    So , [ FAADE ] will surface that . ||| by this [ that ] token 照 这个 [ 那个 ] 看来 。
Montalais deMontalais | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 409019 | align_1: 33-19 | align_2: 34-23 | ner_entity: Mademoiselle de Montalais-none |    He took it up in a tone so cold and embarrassed , that if they had been thus surprised , the whole court would have no doubt about the proceedings of Mademoiselle de Montalais . ||| 他 的 语气 如此 寒冷 和 尴尬 , 如果 他们 已经 因此 惊讶 整个 法院 会 有 毫无疑问 小姐 deMontalais 学报 》 上 。

GUARDINO 瓜迪诺 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 413511 | align_1: 1-0 | align_2: 2-7 | ner_entity: none-瓜迪诺 |    MR GUARDINO :    Secretary Pompeo , our next Commonwealth Club / Silicon Valley Leadership Group question reads :    “ Is there a plan to harden security for our infrastructure such as water , electrical , telecommunications ?    And if so , will there be funding associated with this effort ? ” ||| 瓜迪诺 先生 （ 以 英语 发言 ） ：     庞培 秘书 ， 下 一个 英 联邦 俱乐部 / 硅谷 领导 小组 的 问题 是 ： “ 是否 有 计划 加强 我们 的 基础 设施 的 安全性 ， 例如 水 ， 电 ， 电信 ？ 如果 是 这样 ， 这项 工作会 不 会 有 资金 ？ ”

Oork 窦尔墩 | w_freq: 1 - 1 | wiki_freq: 0 - 2 | sentence_idx: 415777 | align_1: 3-0 | align_2: 4-8 | ner_entity: Oork-窦尔墩 |    [ 82 ] Oork , tributary of the Marne . ||| 窦尔墩 （ 蓝 花 三 块 瓦脸 ） ， 《 盗御 马 》 中 人物 。

DanielIdodo 秀珀尔 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 423687 | align_1: 0-3 | align_2: 1-8 | ner_entity: DanielIdodo-秀珀尔 |    DanielIdodo [ 19 February 2018 , 14:06:54 ] ||| 【 喜讯 】 秀珀尔 荣获 “ 2019年 … [ 2019-12-13 09:54:32 ]

AUBREY 艾莉森·奥布里 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 427483 | align_1: 1-0 | align_2: 2-5 | ner_entity: none-艾莉森·奥布里 |    ALLISON AUBREY , BYLINE : When the Women 's Health Initiative study began back in the 1990s , about 20,000 women were put on a diet . ||| 艾莉森·奥布里 ( Allison Aubrey ) ， 旁白 ： 早 在 20 世纪 90年代 ， 妇女 健康 倡议 研究 就 开始 了 ， 当时 约 有 2万 名 妇女 在 节食 。

Kessels Kessels | w_freq: 2 - 1 | wiki_freq: 92 - 0 | sentence_idx: 446003 | align_1: 1-1 | align_2: 2-7 | ner_entity: Erik Kessels-none |    Erik Kessels , In almost every picture # 11 , 2012 ||| Erik Kessels 的 系列 作品 《 Valerie , in almost every picture # 11 》

Roginsky Roginsky | w_freq: 3 - 1 | wiki_freq: 95 - 2 | sentence_idx: 463359 | align_1: 19-17 | align_2: 20-23 | ner_entity: Mikhail Roginsky-none |    At the same time one could also see a growing interest in pop art as it shown by Mikhail Roginsky ’s The Door ( 1965 ) . ||| 与此同时 ， 也 能 看到 人们 对 波普 艺术 越来越 感 兴趣 ， 正如 米哈伊尔·罗金斯基 （ Mikhail Roginsky ） 的 画作 “ 门 ” （ The Door ， 1965 ） 所 表明 的 。

Roginsky roginsky | w_freq: 3 - 1 | wiki_freq: 95 - 0 | sentence_idx: 463360 | align_1: 19-17 | align_2: 20-23 | ner_entity: Mikhail Roginsky-mikhail roginsky |    At the same time one could also see a growing interest in pop art as it shown by Mikhail Roginsky ’s The Door ( 1965 ) . ||| 与此同时 ， 也 能 看到 人们 对 波普 艺术 越来越 感 兴趣 ， 正如 米哈伊尔·罗金斯基 （ mikhail roginsky ） 的 画作 “ 门 ” （ the door ， 1965 ） 所 表明 的 。

Nurr1 Nurr1 | w_freq: 6 - 2 | wiki_freq: 7 - 0 | sentence_idx: 469348 | align_1: 5-4 | align_2: 6-12 | ner_entity: Nurr1-none |    Researchers have modified the protein Nurr1 so that it can enter cells from the outside . ||| 研究 人员 对 蛋白质 Nurr1 进行 了 修饰    , 使 其 可以 从 外部 进入 细胞      。

Chinchon Chinchon | w_freq: 1 - 2 | wiki_freq: 27 - 1 | sentence_idx: 470966 | align_1: 2-2 | align_2: 3-10 | ner_entity: Chinchon-none |    Countess of Chinchon ( 1800 ) ||| Countess of Chinchon （ 英语 ： Countess of Chinchon ） （ 1800年 ）

Equipement Equipement | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 471545 | align_1: 25-26 | align_2: 26-31 | ner_entity: Time Displacement Equipement-none |    Appearently someone ( or something ? ) was sent back from the future to the year 1963 , to build a TDE ( Time Displacement Equipement ) inside a vault in a bank . ||| • 肯定 有 什么 人 或者 什么 东西 从 未来 被 送回 1963年 ， 在 一家 银行 的 保险库 中 建造 了 TDE （ Time Displacement Equipement ， 时间 转移 装置 ） 。

Vipp Vipp | w_freq: 1 - 1 | wiki_freq: 1 - 2 | sentence_idx: 472749 | align_1: 0-4 | align_2: 1-9 | ner_entity: Vipp ’s-none |    Vipp ’s Plug and Play Getaway Shelter ||| 本文 链接 地址 : Vipp 工业化 住宅 VIPP ’ S PLUG AND PLAY GETA WAY SHELTER

Igersheim 伊格尔斯海姆 | w_freq: 2 - 2 | wiki_freq: 14 - 0 | sentence_idx: 481788 | align_1: 16-3 | align_2: 17-11 | ner_entity: Igersheim-伊格尔斯海姆 |    The welfare of a society ( which may be , for example , the inhabitants of Igersheim or the entire population of China ) is closely linked to the capability of developing and using new technologies and products . ||| 社会 （ 无论是 伊格尔斯海姆 的 居民     ， 还是 中国 人民 ） 的 幸福 安宁 都 与 开发 和 运用 新 技术 和 产品 的 能力 紧密 相关  。

Alexandrovitch 阿列克谢·亚历山德罗维奇 | w_freq: 36 - 22 | wiki_freq: 46 - 2 | sentence_idx: 484863 | align_1: 23-24 | align_2: 24-29 | ner_entity: Alexey Alexandrovitch-阿列克谢·亚历山德罗维奇 |    " I did not tell you yesterday , " she began , breathing quickly and painfully , " that coming home with Alexey Alexandrovitch I told him everything . . . told him I could not be his wife , that . . . and told him everything . " ||| “ 我 昨天 没有 告诉 你 ， ” 她 开口 说 ， 迅速 而 又 痛苦 地 呼吸 着 ， “ 在 我 和 阿列克谢·亚历山德罗维奇 回家 的 路上 ， 我 把 一切 都 告诉 他 了 …… 告诉 他 我 不 能 做 他 的 妻子 了 …… 把 一切 都 告诉 他 了 。

CSR2 CSR2 | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 489556 | align_1: 12-14 | align_2: 13-19 | ner_entity: CSR2-none |    To conclude celebrations of Italy ’s iconic contribution to sports cars , CSR2 brings you a finale to remember . ||| 为了 向 意大利 对 跑车 发展 所 做出 的 卓越 贡献 致敬 ， 《 CSR2 》 将 为 您 带来 一 场 令 人 难忘 的 决赛 。

Aduanas Aduanas | w_freq: 1 - 1 | wiki_freq: 17 - 1 | sentence_idx: 490424 | align_1: 27-18 | align_2: 28-22 | ner_entity: Dirección General de Aduanas-Dirección General de Aduanas ( DGA |    According to the Argentine Customs Code , importers and exporters must be listed in the registry of importers and exporters at Argentine customs ( Dirección General de Aduanas ) . ||| 根据 阿根廷 《 海关 法典 》 ， 进口商 和 出口商 必须 在 海关 总署 ( Dirección General de Aduanas ( DGA ) ) 的 进口商 和 出口商 登记册 上 登记 。

Chieza Chieza | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 494723 | align_1: 2-2 | align_2: 3-8 | ner_entity: Chieza-none |    Natsai Audrey Chieza Fashion has a pollution problem — can biology fix it ? ||| 2017 年 Chieza 在 TED 的 演讲 - Fashion has a pollution problem —— Can biology fix It ？

Warnes- Warnes | w_freq: 1 - 2 | wiki_freq: 0 - 5 | sentence_idx: 494877 | align_1: 4-6 | align_2: 5-13 | ner_entity: Jennifer Warnes--Jennifer Warnes |    Joe Cocker and Jennifer Warnes- Up Where We Belong ||| 06 . Joe Cocker , Jennifer Warnes / 乔库克 + 珍妮 佛温拿斯 - Up Where We Belong

Qaf 顾况 | w_freq: 3 - 1 | wiki_freq: 87 - 48 | sentence_idx: 496212 | align_1: 3-0 | align_2: 4-6 | ner_entity: Qaf-顾况 |    ( By ) Qaf and the glorious Quran ( 50:1 ) . ||| 顾况 （ 生卒年 不详 ）  ， 字 逋翁  ， 号 华阳 真逸 （ 一 说 华阳 真隐 ）  。

Trans4mind Trans4mind | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 505493 | align_1: 3-3 | align_2: 4-11 | ner_entity: Trans4mind-none |    So when a Trans4mind reader , Bob T. , wrote me from Nevada , I was delighted . ||| 所以 当 一个 Trans4mind （ © 真 我 品位 ） 的 读者 鲍勃 从 内 达 华州 写信 给 我 时 ， 我 非常 高兴 。

Qi’da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 514116 | align_1: 9-6 | align_2: 10-11 | ner_entity: Qi’da-none |    Thus , Sunday will be the 30th of Zhil Qi’da and Monday the first day of Zhil Hijjah . ” ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。

WTH 谢德·西莫夫 | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 520804 | align_1: 2-0 | align_2: 3-11 | ner_entity: none-谢德·西莫夫 |    Home World WTH What Every Man Thinks About Apart From Sex ||| 谢德·西莫夫 《 除了性 每个 男人 还 在 想 什么 》 （ What Every Man Thinks About Apart from Sex ）

ho'oponopono oponopono | w_freq: 3 - 3 | wiki_freq: 2 - 0 | sentence_idx: 521768 | align_1: 24-28 | align_2: 25-33 | ner_entity: none-' oponopono |    Blaming is much easier than total responsibility , but speaking with Dr. Len , I started to realize that healing for him and in ho'oponopono means loving yourself . ||| 责怪 比 「 完全 负责 」 容易 得 多 ， 但是 当 我 与 Len医师 谈话 时 ， 我 开始 了解 ， 对 他 与 「 ho ' oponopono 」 而言 ， 治愈 意味着 「 爱 你 自己 」 。

Zilpah 2�3i | w_freq: 1 - 1 | wiki_freq: 91 - 0 | sentence_idx: 527059 | align_1: 82-128 | align_2: 83-135 | ner_entity: Zilpah-none |    Now the sons of Jacob were twelve [ and at least one daughter , Dinah ] : The sons of Leah ; Reuben , Jacob 's firstborn , and Simeon , and Levi , and Judah [ the line of Jesus Christ ] , and Issachar , and Zebulun : The sons of Rachel ; Joseph , and Benjamin : And the sons of Bilhah , Rachel 's handmaid [ servant ] ; Dan , and Naphtali : And the sons of Zilpah , Leah 's handmaid [ servant ] : Gad , and Asher : these are the sons of Jacob , which were born to him in Padan-aram . ~ Genesis 35:22 - 26 ||| 一 . 选择题 ： 本题 共 12 小题 ， 每 小 题 5 分 ， 在 每 小 题 给出 的 四 个 选项 中 ， 只有 一 项 是 符合 题 目 要求 . 1 ． 已 知 集合 A={1 ， 2 ， 3 } ， B={1 ， 3 } ， 则 A∩B = （ ） A．{2 } B．{1 ， 2 } C．{1 ， 3 } D．{1 ， 2 ， 3 } 【 考点 】 交集 及其 运算 ． 【 分析 】 直接 利用 集合 的 交集 的 求法 求解 即可 ． 【 解答 】 解 ： 集合 A={1 ， 2 ， 3 } ， B={1 ， 3 } ， 则 A∩B = { 1 ， 3 } ． 故选 ： C ． 2．若（1+i ） + （ 2�3i ） =a+bi （ a ， b∈R ， i 是 虚数 单位 ） ， 则 a ， b 的 值 分别 等于 （ A．3 ， � 2 B．3 ， 2 C．3 ， � 3 D．�1 ， 4 ）

Parfumeur Parfumeur | w_freq: 2 - 4 | wiki_freq: 30 - 0 | sentence_idx: 531982 | align_1: 16-28 | align_2: 16-43 | ner_entity: Parfumeur-none |    Reviews of the The Diary of a Nose : A Year in the Life of a Parfumeur ||| 作品 ： 调香师 日记 : 爱马仕 香水 大师 艾连纳 的 创作 生活 与 哲学 、 The Diary of a Nose : A Year in the Life of a Parfumeur 、 The Diary of a Nose : A Year in the Life of a Parfumeur

ACUMEN ACUMEN | w_freq: 2 - 4 | wiki_freq: 4 - 0 | sentence_idx: 546556 | align_1: 8-11 | align_2: 9-16 | ner_entity: ACUMEN-ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 |    Allegis Global Solutions developed its analytics program , ACUMEN Workforce Intelligence , with the goal of understanding three things : How are programs performing ? ||| Allegis Global Solutions 公司 开发 了 个 分析 项目 ， 即 ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 ， 其 目标 是 掌握 三 件 事情 ： 项目 是 如何 执行 的 ?

Keiss Keiss | w_freq: 1 - 1 | wiki_freq: 71 - 0 | sentence_idx: 552834 | align_1: 9-7 | align_2: 10-11 | ner_entity: Keiss-none |    “ I can not in any case agree with Keiss that my whole conception of the external world has been derived from perceptions . ||| “ 无论如何 ， 我 不 能 同意 Keiss 的 观点 ， 即 我 对外部 世界 的 整个 概念 都 源于 感知 。

Lebork- Lebork | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 560841 | align_1: 3-5 | align_2: 4-11 | ner_entity: Lebork--none |    Transport : within Lebork- Lebork is a fairly small town so you can virtually get around almost everywhere on foot . ||| 交通 ： 在 伦堡 ( Lebork ) 内 —— 伦堡 ( Lebork ) 是 一个 相当 小 的 城市 ， 所以 你 几乎 可以 步行 到达 所有 地方 。

Unnati Unnati | w_freq: 1 - 1 | wiki_freq: 55 - 0 | sentence_idx: 561868 | align_1: 34-31 | align_2: 35-36 | ner_entity: Project Unnati-none |    What he does not know as yet are about programs like Coca-Cola NDTV Support My School that are helping create 1,000 model schools for children in rural and sub-urban areas ; or about Project Unnati that is helping farmers double their income from mango produce . ||| 他 还 不 了解 可口可乐 NDTV 支持 我 的 学校 这样 的 计划 ， 该 计划 正在 帮助 为 农村 和 郊区 儿童 建立 1000 所 示范 学校 ； 或 有关 Unnati 项目 的 内容 ， 该 项目 正在 帮助 农民 将 芒果 产品 的 收入 提高 一 倍 。

SISA SISA | w_freq: 1 - 1 | wiki_freq: 37 - 1 | sentence_idx: 567249 | align_1: 2-1 | align_2: 3-6 | ner_entity: SISA-none |    Students considering SISA should have a love of cultures , languages , and diversity . ||| 考虑 SISA 完备 的 学生 ， 应该 有 一个 爱 的 文化 ， 语言 和 多样性 。

Nurr1 Nurr1 | w_freq: 6 - 2 | wiki_freq: 7 - 0 | sentence_idx: 571163 | align_1: 5-4 | align_2: 6-9 | ner_entity: Nurr1-none |    Researchers have modified the protein Nurr1 so that it can enter cells from the outside . ||| 研究 人员 对 蛋白质 Nurr1 进行 了 修饰 ， 使 其 可以 从 外部 进入 细胞 。

Mougayar Mougayar | w_freq: 3 - 1 | wiki_freq: 0 - 0 | sentence_idx: 578866 | align_1: 2-1 | align_2: 3-5 | ner_entity: Mougayar-none |    According to Mougayar this shows that it is “ not just as a currency , [ but ] a utility . ” ||| 根据 Mougayar 的 说法 ， 这 表明 它 “ 不仅仅 是 一 种 货币 ， 而且 是 一 种 效用 。

Al-Iraq Al-Iraq | w_freq: 1 - 1 | wiki_freq: 23 - 0 | sentence_idx: 581928 | align_1: 0-0 | align_2: 1-7 | ner_entity: Al-Iraq-Al-Iraq |    Al-Iraq was a daily newspaper focusing on politics , literature , and the economy , first published in Baghdad on June 1 , 1920 . ||| Al-Iraq （ 《 伊拉克 报 》 ） 是 一 份 专注于 政治 、 文学 和 经济 的 日报 ， 于 1920 年 6 月 1 日 在 巴格达 首次 出版 。

Unbinding Unbinding | w_freq: 1 - 2 | wiki_freq: 31 - 0 | sentence_idx: 595771 | align_1: 4-4 | align_2: 5-13 | ner_entity: The Word of Unbinding-none |    " The Word of Unbinding " ( 1964 ) ||| " The Word of Unbinding （ 英语 ： The Word of Unbinding ） " （ 1964年 ）

CIMs CIM | w_freq: 1 - 5 | wiki_freq: 3 - 44 | sentence_idx: 597375 | align_1: 20-17 | align_2: 21-22 | ner_entity: CIMs-none |    We host two of the National EPSRC Centres for Innovative Manufacturing ( CIM ) , are partners in another three CIMs and lead two EPSRC Centres for Doctoral Training , all of which represent funding of more than £ 90 m. ||| 我们 拥有 两 个 国家 EPSRC 创新 制造 中心 ( CIM ) ， 是 另外 三 个 CIM 的 合作 伙伴 ， 并 领导 两 个 EPSRC 博士 培训 中心 ， 所有 这些 资金 都 超过 9000万 英镑 。

INAUDIBLE 巴打 | w_freq: 6 - 1 | wiki_freq: 1 - 19 | sentence_idx: 603994 | align_1: 2-7 | align_2: 3-13 | ner_entity: none-巴打 |    the [ INAUDIBLE ] The actor of the movie dies by being chased by wolves . ||| 剧 中 有 个 角色 叫 「 巴打 」 （ 罗 钧满 饰 ） ， 为 李巧欣 （ 乐 瞳饰 ） 追求者 。

Tzu-hsu WuTzuhsu | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 604340 | align_1: 20-18 | align_2: 21-23 | ner_entity: Wu Tzu-hsu-none |    But if one can command the services of a good general like Sun Tzu , who was employed by Wu Tzu-hsu , there is no need to learn it oneself . ||| 但是   ， 如果 一个 人 可以 指挥 一个 像 SunTzu 一样 的 好 将军 谁 受雇于 WuTzuhsu  ，   ， 没有 必要 自己 去 学习   。

Galletiae Galletiae | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 607300 | align_1: 13-14 | align_2: 14-18 | ner_entity: Galletiae-none |    He was also titled " Prince of all Galicia " ( Princeps totius Galletiae ) . ||| 他 也 拥有 「 全 加利西亚 亲王 」 （ 拉丁语 ： Prince ps totius Galletiae [ 1 ] ） 的 头衔 。

Aesir-folk 犹庶 | w_freq: 1 - 1 | wiki_freq: 0 - 1 | sentence_idx: 610996 | align_1: 2-1 | align_2: 3-6 | ner_entity: Aesir-folk-none |    and the Aesir-folk are in despair . ||| ， 犹庶 几 “ 庶几 ” 犹言 希望 。

Optane Optane | w_freq: 3 - 2 | wiki_freq: 47 - 5 | sentence_idx: 614673 | align_1: 5-3 | align_2: 6-9 | ner_entity: Optane-Optane |    What about 3D XPoint / Optane ? ||| 3D XPoint / Optane （ 闪腾 ） 是 什么 ？

Barkindo Barkindo | w_freq: 4 - 1 | wiki_freq: 49 - 0 | sentence_idx: 617902 | align_1: 7-8 | align_2: 8-16 | ner_entity: Mohammad Barkindo-Mohammad Barkindo |    In a meeting with OPEC Secretary-General Mohammad Barkindo , a senior Iranian diplomat urged him to keep the group out of politics . ||| 在 与 OPEC 秘书长 巴尔金 多 ( Mohammad Barkindo ) 举行 的 一 次 会议 上 ， 一 名 伊朗 高级 外交官 敦促 他 将 OPEC 扫除 在 政治 之外 。

Lievone Lievone | w_freq: 3 - 3 | wiki_freq: 0 - 0 | sentence_idx: 621350 | align_1: 8-8 | align_2: 9-16 | ner_entity: Alberto Lievone-Alberto Lievone |    In 1977 , he partnered up with Alberto Lievone and they had worked together until 1984 . ||| 1977年    ， 他 与 Alberto Lievone 结成 合作 伙伴    ， 并 共同 工作 直至 1984年    。

Lievone Lievone | w_freq: 3 - 3 | wiki_freq: 0 - 0 | sentence_idx: 621351 | align_1: 8-7 | align_2: 9-13 | ner_entity: Alberto Lievone-Alberto Lievone |    In 1977 , he partnered up with Alberto Lievone and they had worked together until 1984 . ||| 1977年   ， 他 与 Alberto Lievone 结成 合作 伙伴  ， 并 共同 工作 直至 1984年  。

Lievone Lievone | w_freq: 3 - 3 | wiki_freq: 0 - 0 | sentence_idx: 621352 | align_1: 8-5 | align_2: 9-10 | ner_entity: Alberto Lievone-Alberto Lievone |    In 1977 , he partnered up with Alberto Lievone and they had worked together until 1984 . ||| 1977年 ， 他 与 Alberto Lievone 结成 合作 伙伴 ， 并 共同 工作 直至 1984年 。

Heying Heying | w_freq: 1 - 1 | wiki_freq: 36 - 0 | sentence_idx: 625961 | align_1: 8-9 | align_2: 9-14 | ner_entity: Heying-none |    A recent episode featuring Bret Weinstein and Ms. Heying talking about gender , hotness , beauty and # MeToo was viewed on YouTube over a million times , even though the conversation lasted for nearly three hours . ||| 最近 一 集 以 Bret Weinstein 和 [ Heather Heying ] 为 主题 ， 谈论 性别 ， 热情 ， 美女 和 # MeToo ， 在 YouTube 上 被 观看 了 一百 多 万 次 ， 尽管 谈话 持续 了 将近 三 个 小时 。

Bourlès RenaudBourlès | w_freq: 1 - 1 | wiki_freq: 9 - 0 | sentence_idx: 637081 | align_1: 27-30 | align_2: 28-39 | ner_entity: Renaud Bourlès-none |    “ When you have a longer working day , at some point because you ’re becoming tired , it decreases your productivity , ” French economist Renaud Bourlès told Businessweek . ||| " 当 你 有 一个 较 长 的 工作日 时 ， 有些 时候 你 变 得 很 累 ， 因为 它 减少 你 的 工作 效率 ， " 法国 经济学家 RenaudBourlès 在 《 商业 周刊 》 的 文章 中 说道 。

TRIPs TRIPS | w_freq: 2 - 36 | wiki_freq: 58 - 34 | sentence_idx: 637142 | align_1: 5-4 | align_2: 6-8 | ner_entity: TRIPs-none |    Neither the Paris Convention nor TRIPs provides any specific standard for the novelty of design patents . ||| 无论是 巴黎 公约 还是 TRIPS ， 都 未 规定 外观 设计 专利 新颖性 的 具体 标准 。

ORWELL 欧威尔 | w_freq: 1 - 3 | wiki_freq: 1 - 57 | sentence_idx: 637801 | align_1: 2-3 | align_2: 3-14 | ner_entity: none-欧威尔 |    CHURCHILL AND ORWELL : The Fight for Freedom . ||| 《 邱吉尔 和 欧威尔 —— 为 自由 而 战 》 ( Churchill and Orwell : The Fight for Freedom ) 。

Glassley Glassley | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 648443 | align_1: 11-9 | align_2: 12-15 | ner_entity: William E. Glassley-none |    Very few people have spent as much time as William E. Glassley in such deep wilderness . ||| “ 很少 有人 像 威廉·E·格拉斯利 （ William E . Glassley ） 一样 如此 深入 地 在 荒野 中 度过 这么 长 时间 。

Alexandrovitch 阿列克谢·亚历山德罗维奇 | w_freq: 36 - 22 | wiki_freq: 46 - 2 | sentence_idx: 648971 | align_1: 23-24 | align_2: 24-29 | ner_entity: Alexey Alexandrovitch-阿列克谢·亚历山德罗维奇 |    " I did not tell you yesterday , " she began , breathing quickly and painfully , " that coming home with Alexey Alexandrovitch I told him everything . . . told him I could not be his wife , that . . . and told him everything . " ||| 「 我 昨天 没有 告诉 你 ， 」 她 开口 说 ， 迅速 而 又 痛苦 地 呼吸 著 ， 「 在 我 和 阿列克谢·亚历山德罗维奇 回家 的 路上 ， 我 把 一切 都 告诉 他 了 …… 告诉 他 我 不 能 做 他 的 妻子 了 …… 把 一切 都 告诉 他 了 。

Burik Burik | w_freq: 1 - 1 | wiki_freq: 31 - 1 | sentence_idx: 654181 | align_1: 5-5 | align_2: 6-9 | ner_entity: Joe van Burik-none |    Q : ( Joe van Burik ) To all three of you : would you say getting the tyres right on Sunday is more crucial and trickier here than ever this season ? ||| 问 ： （ Joe van Burik - Autocar NL ） 对 你们 三 个人 来说 ： 你们 说 在 周日 获得 正确 的 轮胎 在 这个 赛季 比 以往 任何 时候 都 更加 关键 和 棘手 吗 ？

KABUL 阿布尔 | w_freq: 2 - 1 | wiki_freq: 4 - 23 | sentence_idx: 664993 | align_1: 0-1 | align_2: 1-5 | ner_entity: KABUL-阿富汗 阿布尔 |    KABUL — In his final address to Afghanistan ’s parliament Saturday , President Hamid Karzai said U.S. soldiers can leave at the end of the year because his military already protects 93 percent of the country and was ready to take over entirely . ||| 阿富汗 阿布尔 （ 美联社 ） - 周六 ， 阿富汗 总统 哈米德·卡尔扎伊 在 对 阿富汗 议会 的 最后 讲话 中 告诉 美国 ， 其 士兵 可以 在 年底 离开 ， 因为 他 的 军队 已经 保护 了 该国 93％ 的 军队 ， 他 已 准备 好 完全 接管 。

Bolton- 麦可波顿 | w_freq: 1 - 1 | wiki_freq: 0 - 2 | sentence_idx: 666051 | align_1: 1-4 | align_2: 2-14 | ner_entity: Michael Bolton--麦可波顿 |    Michael Bolton- When I ’m back on my feet again . ||| 美国 创作 歌手 ［ 麦可波顿 ］ ─ 流行 抒情 曲─ 追忆 亡父 的 ［ When I ’ m Back On My Feet Again ］

FP2 FP2 | w_freq: 14 - 14 | wiki_freq: 54 - 13 | sentence_idx: 676809 | align_1: 9-6 | align_2: 10-11 | ner_entity: FP2-none |    Verstappen ’s team mate Pierre Gasly crashed out of FP2 but recovered to P4 in qualifying – that ’s his best start in F1 so far . ||| Verstappen 的 队友 Pierre Gasly 从 FP2 中 摔 出 ， 但 在 排位赛 中 恢复 到 P4 – 这是 他 迄今为止 在 F1 最好 的 开端 。

HONmedia HONmedia | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 678061 | align_1: 1-1 | align_2: 2-5 | ner_entity: HONmedia-“ HONmedia |    " HONmedia is an unique repository of over 6,800 medical images and videos , pertaining to 1,700 topics and themes . " ||| “ HONmedia （ 图像库 ） 是 一个 超过 6,800 个 医学 图像 和 视频 的 独特库 ， 涉及 1,700 个 主题 和 主题 。

Chuchu Chuchu | w_freq: 2 - 2 | wiki_freq: 96 - 1 | sentence_idx: 695516 | align_1: 20-22 | align_2: 21-28 | ner_entity: Lin Chuchu-none |    HoneyCC likes to say that she scarcely remembers the last time someone called her by her given name , Lin Chuchu . ||| HoneyCC 喜欢 说 ， 她 几乎 不 记得 上 一 次 有人 喊 她 真实 的 名字 林楚楚 （ 音译 ， Lin Chuchu ） 是 什么 时候 了 。

Diamonds- DIAMONDS | w_freq: 1 - 1 | wiki_freq: 4 - 2 | sentence_idx: 695553 | align_1: 3-12 | align_2: 4-18 | ner_entity: Marina and the Diamonds--none |    Marina and the Diamonds- How to be Heartbreaker ||| 上 一 篇 ： 每日 好歌 ( 25 ) MARINA AND THE DIAMONDS ( 玛琳娜 钻石 ) - How to be a heartbreaker ( 怎样 成为 一个 爱情 杀手 )

Shivaree Shivaree | w_freq: 2 - 2 | wiki_freq: 71 - 3 | sentence_idx: 702130 | align_1: 0-0 | align_2: 1-17 | ner_entity: Shivaree-none |    Shivaree – I Oughtta Give You A Shot In The Head For Making Me Live In This Dump ||| Shivaree 是 一个 美国 另类 摇滚 乐团 ， 成立 于 1999年 ， 同年 推出 首 张 大碟 “ I Oughtta Give You a Shot in the Head for Making Me Live in this Dump ” 。

HeForShe HeForShe | w_freq: 6 - 5 | wiki_freq: 92 - 6 | sentence_idx: 715897 | align_1: 2-1 | align_2: 3-7 | ner_entity: HeForShe-none |    With the HeForShe movement we would like to be able to say well here ’s the difference that it makes , if the world says it ’s going to take us 270 years to achieve equality , I would like to at least prove to you with the right kind of leadership and commitment by engaging men who hold mostly all the power , this can make the biggest progress . ||| 通过 HeForShe （ 他 为 她 ） 运动 ， 我们 可以 说 ， 其 影响 就 在于 ， 如果 世界 说 我们 要 花 270年 才能 实现 平等 ， 我 至少 可以 向 你 证明 ， 只要 有 合适 的 领导力 和 承诺 ， 让 那些 几乎 拥有 所有 权力 的 男性 参与 进来 ， 我们 就 能 取得 最 大 的 进展 。

Shelfie SHELFIE | w_freq: 2 - 2 | wiki_freq: 4 - 0 | sentence_idx: 723507 | align_1: 2-3 | align_2: 3-7 | ner_entity: Happy Library Shelfie Day-none |    Happy Library Shelfie Day ! ||| 幸福 图书馆 “ SHELFIE ” 的 一 天 ！

etherpad-restore.wikimedia.org etherpad-restore.wikimedia.org | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 727810 | align_1: 5-3 | align_2: 6-8 | ner_entity: none-etherpad-restore.wikimedia.org |    They can be found at etherpad-restore.wikimedia.org for another few days . ||| 它们 可 在 etherpad-restore.wikimedia.org 找到 ， 会 显示 为 另外 几 天 。

