Jurij Jurijus | w_freq: 1 - 2 | wiki_freq: 607 - 1 | sentence_idx: 1040 | align_1: 1-1 | align_2: 2-6 | entity: Jurij Veklenko - none |    Lithuania Jurij Veklenko " Run with the Lions " English 11 93 ||| 立陶宛 Jurijus （ 英语 ： Jurijus Veklenko ） " Run with the Lions （ 英语 ： Run with the Lions ） " 英语 11 93 
Radagast 表兄拉达加斯特 | w_freq: 3 - 2 | wiki_freq: 92 - 0 | sentence_idx: 12417 | align_1: 24-23 | align_2: 25-27 | entity: Radagast - none |    ' I have heard of you , if you have not heard of me ; but perhaps you have heard of my good cousin Radagast who lives near the southern borders of Mirkwood ? ' ||| “ 我 听说 过 你    ， 如果 你 没有 听说 过 我 ； 也许 你 听说 过 我 的 好 表兄拉达加斯特   ， 他 住在 米尔克伍德 南部 边境 附近   。 

Byington Byington | w_freq: 1 - 1 | wiki_freq: 540 - 2 | sentence_idx: 21866 | align_1: 1-3 | align_2: 2-8 | entity: Byington - none |    Spring Byington ( You Ca n't Take it With You ) ||| 斯普林·白灵顿 （ Spring Byington ） 《 浮生若梦 》 （ You Can't Take It with You ） 

ETs ETS | w_freq: 6 - 18 | wiki_freq: 54 - 164 | sentence_idx: 22982 | align_1: 8-6 | align_2: 9-10 | entity: ETs - none |    The higher-ups usually know about a handful of ETs , that are here now , but they are ordered to keep silent about it . ||| 上级 通 虽然 常 知道 少数 ETS （ 外星人 ） ， 现在 已经 在 这里 了 ， 但 他们 被 命令 保持 缄默 。 

Prystaiko Prystaiko | w_freq: 1 - 1 | wiki_freq: 40 - 0 | sentence_idx: 23374 | align_1: 10-13 | align_2: 11-18 | entity: Prystaiko - none |    Foreign Minister Ann Linde said she had spoken to Mr Prystaiko . ||| 外交大臣 安·林德 （ Ann Linde ） 说 ， 她 已经 与 普雷斯塔科 （ Prystaiko ） 进行 了 交谈 。 

M165 M165 | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 24716 | align_1: 5-7 | align_2: 6-12 | entity: Leica M165 - none |    “ But with the Leica M165 we can also examine gene expression under the stereomicroscope – using markers like GFP . ” ||| “ 但是   , 与 Leica M165    , 我们 还 可以 检查 基因 表达 的 体视 显微镜 下 - 利用 标记 GFP 一样      。 

ministryoftesting.com ministryoftesting.com | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 25075 | align_1: 5-4 | align_2: 6-9 | entity: none - ministryoftesting.com |    Use twitter or sites like ministryoftesting.com to find other testers working on applications similar to yours , and ask what tools they use . ||| 使用 Twitter 或者 像 ministryoftesting.com 那样 的 网站 ， 来 寻找 与 你 的 应用 程序 类似 的 其他 测试 人员 ， 并 向 他们 询问 使用 的 什么 工具 。 

DK1 DK1时 | w_freq: 2 - 2 | wiki_freq: 41 - 0 | sentence_idx: 25391 | align_1: 18-24 | align_2: 19-28 | entity: Oculus DK1 - none |    Designing experiences for VR is difficult , uncertain and complicated but when I first tried on an Oculus DK1 I knew right away I had to try . ||| 设计 VR 体验 非常 困难 复杂    ， 并且 充满 了 不确定性   ， 但 当 我 第一 次 尝试 Oculus DK1时   ， 我 马上 意识 到 我 必须 涉足 其中   。 

Interfaces Interface | w_freq: 9 - 25 | wiki_freq: 781 - 287 | sentence_idx: 25971 | align_1: 38-33 | align_2: 39-39 | entity: Akamai NetSession Interfaces - none |    ( a ) You agree that the Software may send and receive commands and data related to participating publishers ' digital information ( " Published Content " ) to and from the Akamai network and other Akamai NetSession Interfaces to facilitate the downloading of Published Content . ||| ( a ) 您 同意 本 软件 可 将 参与 发行商 的 数字 信息 （ “ 发布 内容 ” ） 相关 的 命令 和 数据 发送 到 Akamai 网络 和 其他 Akamai NetSession Interface 并 从 其 接收 ， 以 促进 发布 内容 的 下载 。 

Valtteri Valtteri | w_freq: 34 - 28 | wiki_freq: 764 - 3 | sentence_idx: 30698 | align_1: 5-7 | align_2: 6-11 | entity: Valtteri - none |    I won nine races and Valtteri won three , but there are 20 races , and a perfect season is when you win every single one of them . ||| 我 赢 了 九 场 比赛 ， Valtteri [ Bottas ] 赢 了 三 场 ， 但是 有 20 场 比赛 ， 而 一个 完美 的 赛季 就是 你 赢得 每 一 场 比赛 。 

Lanayru FIN | w_freq: 1 - 5 | wiki_freq: 4 - 25 | sentence_idx: 32130 | align_1: 1-0 | align_2: 2-5 | entity: Lanayru - none |    The Lanayru Province ( ||| FIN : 芬兰 航空 公司 Finnair （ 

Wearstler Wearstler | w_freq: 2 - 2 | wiki_freq: 101 - 0 | sentence_idx: 36156 | align_1: 7-5 | align_2: 8-13 | entity: Kelly Wearstler - Kelly Wearstler |    After stints at Marmol Radziner and Kelly Wearstler he founded his own interior architecture and design firm in 2002 and has since been fortunate enough to have worked on some of the most significant historical residential modernist homes in the US . ||| 在 Marmol Radziner 和 Kelly Wearstler 工作 了 一 段 时间 后 ， 他 于 2002年 创立 了 自己 的 室内 建筑 和 设计 公司 ， 并且 有幸 在 美国 一些 最 重要 的 历史 住宅 现代主义 住宅 工作 。 

Moan Moan | w_freq: 1 - 1 | wiki_freq: 301 - 1 | sentence_idx: 38156 | align_1: 2-2 | align_2: 3-6 | entity: Ludovic Le Moan - Ludovic Le Moan |    Ludovic Le Moan : As already said , I do n’t believe that LoRa is a candidate for a global IoT network . ||| Ludovic Le Moan （ SigFox ） ： 如前所述 ， 我 不 认为 LoRa 是 全球物 联网 网络 的 候选 对象 。 

Cheminformatics Cheminformatics | w_freq: 1 - 3 | wiki_freq: 28 - 2 | sentence_idx: 45436 | align_1: 35-50 | align_2: 36-58 | entity: Journal of Cheminformatics - none |    Since then , both spellings have been used , and some have evolved to be established as Cheminformatics,[3 ] while European Academia settled in 2006 for Chemoinformatics.[4 ] The recent establishment of the Journal of Cheminformatics is a strong push towards the shorter variant . ||| 从 那时 起 ， 两 种 拼写 已 被 使用 ， 有些 已经 演变 为 化学 信息学 （ Cheminformatics ） [ 3 ] ， 而 欧洲 学术 研究会 于 2006年 设立 为 化学 信息 学[ 4 ] ， 最近 成立 的 《 化学 信息学 学报 （ 英语 ： Journal of Cheminformatics ） 》 （ Journal of Cheminformatics ） 是 对 较 短 变体 的 强力 推动 。 

Caiaphas 魔子 | w_freq: 1 - 2 | wiki_freq: 357 - 14 | sentence_idx: 46578 | align_1: 0-1 | align_2: 1-6 | entity: Caiaphas - none |    Caiaphas called forth Satan to talk the matter over with him . ||| 裂天 魔子 大 吼 出声 ， 召唤 出来 了 他 的 魔神 分身 。 

Mahashivaratri Mahashivratri | w_freq: 1 - 1 | wiki_freq: 73 - 0 | sentence_idx: 49604 | align_1: 33-41 | align_2: 34-46 | entity: Mahashivaratri - none |    I am thinking we will run 21-day Hata Yoga programs in the ashram , maybe once in two or three months , and we will start somewhere in March 2013 , maybe after Mahashivaratri . ||| 我 在 想 我们 将 在 静修 所 举办 为期 21 天 的 哈 他 瑜伽 课程 ， 可能 是 两 到 三 个 月 一 次 ， 我们 将 在 2013年 3月 的 某个 时间 开始 ， 也许 是 在 Mahashivratri （ 大湿婆夜 ） 之后 。 

Kubernetes Kubernetes | w_freq: 73 - 70 | wiki_freq: 370 - 62 | sentence_idx: 50315 | align_1: 7-6 | align_2: 8-11 | entity: Kubernetes - none |    With services like Seldon , Kubeflow and Kubernetes soon machine learning will be another part of the stack . ||| 通过 像 Seldon ， Kubeflow 和 Kubernetes 这样 的 服务 ， 很快 机器 学习 将 成为 堆栈 的 另 一部分 。 

Shelfie SHELFIE | w_freq: 2 - 2 | wiki_freq: 4 - 0 | sentence_idx: 60019 | align_1: 3-3 | align_2: 4-7 | entity: Happy Library Shelfie Day - none |    And Happy Library Shelfie Day ! ||| 幸福 图书馆 “ SHELFIE ” 的 一 天 ！ 

boyant 威利·博伊德 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 60801 | align_1: 9-9 | align_2: 10-15 | entity: none - 威利·博伊德 |    I goes into the world , sir , wery boyant , and I tries this . ||| 我 进入 了 世界  ， 先生  ， 威利·博伊德 ( WeryBoyant )   ， 我 试图 这样 做   。 

Crimble Crimble | w_freq: 1 - 1 | wiki_freq: 42 - 0 | sentence_idx: 61763 | align_1: 1-3 | align_2: 2-7 | entity: Crimble - none |    Happy Crimble , with love from us to you . ||| “ 快乐 的 Crimble （ 圣诞节 ） ， 伴随 着 我们 对 你 的 爱 。 

Poldark 罗斯•波尔达克 | w_freq: 1 - 1 | wiki_freq: 413 - 0 | sentence_idx: 62725 | align_1: 7-4 | align_2: 8-8 | entity: Ross Poldark - 罗斯•波尔达克 |    Following the death of Elizabeth , Ross Poldark resolves to put Westminster behind him and spend more time with the people he loves . ||| 伊丽莎白 去世 后 ， 罗斯•波尔达克 ( 艾丹•特纳饰 ) 决定 把 威斯敏斯特 抛 在 身后 ， 花 更 多 的 时间 和 他 爱 的 人 在 一起 。 

NFPA NFPA | w_freq: 14 - 14 | wiki_freq: 619 - 27 | sentence_idx: 63825 | align_1: 2-2 | align_2: 3-8 | entity: NFPA - none |    Earlier today NFPA released the most recent " Home Fires Involving Cooking Equipment " report , detailing national statistics from 2007 to 2011 . ||| 近日 ， NFPA （ 美国 消防 协会 ） 发布 了 最新 一 期 “ 与 烹饪 器具 相关 的 住宅 火灾 ” 的 报告 ， 报告 中 详细 给出 了 2007年 至 2011年 间 全国 的 统计 数据 。 

Achimelekh 瑜伽师 | w_freq: 1 - 4 | wiki_freq: 0 - 241 | sentence_idx: 66521 | align_1: 4-1 | align_2: 5-7 | entity: Achimelekh - none |    And David said unto Achimelekh , " And is there perhaps here under your hand spear or sword ? ||| 「 瑜伽师 地 论 」 卷 二五 ， 「 云何 应颂 ？ 谓 于 中间 ， 或 于 最后 ， 宣说 伽 他 。 

georgie 乔治波吉布丁 | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 70341 | align_1: 0-2 | align_2: 1-7 | entity: none - 乔治波吉布丁 |    georgie porgie .. pudding and pie .. ||| 10 . 乔治波吉布丁 与 派 ( Georgie Porgie Pudding and Pie ) 。 

Eastasia Eastasia | w_freq: 5 - 4 | wiki_freq: 39 - 0 | sentence_idx: 71161 | align_1: 11-9 | align_2: 12-15 | entity: Eastasia - none |    ’ When I was arrested , Oceania was at war with Eastasia . ||| ” “ 当 我 被 逮捕 , 大洋洲 是 Eastasia 交战 ”    。 

Belbeuf Belbeuf | w_freq: 2 - 2 | wiki_freq: 27 - 1 | sentence_idx: 79620 | align_1: 23-25 | align_2: 24-33 | entity: Marquise de Belbeuf - none |    During this period , she embarked on a series of relationships with other women , notably with Mathilde de Morny , Marquise de Belbeuf ( “ Missy ” ) , with whom she sometimes shared the stage . ||| 在 这些 年 里 ， 她 与 一些 女性 开始 了 一 系列 的 恋情 ， 特别 是 与 Mathilde de Morny , Marquise de Belbeuf （ 英语 ： Mathilde de Morny ） （ “ Missy ” ） 的 关系 ， 她 有时 与 她 一起 演 舞台剧 。 

Oury Oury | w_freq: 1 - 1 | wiki_freq: 277 - 8 | sentence_idx: 81299 | align_1: 11-11 | align_2: 12-17 | entity: Gérard Oury - Gérard Oury |    She then lived with film director and actor / writer Gérard Oury until his death in 2006.[4 ] ||| 然后 ， 她 与 电影 演员 / 作家 杰拉德·欧利 （ Gérard Oury ） 住 在 一起 ， 直到 他 在 2006年 死亡 。 

Taza 塔查 | w_freq: 3 - 2 | wiki_freq: 485 - 6 | sentence_idx: 87873 | align_1: 6-5 | align_2: 7-11 | entity: Taza - 塔查 |    PISA needs more buyers such as Taza to grow its business and expand its environmental and social impact . ||| PISA 需要 更 多 如同 塔查 巧克力 一样 的 客户 ， 以 扩大 其 营运 并 拓展 其 环境 及 社会 影响力 。 

Artsvik Artsvik | w_freq: 1 - 2 | wiki_freq: 41 - 0 | sentence_idx: 100569 | align_1: 2-3 | align_2: 3-9 | entity: Armenia Artsvik - none |    16 Armenia Artsvik " Fly with Me " English 7 152 ||| 16 亚美尼亚 英语 Artsvik （ 英语 ： Artsvik ） " Fly with me " 跟 我 一起 飞去 7 152 

Anang-pal 佛前 | w_freq: 1 - 3 | wiki_freq: 0 - 60 | sentence_idx: 100747 | align_1: 1-1 | align_2: 2-6 | entity: Anang-pal - none |    by Anang-pal , and that the more extensive , though weaker , ||| 今于 佛前 ， 自 说 誓言 ， 其 多 宝佛 ， 虽 久 灭度 ， 

Scriptum Scriptum | w_freq: 1 - 1 | wiki_freq: 18 - 0 | sentence_idx: 104617 | align_1: 13-11 | align_2: 14-17 | entity: Scriptum - none |    According to Balcells , this is exactly what they ’ve seen since launching Scriptum , adding that they ’re very encouraged by the high levels of interest the app generated so far . ||| 根据 Balcells 的 说法 ， 这 正是 他们 自 推出 《 Scriptum 》 以来 所 看到 的 ， 并 补充 说 他们 对 应用 程序 迄今为止 产生 的 高度 兴趣 感到 非常 兴奋 。 

detaine[d] 严正花 | w_freq: 1 - 2 | wiki_freq: 0 - 8 | sentence_idx: 106871 | align_1: 31-27 | align_2: 32-35 | entity: none - 严正花 |    Over the last five years , a series of people formerly held in GEO Group ’s private immigration [ prisons ] have sued the company over [ their enslavement while] … detaine[d] … [those ] who refuse [ are locked in ] solitary confinement . ||| ​ 15 年前 ， 名叫 西珍 的 小 女孩 遭 人 绑架 杀害 ， 重案组 警官 吴青浩 （ 金 相庆 饰 ） 虽 答应 西珍 母亲 （ 严正花 饰 ） 一定 将 凶手 绳之以法 ， 无奈 经过 漫长 的 追查 却 始终 一无所获 。 

aunty auntie | w_freq: 4 - 1 | wiki_freq: 84 - 0 | sentence_idx: 109856 | align_1: 4-2 | align_2: 5-13 | entity: none - auntie |    What about uncle and aunty ? Family , Kids ? … . ||| uncle 和 auntie （ 一般 人 ） 的 世界 是 什么 ？ 工作 ？ 家庭 ？ 孩子 ？ 

JAM JAM | w_freq: 7 - 5 | wiki_freq: 750 - 108 | sentence_idx: 115103 | align_1: 7-6 | align_2: 8-11 | entity: JAM - none |    Don Quijote should reduce its ownership in JAM to improve JAM ’s free float and liquidity . ||| Don Quijote 应 减少 其 在 JAM 持有 的 所有权 ， 以 改善 JAM 的 自由 浮动 及 流动性 。 

Belbeuf Belbeuf | w_freq: 2 - 2 | wiki_freq: 27 - 1 | sentence_idx: 117230 | align_1: 22-25 | align_2: 23-33 | entity: Marquise de Belbeuf - none |    During these years she embarked on a series of relationships with other women , notably with Mathilde de Morny , Marquise de Belbeuf ( " Missy " ) , with whom she sometimes shared the stage . ||| 在 这些 年 里 ， 她 与 一些 女性 开始 了 一 系列 的 恋情 ， 特别 是 与 Mathilde de Morny , Marquise de Belbeuf （ 英语 ： Mathilde de Morny ） （ “ Missy ” ） 的 关系 ， 她 有时 与 她 一起 演 舞台剧 。 

Hotels.com Hotels.com | w_freq: 1 - 1 | wiki_freq: 89 - 23 | sentence_idx: 129660 | align_1: 8-10 | align_2: 9-17 | entity: Hotels.com - none |    I usually make reservations through booking sites like Hotels.com and I ’m not a member of any reward programs . ||| 我 通常 会 通过 预订 酒店 的 网页 ， 比如 Hotels.com 来 预定 住宿 的 地方 ， 而 我 也 不是 什么 奖励 计划 的 会员 。 

Qur’an 主语 | w_freq: 172 - 4 | wiki_freq: 541 - 987 | sentence_idx: 133274 | align_1: 3-3 | align_2: 4-7 | entity: Qur’an - none |    Note : The Qur’an is not man-made . ||| 注 ： 若 主语 为 代词 ， 则 不 倒装 。 

Asla Asla | w_freq: 1 - 1 | wiki_freq: 40 - 1 | sentence_idx: 133394 | align_1: 2-2 | align_2: 3-8 | entity: York Banks Asla - none |    York Banks Asla , welcome to to the world . ” ||| York Banks Asla ( 她 的 儿子 ) ， 欢迎 来到 这个 世界 。 

ESFP ESFP型 | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 137571 | align_1: 2-1 | align_2: 3-5 | entity: ESFP - none |    For the ESFP making certain plans can be fun , especially if they are planning out something they truly want to do . ||| 对于 ESFP型 人 来说 ， 做 某些 计划 可能 很 有趣 ， 尤其是 他们 真正 想 做 的 事情 。 

Freemuse Freemuse | w_freq: 1 - 1 | wiki_freq: 40 - 0 | sentence_idx: 138699 | align_1: 0-8 | align_2: 1-12 | entity: Freemuse - 国际 组织 Freemuse |    Freemuse launched its annual report , The State of Artistic Freedom 2019 : Whose Narratives Count ? ||| 总部 设于 丹麦 哥本哈根 的 非政府 国际 组织 Freemuse ， 三月 底 发表 全球 艺术 自由 状况 年度 报告 The State of Artistic Freedom 2019 : Whose Narratives Count ? 

Rememberer �雕 | w_freq: 1 - 1 | wiki_freq: 13 - 0 | sentence_idx: 140201 | align_1: 9-10 | align_2: 10-17 | entity: Rememberer - none |    And certainly that holds true for Iris and The Rememberer . ||| 《 易经 》 ： 是 各种 学问 所 遵从 且 �雕 [ 不 变 的 依据 经典 。 

Victaulic Victaulic | w_freq: 1 - 1 | wiki_freq: 32 - 0 | sentence_idx: 142717 | align_1: 2-1 | align_2: 3-6 | entity: Victaulic - none |    Why did Victaulic decide to put time and resources into developing the new FireLock Installation-Ready Fittings ? ||| 为什么 Victaulic （ 唯 特利 ） 决定 投入 时间 和 资源 来 开发 新 的 FireLock 免拆 快装式 管件 ？ 

Ambras Ambras | w_freq: 1 - 1 | wiki_freq: 124 - 0 | sentence_idx: 144570 | align_1: 14-18 | align_2: 15-24 | entity: Castle Ambras - none |    Today the following permanent exhibitions are open to visitors : The History of Castle Ambras ; The Post Is Here ! ||| 目前 ， 博物馆 内 有 几 个 向 游客 开放 的 常设 展览 ： The History of Castle Ambras （ 安布拉斯城堡 的 历史 ） ; The Post Is Here ! 

Rencken Rencken | w_freq: 3 - 3 | wiki_freq: 11 - 0 | sentence_idx: 146276 | align_1: 4-4 | align_2: 5-8 | entity: Dieter Rencken - Dieter Rencken |    Q : ( Dieter Rencken ) Taking what the three of you have just said variously in reply to a question , it appears as though Liberty are intent on introducing a budget cap of about $ 150 m by the end of 2020 . ||| 问 : ( Dieter Rencken - Racing Lines ） 考虑 到 你们 三 人 刚刚 回答 一个 问题 所 说 的话 ， 似乎 Liberty 有意 在 2020年 底 之前 引入 约 1.5亿 美元 的 预算 上限 。 

frederic 弗雷德里克 | w_freq: 1 - 22 | wiki_freq: 2 - 722 | sentence_idx: 152353 | align_1: 0-0 | align_2: 1-5 | entity: none - 弗雷德里克 |    frederic resurrection of music ||| 弗雷德里克 ： 音乐 复兴 Frederic Resurrection of Music 

TÜV 南德 | w_freq: 15 - 4 | wiki_freq: 326 - 195 | sentence_idx: 154753 | align_1: 10-8 | align_2: 11-15 | entity: none - 南德 认证 检测 （ 中国 ） 有限 公司 |    If you ’re a supplier in the railway industry , TÜV SÜD can help you meet these standards with International Railway Industry Standard ( IRIS ) certification . ||| 如果 您 是 铁路 行业 的 供应商 ， 南德 认证 检测 （ 中国 ） 有限 公司 可以 帮助 您 满足 这些 标准 并 通过 国际 铁路 行业 标准 （ IRIS ） 认证 。 

Repa Repa | w_freq: 1 - 1 | wiki_freq: 64 - 2 | sentence_idx: 155632 | align_1: 9-10 | align_2: 10-14 | entity: Barbara Kate Repa - Repa |    Your Rights in the Workplace , by Barbara Kate Repa – ||| 看看 你 的 权利 在 工作 场所 , 由 芭芭拉·凯特 Repa ( 无罪 ) 。 

Paytm Paytm | w_freq: 4 - 5 | wiki_freq: 148 - 35 | sentence_idx: 160185 | align_1: 4-2 | align_2: 5-8 | entity: Paytm - none |    The most worried about Paytm may be whether it will repeat Alibaba ’s experience in China . ||| 最 令 Paytm 担心 的   ， 可能 是 它 会否 重复 阿里巴巴 在 中国 的 经历   。 

3CX 3CX | w_freq: 3 - 3 | wiki_freq: 46 - 1 | sentence_idx: 165598 | align_1: 15-13 | align_2: 16-18 | entity: 3CX WebMeeting - none |    3CX is a 100-percent channel company and is the developer of 3CX Phone System and 3CX WebMeeting . ||| 3CX 是 一家 100％ 的 渠道 公司 ， 是 3CX 电话 系统 和 3CX 网页 发起 会议 （ Web Meeting ） 的 开发商 。 

UNCTAD 贸发 | w_freq: 21 - 12 | wiki_freq: 661 - 23 | sentence_idx: 168187 | align_1: 0-0 | align_2: 1-4 | entity: UNCTAD - 贸发 |    UNCTAD research shows that the absence of a direct connection is associated with a 42 % lower value of bilateral exports . ||| 贸发 会议 表示 ， 研究 表明 ， 缺乏 直接 联系 与 双边 出口 价值 降低 42％ 有关 。 

AIM-120D AIM-120D | w_freq: 1 - 1 | wiki_freq: 17 - 6 | sentence_idx: 175642 | align_1: 4-4 | align_2: 5-9 | entity: AIM-120D - none |    The Navy already declared AIM-120D IOC and plans to deploy the missile this year . ||| 海军 也 已 宣布 AIM-120D 初始 作战 能力 ( IOC ) ， 并 计划 今年 部署 该 导弹 。 

CHALLENGE 帕丽斯 | w_freq: 4 - 3 | wiki_freq: 44 - 14 | sentence_idx: 179138 | align_1: 1-0 | align_2: 2-4 | entity: none - 帕丽斯 |    THE CHALLENGE : The leaders of France and Spain said Wednesday that the 17 countries that use the euro already have all the tools they need to solve their debt crisis and now must put their promises into action . ||| 帕丽斯 （ 美联社 ） - 法国 和 西班牙 领导人 周三 表示 ， 使用 欧元 的 17 个 国家 已经 拥有 解决 债务 危机 所需 的 所有 工具 ， 现在 必须 将 其 承诺 付诸 行动 。 

Uzzi Uzzi | w_freq: 1 - 1 | wiki_freq: 55 - 1 | sentence_idx: 179781 | align_1: 4-13 | align_2: 5-20 | entity: Brian Uzzi - Brian Uzzi |    Northwestern University ’s Brian Uzzi calls this the shared activities principle . ||| 美国 西北 大学 （ Northwestern University ） 的 布莱恩 ． 乌济 （ Brian Uzzi ） ， 把 这 件 事 称为 共享 活动 原则 。 

NDSL NDSL | w_freq: 1 - 1 | wiki_freq: 15 - 4 | sentence_idx: 181154 | align_1: 13-17 | align_2: 14-24 | entity: none - NDSL |    Canada Domestic Substances List ( DSL ) and the Non-Domestic Substances List ( NDSL ) ||| 加拿大 Domestic Substances List ( DSL ) （ 国内 物质 清单 ） 和 Non-Domestic Substances List ( NDSL ) （ 非 国内 物质 清单 ） 

Fati Fati | w_freq: 1 - 1 | wiki_freq: 216 - 4 | sentence_idx: 185683 | align_1: 7-7 | align_2: 8-12 | entity: Fati - none |    2 The Sixth Extinction II : Amor Fati November 14 , 1999 ||| 2 The Sixth Extinction II : Amor Fati ( 3 ) 1999年 11月 14日 

― 昐 | w_freq: 109 - 1 | wiki_freq: 670 - 149 | sentence_idx: 190459 | align_1: 0-5 | align_2: 1-11 | entity: none - 芬国 昐 |    ― " Of the Ruin of Beleriand and the Fall of Fingolfin " ||| 贝烈瑞安德 的 覆毁 与 芬国 昐 的 陨落 [ 1 ] （ Of the Ruin of Beleriand and the Fall of Fingolfin ） 

Swiber Swiber | w_freq: 1 - 1 | wiki_freq: 1 - 10 | sentence_idx: 191681 | align_1: 0-0 | align_2: 1-4 | entity: Swiber - none |    Swiber has not recognised any revenue related to the project . ||| Swiber 补充 说 ， 它 并未 确认 任何 与 该 项目 相关 的 收入 。 

Allāh 安拉〔 | w_freq: 26 - 1 | wiki_freq: 665 - 0 | sentence_idx: 193735 | align_1: 10-16 | align_2: 11-20 | entity: Allāh - 安拉〔 |    “ O you who have believed , if you support Allāh , He will support you and plant firmly your feet . ”[10 ] ||| ” （ 3 ： 139 ） 、 “ 信道 的 人们 啊 ！ 如果 你们 相助 安拉〔 的 正 教〕 ， 安拉 就 相助 你们 ， 并 使 你们 的 脚步 稳固 。 

Kuta Kuta | w_freq: 1 - 1 | wiki_freq: 461 - 7 | sentence_idx: 196103 | align_1: 13-19 | align_2: 14-24 | entity: Kuta - none |    While you can definitely spend all your time partying here , it is Kuta ’s dazzlingly white beach which is the main attraction – it may even be the best beach in the whole of Bali . ||| 虽然 您 可以 肯定 会 在 这里 聚会 ， 但是 它 最 吸引 人 的 地方 是 库塔 （ Kuta ） 令 人 眼花white乱 的 白色 海滩 - 它 甚至 可能 是 整个 巴厘岛 最好 的 海滩 。 

Mintzberg 明茨伯格 | w_freq: 3 - 2 | wiki_freq: 98 - 1 | sentence_idx: 199739 | align_1: 7-8 | align_2: 8-16 | entity: Mintzberg - 明茨伯格 |    One of the original management thinkers , Mintzberg concludes that strategy can not be planned because planning is about analysis and strategy is about synthesis . ||| 作为 最 早 的 管理 思想家 之一 ， 明茨伯格 对 战略 规划 进行 了 总结 ， 认为 战略 不 能够 规划 ， 因为 规划 是 分析 ， 而 战略 是 综合 。 

