Qi'da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 4806 | align_1: 8-6 | align_2: 9-11 | entity: Zhil Qi'da - none |    Thus Sunday will be the 30th of Zhil Qi'da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 
Énergies Energies | w_freq: 1 - 2 | wiki_freq: 26 - 4 | sentence_idx: 40183 | align_1: 7-6 | align_2: 8-10 | entity: Planète Énergies - “ Planète Energies ” 教育 项目 团队 |    For over ten years , the Planète Énergies team has been developing a diverse range of content and distributing it as widely as possible , in particular on the website planete-energies.com . ||| 十多 年 来 ， “ Planète Energies ” 教育 项目 团队 已经 开发 出 各种各样 的 内容 ， 并且 尽可能 广泛 地 传播 ， 尤其 是 通过 网站 planete-energies.com 。 

Smote73 Smote73 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 44648 | align_1: 4-5 | align_2: 5-12 | entity: none - “ Smote73 ” |    A self-proclaimed pastor called Smote73 blogged : “ This image shows God is everywhere in the universe . ||| 一 位 自称 为 “ Smote73 ” 的 牧师 在 博客 上 写道 : “ 这 张 照片 显示 ， 上帝 在 宇宙 中 无处不在 。 

Yetzer 璟刚 | w_freq: 1 - 1 | wiki_freq: 27 - 0 | sentence_idx: 45118 | align_1: 0-0 | align_2: 1-7 | entity: Yetzer - 璟刚 |    Yetzer – they followed their evil inclination ( yetzer ) . ||| 璟刚 正 ， 多 所 裁断 ， 颋 皆 顺从其美 。 

Reppenhagen Reppenhagen | w_freq: 1 - 1 | wiki_freq: 6 - 0 | sentence_idx: 56040 | align_1: 15-14 | align_2: 16-19 | entity: Garett Reppenhagen - Garett Reppenhagen |    After watching the movie “ American Sniper , ” I called a friend named Garett Reppenhagen who was an American sniper in Iraq . ||| 在 看完 电影 “ 美国 狙击手 ” 后 ， 我 给 一个 叫做 Garett Reppenhagen 的 朋友 打电话 ， 他 是 美国 在 伊拉克 的 狙击手 。 

GALLOWAY Galloway | w_freq: 1 - 7 | wiki_freq: 0 - 31 | sentence_idx: 63040 | align_1: 1-1 | align_2: 2-7 | entity: none - Stephen Galloway |    STEPHEN GALLOWAY : I 'm glad to see you wearing your Australian bomber jacket , which you take everywhere with you . ||| Stephen Galloway （ 下 简称 SG ） ： 很 高兴 你 又 穿 了 这 件 澳大利亚 飞行员 夹克 ， 你 到 哪儿 都 穿着 它 。 

3.1.1 3.1.1 | w_freq: 5 - 3 | wiki_freq: 79 - 17 | sentence_idx: 73644 | align_1: 6-5 | align_2: 7-10 | entity: MQTT 3.1.1 - none |    This flag was added in MQTT 3.1.1 to help clients determine whether they need to subscribe to topics or if the topics are still stored in a persistent session . ||| 这个 标志 位 是 MQTT 3.1.1 新 增加 的 ， 以便 帮助 客户端 确定 ， 是否 有 订阅 主题 以及 这些 主题 是否 仍然 保存 在 会话 中 。 

ANGELES ANGELES | w_freq: 12 - 2 | wiki_freq: 26 - 1 | sentence_idx: 80191 | align_1: 1-2 | align_2: 2-6 | entity: ANGELES - none |    LOS ANGELES - Four new films could n't catch " Gone Girl " at theaters this weekend . ||| L OS ANGELES （ 美联社 ） - 本周末 四 部 新 电影 无法 在 剧院 看到 “ Gone Girl ” 。 

Radagast 表兄拉达加斯特 | w_freq: 4 - 3 | wiki_freq: 92 - 0 | sentence_idx: 85007 | align_1: 24-23 | align_2: 25-27 | entity: Radagast - none |    “ I have heard of you , if you have not heard of me ; but perhaps you have heard of my good cousin Radagast who lives near the Southern borders of Mirkwood ? ” ||| “ 我 听说 过 你    ， 如果 你 没有 听说 过 我 ； 也许 你 听说 过 我 的 好 表兄拉达加斯特   ， 他 住在 米尔克伍德 南部 边境 附近   。 

Nanopore Nanopore | w_freq: 1 - 1 | wiki_freq: 96 - 1 | sentence_idx: 90153 | align_1: 13-20 | align_2: 14-24 | entity: Oxford Nanopore - Oxford Nanopore |    The new machine is also not an answer to another competitor , Oxford Nanopore . ||| 而且 ， 这 台 新 机器 也 不 能 解决 另 一个 竞争 对手 —— 牛津 纳米孔 公司 （ Oxford Nanopore ） 的 问题 。 

Ludicrous Ludicrous | w_freq: 2 - 2 | wiki_freq: 47 - 1 | sentence_idx: 100631 | align_1: 7-10 | align_2: 8-16 | entity: Ludicrous - none |    “ We do n’t do Ludicrous because Ludicrous speed is stupid . ||| 「 我们 不 会 做出 什么 Ludicrous 模式 ， 因为 Ludicrous （ 见 备注 ） 的 速度 很 蠢 。 

Da‘sh Da'sh | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 100889 | align_1: 9-8 | align_2: 10-12 | entity: Da‘sh - none |    So , let ’s not worry how to translate Da‘sh and concentrate our efforts instead on ridding the world of this barbaric menace . ||| 因此 ， 让 我们 不要 担心 如何 翻译 Da'sh 这个 词 ， 而 需要 将 我们 的 努力 集中 在 摆脱 这个 野蛮 的 威胁 上 。 

Ke-i'lah DE＝AD | w_freq: 2 - 1 | wiki_freq: 0 - 0 | sentence_idx: 120200 | align_1: 6-8 | align_2: 7-14 | entity: Ke-i'lah - none |    So David delivered the inhabitants of Ke-i'lah . ||| 法 二 延长 AD 到 E ， 使 DE＝AD ， 连接 BE ， CE ， 

A’Dam A' | w_freq: 1 - 6 | wiki_freq: 0 - 72 | sentence_idx: 133911 | align_1: 21-19 | align_2: 22-24 | entity: A’Dam - none |    Most of these views of Amsterdam wo n’t cost you more than the price of a coffee , but to experience A’Dam Lookout you ’ll need to buy a ticket . ||| 大多数 阿姆斯特丹 的 这些 景色 不 会 花费 您 超过 一 杯 咖啡 的 价格 ， 但 要 体验 A' Dam观 景台 ( A'Dam Lookout ) ， 您 需要 买 一 张 门票 。 

Delfi.lt Delfi.lt | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 147967 | align_1: 38-38 | align_2: 39-43 | entity: Delfi.lt - none |    That moment on the stage opened many new possibilities for me and my organization – I was invited to talk at the Lithuanian National Broadcaster at the morning show and the biggest news portal in Baltic states – Delfi.lt . ||| 在 台上 的 那 一刻 为 我 和 我 的 组织 开辟 了 许多 新 的 可能性 —— 我 受邀 在 立陶宛 国家 广播 公司 的 晨间 节目 和 波罗的海 国家 最 大 的 新闻 门户 德尔菲网 （ Delfi.lt ） 接受 了 访谈 。 

al–Qa’im 公帅 | w_freq: 1 - 1 | wiki_freq: 0 - 1 | sentence_idx: 149795 | align_1: 4-8 | align_2: 5-16 | entity: none - 公帅 |    By the virtue of al–Qa’im al-Mehdi , ||| 周书 · 秦誓 秦穆 公伐 郑 ， 晋襄 公帅 师败 诸崤 ， 还 归 ， 作 《 秦誓 》 。 

Vaynerchuck Vaynerchuck | w_freq: 2 - 3 | wiki_freq: 0 - 0 | sentence_idx: 156702 | align_1: 2-2 | align_2: 3-9 | entity: Gary Vaynerchuck - Gary Vaynerchuck |    Although Gary Vaynerchuck claims to work 20 hours per day , many " highly successful " people I know work between three and six hours per day . ||| 尽管 Gary Vaynerchuck （ 美国 知名 博客 作者 ） 声称 每天 工作 20 小时 ， 我 所 知 的 许多 “ 相当 成功 ” 的 人士 每天 大约 只 工作 3 到 6 个 小时 。 

CNTE CNTE | w_freq: 1 - 1 | wiki_freq: 38 - 1 | sentence_idx: 162155 | align_1: 6-5 | align_2: 7-9 | entity: CNTE - none |    He was , according to the CNTE , only one of 151 teachers murdered in the preceding decades . ||| 根据 全国 协调 委员会 （ CNTE ） 的 说法 ， 在 过去 几十 年中 ， 151 名 教师 中 只有 一 人 被 谋杀 。 

Unusuals Unusuals | w_freq: 1 - 2 | wiki_freq: 38 - 0 | sentence_idx: 176543 | align_1: 2-3 | align_2: 3-10 | entity: Unusuals - none |    2009 The Unusuals Detective Jason Walsh 10 episodes ||| 2009 - The Unusuals （ 英语 ： The Unusuals ） Detective Jason Walsh 10 集 

FYROM FYROM | w_freq: 2 - 2 | wiki_freq: 54 - 1 | sentence_idx: 178447 | align_1: 6-3 | align_2: 7-13 | entity: FYROM - none |    However , for the inhabitants of FYROM , it also has an ethnic sense , since many ( or most ) Slavic-speaking inhabitants of FYROM consider themselves to be Macedonian in an ethnic sense . ||| 然而 ， 对于 FYROM ( 前 南斯拉夫 马其顿 共和国 ) 的 居民 而言 ， 它 也 有 种族 涵义 ， 因为 FYROM 里 许多 ( 或 大部分 )斯拉夫 语系 的 居民 在 种族 上认 为 自己 是 马其顿 人 。 

Birkmayer Birkmayer | w_freq: 4 - 4 | wiki_freq: 6 - 0 | sentence_idx: 193896 | align_1: 3-3 | align_2: 4-7 | entity: Birkmayer - none |    To quote Dr. Birkmayer “ NADH is the biological Rocket Fuel . ||| 引用 Dr . Birkmayer 的话 ， 就是 “ NADH 是 生物 火箭 燃料 。 

Afroholics Afroholics | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 199113 | align_1: 24-28 | align_2: 25-34 | entity: Afroholics - none |    When I was in high school , I had a band called the “ Untouchables , ” but we also called ourselves the “ Afroholics . ” ||| 我 还 在 念 高中 的 时候 ， 组 了 一个 团 ， 叫做 “ Untouchables ” （ 铁面无私 ） ， 不过 我们 也 把 自己 叫做 “ Afroholics ” （ 非洲 狂热者 ） 。 

NJ/ NJ | w_freq: 1 - 3 | wiki_freq: 0 - 87 | sentence_idx: 210697 | align_1: 23-25 | align_2: 24-29 | entity: Princeton NJ/ - none |    And here I am “ retired ” in Mexico City after 40 years in the business from Greenwich Village / SoHo to Princeton NJ/ back to SoHo and then here . ||| 我 在 这里 “ 退休 ” 在 墨西哥城 做 了 40年 的 生意 ， 从 格林威治村 （ Greenwich Village/Soho ） 到 新泽西州 普林斯顿 （ Princeton NJ ） ， 再 回到 Soho ， 然后 来到 这里 。 

Birkmayer Birkmayer | w_freq: 4 - 4 | wiki_freq: 6 - 0 | sentence_idx: 211599 | align_1: 3-1 | align_2: 4-6 | entity: Birkmayer - none |    To quote Dr. Birkmayer “ NADH is the biological Rocket Fuel . ||| 引用 Birkmayer 博士 的话 ， 就是 “ NADH 是 生物 火箭 燃料 。 

Kabirou 卡比罗 | w_freq: 1 - 1 | wiki_freq: 11 - 0 | sentence_idx: 213111 | align_1: 8-7 | align_2: 9-12 | entity: Kabirou Sayo - 卡比罗 |    DJOUGOU , Benin , 3 April 2012 – Kabirou Sayo is only 15 years old , yet his life story could fill a book . ||| 贝宁 朱古 ， 2012年 4月 3日 —— 卡比罗 . 萨游 ( Kabirou Sayo ) 年 仅 15 岁 ， 而 他 的 经历 足 可 写 成 一 本书 。 

Blockonomi Blockonomi | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 225509 | align_1: 6-2 | align_2: 7-11 | entity: Blockonomi - none |    It is our opinion here at Blockonomi that blockchain and cryptocurrencies ( two separate but related concepts ) are indeed some of the most important innovations of our time . ||| 我们 在 Blockonomi 上 表达 的 观点 是 ： ， 我们 认为 区块链 和 加密 货币 （ 两 个 独立 但 相关 的 概念 ） 的确 是 我们 这个 时代 最 重要 的 创新 。 

Yustinus Yustinus | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 228726 | align_1: 16-15 | align_2: 17-21 | entity: Yustinus - none |    The cut will cost the government around Rp 2.5 trillion a year , which according to Yustinus should be seen as an investment , as the policy is expected to increase the tax base . ||| 这 一 削减 将 使 政府 每年 损失 约 2.5万亿 卢比   ， 根据 Yustinus 的 说法  ， 这 应该 被 视为 一 项 投资  ， 因为 该 政策 预计 将 增加 税收 基础  。 

mansabdar 曼萨卜达尔 | w_freq: 1 - 1 | wiki_freq: 73 - 1 | sentence_idx: 242886 | align_1: 1-1 | align_2: 2-6 | entity: none - 曼萨卜达尔 |    Each mansabdar was required to maintain a certain number of cavalrymen and twice that number of horses . ||| 每个 曼萨卜达尔 （ 骑兵 指挥官 ） 被 要求 保持 一定 数量 的 骑兵 和 两 倍 数量 的 马 。 

ANGELES ANGELES | w_freq: 12 - 2 | wiki_freq: 26 - 1 | sentence_idx: 246877 | align_1: 1-2 | align_2: 2-6 | entity: LOS ANGELES - none |    LOS ANGELES – Four new films could n't catch " Gone Girl " at theaters this weekend . ||| L OS ANGELES （ 美联社 ） - 本周末 四 部 新 电影 无法 在 剧院 看到 “ Gone Girl ” 。 

Keifitz Keifitz | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 258994 | align_1: 0-0 | align_2: 1-4 | entity: Keifitz - none |    Keifitz wrote that as women become fewer , their relative position in society will increase . ||| Keifitz （ 1983 ） 写道 ， 随着 女性 越来越 少 ， 她们 在 社会 中 的 相对 地位 将 会 增加 。 

R’hllor 拉赫洛 | w_freq: 2 - 1 | wiki_freq: 0 - 12 | sentence_idx: 259168 | align_1: 0-1 | align_2: 1-9 | entity: R’hllor - 拉赫洛 |    R’hllor is the god of life and heat , opposite to him , the Great Other is the god of death and cold . ||| 真主 拉赫洛 ， 称 作光 之 王 ， 也 是 热量 和 生命 之 神 ； 他 的 死敌 ， 寒神 ， 则 是 黑暗 、 冰冷 与 死亡 之 神 。 

Al-Jushami 郝赫 | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 289607 | align_1: 5-4 | align_2: 6-9 | entity: Abu Wahb Al-Jushami - 郝赫 |    [ An-Nasa'ee by Abu Wahb Al-Jushami ] ||| [ 作者 : 米彦泽 郝赫 责任 编辑 : 袁丽娜 ] 

FIRRMA FIRRMA | w_freq: 4 - 3 | wiki_freq: 2 - 0 | sentence_idx: 294326 | align_1: 8-5 | align_2: 9-12 | entity: FIRRMA - none |    The government set a deadline to fully implement FIRRMA and clear up a number of ambiguities early next year . ||| 政府 设置 了 完全 实施 FIRRMA 的 最后 期限   ， 并 将 在 明年初 澄清 一些 含糊 之 处    。 

FIRRMA FIRRMA | w_freq: 4 - 3 | wiki_freq: 2 - 0 | sentence_idx: 294327 | align_1: 8-5 | align_2: 9-10 | entity: FIRRMA - none |    The government set a deadline to fully implement FIRRMA and clear up a number of ambiguities early next year . ||| 政府 设置 了 完全 实施 FIRRMA 的 最后 期限 ， 并 将 在 明年初 澄清 一些 含糊 之 处 。 

FIRRMA firrma | w_freq: 4 - 1 | wiki_freq: 2 - 0 | sentence_idx: 294328 | align_1: 8-5 | align_2: 9-10 | entity: FIRRMA - none |    The government set a deadline to fully implement FIRRMA and clear up a number of ambiguities early next year . ||| 政府 设置 了 完全 实施 firrma 的 最后 期限 ， 并 将 在 明年初 澄清 一些 含糊 之 处 。 

chungo 福伊特 | w_freq: 2 - 1 | wiki_freq: 0 - 74 | sentence_idx: 301256 | align_1: 1-1 | align_2: 2-5 | entity: none - 福伊特 ( |    At chungo , you 'll find many professionals listening and really understanding what your business needs . ||| 在 福伊特 ( VOITH ) , 您 会 发现 有 许多     的 专业 人员 倾听 并 真正 了解 您     的 业务 所需     。 

non-DRM DRM[ | w_freq: 2 - 1 | wiki_freq: 21 - 0 | sentence_idx: 315904 | align_1: 4-4 | align_2: 5-8 | entity: non-DRM - none |    I was looking for non-DRM material , so I chose Project Gutenberg as my source . ||| 我 正在 寻找 非 DRM[ 5 ] 的 材料 ， 所以 我 选择 Project Gutenberg[6 ] 作为 我 的 源 。 

TortureFreeWorld FreeWorld | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 318760 | align_1: 6-5 | align_2: 7-12 | entity: # TortureFreeWorld - none |    For more information about the # TortureFreeWorld campaign : WEB ||| 更 多 关于 # Torture FreeWorld （ 无 酷刑 的 世界 ） 运动 的 信息 ： WEB 

TortureFreeWorld Torture | w_freq: 1 - 1 | wiki_freq: 0 - 18 | sentence_idx: 318760 | align_1: 6-4 | align_2: 7-12 | entity: # TortureFreeWorld - none |    For more information about the # TortureFreeWorld campaign : WEB ||| 更 多 关于 # Torture FreeWorld （ 无 酷刑 的 世界 ） 运动 的 信息 ： WEB 

MyCoolProgram MyCoolProgram | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 326643 | align_1: 3-7 | align_2: 4-11 | entity: MyCoolProgram - none |    If I wrote MyCoolProgram and distributed it under a copyleft license , you would have the freedom to use and modify it . ||| 如果 我 写 了 一个 名 为 MyCoolProgram 的 程序 ， 并且 使用 copyleft 许可 来 发布 ， 你 将 有 使用 和 修改 它 的 自由 。 

M1A1SA M1A1-SA | w_freq: 1 - 2 | wiki_freq: 1 - 0 | sentence_idx: 331242 | align_1: 7-7 | align_2: 8-11 | entity: M1A1SA - none |    Back in 2008 , Iraq ordered 140 M1A1SA tanks , along with over a hundred support vehicles ( for maintenance and transportation , like 35 tank transporters ) . ||| 2008年 ， 伊拉克 订购 了 140 辆 M1A1-SA “ 艾布拉姆斯 ” 坦克 ， 还有 100多 辆 后勤 车辆 ( 用于 保养 和 运输 ， 比如说 有 35 辆 坦克 运输车 ) 。 

IJLS ijls | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 333404 | align_1: 7-5 | align_2: 8-10 | entity: IJLS - none |    Her role , as chairperson of the IJLS , means that she is responsible for all the professional development of lawyers in Mauritius . ||| 她 的 角色 ， 作为 ijls ， 手段 的 主席 ， 她 是 负责 所有 律师 在 毛里求斯 的 专业 发展 。 

Travelport Travelport | w_freq: 1 - 1 | wiki_freq: 70 - 0 | sentence_idx: 348204 | align_1: 2-1 | align_2: 3-5 | entity: Travelport - none |    According to Travelport this “ can lead to confusion and indecision . ” ||| 根据 Travelport 的 说法 ， 这 “ 可能 导致 混乱 和 优柔寡断 。 

Ash’ath 鲍叔 | w_freq: 1 - 1 | wiki_freq: 1 - 17 | sentence_idx: 358862 | align_1: 9-8 | align_2: 10-12 | entity: Ash’ath - 鲍叔 |    He ( the narrator ) said : There came Ash’ath b. ||| 东方朔 就 曾 说 过 ： “ 廉如 鲍叔 ， 信若 尾生 。 

Dusha Dusha | w_freq: 2 - 3 | wiki_freq: 39 - 0 | sentence_idx: 368098 | align_1: 9-10 | align_2: 10-18 | entity: Dusha - none |    In 2007 , he published his first book , Dusha , Russian Soul . ||| 2007年 他 出版 了 他 的 第一 本 摄影集 《 Dusha ， 俄罗斯 的 灵魂 》 ( Dusha , Russian Soul ) 。 

InnoXcell InnoXcell | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 369481 | align_1: 12-11 | align_2: 13-18 | entity: InnoXcell - none |    “ Conducting investigations and collecting data for cross border cases , ” InnoXcell Legal Big Data Symposium , Hong Kong ( April 2014 ) ||| “ Conducting investigations and collecting data for cross border cases, ” InnoXcell 法律 大型 数据 研讨会 （ InnoXcell Legal Big Data Symposium ） ， 香港 （ 2014年 4月 ） 

VRX X大会 | w_freq: 1 - 1 | wiki_freq: 37 - 0 | sentence_idx: 373048 | align_1: 17-16 | align_2: 18-22 | entity: VRX Conference & Expo - none |    We are , of course , coming closer to the end of the year and their annual VRX Conference & Expo event in San Francisco this December . ||| 当然 ， 我们 离 今年 年底 以及 他们 今年 12月 在 旧金山 举行 的 年度 VR X大会 和 博览会 ( VR X Conference & Expo ) 越来越 近 了 。 

SIGKILL SIGKILL | w_freq: 6 - 6 | wiki_freq: 14 - 15 | sentence_idx: 396618 | align_1: 4-3 | align_2: 5-7 | entity: SIGKILL - none |    For example , on SIGKILL you would see 128 + SIGKILL = 137 ( Calculating the exit codes for other deadly signals is left as an exercise to the reader . ) . ||| 例如 ， 在 SIGKILL 信号 上 ， 你 会 看到 128 + SIGKILL = 137 （ 计算 其他 致命 信号 的 退出 码 作为 读者 的 练习 ） 。 

Lynche- Lynche | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 399831 | align_1: 4-11 | align_2: 5-16 | entity: Michael Lynche- - Michael Lynche |    Casey James with Michael Lynche- “ Have You Ever Really Loved a Woman ” ||| 凯西 - 詹姆斯 （ Casey James ） + 迈克尔-林奇 （ Michael Lynche ） 表演 曲目 ： 《 Have You Ever Really Loved A Woman 》 

690:1987 690：1987 | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 404107 | align_1: 1-1 | align_2: 2-6 | entity: ISO 690:1987 - none |    ISO 690:1987 Documentation – Bibliographic references – Content , form and structure . ||| ISO 690：1987 （ E ） ， Documentation一Bibliographic references-content ， form and structure . 

Eurodad Eurodad | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 415494 | align_1: 15-11 | align_2: 16-19 | entity: Eurodad - none |    [ 11 ] We are not in the habit of engaging in lobbying – unlike Eurodad , another organisation that is mobilised around the issue of debt . ||| [ 11 ] 我们 不 习惯 搞 游说 　 ── 不 像 Eurodad （ 债务 和 发展 欧洲 网路 ） ， 它 是 围绕 债务 问题 动员 起来 的 另 一个 组织 。 

POSB POSB | w_freq: 1 - 1 | wiki_freq: 67 - 21 | sentence_idx: 431300 | align_1: 17-13 | align_2: 18-19 | entity: POSB Invest - none |    OK , firstly , if you are going to put money in the OCBC BCIP or the POSB Invest Saver Plan , you have to understand that these are with long term investors in mind . ||| 首先 ， 如果 你 计划 把 钱 投资于 华侨 银行 的 BCIP 或 POSB 的 投资 储蓄 计划 ( Invest Saver Scheme ) ， 你 必须 了解 这些 投资 计划 是 针对 长期 投资者 而 设 。 

LEARN LEARN | w_freq: 3 - 3 | wiki_freq: 77 - 0 | sentence_idx: 441735 | align_1: 4-3 | align_2: 5-7 | entity: none - [ EAT,MOVE AND LEARN ] — |    MOVE , EAT , LEARN by Rick Mereki ||| [ EAT,MOVE AND LEARN ] — 导演 ： Rick Mereki 

Qur’aan 显忠节 | w_freq: 11 - 1 | wiki_freq: 2 - 0 | sentence_idx: 452705 | align_1: 5-6 | align_2: 6-11 | entity: Qur’aan - none |    So , the recitation of Qur’aan has to be maintained throughout the year . ||| 然而 ， 今年 韩国 传统 的 显忠节 （ 현 충일 ） 却 发生 大事 。 

HeForShe HeForShe | w_freq: 6 - 5 | wiki_freq: 92 - 6 | sentence_idx: 453407 | align_1: 20-20 | align_2: 21-30 | entity: HeForShe - none |    Can you tell us more about your career journey , as well as your current role with UN Women and HeForShe ? ||| 您 能 和 我们 更 多 地 谈谈 您 的 职业 经历 ， 以及 您 目前 在 联合国 妇女署 和 HeForShe （ 他 为 她 ） 负责 的 工作 吗 ？ 

Yous Yous | w_freq: 1 - 1 | wiki_freq: 36 - 2 | sentence_idx: 458538 | align_1: 15-13 | align_2: 16-19 | entity: Yous - none |    On the contrary , le mur des je t'aime ( The Wall of I love Yous ) is a link , a place of reconciliation , a mirror which reflects an image of love and peace . ' ||| 相反 ， LE MUR DES JE T'AIME ( The Wall of I love Yous ) （ 爱 之 墙 ） 是 一 条 纽带 ， 一个 和解 的 地方 ， 一面 反射 出 爱 与 和平 的 镜子 。 

valtalaki 瓦尔塔拉基 | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 459614 | align_1: 10-8 | align_2: 11-12 | entity: none - 瓦尔塔拉基 |    When Finnish socialists refused to back down or renounce the valtalaki , Finland ’s liberals and conservatives seized the moment . ||| 当 芬兰 社会党人 拒绝 退缩 或 放弃 《 瓦尔塔拉基 法案 》 时 ， 芬兰 的 自由主义者 和 保守主义者 抓住 了 时机 。 

CancelTheContract CancelTheContract | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 472233 | align_1: 24-21 | align_2: 25-28 | entity: CancelTheContract - none |    Color of Change , Fight for the Future , Center for Media Justices , and other groups have been collecting signatures for the # CancelTheContract campaign . ||| Color of Change 、 Fight for the Future 、 Center for Media Justices ， 以及 其他 组织 一直 在 为 # CancelTheContract （ 取消 合同 ） 这 一 活动 征集 签名 。 

Carpo Carpo | w_freq: 1 - 1 | wiki_freq: 49 - 3 | sentence_idx: 480129 | align_1: 1-3 | align_2: 2-7 | entity: Mario Carpo - Mario Carpo |    Mario Carpo explores the reasons why . ||| 马里奥·卡波 （ Mario Carpo ） 带 您 探究 其中 的 原因 。 

CarsBlues CarsBlues | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 482215 | align_1: 8-14 | align_2: 9-18 | entity: CarsBlues - none |    Privacy4Cars warns that a new Bluetooth technology called CarsBlues could affect millions of cars . ||| Privacy4Cars 警告 说 ， 一 种 新 的 蓝牙 黑客 技术 ， 被 称为 CarsBlues ， 有 可能 会 影响 数百万 辆 汽车 。 

Ballaro Ballaro | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 491072 | align_1: 22-15 | align_2: 23-19 | entity: Ballaro Robert - none |    You also have a chance to look at the ship in the form in which it was opened 24 years ago gaze Ballaro Robert and Jean Louis Michel . ||| 您 也 有 机会 看 船 在 它 被 打开 了 24年 前 的 目光 Ballaro （ 巴拉罗 ） 罗伯特 和 Jean 路易·米歇尔 的 形式 。 

Tronc Tronc | w_freq: 3 - 3 | wiki_freq: 83 - 1 | sentence_idx: 541563 | align_1: 13-15 | align_2: 14-22 | entity: Tronc - none |    The New York Daily News was cut in half by something called a Tronc . ||| 《 纽约 每日 新闻 》 （ New York Daily News ） 因为 一个 叫做 「 Tronc 」 的 东西 而 规模 减半 。 

