Qi'da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 4806 | align_1: 8-6 | align_2: 9-11 | entity: Zhil Qi'da - none |    Thus Sunday will be the 30th of Zhil Qi'da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 
Samay Samay | w_freq: 5 - 10 | wiki_freq: 299 - 0 | sentence_idx: 20999 | align_1: 4-4 | align_2: 5-11 | entity: Soluna Samay - none |    13 Denmark English Soluna Samay " Should 've Known Better " — 9 63 ||| 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 9 63 

Mohenjo-Daro Mohenjo-Daro | w_freq: 1 - 1 | wiki_freq: 61 - 1 | sentence_idx: 22339 | align_1: 4-7 | align_2: 5-12 | entity: Mohenjo-Daro - Mohenjo-Daro |    Do you believe that Mohenjo-Daro was destroyed by nuclear weapons thousands of years ago ? ||| 你 相 不 相信 摩亨 卓达罗 ( Mohenjo-Daro ) 这个 古 城市 是 在 好几千年 以前 被 核子 武器 毁灭 的 ？ 

Oury 杰拉德·欧利 | w_freq: 2 - 2 | wiki_freq: 277 - 1 | sentence_idx: 32318 | align_1: 12-8 | align_2: 13-13 | entity: Gérard Oury - 杰拉德·欧利 |    She then lived with actor / writer / film director , Gérard Oury until he died in 2006 . ||| 然后 ， 她 与 电影 演员 / 作家 杰拉德·欧利 住 在 一起 ， 直到 他 在 2006年 死亡 。 

Coffi Coffi | w_freq: 1 - 1 | wiki_freq: 42 - 1 | sentence_idx: 34628 | align_1: 24-24 | align_2: 25-30 | entity: Hoffi Coffi - none |    I had my exams coming up so I had to go and study but stayed pretty close to my home and places like Hoffi Coffi as there were more students there and we were sure he was n’t a student . ||| 我 的 考试 即将 开始   ， 所以 我 不得不 去 学习   ， 但 离 我家 很 近 ， 像 Hoffi Coffi 这样 的 地方  ， 因为 那里 有 更 多 的 学生  ， 我们 确信 他 不是 学生   。 

Samay Samay | w_freq: 5 - 10 | wiki_freq: 299 - 0 | sentence_idx: 40126 | align_1: 3-4 | align_2: 4-11 | entity: Soluna Samay - none |    Denmark English Soluna Samay " Should 've Known Better " _ _ 23 21 ||| 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 23 21 

Énergies Energies | w_freq: 1 - 2 | wiki_freq: 26 - 4 | sentence_idx: 40183 | align_1: 7-6 | align_2: 8-10 | entity: Planète Énergies - “ Planète Energies ” 教育 项目 团队 |    For over ten years , the Planète Énergies team has been developing a diverse range of content and distributing it as widely as possible , in particular on the website planete-energies.com . ||| 十多 年 来 ， “ Planète Energies ” 教育 项目 团队 已经 开发 出 各种各样 的 内容 ， 并且 尽可能 广泛 地 传播 ， 尤其 是 通过 网站 planete-energies.com 。 

Smote73 Smote73 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 44648 | align_1: 4-5 | align_2: 5-12 | entity: none - “ Smote73 ” |    A self-proclaimed pastor called Smote73 blogged : “ This image shows God is everywhere in the universe . ||| 一 位 自称 为 “ Smote73 ” 的 牧师 在 博客 上 写道 : “ 这 张 照片 显示 ， 上帝 在 宇宙 中 无处不在 。 

Yetzer 璟刚 | w_freq: 1 - 1 | wiki_freq: 27 - 0 | sentence_idx: 45118 | align_1: 0-0 | align_2: 1-7 | entity: Yetzer - 璟刚 |    Yetzer – they followed their evil inclination ( yetzer ) . ||| 璟刚 正 ， 多 所 裁断 ， 颋 皆 顺从其美 。 

Samay Samay | w_freq: 5 - 10 | wiki_freq: 299 - 0 | sentence_idx: 47784 | align_1: 3-5 | align_2: 4-12 | entity: Soluna Samay - none |    15 Denmark Soluna Samay " Should 've Known Better " English 23 21 ||| 15 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 23 21 

Shubin Shubin | w_freq: 2 - 1 | wiki_freq: 292 - 3 | sentence_idx: 55258 | align_1: 1-3 | align_2: 2-16 | entity: Neil Shubin - none |    Neil Shubin ( Your Inner Fish : A Journey into the 3.5-Billion-Year History of the Human Body ) . ||| 苏宾 （ Neil Shubin ） 的 《 我们 的 身体 里 有 一 条 鱼 》 （ Your Inner Fish-A Journey into the 3.5-Billion-Year History of the Human Body ） 

Reppenhagen Reppenhagen | w_freq: 1 - 1 | wiki_freq: 6 - 0 | sentence_idx: 56040 | align_1: 15-14 | align_2: 16-19 | entity: Garett Reppenhagen - Garett Reppenhagen |    After watching the movie “ American Sniper , ” I called a friend named Garett Reppenhagen who was an American sniper in Iraq . ||| 在 看完 电影 “ 美国 狙击手 ” 后 ， 我 给 一个 叫做 Garett Reppenhagen 的 朋友 打电话 ， 他 是 美国 在 伊拉克 的 狙击手 。 

Madiba 马迪巴 | w_freq: 6 - 6 | wiki_freq: 108 - 4 | sentence_idx: 60063 | align_1: 6-5 | align_2: 7-9 | entity: Madiba - 马迪巴 |    “ Over the past 24 years Madiba taught us how to come together and to believe in ourselves and each other . ||| “ 过去 24年 来 ， 马迪巴 （ 曼德拉 ） 教会 我们 如何 团结 ， 如何 相信 自己 和 彼此 。 

Menten Menten | w_freq: 1 - 1 | wiki_freq: 119 - 2 | sentence_idx: 60082 | align_1: 1-3 | align_2: 2-10 | entity: Ted Menten - none |    Ted Menten , After Goodbye , How to Begin Again After the Death of Someone You Love , Running Press , 1994 ||| 93 . Ted Menten 译者 ： 李淑珺 、 赖 璟慧 ， 《 道别 之后 After Goodbye ： How to Begin Again after the Death of Someone You Love 》 ， 张 老师 文化 ， 2004 。 

GALLOWAY Galloway | w_freq: 1 - 7 | wiki_freq: 0 - 31 | sentence_idx: 63040 | align_1: 1-1 | align_2: 2-7 | entity: none - Stephen Galloway |    STEPHEN GALLOWAY : I 'm glad to see you wearing your Australian bomber jacket , which you take everywhere with you . ||| Stephen Galloway （ 下 简称 SG ） ： 很 高兴 你 又 穿 了 这 件 澳大利亚 飞行员 夹克 ， 你 到 哪儿 都 穿着 它 。 

HARLEM 哈莱姆 | w_freq: 1 - 11 | wiki_freq: 5 - 186 | sentence_idx: 65645 | align_1: 3-1 | align_2: 4-18 | entity: HARLEM - 哈莱姆 |    MISS ANNE IN HARLEM : The White Women of the Black Renaissance . ||| 《 哈莱姆 的 安妮 小姐 ： 黑人 文艺复兴 中 的 白人 女性 》 ( Miss Anne in Harlem : The White Women of the Black Renaissance ) 。 

3.1.1 3.1.1 | w_freq: 5 - 3 | wiki_freq: 79 - 17 | sentence_idx: 73644 | align_1: 6-5 | align_2: 7-10 | entity: MQTT 3.1.1 - none |    This flag was added in MQTT 3.1.1 to help clients determine whether they need to subscribe to topics or if the topics are still stored in a persistent session . ||| 这个 标志 位 是 MQTT 3.1.1 新 增加 的 ， 以便 帮助 客户端 确定 ， 是否 有 订阅 主题 以及 这些 主题 是否 仍然 保存 在 会话 中 。 

ANGELES ANGELES | w_freq: 12 - 2 | wiki_freq: 26 - 1 | sentence_idx: 80191 | align_1: 1-2 | align_2: 2-6 | entity: ANGELES - none |    LOS ANGELES - Four new films could n't catch " Gone Girl " at theaters this weekend . ||| L OS ANGELES （ 美联社 ） - 本周末 四 部 新 电影 无法 在 剧院 看到 “ Gone Girl ” 。 

Radagast 表兄拉达加斯特 | w_freq: 4 - 3 | wiki_freq: 92 - 0 | sentence_idx: 85007 | align_1: 24-23 | align_2: 25-27 | entity: Radagast - none |    “ I have heard of you , if you have not heard of me ; but perhaps you have heard of my good cousin Radagast who lives near the Southern borders of Mirkwood ? ” ||| “ 我 听说 过 你    ， 如果 你 没有 听说 过 我 ； 也许 你 听说 过 我 的 好 表兄拉达加斯特   ， 他 住在 米尔克伍德 南部 边境 附近   。 

Nanopore Nanopore | w_freq: 1 - 1 | wiki_freq: 96 - 1 | sentence_idx: 90153 | align_1: 13-20 | align_2: 14-24 | entity: Oxford Nanopore - Oxford Nanopore |    The new machine is also not an answer to another competitor , Oxford Nanopore . ||| 而且 ， 这 台 新 机器 也 不 能 解决 另 一个 竞争 对手 —— 牛津 纳米孔 公司 （ Oxford Nanopore ） 的 问题 。 

Isbister bister | w_freq: 2 - 2 | wiki_freq: 231 - 1 | sentence_idx: 94146 | align_1: 4-2 | align_2: 5-7 | entity: Katherine Isbister - Katherine Is bister |    An evening with Katherine Isbister : How Games Move Us – Emotion by Design ||| Katherine Is bister 《 游戏 情感 设计 ： 如何 触动 玩家 的 心灵 》 （ How Games Move Us : Emotion by Design ） 

Matisyahu Matisyahu | w_freq: 2 - 2 | wiki_freq: 397 - 41 | sentence_idx: 95984 | align_1: 0-0 | align_2: 1-4 | entity: Matisyahu - none |    Matisyahu " King without a crown " ||| Matisyahu （ 马太·保罗·米勒 ） 《 King Without a Crown 》 

Ludicrous Ludicrous | w_freq: 2 - 2 | wiki_freq: 47 - 1 | sentence_idx: 100631 | align_1: 7-10 | align_2: 8-16 | entity: Ludicrous - none |    “ We do n’t do Ludicrous because Ludicrous speed is stupid . ||| 「 我们 不 会 做出 什么 Ludicrous 模式 ， 因为 Ludicrous （ 见 备注 ） 的 速度 很 蠢 。 

Da‘sh Da'sh | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 100889 | align_1: 9-8 | align_2: 10-12 | entity: Da‘sh - none |    So , let ’s not worry how to translate Da‘sh and concentrate our efforts instead on ridding the world of this barbaric menace . ||| 因此 ， 让 我们 不要 担心 如何 翻译 Da'sh 这个 词 ， 而 需要 将 我们 的 努力 集中 在 摆脱 这个 野蛮 的 威胁 上 。 

DeFeo DeFeo | w_freq: 3 - 3 | wiki_freq: 262 - 0 | sentence_idx: 103887 | align_1: 16-15 | align_2: 17-20 | entity: Jay DeFeo - Jay DeFeo |    But , she points out , “ ten years ago people did n’t really know Jay DeFeo . ” ||| 但是 ， 她 指出 ： “ 十 年前 还 没有 人 知道 杰・德菲奥 （ Jay DeFeo ） 是 谁 呢 。 

moksha 莫克夏 | w_freq: 2 - 1 | wiki_freq: 950 - 0 | sentence_idx: 109668 | align_1: 8-9 | align_2: 9-15 | entity: none - 莫克夏 |    Such a man always talks about God , moksha , yoga , this and that , but talks . ||| 这样 的 人 一直 都会 去 谈论 神 、 莫克夏 （ 最终 的 解脱 ） 、 瑜伽 、 这个 和 那个 ， 但 他 就 只是 在 谈论 。 

Paran 巴兰山 | w_freq: 4 - 3 | wiki_freq: 397 - 0 | sentence_idx: 118704 | align_1: 12-9 | align_2: 13-14 | entity: Mount Paran - 巴兰山 |    " God came from Teman , and the Holy One from Mount Paran . " ||| “ 神 从 提幔 而 来 ， 圣者 从 巴兰山 临到 （ 细拉 ） 。 

Ke-i'lah DE＝AD | w_freq: 2 - 1 | wiki_freq: 0 - 0 | sentence_idx: 120200 | align_1: 6-8 | align_2: 7-14 | entity: Ke-i'lah - none |    So David delivered the inhabitants of Ke-i'lah . ||| 法 二 延长 AD 到 E ， 使 DE＝AD ， 连接 BE ， CE ， 

Philippians 腓立 | w_freq: 27 - 28 | wiki_freq: 402 - 136 | sentence_idx: 122009 | align_1: 9-8 | align_2: 10-13 | entity: Philippians - 腓立 比 |    When this happens , Paul 's prophecy to the Philippians regarding the end result of God 's plan will finally be fulfilled : ||| 当 这 发生 时 ， 保罗 在 《 腓立 比 书 》 中 关于 上帝 计划 的 最终 结果 的 预言 将 应验 ： 

Sulaym 禹誓 | w_freq: 1 - 14 | wiki_freq: 321 - 2 | sentence_idx: 127510 | align_1: 8-10 | align_2: 9-17 | entity: Sulaym - 禹誓 |    I swear by Allah ( swt ) O Sulaym ! ||| 且 不 唯 《 泰誓 》 为然 ， 虽 《 禹誓 》 即 亦 犹 是 也 。 

Bind Bind | w_freq: 4 - 1 | wiki_freq: 575 - 25 | sentence_idx: 131475 | align_1: 2-7 | align_2: 3-11 | entity: Bind - none |    The Time Bind says , wait a minute , what if home has become work and work has become home ? ||| 《 时间 麻烦 》 （ The Time Bind ） 里 就 说 ， 等 一下 ， 要是 家庭 已经 成 了 工作 ， 而 工作 也 已 成 了 家庭 ， 那 该 怎么办 ？ 

A’Dam A' | w_freq: 1 - 6 | wiki_freq: 0 - 72 | sentence_idx: 133911 | align_1: 21-19 | align_2: 22-24 | entity: A’Dam - none |    Most of these views of Amsterdam wo n’t cost you more than the price of a coffee , but to experience A’Dam Lookout you ’ll need to buy a ticket . ||| 大多数 阿姆斯特丹 的 这些 景色 不 会 花费 您 超过 一 杯 咖啡 的 价格 ， 但 要 体验 A' Dam观 景台 ( A'Dam Lookout ) ， 您 需要 买 一 张 门票 。 

MRA MRA | w_freq: 13 - 12 | wiki_freq: 741 - 21 | sentence_idx: 143011 | align_1: 7-8 | align_2: 8-14 | entity: MRA - none |    As of 1 January 2017 the existing MRA is replaced by the new Member Pathway Agreement ( MPA ) and there will be additional study requirements . ||| 自 2017年 1月 1日 起 ， 现有 的 MRA （ Mutual Recognition Agreement ） 将 被 新 的 会员 互 认 协议 MPA （ Member Pathway Agreement ） 取代 ， 并 将 有 额外 的 学习 要求 。 

Delfi.lt Delfi.lt | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 147967 | align_1: 38-38 | align_2: 39-43 | entity: Delfi.lt - none |    That moment on the stage opened many new possibilities for me and my organization – I was invited to talk at the Lithuanian National Broadcaster at the morning show and the biggest news portal in Baltic states – Delfi.lt . ||| 在 台上 的 那 一刻 为 我 和 我 的 组织 开辟 了 许多 新 的 可能性 —— 我 受邀 在 立陶宛 国家 广播 公司 的 晨间 节目 和 波罗的海 国家 最 大 的 新闻 门户 德尔菲网 （ Delfi.lt ） 接受 了 访谈 。 

al–Qa’im 公帅 | w_freq: 1 - 1 | wiki_freq: 0 - 1 | sentence_idx: 149795 | align_1: 4-8 | align_2: 5-16 | entity: none - 公帅 |    By the virtue of al–Qa’im al-Mehdi , ||| 周书 · 秦誓 秦穆 公伐 郑 ， 晋襄 公帅 师败 诸崤 ， 还 归 ， 作 《 秦誓 》 。 

WCS WCS | w_freq: 12 - 12 | wiki_freq: 891 - 40 | sentence_idx: 152683 | align_1: 29-24 | align_2: 30-31 | entity: WCS - none |    That 's why another part of Ondzie 's job is to visit local communities to urge people not to touch dead animals in the forest but instead to call WCS . ||| 之所以 Ondzie 的 另 一 份 工作 是 寻访 当地 社区 以 督促 人们 不要 接触 森林 中 的 死亡 动物 而是 要 告知 WCS ， 便 是 出于 这个 原因 。 

WCS WCS | w_freq: 12 - 12 | wiki_freq: 891 - 40 | sentence_idx: 152684 | align_1: 29-24 | align_2: 30-31 | entity: WCS - none |    That 's why another part of Ondzie 's job is to visit local communities to urge people not to touch dead animals in the forest but instead to call WCS . ||| 之所以 Ondzie 的 另 一 份 工作 是 寻访 当地 社区 以 督促 人们 不要 接触 森林 中 的 死亡 动物 而是 要 告知 WCS ， 便 是 出于 这个 原因 。 

Vaynerchuck Vaynerchuck | w_freq: 2 - 3 | wiki_freq: 0 - 0 | sentence_idx: 156702 | align_1: 2-2 | align_2: 3-9 | entity: Gary Vaynerchuck - Gary Vaynerchuck |    Although Gary Vaynerchuck claims to work 20 hours per day , many " highly successful " people I know work between three and six hours per day . ||| 尽管 Gary Vaynerchuck （ 美国 知名 博客 作者 ） 声称 每天 工作 20 小时 ， 我 所 知 的 许多 “ 相当 成功 ” 的 人士 每天 大约 只 工作 3 到 6 个 小时 。 

Kriya Kriya | w_freq: 1 - 1 | wiki_freq: 330 - 0 | sentence_idx: 157816 | align_1: 5-8 | align_2: 6-12 | entity: Kriya - Surya Kriya |    Fundamentally , I did Surya Kriya , but in a completely different way than the way you are doing it right now . ||| 从 根本 上 看 ， 我 做 Surya Kriya （ 苏利亚克里亚 ） ， 但 和 你们 现在 做 的 方式 完全 不同 。 

Versuri 首页 | w_freq: 1 - 740 | wiki_freq: 63 - 770 | sentence_idx: 159254 | align_1: 0-0 | align_2: 1-13 | entity: Versuri - none |    Versuri Backstreet Boys - As Long as You Love Me ||| 首页 > 当时 光 已经 将 你 遗忘 ， 而 我 … > Backstreet Boys-As Long As You Love Me 

Gujarats 古吉拉特 | w_freq: 2 - 3 | wiki_freq: 5 - 161 | sentence_idx: 160475 | align_1: 4-4 | align_2: 5-10 | entity: Gujarats - 古吉拉特 |    Even just a few Gujarats should be enough gradually to force other state governments to change policies , while strong growth will also force the wider state to respond – even if weakly and intermittently . ||| 即使 只有 几 个 古吉拉特 这样 的 邦 ， 也 应该 足以 逐渐 迫使 其它 邦 政府 改变 政策 ， 而 强劲 的 增长 也 会 迫使 更 多 的 邦 做出 反应 ―― 即使 动作 力度 不大 ， 且 时断时续 。 

CNTE CNTE | w_freq: 1 - 1 | wiki_freq: 38 - 1 | sentence_idx: 162155 | align_1: 6-5 | align_2: 7-9 | entity: CNTE - none |    He was , according to the CNTE , only one of 151 teachers murdered in the preceding decades . ||| 根据 全国 协调 委员会 （ CNTE ） 的 说法 ， 在 过去 几十 年中 ， 151 名 教师 中 只有 一 人 被 谋杀 。 

Kirschner Kirschner | w_freq: 2 - 2 | wiki_freq: 579 - 2 | sentence_idx: 166175 | align_1: 6-13 | align_2: 7-18 | entity: Linda Kirschner - none |    Some workers , like 58-year-old Linda Kirschner , felt too old to begin a new career but are too young to tap into their retirement savings . ||| 有些 员工    , 比如 58 岁 的 琳达·科什纳 （ Linda Kirschner ）    , 觉得 自己 太 老 了    , 无法 开始 新 的 职业 生涯    , 但 又 太 年轻    , 没 到 能 用 上 退休 储蓄 的 年纪      。 

Ipsos Ipsos | w_freq: 9 - 6 | wiki_freq: 707 - 16 | sentence_idx: 176022 | align_1: 18-29 | align_2: 19-33 | entity: Ipsos - none |    We will not forget Carlos , the friend , colleague and partner who made us all better and Ipsos stronger . ” ||| 我们 不 会 忘记 Carlos ， 他 是 我们 的 朋友 、 同事 和 合作 伙伴 ， 他 让 我们 变 得 更 好 ， 他 让益 普索 （ Ipsos ） 变 得 更 强 。 

Unusuals Unusuals | w_freq: 1 - 2 | wiki_freq: 38 - 0 | sentence_idx: 176543 | align_1: 2-3 | align_2: 3-10 | entity: Unusuals - none |    2009 The Unusuals Detective Jason Walsh 10 episodes ||| 2009 - The Unusuals （ 英语 ： The Unusuals ） Detective Jason Walsh 10 集 

FYROM FYROM | w_freq: 2 - 2 | wiki_freq: 54 - 1 | sentence_idx: 178447 | align_1: 6-3 | align_2: 7-13 | entity: FYROM - none |    However , for the inhabitants of FYROM , it also has an ethnic sense , since many ( or most ) Slavic-speaking inhabitants of FYROM consider themselves to be Macedonian in an ethnic sense . ||| 然而 ， 对于 FYROM ( 前 南斯拉夫 马其顿 共和国 ) 的 居民 而言 ， 它 也 有 种族 涵义 ， 因为 FYROM 里 许多 ( 或 大部分 )斯拉夫 语系 的 居民 在 种族 上认 为 自己 是 马其顿 人 。 

Vulcano Vulcano | w_freq: 1 - 1 | wiki_freq: 366 - 2 | sentence_idx: 182907 | align_1: 1-3 | align_2: 2-7 | entity: Vulcano - none |    On Vulcano you can climb to the Gran Cratere , where sulfur fumes constantly rise . ||| 在 武尔卡诺岛 （ Vulcano ） 上 ， 您 可以 攀爬 到达 Gran Cratere ， 那里 的 硫磺 烟雾 不断 上升 。 

GANDHI 甘地 | w_freq: 2 - 63 | wiki_freq: 11 - 822 | sentence_idx: 183989 | align_1: 0-0 | align_2: 1-4 | entity: none - 甘地 |    GANDHI : I believe in equality for everyone , except reporters and photographers . ||| 甘地 （ Gandhi ） ： 我 相信 凡事 对 每个 人 都 是 平等 的 ， 但 记者 和 摄影师 除外 。 

Romelu 罗梅卢 | w_freq: 7 - 2 | wiki_freq: 195 - 0 | sentence_idx: 185872 | align_1: 4-5 | align_2: 5-9 | entity: Romelu - 罗梅卢 |    “ I always said Romelu was a rough diamond that needed work to smooth him out . ||| “ 我 一直 说 ， 罗梅卢 （ 卢卡库 ） 是 一 颗 待 打磨 的 钻石 ， 需要 做 工作 把 他 擦亮 。 

Counselors Counselors | w_freq: 7 - 1 | wiki_freq: 638 - 1 | sentence_idx: 188152 | align_1: 4-7 | align_2: 5-12 | entity: Christian Credit Counselors - Christian Credit Counselors |    Organizations like Christian Credit Counselors can help you get out of overwhelming credit card debt . ||| 像 基督 信贷 顾问 ( Christian Credit Counselors ) 这样 的 组织 可以 帮助 你 摆脱 信用卡 债务 过 多 的 烦恼 。 

Lota 安拉 | w_freq: 2 - 159 | wiki_freq: 534 - 280 | sentence_idx: 192382 | align_1: 2-6 | align_2: 3-19 | entity: Lota - 安拉 |    presence of Lota and Mary , shrinking from their ||| 古兰经 轻而易举 地 误称 之 为 安拉 （ 万有之主 ， 太 一 神 ） ， 麦尔彦 （ 圣母 ） 和 尔撒 （ 圣子 ） 。 

Birkmayer Birkmayer | w_freq: 4 - 4 | wiki_freq: 6 - 0 | sentence_idx: 193896 | align_1: 3-3 | align_2: 4-7 | entity: Birkmayer - none |    To quote Dr. Birkmayer “ NADH is the biological Rocket Fuel . ||| 引用 Dr . Birkmayer 的话 ， 就是 “ NADH 是 生物 火箭 燃料 。 

verde 萨尔萨佛得角 | w_freq: 3 - 2 | wiki_freq: 654 - 0 | sentence_idx: 194941 | align_1: 13-12 | align_2: 14-17 | entity: none - 萨尔萨佛得角 |    So it ’s a fairly significant fact that in this post about salsa verde I am not going to link to the salsa verde in my archives , the one that I made in September 2010 ( and that you can easily find by searching in the search box ) . ||| 所以 这是 一个 相当 重要 的 事实 ， 在 这 篇 关于 萨尔萨佛得角 的 文章 中 ， 我 不 会 在 我 的 档案 中 链接 到 萨尔萨佛得角 ， 我 在 2010年 9月 做 的 那个 （ 你 可以 通过 搜索 框 轻松 找到 ） 。 

Afroholics Afroholics | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 199113 | align_1: 24-28 | align_2: 25-34 | entity: Afroholics - none |    When I was in high school , I had a band called the “ Untouchables , ” but we also called ourselves the “ Afroholics . ” ||| 我 还 在 念 高中 的 时候 ， 组 了 一个 团 ， 叫做 “ Untouchables ” （ 铁面无私 ） ， 不过 我们 也 把 自己 叫做 “ Afroholics ” （ 非洲 狂热者 ） 。 

NJ/ NJ | w_freq: 1 - 3 | wiki_freq: 0 - 87 | sentence_idx: 210697 | align_1: 23-25 | align_2: 24-29 | entity: Princeton NJ/ - none |    And here I am “ retired ” in Mexico City after 40 years in the business from Greenwich Village / SoHo to Princeton NJ/ back to SoHo and then here . ||| 我 在 这里 “ 退休 ” 在 墨西哥城 做 了 40年 的 生意 ， 从 格林威治村 （ Greenwich Village/Soho ） 到 新泽西州 普林斯顿 （ Princeton NJ ） ， 再 回到 Soho ， 然后 来到 这里 。 

Birkmayer Birkmayer | w_freq: 4 - 4 | wiki_freq: 6 - 0 | sentence_idx: 211599 | align_1: 3-1 | align_2: 4-6 | entity: Birkmayer - none |    To quote Dr. Birkmayer “ NADH is the biological Rocket Fuel . ||| 引用 Birkmayer 博士 的话 ， 就是 “ NADH 是 生物 火箭 燃料 。 

Kabirou 卡比罗 | w_freq: 1 - 1 | wiki_freq: 11 - 0 | sentence_idx: 213111 | align_1: 8-7 | align_2: 9-12 | entity: Kabirou Sayo - 卡比罗 |    DJOUGOU , Benin , 3 April 2012 – Kabirou Sayo is only 15 years old , yet his life story could fill a book . ||| 贝宁 朱古 ， 2012年 4月 3日 —— 卡比罗 . 萨游 ( Kabirou Sayo ) 年 仅 15 岁 ， 而 他 的 经历 足 可 写 成 一 本书 。 

Qur’an snunu | w_freq: 192 - 1 | wiki_freq: 541 - 0 | sentence_idx: 218970 | align_1: 2-2 | align_2: 3-12 | entity: Qur’an - none |    As the Qur’an makes it clear in Surat ’ Ash-Shams : ||| 【 在 snunu ( 天上 的 星亮 晶晶 ) 的 大作 中 提到 : 】 

Blockonomi Blockonomi | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 225509 | align_1: 6-2 | align_2: 7-11 | entity: Blockonomi - none |    It is our opinion here at Blockonomi that blockchain and cryptocurrencies ( two separate but related concepts ) are indeed some of the most important innovations of our time . ||| 我们 在 Blockonomi 上 表达 的 观点 是 ： ， 我们 认为 区块链 和 加密 货币 （ 两 个 独立 但 相关 的 概念 ） 的确 是 我们 这个 时代 最 重要 的 创新 。 

