Moody 穆迪 | w_freq: 54 - 38 | wiki_freq: 13986 - 245 | sentence_idx: 394 | align_1: 17-14 | align_2: 18-18 | entity: Moody - 穆迪 |    Vance said he had to make peace with his father 's death , but has no doubt Moody is guilty . ||| 万斯 说 , 他 与 他 父亲 的 死使 和平 , 但 毫无疑问 , 穆迪 说 , 他 是 有罪 的 。 
SpeechActivity SpeechActivity | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 9138 | align_1: 14-10 | align_2: 15-15 | entity: SpeechActivity - none |    If you 've tweaked parameters for that , you can also update them in SpeechActivity to get the same results as in your server testing . ||| 如果 您 已经 调整 了 参数 ， 也 可以 在 SpeechActivity 中 进行 更新 ， 以 获得 与 服务器 测试 中 的 结果 相同 的 结果 。 

SNL SNL | w_freq: 8 - 7 | wiki_freq: 2856 - 53 | sentence_idx: 9175 | align_1: 8-6 | align_2: 9-11 | entity: SNL - none |    “ I ca n’t cancel something like ‘ SNL , ” ’ Simpson is said to have written in a post on her official Web site , ashleesimpsonmusic.com . ||| “ 我 无法 取消 像 ’ SNL ’ 这样 的 东西 ， ” 据说 辛普森 在 她 的 官方 网站 a shleesimpsonmusic . com 上 写 了 一 篇 文章 。 

Byington Byington | w_freq: 1 - 1 | wiki_freq: 540 - 2 | sentence_idx: 21866 | align_1: 1-3 | align_2: 2-8 | entity: Byington - none |    Spring Byington ( You Ca n't Take it With You ) ||| 斯普林·白灵顿 （ Spring Byington ） 《 浮生若梦 》 （ You Can't Take It with You ） 

Prystaiko Prystaiko | w_freq: 1 - 1 | wiki_freq: 40 - 0 | sentence_idx: 23374 | align_1: 10-13 | align_2: 11-18 | entity: Prystaiko - none |    Foreign Minister Ann Linde said she had spoken to Mr Prystaiko . ||| 外交大臣 安·林德 （ Ann Linde ） 说 ， 她 已经 与 普雷斯塔科 （ Prystaiko ） 进行 了 交谈 。 

Valtteri Valtteri | w_freq: 34 - 28 | wiki_freq: 764 - 3 | sentence_idx: 30698 | align_1: 5-7 | align_2: 6-11 | entity: Valtteri - none |    I won nine races and Valtteri won three , but there are 20 races , and a perfect season is when you win every single one of them . ||| 我 赢 了 九 场 比赛 ， Valtteri [ Bottas ] 赢 了 三 场 ， 但是 有 20 场 比赛 ， 而 一个 完美 的 赛季 就是 你 赢得 每 一 场 比赛 。 

Lanayru FIN | w_freq: 1 - 5 | wiki_freq: 4 - 25 | sentence_idx: 32130 | align_1: 1-0 | align_2: 2-5 | entity: Lanayru - none |    The Lanayru Province ( ||| FIN : 芬兰 航空 公司 Finnair （ 

Wearstler Wearstler | w_freq: 2 - 2 | wiki_freq: 101 - 0 | sentence_idx: 36156 | align_1: 7-5 | align_2: 8-13 | entity: Kelly Wearstler - Kelly Wearstler |    After stints at Marmol Radziner and Kelly Wearstler he founded his own interior architecture and design firm in 2002 and has since been fortunate enough to have worked on some of the most significant historical residential modernist homes in the US . ||| 在 Marmol Radziner 和 Kelly Wearstler 工作 了 一 段 时间 后 ， 他 于 2002年 创立 了 自己 的 室内 建筑 和 设计 公司 ， 并且 有幸 在 美国 一些 最 重要 的 历史 住宅 现代主义 住宅 工作 。 

ISIL 伊黎 | w_freq: 43 - 15 | wiki_freq: 13697 - 5 | sentence_idx: 40090 | align_1: 13-10 | align_2: 14-15 | entity: ISIL - 伊黎 伊斯兰国 |    “ But make no mistake , we know we are at war with ISIL in the same way we ’re at war and continue to be at war with Al-Qaida and its affiliates , ” he said . ||| “ 但 不要 误会 ， 我们 知道 我们 正在 与 伊黎 伊斯兰国 展开 战争 ， 就 像 我们 处于 战争 状态 并 继续 与 基地 组织 及其 附属 机构 发生 战争 一样 ， ” 他 说 。 

Socialising 社交 | w_freq: 1 - 2890 | wiki_freq: 10 - 9862 | sentence_idx: 40430 | align_1: 8-6 | align_2: 9-11 | entity: Socialising - none |    The city ranked 65th in the Friends and Socialising subcategory and many people complained about how difficult it was to make friends with the Dutch . ||| 该 城市 在 “ 朋友 与 社交 ” 这 一 子 类别 中 排名 第65 位 ， 许多 人 抱怨 与 荷兰人 交朋友 有 多么 困难 。 

Consensus 共识 | w_freq: 49 - 678 | wiki_freq: 3080 - 6908 | sentence_idx: 42646 | align_1: 13-16 | align_2: 14-21 | entity: Monterrey Consensus - none |    Consistent with commitments made at various international conferences , in particular the Monterrey Consensus , developed countries should assist developing countries in attaining international development goals , including those contained in the Millennium Declaration . ||| 4. 根据 各 次 国际 会议 上 所 作 的 承诺 ， 特别 是 《 蒙特雷 共识 》 中 的 承诺 ， 发达 国家 应当 帮助 发展中国家 实现 国际 发展 目标 ， 包括 《 千年 宣言 》 中 包含 的 那些 目标 。 

Mist Mist | w_freq: 6 - 3 | wiki_freq: 3199 - 34 | sentence_idx: 44168 | align_1: 13-13 | align_2: 14-24 | entity: Irish Mist - none |    Similarly , this unfortunate translation also caught out the Irish whiskey liqueur Irish Mist . ||| 同样 地 ， 这种 不合 国情 的 翻译 也 给 爱尔兰 威士忌 Irish Mist （ 爱尔兰 之 雾 ） 带来 了 同样 的 麻烦 。 

GE GE | w_freq: 78 - 54 | wiki_freq: 8831 - 394 | sentence_idx: 44645 | align_1: 13-6 | align_2: 14-14 | entity: GE - none |    RH : Can you give a practical example of a digital twin at GE along with some of the benefits you have realized ? ||| RH : 能否 列举 一个 关于 GE 数字 孪生体 的 实际 应用 案例 ， 以及 你们 所 获得 的 一些 优势 ？ 

Cheminformatics Cheminformatics | w_freq: 1 - 3 | wiki_freq: 28 - 2 | sentence_idx: 45436 | align_1: 35-50 | align_2: 36-58 | entity: Journal of Cheminformatics - none |    Since then , both spellings have been used , and some have evolved to be established as Cheminformatics,[3 ] while European Academia settled in 2006 for Chemoinformatics.[4 ] The recent establishment of the Journal of Cheminformatics is a strong push towards the shorter variant . ||| 从 那时 起 ， 两 种 拼写 已 被 使用 ， 有些 已经 演变 为 化学 信息学 （ Cheminformatics ） [ 3 ] ， 而 欧洲 学术 研究会 于 2006年 设立 为 化学 信息 学[ 4 ] ， 最近 成立 的 《 化学 信息学 学报 （ 英语 ： Journal of Cheminformatics ） 》 （ Journal of Cheminformatics ） 是 对 较 短 变体 的 强力 推动 。 

Mahashivaratri Mahashivratri | w_freq: 1 - 1 | wiki_freq: 73 - 0 | sentence_idx: 49604 | align_1: 33-41 | align_2: 34-46 | entity: Mahashivaratri - none |    I am thinking we will run 21-day Hata Yoga programs in the ashram , maybe once in two or three months , and we will start somewhere in March 2013 , maybe after Mahashivaratri . ||| 我 在 想 我们 将 在 静修 所 举办 为期 21 天 的 哈 他 瑜伽 课程 ， 可能 是 两 到 三 个 月 一 次 ， 我们 将 在 2013年 3月 的 某个 时间 开始 ， 也许 是 在 Mahashivratri （ 大湿婆夜 ） 之后 。 

Poldark 罗斯•波尔达克 | w_freq: 1 - 1 | wiki_freq: 413 - 0 | sentence_idx: 62725 | align_1: 7-4 | align_2: 8-8 | entity: Ross Poldark - 罗斯•波尔达克 |    Following the death of Elizabeth , Ross Poldark resolves to put Westminster behind him and spend more time with the people he loves . ||| 伊丽莎白 去世 后 ， 罗斯•波尔达克 ( 艾丹•特纳饰 ) 决定 把 威斯敏斯特 抛 在 身后 ， 花 更 多 的 时间 和 他 爱 的 人 在 一起 。 

NFPA NFPA | w_freq: 14 - 14 | wiki_freq: 619 - 27 | sentence_idx: 63825 | align_1: 2-2 | align_2: 3-8 | entity: NFPA - none |    Earlier today NFPA released the most recent " Home Fires Involving Cooking Equipment " report , detailing national statistics from 2007 to 2011 . ||| 近日 ， NFPA （ 美国 消防 协会 ） 发布 了 最新 一 期 “ 与 烹饪 器具 相关 的 住宅 火灾 ” 的 报告 ， 报告 中 详细 给出 了 2007年 至 2011年 间 全国 的 统计 数据 。 

Eastasia Eastasia | w_freq: 5 - 4 | wiki_freq: 39 - 0 | sentence_idx: 71161 | align_1: 11-9 | align_2: 12-15 | entity: Eastasia - none |    ’ When I was arrested , Oceania was at war with Eastasia . ||| ” “ 当 我 被 逮捕 , 大洋洲 是 Eastasia 交战 ”    。 

2030 2030 | w_freq: 486 - 72 | wiki_freq: 8697 - 233 | sentence_idx: 72863 | align_1: 2-6 | align_2: 3-10 | entity: Vision 2030 - none |    “ Vision 2030 sounds like a positive project , but I would call it Obligation 2030 . ||| 他 说 ， “ ‘ 愿景 2030 ’ 听 起来 是 一个 积极 的 项目 ， 但 我 称之为 ‘ 义务 2030 ’ （ Obligation 2030 ） 。 

Monsieur 啊 | w_freq: 82 - 1852 | wiki_freq: 3991 - 3904 | sentence_idx: 75006 | align_1: 0-1 | align_2: 1-6 | entity: Monsieur - none |    Monsieur , are you the friend of Don Ottavio ? " ||| …… 啊  ， 先生  ， 您 是 唐·奥塔维奥 的 朋友 吧 ? 

Approach Approach | w_freq: 50 - 15 | wiki_freq: 5360 - 79 | sentence_idx: 76537 | align_1: 7-5 | align_2: 8-12 | entity: Approach - none |    The NBA ( or Neurocognitive and Behavioral Approach ) is a fascinating , innovative and multi-disciplinary approach born out of 25 years of scientific research . ||| NBA （ Neurocognitive and Behavioral Approach ， 神经 认知 和 行为 方法 ） 是 一 项 引人入胜 、 创新 和 多 学科 的 方法 ， 源于 25 年 的 科学 研究 。 

Oury Oury | w_freq: 1 - 1 | wiki_freq: 277 - 8 | sentence_idx: 81299 | align_1: 11-11 | align_2: 12-17 | entity: Gérard Oury - Gérard Oury |    She then lived with film director and actor / writer Gérard Oury until his death in 2006.[4 ] ||| 然后 ， 她 与 电影 演员 / 作家 杰拉德·欧利 （ Gérard Oury ） 住 在 一起 ， 直到 他 在 2006年 死亡 。 

Kathryn 凯瑟琳 | w_freq: 14 - 115 | wiki_freq: 7679 - 1075 | sentence_idx: 83074 | align_1: 3-3 | align_2: 4-8 | entity: Kathryn - 凯瑟琳 |    " We welcome Kathryn and look forward to her guidance and valuable perspectives . " ||| “ 我们 欢迎 凯瑟琳 ( Kathryn ) ， 并 期待 着 她 的 指导 和 宝贵 的 见解 。 

DRC 刚果 | w_freq: 36 - 149 | wiki_freq: 4362 - 2933 | sentence_idx: 87576 | align_1: 6-3 | align_2: 7-7 | entity: DRC - none |    A 2002 UN report on the DRC conflict heavily criticised neighbouring countries ( particularly Rwanda ) and companies for fuelling the conflict in their attempt to gain access to these natural resources . ||| 一 份 关于 刚果 （ 金 ） 冲突 的 2002年 联合国 报告 ， 严厉 批评 了 其 邻国 （ 特别是 卢旺达 ） 和 一些 公司 为 获取 这些 自然资源 而 加剧 冲突 的 行径 。 

Zohar 光辉 | w_freq: 3 - 64 | wiki_freq: 1620 - 1683 | sentence_idx: 89443 | align_1: 4-3 | align_2: 5-8 | entity: The Zohar - none |    When we read The Zohar , we should imagine that we exist in two systems . ||| 在 阅读 《 光辉 之 书 》 时 ， 我们 得 想象 我们 在 处于 两 种 系统 中 。 

Examiner Examiner | w_freq: 28 - 6 | wiki_freq: 5843 - 22 | sentence_idx: 93723 | align_1: 6-6 | align_2: 7-11 | entity: The Examiner - The Examiner |    Speaking to Australian daily newspaper The Examiner , Lockhart explained : " Obviously we were with Katy for two and a half years , she 's like family to us . ||| 在 接受 澳大利亚 媒体 《 The Examiner 》 的 采访 时 ， 洛克哈特 解释 道 ： “ 很 显然 ， 我们 跟随 凯蒂 已经 有 两 年 半 的 时间 ， 她 就 像是 我们 的 家人 。 

Ducati 杜卡迪 | w_freq: 13 - 6 | wiki_freq: 2701 - 23 | sentence_idx: 106600 | align_1: 15-7 | align_2: 16-12 | entity: Ducati - 杜卡迪 |    “ Indeed , the C-V2X communication is definitely one of the key projects of the Ducati 2025 safety road map . " ||| 实际上   ， C-V2X 通信 是 杜卡迪 2025 安全 路线图 （ 2025 safety road map） 的 关键 项目 之一    ? 

Sith 西斯复 | w_freq: 12 - 1 | wiki_freq: 1645 - 0 | sentence_idx: 109061 | align_1: 15-14 | align_2: 16-19 | entity: Revenge of the Sith - 西斯复 |    Everyone 's favorite Wookiee was born on planet Kashyyyk , seen in Revenge of the Sith as a lush world of one endless season . ||| 每个 人 都 喜欢 的 Wookiee 出生 在 Kashyyyk 行星 上 ， 在 《 西斯复 仇记 》 中 被 视为 一个 无尽 季节 的 郁郁葱葱 的 世界 。 

Pizza Pizza | w_freq: 35 - 17 | wiki_freq: 8245 - 115 | sentence_idx: 112119 | align_1: 6-8 | align_2: 7-14 | entity: Bitcoin Pizza - none |    The following is adapted from Bitcoin Pizza : The No-Bullshit Guide to Blockchain . ||| 以下 内容 是 从 比特币 披萨 （ Bitcoin Pizza ） 改编 而 成 的 ： 《 区块链 无 废话 指南 》 （ The No-Bullshit Guide to Blockchain ） 。 

JAM JAM | w_freq: 7 - 5 | wiki_freq: 750 - 108 | sentence_idx: 115103 | align_1: 7-6 | align_2: 8-11 | entity: JAM - none |    Don Quijote should reduce its ownership in JAM to improve JAM ’s free float and liquidity . ||| Don Quijote 应 减少 其 在 JAM 持有 的 所有权 ， 以 改善 JAM 的 自由 浮动 及 流动性 。 

Ollie 奥利 | w_freq: 9 - 9 | wiki_freq: 4835 - 430 | sentence_idx: 121518 | align_1: 5-3 | align_2: 6-10 | entity: Ollie - 奥利 |    There 's no update on Ollie , but I 've spoken with him . ||| “ 没有 关于 奥利 ( 吉鲁 ) 的 最新 消息 ， 但 我 已经 和 他 谈 过 了 。 

Hausa Hau渡 | w_freq: 7 - 1 | wiki_freq: 2960 - 0 | sentence_idx: 124822 | align_1: 11-7 | align_2: 12-11 | entity: Hausa - none |    “ I tried to speak with one of them , in Hausa and in English , but she did n't answer . ||| 」 「 我 试 著用 豪萨语 ( Hau渡 假订 房sa ) 和 英语 跟 其中 一 人 说话 ， 但 她 没 回答 。 

Salle 恩 | w_freq: 11 - 80 | wiki_freq: 12456 - 828 | sentence_idx: 127011 | align_1: 8-7 | align_2: 9-12 | entity: Salle - none |    Then the people angrily said , “ La Salle ! ” ||| 义断恩绝 ——义 ： 情义   ； 恩 ： 恩情   。 

Salle 情义 | w_freq: 11 - 7 | wiki_freq: 12456 - 177 | sentence_idx: 127011 | align_1: 8-3 | align_2: 9-12 | entity: Salle - none |    Then the people angrily said , “ La Salle ! ” ||| 义断恩绝 ——义 ： 情义   ； 恩 ： 恩情   。 

Laureates 获得者 | w_freq: 13 - 95 | wiki_freq: 1173 - 2310 | sentence_idx: 127826 | align_1: 19-17 | align_2: 20-22 | entity: Nobel Laureates - none |    In 1974 , he drafted the Nobel Laureates Declaration on the Survival of Mankind , signed by 78 Nobel Laureates advocating support for environmental protection and humanitarian leadership . ||| 1974年 ， 他 起草 了 诺贝尔奖 获得者 关于 人类 生存 的 宣言 ， 由 78 名 诺贝尔奖 获得者 签署 ， 倡导 并 支持 环境 保护 和 人道主义 。 

Qur'an 古兰经 | w_freq: 127 - 345 | wiki_freq: 6037 - 2268 | sentence_idx: 130479 | align_1: 4-4 | align_2: 5-8 | entity: Qur'an - none |    In Islam , the Qur'an describes God as " the Merciful , the Compassionate . " ||| 在 伊斯兰教 ， 《 古兰经 》 也 是 一句话 ， 「 真主 确实 是 仁慈 的 」 ， 仁慈 就是 爱 。 

Qur’an 主语 | w_freq: 172 - 4 | wiki_freq: 541 - 987 | sentence_idx: 133274 | align_1: 3-3 | align_2: 4-7 | entity: Qur’an - none |    Note : The Qur’an is not man-made . ||| 注 ： 若 主语 为 代词 ， 则 不 倒装 。 

Stereo Stereo | w_freq: 5 - 4 | wiki_freq: 4990 - 42 | sentence_idx: 137501 | align_1: 8-6 | align_2: 9-11 | entity: Stereo - none |    In recent years , TWS ( True Wireless Stereo ) has been rapidly rising in the headset market . ||| 近年来 ， TWS （ True Wireless Stereo ， 真 无线 耳机 ） 正在 耳机 市场 中 快速 崛起 。 

Safa 萨索洛 | w_freq: 3 - 4 | wiki_freq: 1115 - 50 | sentence_idx: 140170 | align_1: 4-3 | align_2: 5-7 | entity: Safa - 萨索洛 |    When we talk with Safa we do not mention Siyaya . " ||| 如果 没有 对 萨索洛 的 平局 ， 我们 会 谈论 超级 尤文 ” 。 

Rememberer �雕 | w_freq: 1 - 1 | wiki_freq: 13 - 0 | sentence_idx: 140201 | align_1: 9-10 | align_2: 10-17 | entity: Rememberer - none |    And certainly that holds true for Iris and The Rememberer . ||| 《 易经 》 ： 是 各种 学问 所 遵从 且 �雕 [ 不 变 的 依据 经典 。 

Scripture 经文 | w_freq: 233 - 311 | wiki_freq: 5477 - 2450 | sentence_idx: 140380 | align_1: 3-1 | align_2: 4-9 | entity: Holy Scripture - none |    But in Holy Scripture we read it was not so . ||| 但 经文 并 不是 这样 说 的 ， 在 我们 所 读 的 这 段 经文 也 绝对 不是 这样 的 。 

Jedi 武士 | w_freq: 30 - 51 | wiki_freq: 5343 - 4691 | sentence_idx: 141183 | align_1: 3-5 | align_2: 4-10 | entity: The Last Jedi - none |    While The Last Jedi was a commercial success , generating $ 1.3 billion worldwide , it only earned a 44 % score from movie audiences on Rotten Tomatoes ( professional movie critics gave it a 91 % ) . ||| 虽然 《 最后 的 绝地 武士 》 在 商业 上 取得 了 成功 ， 在 全球 创造 了 13亿 美元 的 收入 ， 但 它 在 烂番茄 上 的 电影 观众 中 仅 获得 44% 的 得分 ( 专业 电影 评论家 给予 它 91% ) 。 

Victaulic Victaulic | w_freq: 1 - 1 | wiki_freq: 32 - 0 | sentence_idx: 142717 | align_1: 2-1 | align_2: 3-6 | entity: Victaulic - none |    Why did Victaulic decide to put time and resources into developing the new FireLock Installation-Ready Fittings ? ||| 为什么 Victaulic （ 唯 特利 ） 决定 投入 时间 和 资源 来 开发 新 的 FireLock 免拆 快装式 管件 ？ 

Napoli 那不勒斯 | w_freq: 34 - 70 | wiki_freq: 6566 - 2699 | sentence_idx: 144131 | align_1: 11-7 | align_2: 12-11 | entity: Napoli - 那不勒斯 |    ‘ For now , I have n’t heard from anyone at Napoli because I imagine they ’re busy planning for next season . ’ ||| “ 目前 ， 我 还 没有 听到 那不勒斯 的 消息 ， 因为 他们 现在 正 忙于 为 下 个 赛季 做 计划 。 

Ambras Ambras | w_freq: 1 - 1 | wiki_freq: 124 - 0 | sentence_idx: 144570 | align_1: 14-18 | align_2: 15-24 | entity: Castle Ambras - none |    Today the following permanent exhibitions are open to visitors : The History of Castle Ambras ; The Post Is Here ! ||| 目前 ， 博物馆 内 有 几 个 向 游客 开放 的 常设 展览 ： The History of Castle Ambras （ 安布拉斯城堡 的 历史 ） ; The Post Is Here ! 

Mourinho 穆里尼奥 | w_freq: 28 - 26 | wiki_freq: 1662 - 171 | sentence_idx: 144852 | align_1: 13-13 | align_2: 14-17 | entity: Mourinho - 穆里尼奥 |    But some Chelsea supporters no longer show the same gratitude and adulation to Mourinho as they did when he won the team 's first English title for 50 years in 2005 . ||| 但 一些 切尔西 球迷 不再 表现 出 同样 的 感激 和 赞美 对于 穆里尼奥 来说 ， 就 像 他们 在 2005年 赢得 球队 50年 来 的 第一 个 英国 冠军 一样 。 

Trilogy Trilogy | w_freq: 14 - 15 | wiki_freq: 7600 - 80 | sentence_idx: 147577 | align_1: 3-3 | align_2: 4-11 | entity: An American Trilogy - An American Trilogy |    " An American Trilogy " / " The First Time Ever I Saw Your Face " ||| 〈 An American Trilogy （ 英语 ： An American Trilogy ） 〉 / 〈 The First Time Ever I Saw Your Face （ 英语 ： The First Time Ever I Saw Your Face ） 〉 

Hasty 齐 | w_freq: 2 - 37 | wiki_freq: 883 - 9478 | sentence_idx: 152933 | align_1: 6-0 | align_2: 7-6 | entity: Hasty - 齐 |    And the same to you , Hasty , with gratitude . ||| 齐 ， 通 “ 斋 ” ， 庄重 恭敬 。 

Statement 宣言 | w_freq: 107 - 664 | wiki_freq: 7268 - 8978 | sentence_idx: 161095 | align_1: 7-6 | align_2: 8-10 | entity: Chicago Statement - none |    Those who formulated and signed the Chicago Statement did so in response to the large-scale assaults on biblical authority by theological liberals . ||| 那些 制定 和 签署 《 芝加哥 宣言 》 的 领袖 有 此 行动 ， 是 为了 回应 自由派 神学家 大规模 对 圣经 权威 的 攻击 。 

Qur’ân 古兰经 | w_freq: 4 - 345 | wiki_freq: 1 - 2268 | sentence_idx: 164952 | align_1: 9-8 | align_2: 10-12 | entity: Qur’ân - none |    16 / An-Nahl-98 : So when you recite the Qur’ân , seek refuge in Allah from Satan the stoned . ||| 16 : 98 当 你 要 诵读 《 古兰经 》 的 时候 ， 你 应当 求 真主 保护 ， 以 防受 诅咒 的 恶魔 的 干扰 。 

UNCTAD 贸发 | w_freq: 21 - 12 | wiki_freq: 661 - 23 | sentence_idx: 168187 | align_1: 0-0 | align_2: 1-4 | entity: UNCTAD - 贸发 |    UNCTAD research shows that the absence of a direct connection is associated with a 42 % lower value of bilateral exports . ||| 贸发 会议 表示 ， 研究 表明 ， 缺乏 直接 联系 与 双边 出口 价值 降低 42％ 有关 。 

Abram 亚伯拉罕 | w_freq: 23 - 218 | wiki_freq: 3933 - 946 | sentence_idx: 169918 | align_1: 1-1 | align_2: 2-11 | entity: Abram - 亚伯拉罕 |    Yet Abram trusted the Lord ’s promise that one day the land would belong to his people . ||| 从 亚伯拉罕 开始 就 献 上 以 撒 ， 让 大家 晓得 有 一 天 上帝 要 献 上祂 的 爱子 。 

Almighty 全能者 | w_freq: 141 - 26 | wiki_freq: 2790 - 56 | sentence_idx: 170600 | align_1: 17-13 | align_2: 18-22 | entity: Almighty - none |    17 They said to God , ' Depart from us , ' and ' What can the Almighty do to us ? ' ||| 17 他们 对 上帝 说 ： 『 离开 我们 吧 ！ 』 『 全能者 能 把 我们 （ 传统 ： 他们 ） 怎么样 呢 ？ 』 

IoT 物联网 | w_freq: 586 - 538 | wiki_freq: 1865 - 477 | sentence_idx: 171313 | align_1: 1-1 | align_2: 2-5 | entity: IoT - none |    With IoT companies will face a monumental challenge : applying digital security to processes that have never before been digitized . ||| 随着 物联网 的 出现 ， 组织 面临 着 一个 巨大 的 挑战 ： 将 数字 安全 应用 到 以前 从未 数字化 过 的 过程 中 。 

Alo Alo | w_freq: 1 - 1 | wiki_freq: 1227 - 6 | sentence_idx: 172026 | align_1: 7-5 | align_2: 8-9 | entity: Prothom Alo - Prothom Alo |    According to a local newspaper , Prothom Alo , there is one divorce every hour in Dhaka , and cheating is one of the main causes . ||| 根据 当地 报纸 《 Prothom Alo 》 的 说法 ， 达喀尔 每 小时 有 一 次 离婚 ， 偷情 是 其中 一个 主要 原因 。 

Gods 天主隆 | w_freq: 110 - 1 | wiki_freq: 12574 - 0 | sentence_idx: 174388 | align_1: 9-6 | align_2: 10-11 | entity: Gods - 天主隆 |    On the subject of obedience , with obedience to Gods will comes a promise ||| 藉著 订立 合约 的 方式 ， 天主隆 重地 约束 自己 ， 一定 要 实现 许诺 。 

AIM-120D AIM-120D | w_freq: 1 - 1 | wiki_freq: 17 - 6 | sentence_idx: 175642 | align_1: 4-4 | align_2: 5-9 | entity: AIM-120D - none |    The Navy already declared AIM-120D IOC and plans to deploy the missile this year . ||| 海军 也 已 宣布 AIM-120D 初始 作战 能力 ( IOC ) ， 并 计划 今年 部署 该 导弹 。 

McAfee McAfee | w_freq: 82 - 71 | wiki_freq: 2103 - 76 | sentence_idx: 181423 | align_1: 9-14 | align_2: 10-18 | entity: Andrew McAfee - none |    But according to MIT research scientist and writer Andrew McAfee , this time around will be different regardless , and in the best of ways , because we ’ve finally reached a point where our prosperity does n’t have to depend on taking resources from the planet . ||| 但是 ， 根据 麻省 理工 学院 的 研究 科学家 和 作家 安德鲁·迈克菲 （ Andrew McAfee ） 的 说法 ， 无论如何 ， 从 最好 的 角度 来看 ， 这次 都 将 有所 不同 ， 因为 我们 终于 达到 了 一个 繁荣点 ， 我们 的 繁荣 不必 依赖 于 从 地球 上 获取 资源 。 

Physiology Physiology | w_freq: 9 - 2 | wiki_freq: 7017 - 26 | sentence_idx: 184005 | align_1: 10-11 | align_2: 11-19 | entity: Journal of Physiology - Journal Of Physiology |    In a paper published this week in the Journal of Physiology , Paton and his colleagues describe a smarter pacemaker that puts natural variation back into a failing heart , helping it to work more efficiently . ||| 在 本周 发表 在 “ 生理学 杂志 ” ( Journal Of Physiology ) 上 的 一 篇 论文 中 ， Paton 和 他 的 同事 描述 了 一 种 更 智能 的 起搏器 ， 它 可以 将 自然 变异 放回 衰竭 的 心脏 ， 帮助 它 更 有效 地 工作 。 

RAM 拉姆 | w_freq: 112 - 5 | wiki_freq: 11399 - 372 | sentence_idx: 184224 | align_1: 13-13 | align_2: 14-18 | entity: RAM - none |    FL-3000N was only introduced three years ago , and uses smaller missiles than RAM . ||| fl-3000n 是 3 年前 才 推出 的 ， 使用 的 导弹 比 “ 拉姆 ” 系统 要 小 。 

Fati Fati | w_freq: 1 - 1 | wiki_freq: 216 - 4 | sentence_idx: 185683 | align_1: 7-7 | align_2: 8-12 | entity: Fati - none |    2 The Sixth Extinction II : Amor Fati November 14 , 1999 ||| 2 The Sixth Extinction II : Amor Fati ( 3 ) 1999年 11月 14日 

Forman Forman | w_freq: 6 - 4 | wiki_freq: 3523 - 22 | sentence_idx: 191800 | align_1: 6-11 | align_2: 7-18 | entity: Eric Forman - none |    1998–2006 That ' 70s Show Eric Forman 179 episodes ||| 1998 – 2006 70 年代 秀 That ' 70s Show Eric Forman （ 英语 ： Eric Forman ） 179 集 

Scripture 圣经 | w_freq: 233 - 1632 | wiki_freq: 5477 - 11680 | sentence_idx: 193051 | align_1: 5-1 | align_2: 6-7 | entity: Scripture - none |    There are many warnings in Scripture issued to unbelievers . ||| 在 圣经 中 ， 根据 经文 所 记载 ， 不信者 有 很 严重 的 后果 。 

