Dawes Dawes | w_freq: 4 - 4 | wiki_freq: 4708 - 537 | sentence_idx: 2576 | align_1: 5-5 | align_2: 6-9 | entity: Dawes - Dawes |    Someday Never Comes ( with Dawes ) ||| Someday Never Comes ( avec Dawes ( en ) ) 
Iraqis Irakiens | w_freq: 92 - 84 | wiki_freq: 3367 - 562 | sentence_idx: 89476 | align_1: 3-2 | align_2: 4-7 | entity: Iraqis - Irakiens |    Why did the Iraqis not withdraw partially from Kuwait before January 15 , 1991 ? ||| Pourquoi les Irakiens ne se sont -ils pas retirés partiellement du Koweït avant le 15 janvier 1991 ? 

Holocaust”.[1 Holocaust | w_freq: 1 - 3 | wiki_freq: 0 - 457 | sentence_idx: 90479 | align_1: 19-19 | align_2: 20-29 | entity: Why Palestinians Should Learn About the Holocaust”.[1 - Why Palestinians Should Learn About the Holocaust |    Then , in March 2011 , I published an article titled , “ Why Palestinians Should Learn About the Holocaust”.[1 ] ||| Puis , en mars 2011 , j’ ai publié un article intitulé « Why Palestinians Should Learn About the Holocaust » ( « Pourquoi les Palestiniens devraient apprendre l’ Holocauste»)[1]. 

AOM AOM | w_freq: 2 - 2 | wiki_freq: 236 - 231 | sentence_idx: 90905 | align_1: 1-1 | align_2: 2-6 | entity: AOM - AOM |    The AOM visited Macedonia on 13 and 14 March to assess the improvement of the legal protection system for asylum . ||| L’ AOM s’ est r endue en Macédoine les 13 et 14 mars dernier afin d’ évaluer l’ amélioration du système de protection juridique relatif à l’ asile . 

Wasp Wasp | w_freq: 1 - 1 | wiki_freq: 3870 - 488 | sentence_idx: 93701 | align_1: 6-7 | align_2: 7-11 | entity: the USS Wasp - USS Wasp |    “ But we have the USS Wasp for six weeks in case there are some anomalies . ” ||| - " Mais nous avons l' USS Wasp ( LHD ) pour six semaines en cas il ya quelques anomalies . " 

IMF Fonds | w_freq: 320 - 464 | wiki_freq: 7216 - 9501 | sentence_idx: 98731 | align_1: 6-6 | align_2: 7-11 | entity: IMF - Fonds monétaire international |    “ What we wanted at the IMF was political stability and a clear policy in both countries . ||| " Ce que nous souhaitions au Fonds monétaire international , c' est une stabilité politique et une clarté politique dans ces deux pays . 

Q18 Q18 | w_freq: 2 - 2 | wiki_freq: 8 - 1 | sentence_idx: 99684 | align_1: 0-0 | align_2: 1-4 | entity: none - Q18 |    Q18 Is there any delay in delivery in your company ? ||| Q18 Y a -t -il un retard de livraison dans votre entreprise ? 

E-8 E-8 | w_freq: 30 - 33 | wiki_freq: 235 - 32 | sentence_idx: 102001 | align_1: 0-0 | align_2: 1-4 | entity: none - E-8 |    E-8 You know , the Bible says certain things , but if ... ||| E-8 ( 23 ) Vous savez , la Bible dit certaines choses , mais si ... 

E-74 E-74 | w_freq: 31 - 33 | wiki_freq: 1 - 2 | sentence_idx: 104050 | align_1: 0-0 | align_2: 1-4 | entity: none - E-74 |    E-74 And now every pastor is invited . ||| E-74 ( 3 ) Et maintenant , chaque pasteur est invité . 

Remember Souviens | w_freq: 1154 - 37 | wiki_freq: 9753 - 330 | sentence_idx: 106341 | align_1: 6-7 | align_2: 7-11 | entity: none - Souviens - toi de moi |    The Obsession is not affected by Remember Me . ||| L' obsession n' est pas affectée par Souviens - toi de moi . 

Dalai Dalaï | w_freq: 72 - 55 | wiki_freq: 7158 - 691 | sentence_idx: 107679 | align_1: 4-6 | align_2: 5-10 | entity: Dalai - Dalaï |    “ How important is Dalai for you and your family and do you want him to pray when you die ? ' ||| " Quelle est l’ importance du Dalaï [ 3 ] pour vous et votre famille et voulez -vous qu’ il prie quand vous mourrez ? " 

MTL MTL | w_freq: 2 - 2 | wiki_freq: 609 - 86 | sentence_idx: 108712 | align_1: 2-2 | align_2: 3-6 | entity: none - MTL |    How PME MTL made the difference for Main and Local ||| Comment PME MTL a -t -il fait la différence pour Main and Local 

Anyway Quoi | w_freq: 214 - 547 | wiki_freq: 1705 - 4268 | sentence_idx: 109339 | align_1: 13-14 | align_2: 14-19 | entity: none - Quoi |    Things have obviously changed , perhaps due to the new technical regulations … Anyway I managed to start in the lead and then control the race . ||| Les choses ont visiblement changé , peut-être du fait du nouveau règlement technique … Quoi qu’ il en soit j’ ai pu partir en tête et contrôler ensuite la course . 

SWIFT SWIFT | w_freq: 45 - 47 | wiki_freq: 653 - 209 | sentence_idx: 111624 | align_1: 14-17 | align_2: 15-22 | entity: SWIFT - SWIFT |    Contradicting the point , Garlinghouse claimed that at least over a hundred customers of SWIFT disagree with this point of view . ||| En contradiction avec ce point , Garlinghouse a déclaré qu’ au moins une centaine de clients de SWIFT n’ étaient pas d’ accord avec ce point de vue . 

F-FACTOR FACTOR | w_freq: 1 - 2 | wiki_freq: 0 - 6 | sentence_idx: 112234 | align_1: 19-24 | align_2: 20-31 | entity: none - FACTOR |    As a result , it ’s never been more important for brands to make sure they too have the F-FACTOR . ||| En conséquence , il n' a jamais été plus important pour les marques de s' assurer qu' elles ont elles aussi THE F - FACTOR ( LE F - FACTEUR ) . 

19,300 19.300 | w_freq: 1 - 1 | wiki_freq: 87 - 2 | sentence_idx: 114943 | align_1: 11-16 | align_2: 12-21 | entity: 19,300 - none |    Of all camp inmates they had the highest death rate : 19,300 lost their lives there . ||| De tous les détenus du camp , ils avaient le plus fort taux de mortalité : 19.300 d’ entre eux y perdirent la vie . 

Micro Micro | w_freq: 25 - 17 | wiki_freq: 6908 - 1108 | sentence_idx: 127253 | align_1: 2-2 | align_2: 3-6 | entity: SSi Micro - SSi Micro |    As SSi Micro noted , this principle comes from environmental law and has not been considered in this context before . ||| Comme SSi Micro l’ a fait remarquer , ce principe découle du droit de l’ environnement et n’ a pas été examiné dans ce contexte auparavant . 

Dieudonné Dieudonné | w_freq: 2 - 2 | wiki_freq: 762 - 2149 | sentence_idx: 128754 | align_1: 0-0 | align_2: 1-4 | entity: Dieudonné - Dieudonné |    Dieudonné exists only through provocation ! ||| Dieudonné , il n' existe que par la provocation ! 

Othman Othman | w_freq: 4 - 4 | wiki_freq: 1332 - 760 | sentence_idx: 141756 | align_1: 5-4 | align_2: 6-9 | entity: Mohammad Al Fateh Othman - Mohammad Al Fateh Othman |    How was Mohammad Al Fateh Othman found and saved ? ||| Comment Mohammad Al Fateh Othman a -t -il été trouvé et sauvé ? 

Kalamata Kalamata | w_freq: 2 - 2 | wiki_freq: 960 - 291 | sentence_idx: 145074 | align_1: 3-2 | align_2: 4-7 | entity: Kalamata - Kalamata |    " Everybody in Kalamata talking about your music competition . ||| " À Kalamata , tout le monde parle de votre concours de musique . 

Spiritual Spiritual | w_freq: 139 - 4 | wiki_freq: 9181 - 304 | sentence_idx: 145647 | align_1: 14-13 | align_2: 15-18 | entity: Kumbaya : Stories of an African American Spiritual - Stories of an African American Spiritual |    You can also listen to the podcast Kumbaya : Stories of an African American Spiritual to learn more . ||| Vous pouvez aussi écouter le podcast Kumbaya : Stories of an African American Spiritual ( en anglais ) pour en apprendre davantage . 

Pill Pilule | w_freq: 34 - 7 | wiki_freq: 2451 - 83 | sentence_idx: 147573 | align_1: 7-4 | align_2: 8-11 | entity: the Foundation Establishment Pill - Pilule de Constitution des Fondations |    As a result , the Foundation Establishment Pill never appeared outside the world of cultivators . ||| En conséquence , la Pilule de Constitution des Fondations n’ était jamais apparue en dehors du monde des cultivateurs . 

E-218 E-218 | w_freq: 4 - 1 | wiki_freq: 0 - 0 | sentence_idx: 153872 | align_1: 0-0 | align_2: 1-4 | entity: none - E-218 |    E-218 These people come here tonight , I know there was a couple of cancers that left while we was standing here . ||| E-218 ( 217 ) Ces gens sont venus ici ce soir , je sais qu’ il y a des cancers qui ont quitté pendant que nous nous tenions ici . 

Maybe Peut | w_freq: 1233 - 2696 | wiki_freq: 6736 - 3705 | sentence_idx: 153920 | align_1: 4-6 | align_2: 5-10 | entity: none - Peut |    Someone suggested , ‘ Maybe your real success is in your personal life . ’ ” ||| Quelqu’ un m’ a suggéré ‘ Peut - être que ta vraie réussite est dans ta vie personnelle . ’ » 

Ethiopians Ethiopien | w_freq: 18 - 3 | wiki_freq: 1912 - 20 | sentence_idx: 154494 | align_1: 0-1 | align_2: 1-6 | entity: Ethiopians - Ethiopien |    Ethiopians have every reason to say : “ You deserve what you get for the centuries of enslavement and neo-enslavement industry by your Arab neighbours . ” ||| Les Ethiopien - ne - s ont toutes les raisons de dire : « Vous méritez ce que vous avez pour les siècles d’ esclavage et d’ industrie néo-esclavagiste par vos voisins arabes . » 

NEW NEW | w_freq: 67 - 38 | wiki_freq: 1132 - 109 | sentence_idx: 154893 | align_1: 0-0 | align_2: 1-5 | entity: none - NEW YORK- |    NEW YORK—Nearly 20 years ago , newspaper headlines were wondering whether the internet was going to free China . ||| NEW YORK- Il y a près de 20 ans , les titres des journaux se demandaient si Internet allait libérer la Chine . 

Pentagon Pentagone | w_freq: 227 - 220 | wiki_freq: 9756 - 1316 | sentence_idx: 159123 | align_1: 6-8 | align_2: 7-13 | entity: Pentagon - Pentagone |    Renovation to revolution : Was the Pentagon attacked from within ? ||| De la rénovation à la révolution : Le Pentagone a -t -il été attaqué de l’ intérieur ? 

Jotham Jotham | w_freq: 3 - 3 | wiki_freq: 243 - 38 | sentence_idx: 165833 | align_1: 12-12 | align_2: 13-17 | entity: Jotham - Jotham |    The sermon ends with a question : “ How many blessings did Jotham fail to receive , simply because he neglected church ? ” ||| Le sermon se termine par une question : " Combien de bénédictions Jotham n' a -t -il pas reçu , simplement parce qu' il a négligé l' église ? " 

Available Available | w_freq: 74 - 2 | wiki_freq: 4175 - 41 | sentence_idx: 170532 | align_1: 5-5 | align_2: 6-10 | entity: none - FEMA : Find Every Mexican Available |    FEMA : Find Every Mexican Available . ||| FEMA : Find Every Mexican Available [ cherchez tout Mexicain disponible]. 

Bonus Bonus | w_freq: 55 - 40 | wiki_freq: 5997 - 956 | sentence_idx: 171698 | align_1: 0-0 | align_2: 1-4 | entity: none - Bonus |    Bonus : Bring your Bible to life with the FREE Friends With God App ! ||| Bonus ( en anglais ): Amenez votre Bible à la vie avec l' application gratuite ( en anglais ) Friends With God ! 

Mugabe Mugabe | w_freq: 69 - 70 | wiki_freq: 3715 - 784 | sentence_idx: 174452 | align_1: 8-9 | align_2: 9-14 | entity: Mugabe - Mugabe |    The Sun that Never Sets : Why was Mugabe forced to resign ? ||| Le soleil qui ne se couche jamais : pourquoi Mugabe a -t -il été obligé de démissionner ? 

Kurz Kurz | w_freq: 8 - 8 | wiki_freq: 1514 - 607 | sentence_idx: 177470 | align_1: 0-0 | align_2: 1-4 | entity: Kurz - Kurz |    Kurz had no reason to suspect that this weekend in May should prove any different . ||| Kurz n’ a pas eu aucune raison de soupçonner que ce week - end en mai devrait prouver n’ importe quel différent . 

10.3 10.2 | w_freq: 18 - 11 | wiki_freq: 5212 - 73 | sentence_idx: 181625 | align_1: 0-0 | align_2: 1-5 | entity: 10.3 - none |    10.3 EU Users and Commercial E-mails . ||| 10.2 Utilisateurs de l’ Union européenne et e-mails commerciaux . 

Amdo Amdo | w_freq: 1 - 1 | wiki_freq: 584 - 551 | sentence_idx: 188596 | align_1: 18-18 | align_2: 19-24 | entity: Amdo - Amdo |    Perhaps if the 5th and 13th Dalai Lamas were to reappear now they ’d send me back to Amdo ! ||| Peut - être que si les 5e et 13e dalaï lamas revenaient maintenant , ils me renverraient en Amdo , d’ où je viens ! 

E-45 E-45 | w_freq: 26 - 26 | wiki_freq: 11 - 4 | sentence_idx: 189548 | align_1: 0-0 | align_2: 1-4 | entity: none - E-45 |    E-45 Is there anybody here was at the Tacoma meeting who seen that ? ||| E-45 Y a -t -il ici quelqu’ un qui était aux réunions de Tacoma et qui a vu cela ? 

Bret Bret | w_freq: 17 - 18 | wiki_freq: 5393 - 1608 | sentence_idx: 194431 | align_1: 14-15 | align_2: 15-29 | entity: Bret Hart - Bret Hart |    As he said himself , " no one could take a shit kicking like Bret Hart . " ||| Comme il le dit lui-même : « no one could take a shit kicking like Bret Hart » ( « personne ne peut prendre des sales coups comme Bret Hart » ) . 

Felpham Felpham | w_freq: 1 - 1 | wiki_freq: 109 - 5 | sentence_idx: 195353 | align_1: 6-6 | align_2: 7-10 | entity: Felpham - Felpham |    “ [ The town of ] Felpham is a sweet place for Study , because it is more spiritual than London . ||| « [ La ville de ] Felpham ( en ) est une douce place pour étudier car elle est plus spirituelle que Londres . 

E.J. E.J. | w_freq: 3 - 3 | wiki_freq: 1481 - 85 | sentence_idx: 201881 | align_1: 3-2 | align_2: 4-7 | entity: E.J. - E.J. Gold |    So why is E.J. not better known , even in his own country ? ||| Pourquoi donc E.J. Gold n' est -il pas mieux connu , même dans son propre pays ? 

37:25 37:25 | w_freq: 1 - 1 | wiki_freq: 7 - 3 | sentence_idx: 206584 | align_1: 0-0 | align_2: 1-9 | entity: 37:25 - none |    37:25 How is it that [ now ] you can not succour one another ? " ||| 37:25 ( Et on leur demandera ) : « Pourquoi ne vous portez -vous pas secours les uns les autres ? » 

Ukrainians Ukrainiens | w_freq: 135 - 139 | wiki_freq: 7153 - 2375 | sentence_idx: 207664 | align_1: 2-1 | align_2: 3-6 | entity: The East Ukrainians - Ukrainiens |    The East Ukrainians will never return ||| Les Ukrainiens de l’ est ne reviendront jamais 

Stradale Stradale | w_freq: 7 - 7 | wiki_freq: 212 - 87 | sentence_idx: 207759 | align_1: 11-11 | align_2: 12-16 | entity: the Ferrari Challenge Stradale - Ferrari Challenge Stradale |    If I can pay for it , will the Ferrari Challenge Stradale not cost me too much in maintenance ? ||| Si j' arrive à me la payer , la Ferrari Challenge Stradale ne va -t -elle pas me coûter trop cher en entretien ? 

Dakar Dakar | w_freq: 82 - 83 | wiki_freq: 6873 - 8942 | sentence_idx: 210685 | align_1: 1-1 | align_2: 2-5 | entity: Dakar - Dakar |    In Dakar , both agencies and national delegations inevitably arrived with a feeling of failure , of a task half done . ||| À Dakar , en revanche , les agences et les délégations arrivèrent inévitablement avec un sentiment d’ échec , de mission à moitié accomplie . 

MR MR | w_freq: 39 - 17 | wiki_freq: 4092 - 1403 | sentence_idx: 212255 | align_1: 1-1 | align_2: 2-7 | entity: MR - MR |    The MR appears to be suffering from its participation in the federal government , and the humanists of cdH are losing ground as well . ||| Le MR , quant à lui , semble souffrir de sa participation au gouvernement fédéral , et les humanistes du CDH perdent également du terrain . 

Kalamata Kalamata | w_freq: 2 - 2 | wiki_freq: 960 - 291 | sentence_idx: 212624 | align_1: 3-2 | align_2: 4-7 | entity: Kalamata - Kalamata |    " Everybody in Kalamata talking about your Music Competition . ||| " À Kalamata , tout le monde parle de votre concours de musique . 

Francs Francs | w_freq: 7 - 7 | wiki_freq: 1104 - 8323 | sentence_idx: 212654 | align_1: 2-3 | align_2: 3-7 | entity: none - Francs |    -bought 5000 Francs by Paul DR- ||| – Acheté 5000 Francs de l’ époque par Paul DR- 

Enlightenment Illumination | w_freq: 19 - 11 | wiki_freq: 9921 - 209 | sentence_idx: 212747 | align_1: 8-11 | align_2: 9-15 | entity: none - Illumination |    How will the changes happening in Ascension and Enlightenment relate to the next elections in the United States ? ||| Comment les changements qui se produisent dans l' Ascension et l’ Illumination seront -ils en relation avec les prochaines élections aux États-Unis ? 

Allende Allende | w_freq: 10 - 10 | wiki_freq: 3977 - 1462 | sentence_idx: 214194 | align_1: 4-4 | align_2: 5-10 | entity: Salvatore Allende - Salvatore Allende |    Adolf Hitler and Salvatore Allende decades ago showed how a non-democrat can exploit the democratic process . ||| Adolf Hitler et Salvatore Allende , il y a des décennies , ont montré comment un non-démocrate peut exploiter le processus démocratique . 

E-55 E-55 | w_freq: 25 - 29 | wiki_freq: 3 - 3 | sentence_idx: 222334 | align_1: 0-0 | align_2: 1-4 | entity: none - E-55 |    E-55 Made him out of the dust of the earth , now , not in His Own image . ||| E-55 Il l’ a formé de la poussière de la terre donc , pas à Son image . 

Yoga Yoga | w_freq: 247 - 176 | wiki_freq: 9208 - 1140 | sentence_idx: 226790 | align_1: 5-4 | align_2: 6-8 | entity: Sahaja Yoga - Sahaja Yoga |    But to grow in Sahaja Yoga should not be difficult for you , because you have guidelines . ||| Mais grandir dans Sahaja Yoga , cela ne devrait pas être difficile pour vous , parce que vous avez des lignes directrices . 

Aleyda Aleyda | w_freq: 1 - 1 | wiki_freq: 26 - 5 | sentence_idx: 228737 | align_1: 5-7 | align_2: 6-12 | entity: Aleyda - Aleyda |    This is what happened when Aleyda stopped feeling her baby move for more than 24 hours . ||| C’ est ce qui est arrivé à Aleyda , quand elle a arrêté de sentir son bébé bouger pendant plus de 24 heures . 

Coulson Coulson | w_freq: 6 - 6 | wiki_freq: 3470 - 209 | sentence_idx: 233260 | align_1: 8-8 | align_2: 9-12 | entity: Coulson - Coulson |    " In their hands that 's catastrophic ; Coulson please tell me you know where it is . " ||| " Dans leurs mains c’ est catastrophique ; Coulson s’ il vous plaît me dire vous savez où il est . " 

Join Joins | w_freq: 169 - 2 | wiki_freq: 1607 - 10 | sentence_idx: 238823 | align_1: 0-0 | align_2: 1-4 | entity: none - Joins - toi |    Join him while he plans each one of his moves carefully in this strategic action game . ||| Joins - toi à lui alors qu' il planifie chacun de ses mouvements avec soin dans ce jeu d' action stratégique . 

Maybe Peut | w_freq: 1233 - 2696 | wiki_freq: 6736 - 3705 | sentence_idx: 262890 | align_1: 21-24 | align_2: 22-28 | entity: none - Peut |    If you are also one of the thousands of Spaniards who are considering exile in London or elsewhere in UK , Maybe you can give some of advice : ||| Si vous êtes aussi l' un des milliers d' Espagnols qui envisagent l' exil à Londres ou ailleurs dans le Royaume - Uni , Peut - être que vous pouvez donner un peu de conseils : 

Folena Folena | w_freq: 1 - 1 | wiki_freq: 13 - 3 | sentence_idx: 264286 | align_1: 6-4 | align_2: 7-9 | entity: Pietro Folena - Pietro Folena |    Moreover , the initiative of Pietro Folena is also moving in this direction ” . ||| L’ initiative de Pietro Folena , du reste , va aussi dans cette direction . » 

Comunista Comunista | w_freq: 2 - 1 | wiki_freq: 851 - 210 | sentence_idx: 269263 | align_1: 10-10 | align_2: 11-14 | entity: Programma Comunista - Programma Comunista |    Organisations that are part of the revolutionary camp like Programma Comunista were not included . ||| Des organisations faisant partie du camp révolutionnaire , comme Programma Comunista , n' en faisaient pas partie . 

E-365 E-365 | w_freq: 3 - 4 | wiki_freq: 0 - 0 | sentence_idx: 270239 | align_1: 0-0 | align_2: 1-6 | entity: none - E-365 |    E-365 Outside , remember , I might not never see your hand . ||| E-365 Ceux qui sont à l’ extérieur , souvenez -vous , il se peut que je ne voie jamais votre main . 

Object Object | w_freq: 24 - 11 | wiki_freq: 5930 - 1403 | sentence_idx: 271081 | align_1: 9-9 | align_2: 10-16 | entity: none - E. Recovery of the Lost Good Object |    2006 Brenman , E. Recovery of the Lost Good Object . ||| 2006 Brenman , E. Recovery of the Lost Good Object [ Le rétablissement du bon objet perdu]. 

Prophet Prophète | w_freq: 229 - 178 | wiki_freq: 9638 - 1698 | sentence_idx: 276132 | align_1: 1-1 | align_2: 2-5 | entity: Prophet - Prophète |    The Prophet says : “ Regret is repentance . ” ||| Le Prophète ( ) a dit : « Le regret est un repentir . » 

Chaturbate Chaturbate | w_freq: 9 - 3 | wiki_freq: 24 - 6 | sentence_idx: 277269 | align_1: 5-8 | align_2: 6-12 | entity: Chaturbate - Chaturbate |    6 ) Has anyone from Chaturbate bought you anything ? ||| 10 ) Est -ce que quelqu’ un de Chaturbate t’ as déjà acheté quelque chose ? 

