E-58 E-58 | w_freq: 22 - 26 | wiki_freq: 5 - 2 | sentence_idx: 7566 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-58 |    E-58 Why did there ... was there mysteries that was still hid ? ||| E-58 ( 45 ) Pourquoi y a -t -il eu ... y avait -il des mystères qui étaient encore cachés ?
Cosmogonies Cosmogonies | w_freq: 2 - 2 | wiki_freq: 4 - 14 | sentence_idx: 42225 | align_1: 2-3 | align_2: 3-7 | ner_entity: Cosmogonies-Cosmogonies |    In all Cosmogonies “ Water ” plays the same important part . ||| Dans toutes les Cosmogonies , l ' " Eau " joue le même rôle important .

Contextor Contextor | w_freq: 1 - 1 | wiki_freq: 0 - 3 | sentence_idx: 62513 | align_1: 2-2 | align_2: 3-6 | ner_entity: Contextor-Contextor |    Thus , Contextor first worked for our fraud department . ||| Ainsi , Contextor a tout d’ abord collaboré pour le compte de notre département des fraudes .

Taren Taren | w_freq: 1 - 1 | wiki_freq: 123 - 22 | sentence_idx: 66680 | align_1: 4-4 | align_2: 5-8 | ner_entity: Taren-Taren |    So , yes , Taren , we need to all work together , and if we put all our energy together , maybe we can to some small extent , compensate for the loss of Aaron . ||| Donc , oui , Taren [ 1 ] , nous devons tous travailler ensemble , et si nous mettons toute notre énergie ensemble , nous pourrons peut-être , dans une faible mesure , compenser la perte d’ Aaron .

Ra’ad Ra’ | w_freq: 1 - 3 | wiki_freq: 29 - 78 | sentence_idx: 71394 | align_1: 1-1 | align_2: 2-6 | ner_entity: Ra’ad-Ra’ ad |    A Ra’ad being inspected by an Iranian military officer . ||| Un Ra’ ad en train d’ être inspecté par un officier iranien .

KeepFighting KeepFighting | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 71783 | align_1: 7-7 | align_2: 8-15 | ner_entity: Michael # KeepFighting-Michael # KeepFighting |    We ’re all with you Michael # KeepFighting . " ||| Nous sommes tous avec toi Michael # KeepFighting ( Continue à te battre ) » .

Holocaust”.[1 Holocaust | w_freq: 1 - 3 | wiki_freq: 0 - 457 | sentence_idx: 90479 | align_1: 19-19 | align_2: 20-29 | ner_entity: Why Palestinians Should Learn About the Holocaust”.[1-Why Palestinians Should Learn About the Holocaust |    Then , in March 2011 , I published an article titled , “ Why Palestinians Should Learn About the Holocaust”.[1 ] ||| Puis , en mars 2011 , j’ ai publié un article intitulé « Why Palestinians Should Learn About the Holocaust » ( « Pourquoi les Palestiniens devraient apprendre l’ Holocauste»)[1].

AOM AOM | w_freq: 2 - 2 | wiki_freq: 236 - 231 | sentence_idx: 90905 | align_1: 1-1 | align_2: 2-6 | ner_entity: AOM-AOM |    The AOM visited Macedonia on 13 and 14 March to assess the improvement of the legal protection system for asylum . ||| L’ AOM s’ est r endue en Macédoine les 13 et 14 mars dernier afin d’ évaluer l’ amélioration du système de protection juridique relatif à l’ asile .

Q18 Q18 | w_freq: 2 - 2 | wiki_freq: 8 - 1 | sentence_idx: 99684 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Q18 |    Q18 Is there any delay in delivery in your company ? ||| Q18 Y a -t -il un retard de livraison dans votre entreprise ?

E-8 E-8 | w_freq: 30 - 33 | wiki_freq: 235 - 32 | sentence_idx: 102001 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-8 |    E-8 You know , the Bible says certain things , but if ... ||| E-8 ( 23 ) Vous savez , la Bible dit certaines choses , mais si ...

E-74 E-74 | w_freq: 31 - 33 | wiki_freq: 1 - 2 | sentence_idx: 104050 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-74 |    E-74 And now every pastor is invited . ||| E-74 ( 3 ) Et maintenant , chaque pasteur est invité .

MTL MTL | w_freq: 2 - 2 | wiki_freq: 609 - 86 | sentence_idx: 108712 | align_1: 2-2 | align_2: 3-6 | ner_entity: none-MTL |    How PME MTL made the difference for Main and Local ||| Comment PME MTL a -t -il fait la différence pour Main and Local

SWIFT SWIFT | w_freq: 45 - 47 | wiki_freq: 653 - 209 | sentence_idx: 111624 | align_1: 14-17 | align_2: 15-22 | ner_entity: SWIFT-SWIFT |    Contradicting the point , Garlinghouse claimed that at least over a hundred customers of SWIFT disagree with this point of view . ||| En contradiction avec ce point , Garlinghouse a déclaré qu’ au moins une centaine de clients de SWIFT n’ étaient pas d’ accord avec ce point de vue .

F-FACTOR FACTOR | w_freq: 1 - 2 | wiki_freq: 0 - 6 | sentence_idx: 112234 | align_1: 19-24 | align_2: 20-31 | ner_entity: none-FACTOR |    As a result , it ’s never been more important for brands to make sure they too have the F-FACTOR . ||| En conséquence , il n' a jamais été plus important pour les marques de s' assurer qu' elles ont elles aussi THE F - FACTOR ( LE F - FACTEUR ) .

19,300 19.300 | w_freq: 1 - 1 | wiki_freq: 87 - 2 | sentence_idx: 114943 | align_1: 11-16 | align_2: 12-21 | ner_entity: 19,300-none |    Of all camp inmates they had the highest death rate : 19,300 lost their lives there . ||| De tous les détenus du camp , ils avaient le plus fort taux de mortalité : 19.300 d’ entre eux y perdirent la vie .

Kalamata Kalamata | w_freq: 2 - 2 | wiki_freq: 960 - 291 | sentence_idx: 145074 | align_1: 3-2 | align_2: 4-7 | ner_entity: Kalamata-Kalamata |    " Everybody in Kalamata talking about your music competition . ||| " À Kalamata , tout le monde parle de votre concours de musique .

E-218 E-218 | w_freq: 4 - 1 | wiki_freq: 0 - 0 | sentence_idx: 153872 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-218 |    E-218 These people come here tonight , I know there was a couple of cancers that left while we was standing here . ||| E-218 ( 217 ) Ces gens sont venus ici ce soir , je sais qu’ il y a des cancers qui ont quitté pendant que nous nous tenions ici .

Jotham Jotham | w_freq: 3 - 3 | wiki_freq: 243 - 38 | sentence_idx: 165833 | align_1: 12-12 | align_2: 13-17 | ner_entity: Jotham-Jotham |    The sermon ends with a question : “ How many blessings did Jotham fail to receive , simply because he neglected church ? ” ||| Le sermon se termine par une question : " Combien de bénédictions Jotham n' a -t -il pas reçu , simplement parce qu' il a négligé l' église ? "

Amdo Amdo | w_freq: 1 - 1 | wiki_freq: 584 - 551 | sentence_idx: 188596 | align_1: 18-18 | align_2: 19-24 | ner_entity: Amdo-Amdo |    Perhaps if the 5th and 13th Dalai Lamas were to reappear now they ’d send me back to Amdo ! ||| Peut - être que si les 5e et 13e dalaï lamas revenaient maintenant , ils me renverraient en Amdo , d’ où je viens !

E-45 E-45 | w_freq: 26 - 26 | wiki_freq: 11 - 4 | sentence_idx: 189548 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-45 |    E-45 Is there anybody here was at the Tacoma meeting who seen that ? ||| E-45 Y a -t -il ici quelqu’ un qui était aux réunions de Tacoma et qui a vu cela ?

Felpham Felpham | w_freq: 1 - 1 | wiki_freq: 109 - 5 | sentence_idx: 195353 | align_1: 6-6 | align_2: 7-10 | ner_entity: Felpham-Felpham |    “ [ The town of ] Felpham is a sweet place for Study , because it is more spiritual than London . ||| « [ La ville de ] Felpham ( en ) est une douce place pour étudier car elle est plus spirituelle que Londres .

37:25 37:25 | w_freq: 1 - 1 | wiki_freq: 7 - 3 | sentence_idx: 206584 | align_1: 0-0 | align_2: 1-9 | ner_entity: 37:25-none |    37:25 How is it that [ now ] you can not succour one another ? " ||| 37:25 ( Et on leur demandera ) : « Pourquoi ne vous portez -vous pas secours les uns les autres ? »

Stradale Stradale | w_freq: 7 - 7 | wiki_freq: 212 - 87 | sentence_idx: 207759 | align_1: 11-11 | align_2: 12-16 | ner_entity: the Ferrari Challenge Stradale-Ferrari Challenge Stradale |    If I can pay for it , will the Ferrari Challenge Stradale not cost me too much in maintenance ? ||| Si j' arrive à me la payer , la Ferrari Challenge Stradale ne va -t -elle pas me coûter trop cher en entretien ?

Kalamata Kalamata | w_freq: 2 - 2 | wiki_freq: 960 - 291 | sentence_idx: 212624 | align_1: 3-2 | align_2: 4-7 | ner_entity: Kalamata-Kalamata |    " Everybody in Kalamata talking about your Music Competition . ||| " À Kalamata , tout le monde parle de votre concours de musique .

E-55 E-55 | w_freq: 25 - 29 | wiki_freq: 3 - 3 | sentence_idx: 222334 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-55 |    E-55 Made him out of the dust of the earth , now , not in His Own image . ||| E-55 Il l’ a formé de la poussière de la terre donc , pas à Son image .

Aleyda Aleyda | w_freq: 1 - 1 | wiki_freq: 26 - 5 | sentence_idx: 228737 | align_1: 5-7 | align_2: 6-12 | ner_entity: Aleyda-Aleyda |    This is what happened when Aleyda stopped feeling her baby move for more than 24 hours . ||| C’ est ce qui est arrivé à Aleyda , quand elle a arrêté de sentir son bébé bouger pendant plus de 24 heures .

Folena Folena | w_freq: 1 - 1 | wiki_freq: 13 - 3 | sentence_idx: 264286 | align_1: 6-4 | align_2: 7-9 | ner_entity: Pietro Folena-Pietro Folena |    Moreover , the initiative of Pietro Folena is also moving in this direction ” . ||| L’ initiative de Pietro Folena , du reste , va aussi dans cette direction . »

Comunista Comunista | w_freq: 2 - 1 | wiki_freq: 851 - 210 | sentence_idx: 269263 | align_1: 10-10 | align_2: 11-14 | ner_entity: Programma Comunista-Programma Comunista |    Organisations that are part of the revolutionary camp like Programma Comunista were not included . ||| Des organisations faisant partie du camp révolutionnaire , comme Programma Comunista , n' en faisaient pas partie .

E-365 E-365 | w_freq: 3 - 4 | wiki_freq: 0 - 0 | sentence_idx: 270239 | align_1: 0-0 | align_2: 1-6 | ner_entity: none-E-365 |    E-365 Outside , remember , I might not never see your hand . ||| E-365 Ceux qui sont à l’ extérieur , souvenez -vous , il se peut que je ne voie jamais votre main .

Chaturbate Chaturbate | w_freq: 9 - 3 | wiki_freq: 24 - 6 | sentence_idx: 277269 | align_1: 5-8 | align_2: 6-12 | ner_entity: Chaturbate-Chaturbate |    6 ) Has anyone from Chaturbate bought you anything ? ||| 10 ) Est -ce que quelqu’ un de Chaturbate t’ as déjà acheté quelque chose ?

Expect Attendez | w_freq: 72 - 136 | wiki_freq: 746 - 47 | sentence_idx: 279386 | align_1: 0-0 | align_2: 1-6 | ner_entity: none-Attendez |    Expect wine and beer pours to be smaller than in your home country , but also expect them to be cheaper . ||| Attendez -vous à ce que le vin et la bière soient plus petits que dans votre pays d’ origine , mais attendez -vous également à ce qu’ ils soient moins chers .

Furs Furs | w_freq: 1 - 1 | wiki_freq: 763 - 107 | sentence_idx: 280398 | align_1: 5-5 | align_2: 6-12 | ner_entity: Venus in Furs-Venus in Furs |    A book like Venus in Furs reminds us of what we are – blackness and light . ||| Un livre comme Venus in Furs ( Vénus en Fourrures ) nous rappelle ce que nous sommes - noirceur et lumière .

TECHNOLOGY TECHNOLOGY | w_freq: 5 - 6 | wiki_freq: 69 - 3 | sentence_idx: 296691 | align_1: 4-3 | align_2: 5-8 | ner_entity: none-PEOPLE AND TECHNOLOGY |    Why was PEOPLE AND TECHNOLOGY selected ? ||| Pourquoi PEOPLE AND TECHNOLOGY a -t -il été sélectionné ?

Cargoroo Cargoroo | w_freq: 3 - 3 | wiki_freq: 0 - 0 | sentence_idx: 301021 | align_1: 1-0 | align_2: 2-5 | ner_entity: Cargoroo-Cargoroo |    Will Cargoroo expand to other countries too ? ||| Cargoroo va -t -il s' étendre à d' autres pays également ?

Lemire Lemire | w_freq: 9 - 9 | wiki_freq: 730 - 408 | sentence_idx: 306303 | align_1: 1-1 | align_2: 2-5 | ner_entity: Vincent Lemire-Vincent Lemire |    Vincent Lemire is impressed by the political maturity of Palestinian civil society .... ||| Vincent Lemire , lui , est impressionné par la maturité politique de la société civile palestinienne … .

YOUR VOTRE | w_freq: 69 - 38 | wiki_freq: 279 - 6 | sentence_idx: 317001 | align_1: 1-1 | align_2: 2-6 | ner_entity: none-VOTRE |    Remove YOUR copyright strike against me and I will do the same . ||| Supprimez VOTRE frappe de droit d’ auteur contre moi et je ferai de même .

Umayr Imra | w_freq: 7 - 1 | wiki_freq: 233 - 5 | sentence_idx: 334042 | align_1: 1-0 | align_2: 2-5 | ner_entity: Umayr-Imra ’ al - Qays |    ' Umayr was among the old companions of Imam al-Husayn ( a).[11 ] ||| Imra ’ al - Qays , l’ une des épouses de l’ Imam al - Husayn ( a)[2 ]

A1.1 A1.1 | w_freq: 2 - 3 | wiki_freq: 11 - 4 | sentence_idx: 337768 | align_1: 7-7 | align_2: 8-16 | ner_entity: none-A1.1 |    ( Relates to Index for Inclusion , A1.1 Everyone is welcomed . ) ||| ( Relates to Index for Inclusion , A1.1 Concerne indice d' intégration , A1.1 Tout le monde est la bienvenue . )

Wahhabism wahhabisme | w_freq: 6 - 6 | wiki_freq: 667 - 272 | sentence_idx: 347933 | align_1: 1-1 | align_2: 2-6 | ner_entity: Wahhabism-none |    Was Wahhabism founded by outside agencies as a long-term plan to corrupt Islam ? ||| Le wahhabisme a -t -il été fondé par des organismes extérieurs comme un plan à long terme pour corrompre l’ islam ?

E-285 E-285 | w_freq: 3 - 4 | wiki_freq: 0 - 0 | sentence_idx: 348846 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-285 |    E-285 Remember , I can't--I ca n't force you to come against your own will . ||| E-285 ( 214 ) Souvenez -vous , je ne peux pas - je ne peux pas vous obliger à venir contre votre gré .

Masculine Masculin | w_freq: 5 - 3 | wiki_freq: 470 - 345 | sentence_idx: 359441 | align_1: 2-1 | align_2: 3-5 | ner_entity: none-Masculin Divin |    The Divine Masculine within each soul and especially on the Earth has become somewhat separated . ||| Le Masculin Divin à l’ intérieur de chaque âme et surtout sur la Terre s’ est quelque peu séparé .

Humankind Humankind | w_freq: 4 - 1 | wiki_freq: 339 - 12 | sentence_idx: 375320 | align_1: 16-18 | align_2: 17-24 | ner_entity: none-Cradle of Humankind |    It is also within one of the most important archaeological sites in Africa , Cradle of Humankind , that history awaits you ! ||| C’ est également au sein de l’ un des plus importants sites archéologiques d’ Afrique , Cradle of Humankind ( Berceau de l’ humanité ) que l’ Histoire vous attend !

O’Leary Leary | w_freq: 9 - 17 | wiki_freq: 244 - 935 | sentence_idx: 380231 | align_1: 11-12 | align_2: 12-17 | ner_entity: O’Leary-M. O’ Leary |    What interest and added value can the controversies initiated by Mr O’Leary have for his clients ? ||| Quel intérêt et quelle valeur ajoutée les polémiques initiées par M. O’ Leary peuvent - elles bien avoir pour ses clients ?

E-131 E-131 | w_freq: 10 - 12 | wiki_freq: 0 - 0 | sentence_idx: 380704 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-131 |    E-131 How is Sarah going to have this baby ? ||| E-131 ( 60 ) Comment Sarah va -t -elle avoir ce bébé ?

Ecozone+ Écozone+ | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 388038 | align_1: 2-1 | align_2: 3-6 | ner_entity: The Arctic Ecozone+-Écozone+ de l’ Arctique |    The Arctic Ecozone+ was excluded from this analysis . ||| L’ Écozone+ de l’ Arctique a été exclue de cette analyse .

Fackelmann Fackelmann | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 389901 | align_1: 17-19 | align_2: 18-23 | ner_entity: A. Fackelmann-A. Fackelmann |    The seemingly hopeless task of restoring the codex was successfully completed a few months later by A. Fackelmann in Vienna . ||| La tâche apparemment désespérée de rétablir le codex a été effectuée avec succès quelques mois plus tard par A. Fackelmann ( de ) à Vienne .

KeepFighting KeepFighting | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 394179 | align_1: 7-7 | align_2: 8-15 | ner_entity: Michael # KeepFighting-Michael # KeepFighting |    We ’re all with you Michael # KeepFighting . ” ||| Nous sommes tous avec toi Michael # KeepFighting ( Continue à te battre ) » .

O'kanada kanada | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 395474 | align_1: 3-8 | align_2: 4-12 | ner_entity: Simon O'kanada-Simon O’ kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| « Une de mes amies , Simon O’ kanada , s’ est demandé pourquoi son fils était toujours malade .

ETIAS ETIAS | w_freq: 33 - 33 | wiki_freq: 37 - 14 | sentence_idx: 401383 | align_1: 7-7 | align_2: 8-12 | ner_entity: none-ETIAS |    Like the US ESTA or the EU ETIAS , the electronic visa India has been introduced by the local authorities since May 2015 . ||| Comme l’ ESTA des États-Unis ou l’ ETIAS de l’ Union européenne , le visa électronique Inde a été instauré par les autorités locales depuis mai 2015 .

orangs—men orangs | w_freq: 1 - 4 | wiki_freq: 0 - 284 | sentence_idx: 402000 | align_1: 2-2 | align_2: 3-7 | ner_entity: none-Combien d’ orangs ! |    How many orangs—men , I mean , marry without knowing what a woman is ! ||| Combien d’ orangs ! ... d’ hommes , veux -je dire , se marient sans savoir ce qu’ est une femme !

E-99 E-99 | w_freq: 13 - 15 | wiki_freq: 24 - 1 | sentence_idx: 407354 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-99 |    E-99 If I could , tonight , I ’d heal every person in here . ||| E-99 ( 37 ) Si je le pouvais , ce soir , je guérirais chaque personne ici présente .

E-387 E-387 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 423176 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-387 |    E-387 Do n't be like the First Lady of the land . ||| E-387 ( 386 ) Ne soyez pas comme la première dame du pays .

EV1 EV1 | w_freq: 7 - 7 | wiki_freq: 333 - 75 | sentence_idx: 430878 | align_1: 3-2 | align_2: 4-7 | ner_entity: EV1-EV1 |    Why was the EV1 canceled ? ||| Pourquoi la EV1 a -t -elle été annulée ?

AM-2201 AM-2201 | w_freq: 1 - 1 | wiki_freq: 22 - 0 | sentence_idx: 433037 | align_1: 7-9 | align_2: 8-13 | ner_entity: none-AM-2201 |    However , it is the analogue of AM-2201 meaning the characteristics are similar . ||| Cependant , il s’ agit de l’ analogue de AM-2201 , ce qui signifie que les caractéristiques sont similaires .

Continue Continuez | w_freq: 109 - 110 | wiki_freq: 652 - 24 | sentence_idx: 449168 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-Continuez |    Continue your teaching however ; you have only told me half what I must know . ||| Continuez , cependant , à m’ instruire ; vous ne m’ avez dit que la moitié de ce que je dois savoir .

Ancestor Ancêtre | w_freq: 9 - 3 | wiki_freq: 770 - 170 | sentence_idx: 452507 | align_1: 5-4 | align_2: 6-12 | ner_entity: none-La Montée D' Un Ancêtre Humain Ancien A - T |    Did Rise of Ancient Human Ancestor Lead to New Stone Tools ? ||| La Montée D' Un Ancêtre Humain Ancien A - T - Elle Conduit À De Nouveaux Outils De Pierre ?

Arisa Arisa | w_freq: 3 - 3 | wiki_freq: 640 - 105 | sentence_idx: 454339 | align_1: 10-11 | align_2: 11-17 | ner_entity: Arisa-Arisa |    I conversed with Mia in elf language too , did Arisa not hear it ? ||| J’ ai parlé avec Mia en langage des elfes aussi , Arisa ne l’ a -t -elle pas entendu ?

18k 18k | w_freq: 1 - 1 | wiki_freq: 80 - 1 | sentence_idx: 466352 | align_1: 8-9 | align_2: 9-14 | ner_entity: better than 18k-none |    Nevertheless , this result was far better than 18k a month ago . ||| Néanmoins , ce résultat a été bien meilleur que 18k , il y a un mois .

GVIDO GVIDO | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 491033 | align_1: 11-11 | align_2: 12-17 | ner_entity: " Play with GVIDO "-Play with GVIDO |    What is the song played in the video " Play with GVIDO " ? ||| Quelle est la chanson jouée dans la vidéo « Play with GVIDO ( Jouer avec GVIDO ) » ?

Brukins Brukins | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 494328 | align_1: 15-17 | align_2: 16-21 | ner_entity: Kara Brukins-Kara Brukins |    A difficult family life I do not think that when a US citizen named Kara Brukins married for the first time , she knew in advance all the difficulties that life had prepared for her . ||| Une vie de famille difficile , je ne pense pas que lorsqu' un citoyen américain , Kara Brukins , se soit marié pour la première fois , elle connaissait d' avance toutes les difficultés que la vie lui avait préparées .

Capulets Capulet | w_freq: 2 - 2 | wiki_freq: 132 - 142 | sentence_idx: 497855 | align_1: 6-6 | align_2: 7-10 | ner_entity: Capulets-Capulet |    The day is hot , the Capulets abroad . ||| La journée est chaude , les Capulet , à l’ étranger ;

Merciful Miséricordieux | w_freq: 16 - 21 | wiki_freq: 572 - 104 | sentence_idx: 503640 | align_1: 8-10 | align_2: 9-14 | ner_entity: none-Miséricordieux [ Dieu |    Because they attribute a son to the Most Merciful . ||| « Ils ont attribué un fils [ Jésus ] au Miséricordieux [ Dieu ] !

Moriah Moriyya | w_freq: 11 - 7 | wiki_freq: 946 - 3 | sentence_idx: 516401 | align_1: 6-5 | align_2: 7-10 | ner_entity: Moriah-Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . ”

Moriah Moriyya | w_freq: 11 - 7 | wiki_freq: 946 - 3 | sentence_idx: 516402 | align_1: 6-5 | align_2: 7-10 | ner_entity: Moriah-Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai » .

FAB FAB | w_freq: 1 - 4 | wiki_freq: 816 - 181 | sentence_idx: 525885 | align_1: 13-16 | align_2: 14-21 | ner_entity: FAB-FAB |    For the first reference period , there shall be no mandatory national / FAB environment KPI . ||| Pour la première période de référence , il n’ y a pas de KPI national / FAB obligatoire en matière d’ environnement .

E-112 E-112 | w_freq: 10 - 12 | wiki_freq: 5 - 3 | sentence_idx: 532954 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-112 |    E-112 I remember in school , we had a debate on that . ||| E-112 ( 41 ) Je me souviens qu’ à l’ école nous avons eu un débat là - dessus .

E-19 E-19 | w_freq: 15 - 14 | wiki_freq: 10 - 3 | sentence_idx: 535978 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-19 |    E-19 I 've been to the grave where the white horse is changed every four hours . ||| E-19 ( 18 ) J’ ai été au tombeau où le cheval blanc est changé toutes les quatre heures .

JostGroup JostGroup | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 537922 | align_1: 5-5 | align_2: 6-9 | ner_entity: JostGroup-JostGroup |    On 12th February 2015 , JostGroup received this award , crowning the efforts already made and in process in order to reduce its global environmental impact ! ||| Ce 12 février 2015 , JostGroup s’ est vu attribuer cette récompense , couronnant les efforts déjà réalisé et en cours afin de réduire son impact environnemental global !

E-22 E-22 | w_freq: 29 - 31 | wiki_freq: 13 - 2 | sentence_idx: 549030 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-22 |    E-22 You might not have a pair of shoes on your feet . ||| E-22 Peut - être que vous n’ aurez pas une paire de chaussures aux pieds .

Tajani Tajani | w_freq: 14 - 14 | wiki_freq: 146 - 39 | sentence_idx: 572387 | align_1: 6-7 | align_2: 7-11 | ner_entity: Antonio Tajani-Antonio Tajani |    President of the European Parliament Antonio Tajani welcomed these results , which he described as “ very encouraging ” , for the first time “ since the beginning of the crisis in 2007 ” . ||| Le président du Parlement européen , Antonio Tajani , s' est félicité de ces résultats , qu' il a qualifiés de « très encourageants » pour la première fois « depuis le début de la crise en 2007 » .

E-27 E-27 | w_freq: 25 - 26 | wiki_freq: 10 - 1 | sentence_idx: 574529 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-27 |    E-27 The first vision I remember was a lady with her baby . ||| E-27 ( 7 ) La première vision dont je me souviens , c' était une dame avec son bébé .

Perguntas Perguntas | w_freq: 2 - 2 | wiki_freq: 1 - 2 | sentence_idx: 582353 | align_1: 1-1 | align_2: 2-5 | ner_entity: Perguntas-10 Perguntas |    10 Perguntas ( “ 10 Questions ” ): Until September 3 , citizens can send questions for the president candidates . ||| 10 Perguntas [ 26 ] ( “ 10 Questions ” ): Jusqu' au 03 septembre , les citoyens peuvent envoyer des questions au candidats à la présidentielle .

E-10 E-10 | w_freq: 30 - 33 | wiki_freq: 74 - 25 | sentence_idx: 582771 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-10 |    E-10 Not long ago , I stood by the side of William Cowper 's grave . ||| E-10 Il n’ y a pas longtemps , je me tenais à côté de la tombe de William Cowper .

E-10 E-10 | w_freq: 30 - 33 | wiki_freq: 74 - 25 | sentence_idx: 586689 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-10 |    E-10 Oh , are n't we happy tonight to know that Christianity is not a bluff . ||| E-10 ( 16 ) Oh , ne sommes -nous pas heureux ce soir de savoir que le christianisme , ce n' est pas une tromperie .

Backenstos Backenstos | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 590015 | align_1: 4-9 | align_2: 5-13 | ner_entity: Backenstos-Mr Backenstos |    I then sent Mr. Backenstos , when they declared that they were my enemies . ||| _ _ _ _ J' ai ensuite envoyé Mr Backenstos { 28 } , quand ils ont déclaré qu' ils étaient mes ennemis .

Siddhas siddhas | w_freq: 2 - 2 | wiki_freq: 99 - 15 | sentence_idx: 594008 | align_1: 5-5 | align_2: 6-9 | ner_entity: Siddhas-none |    • Neither Jesus nor the Siddhas intended to create a new religion . ||| • Ni Jésus ni les siddhas n’ avaient l’ intention de créer une nouvelle religion .

