snakes 葡萄 | w_freq: 97 - 67 | wiki_freq: 14790 - 3794 | sentence_idx: 47 | align_1: 11-10 | align_2: 12-18 |    of which healed the Israelites who had been bitten by venomous snakes ; ||| ( 因为 以色列人 从 那里 砍 来 的 那 挂 葡萄 ， 所以 那 地方 叫做 以实 各谷 。 
Quran 检视书 | w_freq: 195 - 1 | wiki_freq: 13254 - 0 | sentence_idx: 2341 | align_1: 11-12 | align_2: 12-19 |    Why is there such disagreement about what ’s taught in the Quran ? ||| 一则 了解 书 中 所 言 ， 是否 属实 无误 ； 二则 检视书 中 引用 资讯 ， 是否 以讹传讹 。 

schoolroom 教室 | w_freq: 4 - 300 | wiki_freq: 1000 - 4559 | sentence_idx: 2342 | align_1: 5-4 | align_2: 6-10 |    When she appeared in the schoolroom her dress was changed , but just as old . ||| 当 她 出现 在 教室 里 时   ， 她 的 衣服 改 了    ， 但 也 一样 古老   。 

Sachs Sachs | w_freq: 32 - 15 | wiki_freq: 9220 - 65 | sentence_idx: 2366 | align_1: 5-6 | align_2: 6-10 |    Meanwhile , according to Goldman Sachs , only 3 per cent of Chinese people have passports . ||| 与此同时 ， 根据 高盛 （ Goldman Sachs ） 的 数据 ， 只有 3% 的 中国人 有 护照 。 

hard-fought 硬干 | w_freq: 4 - 1 | wiki_freq: 2170 - 10 | sentence_idx: 2423 | align_1: 4-7 | align_2: 5-11 |    [ They were ] hard-fought series . ||| [ 01-17 ] · 那个 “ 拼命 硬干 ” 的 “ 犟种 

Panther 黑豹 | w_freq: 24 - 20 | wiki_freq: 13738 - 665 | sentence_idx: 2857 | align_1: 8-7 | align_2: 9-14 |    WE WERE WAITING for a film like Black Panther , but Black Panther is not the film we were waiting for . ||| 我们 在 等待 一 部 像 《 黑豹 》 那样 的 电影   ， 但 《 黑豹 》 不是 我们 等待 的 那 部 电影 。 

unfortunately 不幸 | w_freq: 409 - 1847 | wiki_freq: 8997 - 6444 | sentence_idx: 3043 | align_1: 6-8 | align_2: 7-12 |    You call me evil , but unfortunately for you , I 'm a necessary evil . ||| 所以 ... 你 说 我 邪恶 ， 但 不幸 的 是 ， 对 你 而言 ， 我 是 一个 必要 之 恶 。 

awesome 棒 | w_freq: 199 - 1143 | wiki_freq: 3225 - 3662 | sentence_idx: 3338 | align_1: 2-3 | align_2: 3-9 |    Foods are awesome because they represent hundreds of compounds with thousands of biological effects . ||| 食物 是 很 棒 的    ， 因为 它们 代表 了 数百 种 化合 物  ， 具有 数千 种 生物 效应  。 

Satan 恶魔 | w_freq: 789 - 427 | wiki_freq: 10944 - 4525 | sentence_idx: 3506 | align_1: 8-2 | align_2: 9-12 |    This will cause much havoc upon earth for Satan will vent his wrath upon mankind . ||| 地上 的 恶魔 ， 住 在 地下 深处 的 人们 ， 有时 会 到 地表 上来 烧 杀 抢掠 。 

Mastery 精通 | w_freq: 6 - 43 | wiki_freq: 686 - 2743 | sentence_idx: 3613 | align_1: 11-10 | align_2: 12-18 |    And then when I shared what I did in New Business Mastery he realised that he had n’t seen a programme like that that took agencies step by step on how to do it really effectively and efficiently . ||| 然后 , 当 我 分享 我 在 《 新 商业 精通 》 中 所 做 的 时 , 他 意识 到 , 他 没有 看到 这样 的 计划 , 在 如何 真正 有效 和 高效 地 做到 这 一点 上 , 各 机构 会 一 步 一 步 地 去 做 。 

loathsome 翻 | w_freq: 5 - 312 | wiki_freq: 402 - 1712 | sentence_idx: 3915 | align_1: 6-56 | align_2: 7-130 |    In contrast the unrighteous man is loathsome before both God and man , for his way is that of deceit ( Proverbs 11:20 ) . ||| ） （ 叮 ） （ 触 ） （ 发 ） （ 技 ） （ 能 ） （ 妻 ） （ 子 ） （ 的 ） （ 吻 ） （ ， ） （ 妻 ） （ 子 ） （ 的 ） （ 吻 ） （ 1 ） （ 生 ） （ 命 ） （ 值 ） （ 翻 ） （ 倍 ） （ ， ） （ 获 ） （ 得 ） （ 额 ） （ 外 ） （ 生 ） （ 命 ） （ 值 ） （ 2 ） （ 分 ） （ 钟 ） （ 于 ） （ 萌 ） （ 声 ） （ 色 ） （ 严 ） （ 厉 ） （ 的 ） （ 斥 ） （ 责 ） （ 他 ） （ 们 ） （ ： ） （ 你 ） （ 们 ） （ 不 ） （ 要 ） （ 命 ） （ ， ） （ 你 ） （ 们 ） （ 父 ） （ 母 ） （ 也 ） （ 不 ） （ 要 ） （ 命 ） （ 了 ） （ 吗 ） （ 第 ） （ 1 ） （ 8 ） （ 8 ） （ 章 ） （ ） （ 吃 ） （ 醋 ） （ 求 ） （ 推 ） （ 荐 ） （ 票 ） 

loathsome 责 | w_freq: 5 - 69 | wiki_freq: 402 - 555 | sentence_idx: 3915 | align_1: 6-119 | align_2: 7-130 |    In contrast the unrighteous man is loathsome before both God and man , for his way is that of deceit ( Proverbs 11:20 ) . ||| ） （ 叮 ） （ 触 ） （ 发 ） （ 技 ） （ 能 ） （ 妻 ） （ 子 ） （ 的 ） （ 吻 ） （ ， ） （ 妻 ） （ 子 ） （ 的 ） （ 吻 ） （ 1 ） （ 生 ） （ 命 ） （ 值 ） （ 翻 ） （ 倍 ） （ ， ） （ 获 ） （ 得 ） （ 额 ） （ 外 ） （ 生 ） （ 命 ） （ 值 ） （ 2 ） （ 分 ） （ 钟 ） （ 于 ） （ 萌 ） （ 声 ） （ 色 ） （ 严 ） （ 厉 ） （ 的 ） （ 斥 ） （ 责 ） （ 他 ） （ 们 ） （ ： ） （ 你 ） （ 们 ） （ 不 ） （ 要 ） （ 命 ） （ ， ） （ 你 ） （ 们 ） （ 父 ） （ 母 ） （ 也 ） （ 不 ） （ 要 ） （ 命 ） （ 了 ） （ 吗 ） （ 第 ） （ 1 ） （ 8 ） （ 8 ） （ 章 ） （ ） （ 吃 ） （ 醋 ） （ 求 ） （ 推 ） （ 荐 ） （ 票 ） 

Grascals Grascals | w_freq: 1 - 2 | wiki_freq: 38 - 0 | sentence_idx: 4533 | align_1: 6-8 | align_2: 6-13 |    Life Finds A Way – The Grascals ||| 《 Life Finds a Way 》 － The Grascals （ 英语 ： The Grascals ） 

Almighty 正如马利亚 | w_freq: 117 - 1 | wiki_freq: 2790 - 0 | sentence_idx: 4781 | align_1: 9-20 | align_2: 10-24 |    The way these events unfolded were indicative of Allah Almighty ’s hikmah ( wisdom ) as it leads to Maryam being raised in the way that is exceptional . ||| 更 确切 地 说 ， 对于 真主 降示 的 话语 而言 这是 个 纯洁 的 器皿 ， 同样 地 ， 正如马利亚 （ 麦尔彦 ） 的 童贞 对 基督徒 的 意义 一样 ， 她 的 身体 是 适于 孕育 基督 － 神 （ 真主 ） 的 道 （ 话语 ） － 的 纯洁 器皿 。 

Eternity 正常人 | w_freq: 12 - 43 | wiki_freq: 3772 - 449 | sentence_idx: 4980 | align_1: 0-2 | align_2: 1-15 |    Eternity 's Sunrise : A Way of Keeping a Diary ||| 作品 ： 正常人 被 镇压 的 疯狂 : 精神 分析 , 四十四年 的 探索 、 ETERNITY'S SUNRISE A WAY OF KEEPING A DIARY 

hunters 猎人 | w_freq: 89 - 183 | wiki_freq: 13786 - 4199 | sentence_idx: 5846 | align_1: 14-10 | align_2: 15-14 |    The park is isolated into five blocks ; some of which were zoned to hunters until Yala turned into a national park in 1938 . ||| 公园 分为 五 个 街区 ； 其中 一些 被 划为 猎人 的 地带 ， 直到 1938年 Yala 成为 国家 公园 。 

Prism Prism | w_freq: 10 - 6 | wiki_freq: 2503 - 133 | sentence_idx: 5998 | align_1: 14-14 | align_2: 15-20 |    But still , if we talk about abusive interference in individuals ’ rights , Prism does the same . ||| 但是 ， 如果 我们 谈 到 权力 对 个人 权利 的 干涉 ， “ Prism ” 所 做 的 也 是 一样 的 。 

disputing 享受 | w_freq: 15 - 2194 | wiki_freq: 1469 - 6032 | sentence_idx: 6678 | align_1: 7-7 | align_2: 8-18 |    [ 78.1 ] Concerning what are they disputing ? ||| 207 . 那末 ， 他们 以前 所 享受 的 ， 对于 他们 ， 究竟 有 什么 好处 呢 ？ 

Mueller 穆勒 | w_freq: 107 - 80 | wiki_freq: 9156 - 554 | sentence_idx: 7005 | align_1: 8-4 | align_2: 9-8 |    “ We look forward to hearing from Mr. Mueller at the appropriate time . ” ||| “ 我们 期待 听到 穆勒 的 意见 ， 在 时机 适当 的 时候 。 

taxis 出租车 | w_freq: 63 - 358 | wiki_freq: 4883 - 2162 | sentence_idx: 7223 | align_1: 6-7 | align_2: 7-12 |    Many rich Russians use ambulances as taxis to avoid traffic jams . ||| 许多 富有 的 俄罗斯人 使用 救护车 作为 出租车    ， 以 避免 交通 堵塞    。 

Charm Charm | w_freq: 8 - 10 | wiki_freq: 2188 - 44 | sentence_idx: 7688 | align_1: 3-3 | align_2: 4-11 |    " Good Luck Charm " / " Anything That 's Part of You " ||| 《 Good Luck Charm （ 英语 ： Good Luck Charm ） 》 / 《 Anything That's Part of You （ 英语 ： Anything That's Part of You ） 》 

innate 宽厚 | w_freq: 28 - 18 | wiki_freq: 6720 - 403 | sentence_idx: 7946 | align_1: 7-12 | align_2: 8-18 |    The creatures of the earth developed an innate fear of man and an animosity toward one another . ||| 《 大地 》 的 作者 对 她 的 人物 和 题材 是 宽厚 的 ， 可以 说 是 热爱 和 敬畏 的 。 

Wink Wink... | w_freq: 3 - 2 | wiki_freq: 1447 - 0 | sentence_idx: 8376 | align_1: 7-8 | align_2: 8-23 |    A Nod Is As Good As a Wink ... to a Blind Horse ( 1971 ) ||| 《 A Nod Is As Good As a Wink... to a Blind Horse （ 英语 ： A Nod Is As Good As a Wink... to a Blind Horse ） 》 （ 1971年 11月 17日 ） 

pray 祝贺 | w_freq: 761 - 244 | wiki_freq: 10155 - 1703 | sentence_idx: 9262 | align_1: 2-10 | align_2: 3-15 |    Rejoice , pray , and give thanks ! ||| 问候 ， 介绍 ， 告别 和 告辞 ， 祝愿 和 祝贺 ， 感谢 和 应答 ， 道歉 和 应答 ， 提议 、 邀请 和 应答 。 

repackaging 组装 | w_freq: 4 - 113 | wiki_freq: 425 - 3681 | sentence_idx: 9573 | align_1: 3-3 | align_2: 4-7 |    It was just repackaging and slight extension of Apple II technology , and they want it all . ||| 它 只是 重新 组装   ， 并 对 苹果 II 的 技术 进行 了 很 小 的 扩展  ， 这就 是 他们 想要 的 一切   。 

prosper 繁荣 | w_freq: 83 - 856 | wiki_freq: 3038 - 6132 | sentence_idx: 10525 | align_1: 5-5 | align_2: 6-10 |    The big banks can thus prosper not because they are more efficient or provide better service but because they are in effect subsidized by taxpayers . ||| 大 银行 可以 因此 而 繁荣 ， 但 这 并 不是 因为 它们 更 有 效率 或者 提供 了 更 好的 服务 ， 而是 因为 大 银行 事实上 被 纳税人 补贴 。 

shortcomings 缺少 | w_freq: 179 - 479 | wiki_freq: 6041 - 4334 | sentence_idx: 12019 | align_1: 26-24 | align_2: 27-28 |    KIEV , Ukraine -- Perhaps it is the nature of Real Madrid that , even in triumph , it is easier to look for flaws and shortcomings than to simply give credit where it is due . ||| 乌克兰 基辅 —— 也许 真正 的 马德里 的 本质 是 ， 即使 是 在 胜利 的 时候 ， 也 更 容易 找到 缺点 和 缺少 的 东西 ， 而 不是 简单 地 给予 应得 的 荣誉 。 

fools 傻瓜 | w_freq: 106 - 251 | wiki_freq: 1622 - 643 | sentence_idx: 12091 | align_1: 3-3 | align_2: 4-9 |    " If these fools come here , are there crocodiles here ? ||| “ 如果 那些 傻瓜 ( 联合国 人权 小组 ) 来 这里 ， 这里 有 鳄鱼 吗 ? 

Aladdin 阿拉丁 | w_freq: 21 - 21 | wiki_freq: 5131 - 409 | sentence_idx: 12126 | align_1: 18-18 | align_2: 19-22 |    In other words , a French guy with a European colonial view of Asia gave us the original Aladdin . ||| 也就是说 ， 一个 对 亚洲 有着 欧洲 殖民主义 思想 的 法国 人为 我们 带来 了 最初 的 《 阿拉丁 的 故事 》 。 

laugh 嘲笑 | w_freq: 630 - 426 | wiki_freq: 8899 - 1739 | sentence_idx: 12216 | align_1: 12-5 | align_2: 13-14 |    Woe be unto him who tells lies in order to make others laugh ! ||| 说 只是 出于 好玩 而 嘲笑 别人 的 人 ， 其实 是 在 说谎 。 

O.W.L.s 盎司 | w_freq: 1 - 64 | wiki_freq: 6 - 733 | sentence_idx: 12413 | align_1: 5-6 | align_2: 6-10 |    " Maybe he got thirty O.W.L.s or saved a teacher from the giant squid . ||| “ 也许 他 得到 了 三十 盎司   ， 或 救 了 一个 老师 从 巨型 鱿鱼  。 

marginalization 边缘化 | w_freq: 17 - 157 | wiki_freq: 1667 - 611 | sentence_idx: 12454 | align_1: 9-7 | align_2: 10-12 |    We believe that increasing our understanding of exclusion and marginalization is the key to building a foundation for inclusive economic and social policies for the poorest and most vulnerable populations , including people with disabilities . ||| 我们 相信 增强 我们 对 排斥 与 边缘化 问题 的 理解 ， 是 为 针对 最 贫困 和 最 弱势 人群 、 包括 残疾人 的 包容性 经济 和 社会 政策 建立 基础 的 关键 。 

Boss 字幕组 | w_freq: 49 - 1 | wiki_freq: 13190 - 124 | sentence_idx: 12495 | align_1: 1-2 | align_2: 2-18 |    Asian Boss : Do Indians Know How Their English Accent Sounds ? ||| 【 龙腾网 字幕组 】 印度 人 知道 他们 的 英语 口音 是 什么样 吗 ？ [ 美国 媒体 ] Do Indian Know How Their English Accent Sounds ? 

Cat-M Cat-M | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 14148 | align_1: 16-19 | align_2: 17-25 |    We are looking at that evolution as we speak now and so we have steps like Cat-M where we could have mobility and more data functionality . ||| 正如 我们 现在 所 说 的 那样 ， 我们 正在 观察 这种 演变 ， 因此 我们 有 了 像 Cat-M 这样 的 步骤 ， 在 那里 我们 可以 具有 移动性 和 更 多 的 数据 功能 。 

Frankly 坦白 | w_freq: 60 - 105 | wiki_freq: 464 - 554 | sentence_idx: 14542 | align_1: 1-1 | align_2: 2-6 |    " Frankly I did n't expect Russians to open fire . ||| “ 坦白 说   ， 我 没 想到 俄罗斯 人 会 开火    。 

stagnate 停滞 | w_freq: 15 - 164 | wiki_freq: 355 - 1494 | sentence_idx: 15317 | align_1: 6-4 | align_2: 7-8 |    “ If the economy continues to stagnate we could see darker days for art collectors . ” ||| “ 如果 经济 继续 停滞   ， 我们 可以 看到 艺术 收藏家 的 黑暗 日子   。 

993 993 | w_freq: 2 - 2 | wiki_freq: 1302 - 150 | sentence_idx: 16087 | align_1: 6-5 | align_2: 7-10 |    The global figure of at least 993 excludes the thousands of executions believed to have been carried out in China . ||| 所 说 的 全球 至少 993 起 ， 并 不 包括 据信 在 中国 进行 的 数千 起 处决 。 

satan 撒旦 | w_freq: 46 - 312 | wiki_freq: 155 - 998 | sentence_idx: 17165 | align_1: 6-6 | align_2: 7-14 |    Adam and Eve became servants of satan . ||| 但 亚当 及 夏娃 因 被 撒旦 ( 蛇 ) 的 试探 而 犯罪 。 

X-51A X-51A | w_freq: 2 - 2 | wiki_freq: 21 - 12 | sentence_idx: 17488 | align_1: 5-2 | align_2: 6-7 |    This is similar to the X-51A Waverider project that was halted in 2013 but not forgotten . ||| 这 与 X-51A “ 乘波者 ” （ Waverider ） 项目 类似 ， 该 项目 于 2013年 停止 ， 但 却 未 被 人们 遗忘 。 

Quran 经文 | w_freq: 195 - 260 | wiki_freq: 13254 - 2450 | sentence_idx: 17739 | align_1: 6-5 | align_2: 7-9 |    But when we come to the Quran we see different set of laws . ||| 但 当 我们 读到 别的 经文 的 时候 ， 我们 就 看见 有 不同 的 记载 了 。 

belied 辟谣 | w_freq: 23 - 15 | wiki_freq: 475 - 293 | sentence_idx: 18598 | align_1: 2-0 | align_2: 3-6 |    As any belied with false compare . " ||| 辟谣 和 造谣 一样 ， 都 有 “ 狼 来 了 ” 效应 。 

Luckily 幸运 | w_freq: 191 - 1667 | wiki_freq: 2035 - 2934 | sentence_idx: 18789 | align_1: 0-0 | align_2: 1-4 |    Luckily it happened only once in their career . ||| 幸运 的 是 ， 它 只 发生 在 你 的 职业 生涯 一 次 。 

everywhere 无论 | w_freq: 695 - 4323 | wiki_freq: 14647 - 10867 | sentence_idx: 19357 | align_1: 4-6 | align_2: 5-11 |    My generation of Communists everywhere accepted the Stalinist form of leadership . ||| 我 这 一代 的 共产党人 ， 无论 身在 何处 ， 都 接受 了 斯大林主义 的 领导 方式 。 

Yorker 纽约客 | w_freq: 34 - 15 | wiki_freq: 13165 - 485 | sentence_idx: 19426 | align_1: 7-5 | align_2: 8-10 |    On September 7th , after the New Yorker article , the situation clearly demanded external fact-finding , so I wrote again . ||| 9月 7日 ， 在 《 纽约客 》 的 那 篇 文章 发表 后 ， 形势 显然 需要 外部 的 事实 调查 ， 所以 我 又 写 了 一 遍 。 

manipulation 操纵 | w_freq: 109 - 461 | wiki_freq: 13223 - 4432 | sentence_idx: 20544 | align_1: 7-7 | align_2: 8-11 |    " Children are particularly vulnerable to this manipulation since their self-control system in the brain is not developed enough . " ||| 」 「 儿童 特别 容易 受到 这种 操纵 的 影响 ， 因为 他们 大脑 中 的 自我 控制 系统 不够 发达 。 

DSM-5 DSM-5 | w_freq: 10 - 9 | wiki_freq: 1239 - 161 | sentence_idx: 20568 | align_1: 15-9 | align_2: 16-14 |    It was ultimately not officially adopted , but instead relegated to a section of the DSM-5 containing proposals needing further study . ||| 它 最终 没有 正式 通过 ， 而是 降级 到 DSM-5 的 一部分 ， 其中 包含 需要 进一步 研究 的 提议 。 

bitesize bitesize | w_freq: 2 - 2 | wiki_freq: 10 - 0 | sentence_idx: 20725 | align_1: 7-5 | align_2: 8-10 |    Now , as a web site like bitesize standards means work and dedication and filtering , I propose another idea : ||| 现在 ， 作为 一个 像 bitesize 这样 的 网站 ， 标准 意味着 工作 、 奉献 和 过滤 ， 我 提出 另 一个 想法 : 

Qur'an shu | w_freq: 120 - 4 | wiki_freq: 6037 - 19 | sentence_idx: 21096 | align_1: 1-2 | align_2: 2-8 |    The Qur'an describes the places in which the Sabaeans lived : ||| 通知书 ( shu ) 应当 ( dang ) 包含 下列 内容 ︰ 

El-Isa 安拉 | w_freq: 1 - 167 | wiki_freq: 0 - 280 | sentence_idx: 21771 | align_1: 16-7 | align_2: 17-15 |    “ There has [ always been ] lots of support from day one , ” said El-Isa . ||| 安拉 以 这些 日子 发誓 ， 正如 安拉 所 说 ： “ 誓 以 黎明 ， 

Prayer 待贾者 | w_freq: 131 - 3 | wiki_freq: 14534 - 1 | sentence_idx: 21985 | align_1: 52-36 | align_2: 53-42 |    Thou hast posted me over to no deputy for the hearing of my prayer , neither dost thou require that I should bring a spokesman for the presenting of it ; but thou hast commanded me to come myself , and to come to thee thyself.Sir Richard Baker on the Lord 's Prayer . ||| 9.13 子贡 曰 ： “ 有 美玉 于 斯 ， 韫横 竖折 卖 DÚ 而 藏诸 ？ 求善 贾 而 沽诸 ？ ” 子 曰 ： “ 沽 之 哉 ！ 沽 之 哉 ！ 我 待贾者 也 ！ ” ( 9.13 ) 

Gracie Gracie | w_freq: 11 - 5 | wiki_freq: 6660 - 45 | sentence_idx: 22035 | align_1: 1-1 | align_2: 2-8 |    Tom Gracie 1912 part of exchange deal for Uren ||| Tom Gracie （ 英语 ： Tom Gracie ） 1912年 球员 交换 part of exchange deal for Uren 

Accept 接受性 | w_freq: 46 - 8 | wiki_freq: 862 - 112 | sentence_idx: 22554 | align_1: 2-2 | align_2: 3-6 |    Would Morocco Accept LGBT , Moroccan Christians And Shiites ? ||| 摩洛哥 会 接受性 少数 者 （ LGBT ） 、 摩洛哥 基督徒 和 什叶派 吗 ? 

maybe 或许 | w_freq: 2486 - 1762 | wiki_freq: 13219 - 4021 | sentence_idx: 22629 | align_1: 8-8 | align_2: 9-13 |    “ And he said , ‘ Yes , maybe General Kelly will call you . ’ ” ||| “ 他 则 说道 ， ‘ 没错 ， 或许 凯利 ( Kelly ) 将军 会 打电话 给 你 。 

disappear disappear | w_freq: 463 - 1 | wiki_freq: 11167 - 3 | sentence_idx: 23331 | align_1: 8-7 | align_2: 9-14 |    I 'm gon na make this pencil ... disappear . ||| magic trick ？ I’ll make this pencil disappear … （ 儿童 不宜 的 画面 ） 

thankful 感恩 | w_freq: 576 - 373 | wiki_freq: 1541 - 918 | sentence_idx: 23765 | align_1: 5-7 | align_2: 6-12 |    And humbled and excited and thankful . ||| 对立 ， 迷 ； 不 对立 ， 感恩 ， 就 觉悟 了 。 

inventions 发明 | w_freq: 151 - 1110 | wiki_freq: 9175 - 12727 | sentence_idx: 24616 | align_1: 7-8 | align_2: 8-12 |    A closer look at these two revolutionary inventions reveals a similar growth trajectory . ||| 仔细 观察 这 两 个 革命性 的 创新 发明 ， 就 会 发现 它们 有 相似 的 增长 轨迹 。 

interviewing 采访 | w_freq: 80 - 1101 | wiki_freq: 6089 - 14727 | sentence_idx: 24968 | align_1: 8-5 | align_2: 9-9 |    This week , I had the pleasure of interviewing Alma Deutscher . ||| 这 周 ， 我 有幸 采访 了 阿尔玛·多伊彻 （ Alma Deutscher ） 。 

Oath 盟誓 | w_freq: 22 - 109 | wiki_freq: 4721 - 170 | sentence_idx: 25018 | align_1: 2-1 | align_2: 3-6 |    God 's Oath Unchanging . ||| 世有 盟誓 ， 至于 今 未 改 。 

unfortunately 不幸 | w_freq: 409 - 1847 | wiki_freq: 8997 - 6444 | sentence_idx: 25375 | align_1: 1-1 | align_2: 2-5 |    But unfortunately today , we are helplessly watching schools being burnt , schools and buses are being burnt , shops being gutted . ||| 但 不幸 的 是 ， 今天 ， 我们 无助 地 看 着 学校 被 烧毁 ， 学校 和 公共 汽车 被 烧毁 ， 商店 被 烧毁 。 

136 133 | w_freq: 31 - 42 | wiki_freq: 10625 - 1343 | sentence_idx: 25642 | align_1: 6-3 | align_2: 7-8 |    The overwhelming majority of countries – 136 voted for this resolution . ||| 绝大多数 成员国 —— 133 个 国家 —— 投票 赞成 该 决议 。 

Parkinson 帕金森 | w_freq: 78 - 28 | wiki_freq: 13003 - 163 | sentence_idx: 26335 | align_1: 0-0 | align_2: 1-14 |    Parkinson ’s Law , and Other Studies in Administration ||| 帕金森 法则 ： 管理课 上 教 不 到 的 人性 工作 学 Parkinson ’ s Law and Other Studies in Administration 

impasse 僵局 | w_freq: 53 - 129 | wiki_freq: 1876 - 1262 | sentence_idx: 26358 | align_1: 26-23 | align_2: 27-28 |    So my sincere plea is please give us an opportunity , the time , the room for us to take Hong Kong out of the current impasse and try to improve the current situation . ||| “ 所以 我 真诚 地 请求 ， 请 给 我们 机会 、 时间 、 空间 ， 让 我们 把 香港 从 目前 的 僵局 中 解脱 出来 ， 并 努力 改善 现状 。 

follow/ follow | w_freq: 1 - 8 | wiki_freq: 1 - 52 | sentence_idx: 26695 | align_1: 11-12 | align_2: 12-25 |    Through the first gate,/ Into our first world , shall we follow/ The deception of the thrush ? ||| 穿过 第一 道 门 ， Into our first world , shall we follow 走 进 我们 的 第一 个 世界 ， 我们 要不 要 听从 The deception of the thrush ? 

Robbins AnthonyRobbins | w_freq: 37 - 2 | wiki_freq: 12232 - 0 | sentence_idx: 26809 | align_1: 1-0 | align_2: 2-8 |    Anthony Robbins said : “ If you spend one hour a day to learn about a topic , a year later , in this regard , the knowledge you gain will be more than 99.999 % of the world ’s people . ” ||| AnthonyRobbins （ 美国 作家 、 演说家 ） 曾 说 ， 如果 你 每天 花 1 小时 来 学习 关于 某个 主题 的 知识 ， 一 年后 ， 在 这 方面 ， 你 所 获得 的 知识 将 会 比 世界 上 99.999% 的 人 都 要 多 。 

heterogeneity 异质性 | w_freq: 12 - 13 | wiki_freq: 1973 - 140 | sentence_idx: 26870 | align_1: 1-7 | align_2: 2-20 |    Spatial heterogeneity for environmental performance and resilient behavior in energy and transportation systems ||| 能源 和 交通 系统 中 的 空间 异质性 对 城市 环境 和 城市 弹性 功能 的 影响 （ Spatial Heterogeneity for Environmental Performance and Resilient Behavior in Energy and Transportation Systems ） 

unfair—any 公平 | w_freq: 1 - 2198 | wiki_freq: 0 - 6077 | sentence_idx: 26978 | align_1: 2-4 | align_2: 3-9 |    This seems unfair—any nonsense is primarily due to lack of experimental evidence at the time . ||| 这 似乎 是 不 公平 的 ， 因为 任何 废话 主要 是 由于 当时 缺乏 实验 证据 。 

pooja pooja | w_freq: 2 - 2 | wiki_freq: 1035 - 0 | sentence_idx: 27352 | align_1: 10-9 | align_2: 11-14 |    This is not because somebody did a yagna or a pooja , but because our agriculture got a little more organized . ||| 这 并 不是 因为 有人 做 了 yagna 或 pooja （ 礼拜 仪式 ） ， 而是 因为 我们 的 农业 变 得 更 有 条理 。 

liars 虚妄 | w_freq: 326 - 296 | wiki_freq: 646 - 81 | sentence_idx: 28026 | align_1: 5-9 | align_2: 6-15 |    Certainly all are idolaters and liars . ||| 没有 ， 「 凡 所有 相 ， 皆 是 虚妄 」 ， 佛 说 的 。 

Path Path | w_freq: 113 - 59 | wiki_freq: 14435 - 128 | sentence_idx: 28224 | align_1: 3-10 | align_2: 4-18 |    Stray From the Path Only Death Is Real ||| 魔镜 歌词 网 ＞ 欧美 歌手 ＞ Stray from the Path ( 从 道路 上 流浪 ) ＞ Only Death Is Real 

