vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 
headaches maux | w_freq: 22 - 111 | wiki_freq: 4013 - 3941 | sentence_idx: 4981 | align_1: 12-16 | align_2: 13-20 |    ( One effect of some antidepressants is to ease pain and prevent headaches even in people who are not depressed . ||| ( Un des effets de certains antidépresseurs est de soulager la douleur et de prévenir les maux de tête , même chez les personnes qui ne sont pas déprimés . 

opendata opendata | w_freq: 1 - 1 | wiki_freq: 0 - 3 | sentence_idx: 5257 | align_1: 4-5 | align_2: 5-13 |    Anything tagged with # opendata will be immediately seen by thousands . ||| Tout sujet tagué avec # opendata ( ndt : # donneesouvertes ? ) sera immédiatement visible par plusieurs milliers de personnes . 

Units Units | w_freq: 39 - 6 | wiki_freq: 13102 - 222 | sentence_idx: 5334 | align_1: 13-15 | align_2: 14-21 |    I have also explored these themes through my work in prisons , Secure Units and black men only workshops . ||| J’ ai aussi exploré ces thèmes à travers mon travail dans les prisons , Secure Units ( unités de garde ) et les ateliers pour les hommes noirs seulement . 

pockets poches | w_freq: 109 - 113 | wiki_freq: 9012 - 2701 | sentence_idx: 7494 | align_1: 9-9 | align_2: 10-14 |    It 's not infinite , even though the US pockets are pretty deep . " ||| Ce n’ est pas infini , même si les poches des Etats-Unis d’ Amérique sont assez profondes . » 

Method Technique | w_freq: 73 - 35 | wiki_freq: 11822 - 4507 | sentence_idx: 7815 | align_1: 23-22 | align_2: 24-27 |    It was especially the case for Lin Jia Lu , who was already quite tired because she kept using her [ Eagle Eye Method ] . ||| C’ était particulièrement le cas pour Lin Jia Lu qui était déjà très fatiguée parce qu’ elle continuait d’ utiliser sa [ Technique de l’ Oeil d’ Aigle]. 

E-5 E-5 | w_freq: 26 - 29 | wiki_freq: 264 - 32 | sentence_idx: 7876 | align_1: 0-0 | align_2: 1-4 |    E-5 Now , you wo n't see Him in a physical body , until He comes for you at the great general resurrection . ||| E-5 ( 7 ) Eh bien , vous ne Le verrez pas dans un corps physique jusqu' à ce qu' Il vienne pour vous à la grande résurrection générale . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 7881 | align_1: 0-0 | align_2: 1-5 |    Anyway , the important lesson here : Always go to bed with clean skin , period . ||| Quoi qu’ il en soit , la leçon importante ici : Toujours aller au lit avec une peau propre , période . 

justify justifier | w_freq: 402 - 353 | wiki_freq: 14192 - 7652 | sentence_idx: 9986 | align_1: 4-1 | align_2: 5-6 |    How then can we justify leaving the door open to an alliance with the “ blues ” ? ||| Comment justifier , alors , de laisser la porte ouverte à une alliance avec les « bleus » ? 

Kabila Kabila | w_freq: 81 - 80 | wiki_freq: 1596 - 1297 | sentence_idx: 10279 | align_1: 27-27 | align_2: 28-33 |    “ I know that for many of us it 's hard to accept , but I say this with sincerity , I pay tribute to President Joseph Kabila . ||| « Je sais que c’ est difficile pour nombreux d’ entre nous d’ accepter , mais je le dis avec sincérité , je rends hommage à Joseph Kabila , Président de la République . 

subscriber abonné | w_freq: 20 - 21 | wiki_freq: 4307 - 912 | sentence_idx: 11564 | align_1: 5-4 | align_2: 6-9 |    2014 : “ A YouTube subscriber suggested it to me at VidCon . ||| 2014 : « Un abonné de YouTube m’ a suggéré ça chez VidCon . 

Scandinavia Scandinavie | w_freq: 58 - 59 | wiki_freq: 12488 - 4022 | sentence_idx: 11711 | align_1: 1-1 | align_2: 2-6 |    In Scandinavia low energy houses were relatively common at the time … ||| En Scandinavie , les maisons à faible consommation d’ énergie étaient relativement fréquentes à l’ époque … 

paragraph paragraphe | w_freq: 595 - 755 | wiki_freq: 7371 - 4044 | sentence_idx: 13127 | align_1: 7-6 | align_2: 8-14 |    If you are interested in the specific paragraph this can be found here in English in the Act on Regulatory Offences ( Section 111 - 117 ) . ||| Si vous êtes intéressé par le paragraphe spécifique à cette loi , vous pouvez le trouver ici en anglais dans la Loi sur les infractions réglementaires ( Section 111 - 117 ) . 

E-32 E-32 | w_freq: 15 - 16 | wiki_freq: 14 - 1 | sentence_idx: 13808 | align_1: 0-0 | align_2: 1-5 |    E-32 I was just given a new Bible . ||| E-32 Tout récemment , on m' a offert une nouvelle Bible . 

Please S’ | w_freq: 1238 - 1406 | wiki_freq: 10571 - 5625 | sentence_idx: 15295 | align_1: 0-0 | align_2: 1-5 |    Please keep in mind that Luke may not be able to take his books with him during his transfer from one facility to the next , so we will need to send him books at various points over the next two years . ||| S’ il vous plaît , garder à l’ esprit que Luke peut ne pas être en mesure de prendre ses livres avec lui lors de son transfert d’ un établissement à l’ autre , donc nous aurons besoin de lui envoyer des livres à divers endroits au cours des deux prochaines années . 

Ridley Ridley | w_freq: 5 - 5 | wiki_freq: 8080 - 1649 | sentence_idx: 16270 | align_1: 1-1 | align_2: 2-6 |    “ Ridley first called me in mid-July of ( 2010 ) , ” he remembers . ||| « Ridley m’ a appelé la première fois à la mi-juillet ( 2010 ) » , se souvient -il . 

disbelievers mécréant | w_freq: 8 - 2 | wiki_freq: 253 - 94 | sentence_idx: 19364 | align_1: 9-11 | align_2: 10-15 |    “ My Lord ! leave not one of the disbelievers in the land ” ( Qur'an 71:26 ) . ||| Ce qui signifie : « Ô Seigneur , ne laisse aucun mécréant [ vivant ] sur la Terre » , [ sôurat NôuH / 26]. 

mechanically continuellement | w_freq: 43 - 315 | wiki_freq: 5569 - 3742 | sentence_idx: 19432 | align_1: 16-16 | align_2: 17-21 |    The different pleasant or unpleasant events exist with us or without us and are constantly repeated mechanically . ||| Les différents évènements agréables ou désagréables existent avec nous ou sans nous et ils se répètent continuellement d’ une manière mécanique . 

forecast prévision | w_freq: 132 - 118 | wiki_freq: 10253 - 5997 | sentence_idx: 20247 | align_1: 18-22 | align_2: 19-27 |    If rain was forecast with a probability of 50 % and it does not rain , was the forecast good or bad ? ||| Si l’ on a prévu de la pluie avec une probabilité de 50 % et qu’ il ne pleut pas , la prévision a -t -elle été bonne ou mauvaise ? 

NCI002 NCI002 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 20599 | align_1: 2-4 | align_2: 3-8 |    Probably because NCI002 failed to create enough antibodies . ||| Sans doute parce que NCI002 n’ a pas réussi à créer suffisamment d’ anticorps . 

Skepticism scepticisme | w_freq: 5 - 126 | wiki_freq: 498 - 2065 | sentence_idx: 20633 | align_1: 0-1 | align_2: 1-6 |    Skepticism originally came about as a form of opposition to dogma . ||| Le scepticisme est apparu à l’ origine comme une forme d’ opposition au dogme . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 20988 | align_1: 0-0 | align_2: 1-6 |    Anyway she ’s a lucky girl , but for the sake of all us less fortunate women please stop giving away our secrets ! ||| Quoi qu' il en soit , elle est une fille chanceuse , mais pour le bien de toutes les femmes moins chanceuses , s' il vous plaît arrêtez de donner nos secrets . 

hunter chasseur | w_freq: 50 - 65 | wiki_freq: 13131 - 9388 | sentence_idx: 24085 | align_1: 6-5 | align_2: 7-10 |    He was a very good wolf hunter , but for the rest he was essentially farmer . ||| C' était un très bon chasseur de loups , certes , mais pour le reste il était essentiellement agriculteur . 

Passover Pâque | w_freq: 21 - 21 | wiki_freq: 3664 - 586 | sentence_idx: 25168 | align_1: 8-7 | align_2: 9-11 |    " Let the sons of Israel keep the Passover at its appointed time . ||| Que les enfants d’ Israël célèbrent la Pâque [ pecach ] au temps fixé . 

cooperate coopérer | w_freq: 314 - 276 | wiki_freq: 11452 - 1987 | sentence_idx: 25217 | align_1: 19-18 | align_2: 20-22 |    I can only see one rational solution : We have to find a new , more effective way to cooperate globally . ||| Je ne vois qu’ une seule solution rationnelle : nous devons trouver un nouveau moyen plus efficace de coopérer à l’ échelle mondiale . 

exclude excluraient | w_freq: 246 - 2 | wiki_freq: 9567 - 7 | sentence_idx: 25400 | align_1: 33-37 | align_2: 34-43 |    Thus , China is increasingly looking to create multilateral projects in the framework of the BRI , and therefore would be less interested in developing projects only with the United Kingdom that would exclude EU members ||| Ainsi , la Chine cherche de plus en plus à monter des projets multilatéraux dans le cadre de la BRI , et serait donc moins intéressée à développer des projets uniquement avec le Royaume - Uni qui excluraient les membres de l’ Union Européenne . 

vaccinations vaccination | w_freq: 60 - 221 | wiki_freq: 2621 - 4181 | sentence_idx: 26709 | align_1: 10-12 | align_2: 11-17 |    Health teams could barely deploy on Thursday and no Ebola vaccinations could be carried out , it said . ||| Les équipes de santé pouvaient à peine se déployer jeudi et aucune vaccination contre Ebola n’ a pu être effectuée , a -t -il ajouté . 

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 28061 | align_1: 0-0 | align_2: 1-5 |    Maybe dating with our site will give you real , sincere feelings ! ||| Peut - être que les rencontres avec notre site vous donneront des sentiments réels et sincères ! 

thyself toi | w_freq: 8 - 1867 | wiki_freq: 379 - 6935 | sentence_idx: 28090 | align_1: 4-6 | align_2: 5-10 |    MY soul , examine thyself this morning by the light of this text . ||| Mon âme , examine - toi toi - même , ce matin , par la lumière de ce texte . 

outsiders extérieures | w_freq: 41 - 251 | wiki_freq: 5848 - 10331 | sentence_idx: 29222 | align_1: 15-23 | align_2: 16-28 |    And then , a prisoner told me and my colleague that we were the first outsiders he had seen in 22 years . ||| Et puis un prisonnier nous a dit , à mon collègue et à moi - même , que nous étions les premières personnes extérieures à l’ établissement qu’ il ait vues en 22 ans . 

discouraging comble | w_freq: 27 - 17 | wiki_freq: 2082 - 3283 | sentence_idx: 30178 | align_1: 1-2 | align_2: 2-6 |    Most discouraging – for thirty-seven chapters , God said nothing ! ||| Et , comble de l’ affliction – pendant trente-sept chapitres , Dieu n’ a pas dit un seul mot ! 

Expect Attendez | w_freq: 57 - 117 | wiki_freq: 746 - 47 | sentence_idx: 30303 | align_1: 0-0 | align_2: 1-4 |    Expect that the free version will have a lot of limitations including time of use . ||| Attendez -vous à ce que la version gratuite aura beaucoup de limitations , y compris le temps d’ utilisation . 

Trilemma trilemme | w_freq: 2 - 5 | wiki_freq: 33 - 44 | sentence_idx: 30597 | align_1: 16-18 | align_2: 17-23 |    The triple challenge of providing secure , affordable and sustainable energy systems – the so-called Energy Trilemma – has never been more complex . ||| Le triple défi consistant à offrir des systèmes énergétiques sûrs , abordables et durables – appelé le « trilemme de l’ énergie » n’ a jamais été plus complexe . 

cook cuisinent | w_freq: 174 - 8 | wiki_freq: 14408 - 120 | sentence_idx: 31382 | align_1: 9-7 | align_2: 10-11 |    For example , 86 % of French people who cook at home prepare French dishes . ||| Ainsi , 86 % des Français qui cuisinent eux - mêmes à la maison préparent des plats français . 

sneakers baskets | w_freq: 6 - 4 | wiki_freq: 1448 - 330 | sentence_idx: 32050 | align_1: 13-12 | align_2: 14-17 |    Let 's say you 've thought of a cool new design for basketball sneakers and you 'd like to see how they sell through an online shop . ||| Disons que vous avez pensé à un nouveau design cool pour les baskets de basket - ball et que vous aimeriez voir comment elles se vendent dans une boutique en ligne . 

Kurdistan Kurdistan | w_freq: 112 - 115 | wiki_freq: 11372 - 3114 | sentence_idx: 32096 | align_1: 14-16 | align_2: 15-20 |    We make no distinction between the North and the South ; we are in Kurdistan . ||| Nous ne faisons pas de différence entre le Nord et le Sud : nous sommes au Kurdistan , chez nous . 

Rethink repenser | w_freq: 9 - 165 | wiki_freq: 267 - 937 | sentence_idx: 32184 | align_1: 8-10 | align_2: 9-15 |    From Colonization to Globalization : Why We Should Rethink Swiss History ||| De la colonisation à la globalisation - Pourquoi nous devrions repenser l’ histoire de la Suisse 

please Pourriez | w_freq: 1007 - 125 | wiki_freq: 10803 - 26 | sentence_idx: 32309 | align_1: 5-3 | align_2: 6-12 |    ( 1 ) Could you please say which planet it came from ? ( 2 ) Did it tilt and hover so to allow us to see as much as possible of it ? ||| [ 1 ] Pourriez -vous , s’ il vous plaît , nous dire de quelle planète il venait ? [ 2 ] A -t -il basculé et plané pour nous permettre de l’ observer le mieux possible ? 

enjoyment jouissance | w_freq: 111 - 58 | wiki_freq: 6917 - 1794 | sentence_idx: 32404 | align_1: 10-9 | align_2: 11-23 |    And the life of this world is only a deceiving enjoyment . } ( Quran 57:20 ) ||| ( Coran,87:17 ) et cette vie n' est que jouissance temporaire , alors que l' au-delà est vraiment la demeure de la stabilité . 

pearls perles | w_freq: 38 - 48 | wiki_freq: 4941 - 4440 | sentence_idx: 32687 | align_1: 3-2 | align_2: 4-7 |    Prepare the tapioca pearls beforehand , but not too early . ||| Préparez les perles de tapioca à l’ avance mais pas trop tôt 

farce farce | w_freq: 36 - 37 | wiki_freq: 4165 - 1698 | sentence_idx: 34785 | align_1: 12-16 | align_2: 13-20 |    The Great Peace and the Council of Women would never allow this farce in our communities . ||| La Grande Loi de la Paix et le conseil des femmes ne permettraient jamais à cette farce de s’ exercer sur nos communautés . 

Nonviolence Nonviolence | w_freq: 18 - 3 | wiki_freq: 383 - 7 | sentence_idx: 35027 | align_1: 11-12 | align_2: 12-17 |    Ever since the end of the World March for Peace and Nonviolence eight years ago , many questions have been asked about the possibility of doing a Second World March . ||| Depuis la fin de la Marche mondiale pour la Paix et la Nonviolence , il y a huit ans , de nombreuses questions se sont posées sur la possibilité d’ organiser une deuxième Marche mondiale . 

violate violent | w_freq: 156 - 234 | wiki_freq: 9062 - 9541 | sentence_idx: 36658 | align_1: 6-11 | align_2: 7-16 |    – an end to actions that violate human rights by the armed forces “ ( page 67 ) ||| – et la fin des actions par les forces armées qui violent les droits de l’ Homme » ( page 67 ) 

Moriah Morija | w_freq: 6 - 2 | wiki_freq: 946 - 19 | sentence_idx: 36828 | align_1: 6-3 | align_2: 7-12 |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| au pays de Morija , et là offre - le en holocauste , sur une des montagnes que je te dirai . ” { La Genèse 22 : 2 } 

Please Veuillez | w_freq: 1238 - 518 | wiki_freq: 10571 - 98 | sentence_idx: 36881 | align_1: 1-1 | align_2: 2-6 |    “ Please hear from me , O King , about the religion that I have established amongst the Mlecchas . ||| " Veuillez s’ il vous plaît entendre , O roi , quels sont le principes religieux que j' ai établis parmi les Mlecchas . 

arguments.callee arguments.callee | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 37251 | align_1: 2-1 | align_2: 3-6 |    Why was arguments.callee removed from ES5 strict mode ? ||| Pourquoi arguments.callee a -t -il été retiré du mode strict ES5 ? 

afforded confiée | w_freq: 36 - 42 | wiki_freq: 8187 - 13674 | sentence_idx: 38697 | align_1: 6-10 | align_2: 7-14 |    We have a responsibility ; one afforded to us thousands of years ago by a wise man , to the Sernaix , and to the people of the galaxy . ||| Nous avons une responsabilité , de celle qui nous fut confiée , y a de cela des milliers d' années par un homme sage , pour les Sernaix , et pour les peuples de la galaxie . 

concomitantly concomitante | w_freq: 4 - 7 | wiki_freq: 355 - 752 | sentence_idx: 38985 | align_1: 8-13 | align_2: 9-17 |    Support for the Shia version of Islamism and concomitantly Iran has always offered an elegant solution to this problem . ||| L’ appui à la version chiite de l’ islamisme et , de manière concomitante , à l’ Iran a toujours offert une solution élégante à ce problème . 

newsletter bulletin | w_freq: 59 - 51 | wiki_freq: 10225 - 6066 | sentence_idx: 38987 | align_1: 3-2 | align_2: 4-7 |    In the previous newsletter we mentioned that a part of the funds meant for provision of the compensations is currently kept in Latvian Citadele bank . ||| Dans le bulletin d’ information précédent , nous avons mentionné qu’ une partie des fonds destinés à la provision des compensations est actuellement conservée dans la banque lettonienne Citadele . 

Endorse apportent | w_freq: 3 - 251 | wiki_freq: 33 - 6460 | sentence_idx: 39499 | align_1: 2-3 | align_2: 3-9 |    42 Member-States Endorse “ People , Book , Land ” exhibition at the Council of Europe ||| 42 États membres apportent leur soutien à l’ exposition « Le Peuple , le Livre , la Terre » au Conseil de l’ Europe 

Beings Êtres | w_freq: 70 - 59 | wiki_freq: 777 - 101 | sentence_idx: 40151 | align_1: 20-23 | align_2: 21-28 |    For the first time since you were permitted to enter limited consciousness , you are to be acknowledged as worthy Beings by your former ' masters . ' ||| Pour la première fois depuis que vous avez eu la permission d’ entrer dans la conscience limitée , vous serez reconnus comme des Êtres nobles , de la part de vos anciens « maîtres » . 

yesterday hier | w_freq: 708 - 859 | wiki_freq: 3562 - 1775 | sentence_idx: 41340 | align_1: 28-26 | align_2: 29-31 |    This operation was passed onto you by your father , and you will certainly transmit it to your son ; what is the difference between the champagnes of yesterday and the ones of today and tomorrow ? ||| Cette exploitation vous a été transmise par votre père , vous la transmettrez certainement à votre fils , quelle est la différence entre le champagne d' hier , celui d' aujourd'hui et celui de demain ? 

Knesset Knesset | w_freq: 65 - 67 | wiki_freq: 8500 - 1650 | sentence_idx: 41368 | align_1: 3-4 | align_2: 4-9 |    This Monday the Knesset reassembled for its winter session after a long ( and blessed ) vacation . ||| Ce lundi , la Knesset s’ est de nouveau réunie pour sa session d’ hiver après de longues ( et bienvenues ) vacances . 

alarm alarme | w_freq: 148 - 136 | wiki_freq: 13377 - 2714 | sentence_idx: 41590 | align_1: 4-5 | align_2: 5-10 |    Overall , the ionization alarm outperformed the photoelectric in only one scenario , the “ burnt toast ” test , where it responded 22 % faster . ||| Dans l’ ensemble , l’ alarme d’ ionisation n’ a surpassé la photoélectrique que dans un seul scénario , le test du « toast brûlé » , où elle a répondu 22 % plus rapidement . 

allowable admissible | w_freq: 10 - 54 | wiki_freq: 2223 - 1208 | sentence_idx: 41993 | align_1: 14-18 | align_2: 15-23 |    Effort group : a management unit of a Member State for which a maximum allowable fishing effort is set . ||| Groupe d’ effort : une unité de gestion d’ un État membre pour laquelle est fixé un maximum admissible de l’ effort de pêche . 

Bonn Bonn | w_freq: 45 - 46 | wiki_freq: 12087 - 5182 | sentence_idx: 42801 | align_1: 14-14 | align_2: 15-18 |    In particular , he referred to how he spent most of his time in Bonn arguing with Environment Canada employees . ||| Notamment , il a dit avoir passé la majeure partie de son temps à Bonn , à se disputer avec des employés d' Environnement Canada . 

Visa Visa | w_freq: 158 - 113 | wiki_freq: 6274 - 978 | sentence_idx: 43723 | align_1: 16-16 | align_2: 17-20 |    Because without an international insurance certificate , I had no chance of getting my Working Holiday Visa for Argentina . ||| Parce que sans attestation d’ assurance internationale , je n’ avais aucune chance de décrocher mon Visa Vacances - Travail pour l’ Argentine . 

E-79 E-79 | w_freq: 14 - 15 | wiki_freq: 7 - 2 | sentence_idx: 44069 | align_1: 0-0 | align_2: 1-7 |    E-79 You 've been paralyzed like that a long time son , " but even now , Lord . " ||| E-79 Fiston , cela fait longtemps que tu es paralysé comme cela , « mais , même maintenant , Seigneur » . 

Trish Trish | w_freq: 7 - 7 | wiki_freq: 2366 - 536 | sentence_idx: 44257 | align_1: 4-5 | align_2: 5-9 |    Success Stories : Why Trish Sold Everything She Owned to Travel ||| Histoires de réussite : Pourquoi Trish a -t -elle vendu tout ce qu' elle possédait pour voyager ? 

cried crie | w_freq: 96 - 53 | wiki_freq: 3949 - 2116 | sentence_idx: 44475 | align_1: 5-7 | align_2: 6-11 |    “ Wait , ” Quire cried again . ||| " Akhmat sila , Akhmat sila " crie -t -on de nouveau . 

filtering filtres | w_freq: 56 - 159 | wiki_freq: 6827 - 3327 | sentence_idx: 45304 | align_1: 4-4 | align_2: 5-10 |    We can talk about filtering philosophically : " Am I really seeing what is in the world or am I seeing what is happening in the back of my brain ? " ||| Nous pouvons aborder les filtres d’ un point de vue philosophique : " Est -ce que je vois vraiment ce qu' il y a dans le monde ou est -ce que je vois ce qui se passe à l' arrière de mon cerveau ? " 

investigator enquêteur | w_freq: 53 - 41 | wiki_freq: 12844 - 1613 | sentence_idx: 46675 | align_1: 7-9 | align_2: 8-14 |    However , that is precisely what Oyster.com investigator Micah Rubin found so fascinating about his recent visit to the country . ||| Cependant , c' est précisément ce que l ' enquêteur d ' Oyster.com , Micah Rubin , a trouvé si fascinant au sujet de sa récente visite dans le pays . 

Yentob Yentob | w_freq: 1 - 1 | wiki_freq: 173 - 10 | sentence_idx: 47951 | align_1: 1-1 | align_2: 2-6 |    Did Yentob ever feel his salary — over £ 300,000 a year as creative director and documentary-maker — was excessive ? ||| Alan Yentob n’ a -t -il jamais pensé que son salaire – plus de 300   000   livres par an comme directeur créatif et documentariste – était excessif   ? 

disillusioned désillusionnés | w_freq: 24 - 7 | wiki_freq: 5850 - 33 | sentence_idx: 48370 | align_1: 13-17 | align_2: 14-22 |    Consequently what you seek is never found , and all are disappointed and disillusioned – well an illusion can only be disillusioning ! ||| Par conséquent , ce que vous cherchez n’ est jamais trouvé , et tous sont déçus et désillusionnés – c’ est ainsi qu’ une illusion ne peut être que désillusion ! 

Mihigo Mihigo | w_freq: 1 - 1 | wiki_freq: 71 - 48 | sentence_idx: 49025 | align_1: 8-15 | align_2: 9-20 |    We also welcome the release of Mr Kizito Mihigo at the same time with 2138 other prisoners . ||| Nous nous réjouissons également de ce qu’ un autre prisonnier de conscience , Monsieur Kizito Mihigo , ait été libéré en même temps que 2138 autres prisonniers . 

sheikh cheikh | w_freq: 5 - 10 | wiki_freq: 1375 - 2018 | sentence_idx: 49197 | align_1: 3-2 | align_2: 4-8 |    " The school sheikh told me : ' We do indeed have a large number of girls who wear the niqab . ||| “ Le cheikh de l’ école m’ a dit : « Nous avons en effet un grand nombre de jeunes filles qui portent le niqab . 

Gnosis Gnose | w_freq: 29 - 30 | wiki_freq: 389 - 103 | sentence_idx: 49505 | align_1: 5-7 | align_2: 6-12 |    But really , religion and Gnosis disagree with this because we understand the Consciousness in a very different way from Western psychology . ||| Mais réellement , la religion et la Gnose ne sont pas d’ accord avec cela parce que nous comprenons la Conscience d’ une manière très différente de la psychologie occidentale . 

Kigali Kigali | w_freq: 35 - 35 | wiki_freq: 2288 - 1029 | sentence_idx: 49516 | align_1: 4-5 | align_2: 5-10 |    Official sources reached in Kigali disagree . ||| Les sources officielles contactées à Kigali ne sont pas d’ accord . 

Already Déjà | w_freq: 217 - 177 | wiki_freq: 9696 - 6612 | sentence_idx: 52453 | align_1: 0-0 | align_2: 1-5 |    Already next weekend is expected to fall in Cyprus which will be seen especially well . ||| Déjà le week - end prochain devrait tomber à Chypre , qui sera particulièrement bien vu . 

Kabul Kaboul | w_freq: 40 - 37 | wiki_freq: 13844 - 2734 | sentence_idx: 52621 | align_1: 16-20 | align_2: 17-25 |    What was it the splendid Leon Panetta – my favorite US Defense Secretary – said in Kabul 18 months ago ? ||| Qu’ avait donc déclaré déjà , le magnifique Leon Panetta – mon secrétaire à la Défense US préféré – à Kaboul , il y a 18 mois ? 

E-169 E-169 | w_freq: 7 - 7 | wiki_freq: 0 - 0 | sentence_idx: 53319 | align_1: 0-0 | align_2: 1-4 |    E-169 As I have often said , Abraham might 've said to Sarah ... ||| E-169 ( 139 ) Comme je l’ ai souvent dit , peut-être qu’ Abraham avait dit à Sara ... 

reparability réparabilité | w_freq: 1 - 4 | wiki_freq: 4 - 44 | sentence_idx: 53587 | align_1: 4-5 | align_2: 5-9 |    [ Focus ] Deploy reparability worldwide : the example of Groupe SEB ||| [ Focus ] Déployer la réparabilité à l’ échelle mondiale : l’ exemple du Groupe SEB 

fibromyalgia fibromyalgie | w_freq: 118 - 136 | wiki_freq: 548 - 165 | sentence_idx: 54007 | align_1: 8-9 | align_2: 9-15 |    I experienced this terrible and strange feeling of fibromyalgia last weekend . ||| J’ ai ressenti ce sentiment horrible et étrange de fibromyalgie , le week - end dernier . 

Cypriots Chypriotes | w_freq: 55 - 50 | wiki_freq: 2804 - 454 | sentence_idx: 54686 | align_1: 21-23 | align_2: 22-27 |    The final solution of the Cyprus problem can not be imposed on other countries , it must be taken by the Cypriots . ||| La solution finale au problème de Chypre ne peut pas être imposée par d' autres pays , elle doit être acceptée par les Chypriotes eux - mêmes . 

PKK PKK | w_freq: 74 - 76 | wiki_freq: 3551 - 1055 | sentence_idx: 56989 | align_1: 12-14 | align_2: 13-18 |    The government built a factory in the southeast of Turkey but the PKK exploded it . ||| Le gouvernement a construit une usine dans le Sud-Est de la Turquie mais le PKK l’ a fait exploser . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 57051 | align_1: 0-0 | align_2: 1-5 |    Anyway , the good news is that there are ways that you can keep the content you create for your specific niche fresh , interesting and relevant , for you and your readers , for years to come . ||| Quoi qu’ il en soit , les bonnes nouvelles sont qu’ il y a des moyens que vous pouvez garder le contenu que vous créez pour votre niche spécifique frais , intéressant et pertinent , pour vous et vos lecteurs , pour les années à venir . 

E-48 E-48 | w_freq: 18 - 19 | wiki_freq: 3 - 3 | sentence_idx: 58126 | align_1: 0-0 | align_2: 1-4 |    E-48 Now , I want to say something to you , you that 's been here all week . ||| E-48 ( 95 ) Maintenant , je veux vous dire quelque chose , vous qui avez été ici toute la semaine . 

Investing investir | w_freq: 62 - 1014 | wiki_freq: 1096 - 6304 | sentence_idx: 58830 | align_1: 12-15 | align_2: 13-20 |    Is the Euro as good as gold again , or is Gold Investing only as good as the Euro ... ? ||| Est -ce que l’ euro est à nouveau aussi bien que l’ or , ou investir dans l’ or est seulement aussi bien que l’ euro … ? 

Nicaraguan nicaraguayennes | w_freq: 17 - 4 | wiki_freq: 5331 - 68 | sentence_idx: 59440 | align_1: 11-13 | align_2: 12-20 |    Hendrix ’s study surveys the deaths recorded by the three main Nicaraguan human rights organizations . ||| L’ étude de Hendrix examine les décès enregistrés par les trois principales organisations nicaraguayennes de défense des droits de l’ homme . 

