Karana Karana | w_freq: 5 - 2 | wiki_freq: 266 - 27 | sentence_idx: 16592 | align_1: 10-9 | align_2: 11-14 | entity: Karana - Karana |    The question asked here is , “ What challenges did Karana face while alone in the wilderness ? ” ||| La question posée ici est : « Quels défis Karana a -t -elle fait face tout seul dans le désert ? 
Klinghoffer Klinghoffer | w_freq: 3 - 3 | wiki_freq: 555 - 128 | sentence_idx: 830675 | align_1: 13-13 | align_2: 14-18 | entity: Leon Klinghoffer - Leon Klinghoffer |    He also said : " My tears were used up crying for Leon Klinghoffer . "[5 ] ||| Il déclara également : « Mes larmes ont été utilisés pour pleurer Leon Klinghoffer ( en ) [ 19]. » 

Shittim Souviens | w_freq: 1 - 22 | wiki_freq: 35 - 330 | sentence_idx: 860990 | align_1: 0-0 | align_2: 1-8 | entity: Shittim - none |    Shittim to Gilgal , that you may know the righteous acts of the Lord . ” ||| Souviens - toi du passage de Shittim jusqu’ à Guilgal pour que tu reconnaisses les justes actions du Seigneur . 

Qusayr Qusayr | w_freq: 2 - 2 | wiki_freq: 118 - 41 | sentence_idx: 862416 | align_1: 9-9 | align_2: 10-14 | entity: Qusayr - Qusayr |    They also fear that the fate of Christians in Qusayr could soon affect the 10,000 believers who live in other villages in the area . ||| Ils craignent aussi que le sort des chrétiens en Qusayr , mais aussi qui pourrait bientôt concerner les 10.000 croyants qui vivent dans d’ autres villages dans la région . 

NVSH NVSH | w_freq: 1 - 1 | wiki_freq: 13 - 17 | sentence_idx: 907066 | align_1: 18-21 | align_2: 19-27 | entity: NVSH - NVSH |    We have used the self-help method for many years in some of the Dutch local workgroups of the NVSH ( not in all groups ; some of them do n’t offer much support at all ) . ||| Nous recourons à la méthode d' auto-assistance depuis de nombreuses années , dans quelques-uns des groupes de travail région de la NVSH , aux Pays - Bas ( pas dans tous les groupes ; certains n' offrent pas de soutien du tout ) . 

Puskas Puskás | w_freq: 2 - 2 | wiki_freq: 164 - 413 | sentence_idx: 917613 | align_1: 0-0 | align_2: 1-6 | entity: Puskas - Puskás |    Puskas always saw at least five . ” ||| Puskás , lui , en voyait toujours au moins cinq . » 

Frelimo Frelimo | w_freq: 3 - 2 | wiki_freq: 150 - 51 | sentence_idx: 995367 | align_1: 3-4 | align_2: 4-8 | entity: Frelimo - Frelimo |    ( 1 ) Frelimo subsequently became converts to the market economy . ||| ( 1 ) Le Frelimo s’ est , depuis , converti à l’ économie de marché . 

