DMC DMC | w_freq: 6 - 6 | wiki_freq: 1622 - 501 | sentence_idx: 2562 | align_1: 2-2 | align_2: 3-7 | entity: Run DMC - Run DMC |    But Run DMC singlehandedly brought that shoe back ” . ||| Mais Run DMC a , à lui seul , ramené cette chaussure " " . 
Sahrawi sahraouis | w_freq: 21 - 19 | wiki_freq: 1795 - 147 | sentence_idx: 264874 | align_1: 2-3 | align_2: 3-10 | entity: Sahrawi - none |    " Several Sahrawi human rights groups continued to experience difficulties in carrying out their activities . ||| “ Plusieurs groupes sahraouis de défense des droits de l’ Homme ont continué à connaître des difficultés dans l’ exercice de leurs activités . 

Hijackers pirates | w_freq: 1 - 122 | wiki_freq: 79 - 7911 | sentence_idx: 271419 | align_1: 14-10 | align_2: 15-17 | entity: Hijackers - none |    Lastly , it should be said that a big number of the so called Hijackers are actually legal pieces of programming that are being legally distributed . ||| Enfin , il faut dire qu’ un grand nombre de pirates de l’ air qu’ on appelle est des pièces réellement légales de programmation qui sont distribués légalement . 

1031 1031 | w_freq: 4 - 5 | wiki_freq: 965 - 672 | sentence_idx: 331570 | align_1: 15-21 | align_2: 16-25 | entity: Section 1031 - none |    As Levin said last week , it was the White House itself that demanded Section 1031 apply to American citizens . ||| Comme l’ a dit Levin la semaine dernière , ce fut la maison blanche elle-même qui a demandé que la section 1031 du projet s’ applique aux citoyens américains . 

Kabam Kabam | w_freq: 2 - 2 | wiki_freq: 108 - 5 | sentence_idx: 336134 | align_1: 0-0 | align_2: 1-4 | entity: Kabam - Kabam |    Kabam has also done some things differently . ||| Kabam , cependant , a également fait certaines choses différemment . 

Avrocar Avrocar | w_freq: 2 - 2 | wiki_freq: 80 - 11 | sentence_idx: 353038 | align_1: 1-1 | align_2: 2-5 | entity: Avrocar - Avrocar |    The Avrocar never got more than three feet off the ground , suffered all kinds of instability problems and such . ||| L’ Avrocar ne s’ est jamais élevé à plus de trois pieds du sol , a connu toutes sortes de problèmes d’ instabilité et ainsi de suite . 

Schroeder Schroeder | w_freq: 8 - 8 | wiki_freq: 4526 - 663 | sentence_idx: 366669 | align_1: 12-15 | align_2: 13-19 | entity: Patricia Schroeder - Patricia Schroeder |    When she prepared to testify before Congress in 1996 , then-Congresswoman Patricia Schroeder objected . ||| Lorsqu’ elle était prête à témoigner devant le congrès en 1996 , la députée Patricia Schroeder s’ y est opposée . 

Corrie Corrie | w_freq: 11 - 11 | wiki_freq: 1668 - 137 | sentence_idx: 367659 | align_1: 16-20 | align_2: 17-24 | entity: Corrie - Corrie |    But if you believe that , it is n’t much of a stretch to think as Corrie did , that the Jews of Israel deserve to die , too . ||| Mais si vous croyez cela , il n’ y a pas un long chemin à faire pour penser , comme Corrie apparemment l’ a fait , que les Juifs d’ Israël méritent de mourir , aussi . 

Kingsway Kingsway | w_freq: 3 - 3 | wiki_freq: 2010 - 174 | sentence_idx: 388564 | align_1: 12-16 | align_2: 13-21 | entity: Kingsway - Kingsway |    God Meant it for Good by R T Kendall was published by Kingsway 30 years ago , and is an absolute classic that could transform lives , communities and nations . ||| Dieu le voulait pour de bon , par R. T. Kendall , a été publié par Kingsway , il y a 30 ans , et est un classique absolu qui pourrait transformer des vies , des communautés et des nations . 

Leos Lions | w_freq: 6 - 47 | wiki_freq: 297 - 6982 | sentence_idx: 393614 | align_1: 0-0 | align_2: 1-6 | entity: Leos - Lions |    Leos are usually well known for being loving and loyal partners , provided that they make all the important decisions in the relationship . ||| Lions , en règle générale , sont bien connus pour être un partenaire aimant et fidèle , à condition qu’ ils prennent toutes les décisions importantes dans la relation . 

Argentines Argentins | w_freq: 22 - 33 | wiki_freq: 1527 - 1291 | sentence_idx: 395071 | align_1: 11-15 | align_2: 12-20 | entity: Polish Argentines - Argentins |    Did you know ? … Juan Foyth ’s family are Polish Argentines meaning they are Argentine citizens of partial Polish ancestry . ||| Le saviez -vous ? … Les membres de la famille de Juan Foyth sont des Argentins polonais , ce qui signifie qu' ils sont citoyens argentins de parti Polonais ascendance . 

Michał Michał | w_freq: 4 - 4 | wiki_freq: 3520 - 1309 | sentence_idx: 395480 | align_1: 0-0 | align_2: 1-4 | entity: Michał - Michał |    Michał called it “ his personal K2 ” . ||| Michał l’ a même appelé “ son K2 personnel “ . 

Greys Gris | w_freq: 19 - 29 | wiki_freq: 1646 - 1850 | sentence_idx: 419804 | align_1: 2-4 | align_2: 3-8 | entity: Greys - Gris |    Perhaps the Greys felt justified in repeatedly violating our government 's secret ' treaties ' with them because ' we ' had done the exact same thing to the native Americans ? ||| Peut - être les Gris se sont -ils sentis justifiés de violer à plusieurs reprises les » traités » secrets de notre gouvernement avec eux parce que » nous » avions fait exactement la même chose aux Amérindiens ? 

BREF BREF | w_freq: 1 - 4 | wiki_freq: 11 - 9 | sentence_idx: 420407 | align_1: 10-8 | align_2: 11-15 | entity: BREF - BREF |    In order to focus and accelerate the review of the BREF , the comments submitted on the first draft ( or on a first and second draft , see Section 1.2.4 ) will be divided into two groups : ||| Afin de se concentrer sur la révision du BREF et d’ en accélérer le déroulement , les observations fournies concernant le premier projet ( ou le premier et le deuxième projet , voir la section 1.2.4 ) seront divisées en deux groupes : 

Youtube Youtube | w_freq: 41 - 54 | wiki_freq: 1298 - 1901 | sentence_idx: 442314 | align_1: 1-1 | align_2: 2-6 | entity: Youtube - Youtube |    On Youtube sanctions are quite logical and one that sent a video taken elsewhere is not paid : ||| Sur Youtube en effet , les sanctions sont assez logiques et celui qui a envoyé une vidéo prise ailleurs n' est pas rémunéré : 

Indicators Indicators | w_freq: 22 - 1 | wiki_freq: 1221 - 18 | sentence_idx: 444561 | align_1: 12-15 | align_2: 13-23 | entity: World Development Indicators - World Development Indicators |    The World Bank in turn directed Africa Check to its World Development Indicators , a public database of 217 economies – 189 member countries and 28 “ other ” economies . ||| À son tour , la Banque mondiale a redirigé Africa Check vers ses World Development Indicators ( indicateurs de développement du monde ) , une base de données publique de 217 économies – 189 pays membres et 28 « autres » économies . 

Ozer Ozer | w_freq: 1 - 1 | wiki_freq: 170 - 55 | sentence_idx: 450665 | align_1: 0-0 | align_2: 1-4 | entity: Ozer - Ozer |    Ozer praised the companies ' action but said they should have stopped such use of data earlier . ||| Ozer a fait l’ éloge de l’ action des entreprises , mais a déclaré qu’ ils auraient dû arrêter un tel usage des données plus tôt . 

Mesiti Mesiti | w_freq: 1 - 1 | wiki_freq: 22 - 3 | sentence_idx: 501416 | align_1: 1-1 | align_2: 2-8 | entity: Angelica Mesiti - Angelica Mesiti |    Angelica Mesiti for several years has been developing research into non-verbal communication . ||| Angelica Mesiti , quant à elle , développe depuis plusieurs années une recherche sur la communication non-verbale . 

Saracens Saracens | w_freq: 4 - 1 | wiki_freq: 4232 - 647 | sentence_idx: 511284 | align_1: 6-6 | align_2: 7-11 | entity: Saracens - Saracens |    “ They ’ve proved that at Saracens last weekend , they proved it in round one . ||| ‘ Ils ont prouvé que chez Saracens le week - end dernier , ils l’ avaient prouvé au premier tour . 

Puskas Puskás | w_freq: 2 - 2 | wiki_freq: 164 - 413 | sentence_idx: 520637 | align_1: 0-0 | align_2: 1-6 | entity: Puskas - Puskás |    Puskas always saw at least 5 . ” ||| Puskás , lui , en voyait toujours au moins cinq . » 

RHDP RHDP | w_freq: 1 - 1 | wiki_freq: 22 - 152 | sentence_idx: 534590 | align_1: 13-16 | align_2: 14-20 | entity: RHDP - RHDP |    “ Were you aware of crimes committed by rebels or elements of the RHDP between 28 November and 15 December 2010 ? ” ||| « Avez -vous eu connaissance de crimes commis par des rebelles ou par des éléments du RHDP ( 2 ) entre le 28 novembre et 15 décembre 2010 ? » 

Rajoy Rajoy | w_freq: 13 - 13 | wiki_freq: 999 - 743 | sentence_idx: 576657 | align_1: 4-3 | align_2: 5-13 | entity: Rajoy - Rajoy |    First : how will Rajoy return Spain to higher levels of economic growth ? ||| Premièrement , comment Rajoy permettra -t -il à l’ Espagne d’ effectuer un retour vers des niveaux élevés de croissance économique ? 

Rothschilds Rothschild | w_freq: 60 - 112 | wiki_freq: 485 - 4659 | sentence_idx: 591095 | align_1: 5-6 | align_2: 6-10 | entity: Rothschilds - Rothschild |    With such articles , the Rothschilds become innocent people who suffer unjust accusations in the eyes of the world . ||| Avec de tels articles , les Rothschild eux - mêmes deviennent des gens innocents qui sont victimes d’ accusations injustes aux yeux du monde . 

RCMP RCMP | w_freq: 10 - 4 | wiki_freq: 4635 - 6 | sentence_idx: 630066 | align_1: 9-12 | align_2: 10-20 | entity: RCMP - RCMP |    But the strangest thing is that she claims the RCMP told her the objects were " missiles from St. Pierre-et-Miquelon . " ||| Mais le plus étrange , c’ est qu’ elle prétend que la RCMP ( la Police Montée ) lui a dit que les objets étaient des « missiles de Saint-Pierre-et-Miquelon . » 

KWPA KPWA | w_freq: 1 - 1 | wiki_freq: 13 - 0 | sentence_idx: 631865 | align_1: 8-8 | align_2: 9-13 | entity: KWPA - KPWA |    Like their African sisters , the women of KWPA strategically oppose these actions through the Via Campesina . ||| Comme leurs sœurs africaines , les femmes de KPWA s’ opposent de manière stratégique à ces actions à travers La Via Campesina . 

Magnitsky Magnitsky | w_freq: 17 - 7 | wiki_freq: 598 - 17 | sentence_idx: 643372 | align_1: 0-0 | align_2: 1-4 | entity: Magnitsky - Magnitsky |    Magnitsky mentioned in testimony only in his October 2008 interrogation . ||| Magnitsky ne l’ a mentionné dans son témoignage que lors de son interrogatoire d’ octobre 2008 . 

Responsibility Responsabilité | w_freq: 68 - 33 | wiki_freq: 6288 - 673 | sentence_idx: 649974 | align_1: 6-4 | align_2: 7-9 | entity: Corporate Social Responsibility - Responsabilité Sociétale de l’ Entreprise |    This wider concept of Corporate Social Responsibility , this determination to be “ socially responsible ” has been intrinsic to the vision , positioning and action of Sigma Orionis since its creation . ||| Ce concept élargi de Responsabilité Sociétale de l’ Entreprise , cette détermination à être « sociétalement responsable » est intrinsèque à la vision , au positionnement et à l’ action de Sigma Orionis depuis sa création . 

Aadam Âdam | w_freq: 1 - 1 | wiki_freq: 36 - 2 | sentence_idx: 676727 | align_1: 3-6 | align_2: 4-12 | entity: Aadam - Âdam |    Whenever Allaah created Aadam , He made him and his wife live in Paradise . ||| Chaque fois qu' Allâh a créé Âdam ( ' Alayhi Salâm ) , Il l' a fait et sa femme résident dans le Paradis . 

Shreveport Shreveport | w_freq: 4 - 4 | wiki_freq: 5370 - 482 | sentence_idx: 681336 | align_1: 12-11 | align_2: 13-16 | entity: Shreveport - Shreveport |    She said , " You 'll have your first service then in Shreveport , then you call me afterwards . " ||| Elle a dit : « Tu auras ton premier service à Shreveport à ce moment -là , alors appelle -moi après cela . » 

Shreveport Shreveport | w_freq: 4 - 4 | wiki_freq: 5370 - 482 | sentence_idx: 681337 | align_1: 12-11 | align_2: 13-16 | entity: Shreveport - Shreveport |    She said , " You 'll have your first service then in Shreveport , then you call me afterwards . " ||| Elle a dit : " Tu auras ton premier service à Shreveport à ce moment -là , alors appelle -moi après cela . " 

Pan-African panafricaine | w_freq: 22 - 22 | wiki_freq: 1754 - 384 | sentence_idx: 683700 | align_1: 11-16 | align_2: 12-21 | entity: Pan-African - none |    The project is an agreement between Rwanda and Africa50 , a Pan-African infrastructure investment platform . ||| Le projet est un accord entre le Rwanda et l’ Afrique50 , une plate - forme panafricaine d’ investissement dans les infrastructures . 

Philippians Philippiens | w_freq: 20 - 19 | wiki_freq: 402 - 89 | sentence_idx: 686728 | align_1: 12-12 | align_2: 13-16 | entity: Philippians - Philippiens |    In your opinion , does the general public understand the message of Philippians that Jesus , who was fully God , became fully human to die in our place ? ||| À votre avis , le grand public comprend -il le message de Philippiens , à savoir que Jésus , qui était entièrement Dieu , est devenu entièrement homme pour mourir à notre place ? 

Seun Seun | w_freq: 3 - 3 | wiki_freq: 197 - 46 | sentence_idx: 717894 | align_1: 6-7 | align_2: 7-11 | entity: Seun - Seun |    “ Then his sons Femi and Seun launched their international careers in France . ” ||| Ensuite , ses fils , Femi et Seun , ont aussi lancé leur carrière internationale en France . " 

Fourteen Quatorze | w_freq: 26 - 18 | wiki_freq: 5685 - 1588 | sentence_idx: 723259 | align_1: 0-0 | align_2: 1-5 | entity: Fourteen - none |    Fourteen said they recognized at least one of the attackers as an Imbonerakure . ||| Quatorze d’ entre elles ont affirmé avoir reconnu au moins l’ un de leurs agresseurs comme étant un Imbonerakure . 

Hayek Hayek | w_freq: 12 - 12 | wiki_freq: 2534 - 939 | sentence_idx: 739384 | align_1: 13-14 | align_2: 14-19 | entity: Hayek - Hayek |    Competition itself plays an essential role in the discovery of information , as Hayek also explained . ||| La concurrence joue elle-même un rôle essentiel dans la découverte d’ information , comme Hayek l’ a d’ ailleurs aussi expliqué . 

Dugin Douguine | w_freq: 7 - 2 | wiki_freq: 375 - 200 | sentence_idx: 745499 | align_1: 7-8 | align_2: 8-12 | entity: Alexander Dugin - Alexandre Douguine |    Maybe that explains your proximity with Alexander Dugin … Must we believe that beyond the national cultures you defend , transnational political convergences exist ? ||| Ce qui explique peut-être votre proximité avec Alexandre Douguine [ 19 ] … Faut -il croire qu’ au delà des cultures nationales que vous défendez , il existe des convergences politiques transnationales ? 

Rapporteurs Rapporteurs | w_freq: 7 - 5 | wiki_freq: 103 - 15 | sentence_idx: 774821 | align_1: 21-21 | align_2: 22-26 | entity: UN Special Rapporteurs - Rapporteurs spéciaux de l’ ONU |    They also express their support for the efforts of the United Nations High Commissioner for Human Rights and of UN Special Rapporteurs in order to assess the situation in the field and they take note of the reports and recommandations of the High Commissioner for Human Rights ( E / CN/4/2001/114 ) and of the Commission of Inquiry ( E / CN/4/2001/121 ) . ||| Elles expriment également leur soutien pour les efforts du Haut Commissaire des Nations Unies aux droits de l’ homme et des Rapporteurs spéciaux de l’ ONU en vue d’ évaluer la situation sur le terrain , et elles prennent note des rapports et recommandations du Haut Commissaire aux droits de l’ homme ( E / CN/4/2001/114 ) et de la Commission d’ enquête ( E / CN/4/2001/121 ) . 

Cision Cision | w_freq: 2 - 2 | wiki_freq: 86 - 12 | sentence_idx: 775490 | align_1: 2-2 | align_2: 3-6 | entity: Cision - Q : Cision |    Q : Cision bought Bulletin Intelligence last year . ||| Q : Cision a fait l’ acquisition de Bulletin Intelligence l’ an dernier . 

Netanyahu Netanyahu | w_freq: 346 - 204 | wiki_freq: 4862 - 189 | sentence_idx: 785578 | align_1: 5-3 | align_2: 6-8 | entity: Netanyahu - Netanyahu |    The conversation between Putin and Netanyahu ended in total discord . ||| La conversation entre Netanyahu et Poutine s’ est terminée en totale discorde . 

Atma Atma | w_freq: 7 - 8 | wiki_freq: 508 - 42 | sentence_idx: 799585 | align_1: 8-12 | align_2: 9-16 | entity: Atma - Atma |    Whatever changes your body may suffer , the Atma , the splendour of the true Wisdom remains immortal . ||| Quels que soient les changements dont votre corps peut souffrir , l’ Atma ( âme ) , la splendeur de la véritable Sagesse reste immortelle . 

Vanya Vanya | w_freq: 3 - 3 | wiki_freq: 1026 - 61 | sentence_idx: 800744 | align_1: 0-0 | align_2: 1-5 | entity: Vanya - Vanya |    Vanya originally showcases no particular powers , other than an interest in music . ||| Vanya ne présente à l’ origine aucun pouvoir particulier , à part un intérêt pour la musique . 

Tibetans Tibétains | w_freq: 93 - 90 | wiki_freq: 3366 - 2998 | sentence_idx: 808694 | align_1: 0-1 | align_2: 1-5 | entity: Tibetans - Tibétains |    Tibetans also face similar kind of racial discrimination today . ||| Les Tibétains sont eux - aussi , de nos jours , confrontés à un type de discrimination raciale similaire . 

Trung Trung | w_freq: 1 - 1 | wiki_freq: 1768 - 308 | sentence_idx: 811450 | align_1: 2-2 | align_2: 3-6 | entity: Nguyen Tien Trung - Nguyen Tien Trung |    Nguyen Tien Trung merely expressed his desire to see these principles applied and respected . ||| Nguyen Tien Trung n’ a fait que clamer son désir de voir de tels principes appliqués et respectés . 

CAP PAC | w_freq: 103 - 110 | wiki_freq: 3916 - 1256 | sentence_idx: 813590 | align_1: 6-5 | align_2: 7-10 | entity: CAP - none |    F. Lenoir : Why has the CAP not succeeded in creating high-performing agriculture in Eastern Europe ? ||| F. Lenoir : Pourquoi la PAC n' a -t -elle pas réussi à créer une agriculture performante en Europe de l' Est ? 

Cerretti Cerretti | w_freq: 1 - 1 | wiki_freq: 42 - 13 | sentence_idx: 816639 | align_1: 9-7 | align_2: 10-12 | entity: Cerretti - Monsignor Cerretti |    That same day , in the morning , Monsignor Cerretti surprised us with a good visit . ||| Ce même jour le matin , Monsignor Cerretti m’ a fait la surprise d’ une bonne visite . 

Morija Morija | w_freq: 3 - 3 | wiki_freq: 52 - 19 | sentence_idx: 817852 | align_1: 8-11 | align_2: 9-16 | entity: Morija - Morija |    In December 2013 we hold another ceremony with Morija where we handed over a cheque of 20’000 dollars . ||| En décembre 2013 , nous avons organisé une autre cérémonie avec Morija , au cours de laquelle nous leur avons remis un chèque de 20 000 dollars . 

Klinghoffer Klinghoffer | w_freq: 3 - 3 | wiki_freq: 555 - 128 | sentence_idx: 830675 | align_1: 13-13 | align_2: 14-18 | entity: Leon Klinghoffer - Leon Klinghoffer |    He also said : " My tears were used up crying for Leon Klinghoffer . "[5 ] ||| Il déclara également : « Mes larmes ont été utilisés pour pleurer Leon Klinghoffer ( en ) [ 19]. » 

UNHCR HCR | w_freq: 142 - 132 | wiki_freq: 2768 - 575 | sentence_idx: 854337 | align_1: 1-2 | align_2: 2-16 | entity: UNHCR - HCR |    “ UNHCR received only half of the funding it needed in 2014 for programmes in Iraq and Syria and is extremely concerned at the slow pace of pledges for this year . ||| “ Le HCR ( Agence des Nations Unies pour les réfugiés , ndlr ) n' a reçu que la moitié des financements dont il avait besoin en 2014 pour ses programmes en Irak et en Syrie , et il est très inquiet du rythme très lent des promesses de dons cette année . ” 

Shittim Souviens | w_freq: 1 - 22 | wiki_freq: 35 - 330 | sentence_idx: 860990 | align_1: 0-0 | align_2: 1-8 | entity: Shittim - none |    Shittim to Gilgal , that you may know the righteous acts of the Lord . ” ||| Souviens - toi du passage de Shittim jusqu’ à Guilgal pour que tu reconnaisses les justes actions du Seigneur . 

Qusayr Qusayr | w_freq: 2 - 2 | wiki_freq: 118 - 41 | sentence_idx: 862416 | align_1: 9-9 | align_2: 10-14 | entity: Qusayr - Qusayr |    They also fear that the fate of Christians in Qusayr could soon affect the 10,000 believers who live in other villages in the area . ||| Ils craignent aussi que le sort des chrétiens en Qusayr , mais aussi qui pourrait bientôt concerner les 10.000 croyants qui vivent dans d’ autres villages dans la région . 

Haitians Haïtiens | w_freq: 65 - 53 | wiki_freq: 1742 - 556 | sentence_idx: 868265 | align_1: 17-19 | align_2: 18-23 | entity: Haitians - Haïtiens |    Today , she has three shows , and one of her missions is changing the image of Haitians internationally , one episode at a time . ||| Aujourd’hui , elle a trois spectacles , et l’ une de ses missions est de changer l’ image des Haïtiens à l’ échelle internationale , un épisode à la fois . 

twenty-six vingt-six | w_freq: 14 - 14 | wiki_freq: 5158 - 3323 | sentence_idx: 882765 | align_1: 1-1 | align_2: 2-5 | entity: twenty-six - none |    At twenty-six , he had been sent to Shanghai by a news agency . ||| À vingt-six ans , donc , il avait été envoyé à Shanghai par une agence de presse . 

10a bis | w_freq: 8 - 69 | wiki_freq: 191 - 6087 | sentence_idx: 885832 | align_1: 19-22 | align_2: 20-26 | entity: 10a - none |    [ inter alia ] a provision of Directive [ 85/337 / EEC ( 7 ) ] to which Article 10a … applies … ’ ||| [ notamment ] une disposition de la directive 85/337 / CEE ( 7 ) [ … ] à laquelle l’ article 10 bis [ … ] s’ applique [ … ] » 

NVSH NVSH | w_freq: 1 - 1 | wiki_freq: 13 - 17 | sentence_idx: 907066 | align_1: 18-21 | align_2: 19-27 | entity: NVSH - NVSH |    We have used the self-help method for many years in some of the Dutch local workgroups of the NVSH ( not in all groups ; some of them do n’t offer much support at all ) . ||| Nous recourons à la méthode d' auto-assistance depuis de nombreuses années , dans quelques-uns des groupes de travail région de la NVSH , aux Pays - Bas ( pas dans tous les groupes ; certains n' offrent pas de soutien du tout ) . 

Puskas Puskás | w_freq: 2 - 2 | wiki_freq: 164 - 413 | sentence_idx: 917613 | align_1: 0-0 | align_2: 1-6 | entity: Puskas - Puskás |    Puskas always saw at least five . ” ||| Puskás , lui , en voyait toujours au moins cinq . » 

