WMO: ‘ Even if WMO agrees , I will still not pass on the data . ||| " Même si l' OMM est d' accord , je vais toujours pas passer sur les données .
UNHCR: UNHCR Ukraine will continue to provide resettlement for a very small number of refugees in Ukraine . ||| Le HCR en Ukraine continuera d’ assurer la réinstallation d’ un très petit nombre de réfugiés en Ukraine .

UNHCR: The UNHCR would like to see this number increase and is supported in this by many NGOs already present in Tanzania . ||| Le HCR souhaiterait voir ce nombre augmenter et est appuyé par de nombreuses ONG déjà présentes en Tanzanie .

UNHCR: With this regard , the ministry requests UNHCR to close its office in Tashkent within one month . ” ||| Par conséquent , le ministère demande à l' UNHCR de fermer son bureau à Tachkent d' ici un mois » .

UNHCR: She says : “ The first thing I ’ll do is pay off our debts and then we ’ll use this money to buy food . ” © UNHCR / Caroline Gluck ||| Elle dit : « La première chose que je vais faire , c’ est rembourser nos dettes et ensuite nous utiliserons cet argent pour acheter de la nourriture » . © HCR / Caroline Gluck

UNHCR: It is very important and the UNHCR made a very strong recommendation . ||| C' est très important et le HCR a présenté une très forte recommandation .

UNHCR: There are also more than 4,000 Palestinian refugees , who are well integrated and have not asked for assistance from the United Nations High Commissioner for Refugees ( UNHCR ) . ||| Il y a aussi plus de 4000 réfugiés palestiniens , qui sont bien intégrés et n' ont pas demandé l ' aide de l' Organisation des Nations Unies pour les réfugiés ( HCR ) .

UNHCR: UNHCR also appreciates the openness of the authorities in Kyiv to discuss these problems . ||| L' UNHCR apprécie aussi l' ouverture des autorités de Kiev pour discuter de ces problèmes .

UNHCR: UNHCR 's financial situation remains extremely difficult , however , and in a moment , Mr. Chairman , I shall review our current position in more detail . ||| La situation financière du HCR reste extrêmement difficile et dans un moment , Monsieur la Président , je passerai en revue de façon plus détaillée notre position actuelle .

UNHCR: Tell us about the cooperation agreement between UNHCR and UNIQLO ||| Parlez -nous de l' accord de coopération entre le HCR et UNIQLO

UNHCR: In transit countries , it is almost always the UNHCR which must assist you if you wish to avoid deportation . ||| Dans les pays de transit , c’ est presque toujours le HCR qui sera en mesure de vous aider si vous souhaitez éviter l’ expulsion .

UNHCR: We are also proud of our current partnership with UNHCR for the pilot European Youth Initiative Fund ! ||| Nous sommes également fiers de notre partenariat avec l’ HCNUR pour le Fonds pilote européen pour l’ initiative des jeunes !

UNHCR: He also thanked the Mauritanian authorities for the fruitful collaboration with UNHCR on the elaboration of a national asylum system . ||| Il a également remercié les autorités mauritaniennes pour leur collaboration fructueuse avec le HCR sur l' élaboration d' un système national d' asile .

UNHCR: Both are slowly recovering with support from their community and UNHCR . ||| Les deux se rétablissent lentement avec le soutien de leur communauté et du HCR .

UNHCR: In order to measure success of this program , the UNHCR considers the number of naturalization processes completed by refugees in their new country . ||| Afin de mesurer le succès de ce programme , le HCR prend en compte le nombre de processus de naturalisation réalisés par des réfugiés dans leur nouveau pays .

UNHCR: It is UNHCR 's recommendation that this period be regarded as a minimum for assessment purposes . ||| Le HCR recommande de considérer cette période comme minimale aux fins d' évaluation .

UNHCR: On the contrary , the UN refugee agency , UNHCR , receives financial support from member states , among which Belgium . ||| Au contraire , c’ est l’ agence des Nations Unies pour les réfugiés , l’ UNHCR qui reçoit un soutien financier de la part des États membres , dont la Belgique .

UNHCR: They asked the United Nations High Commissioner for Refugees ( UNHCR ) to consult with Member States and a wide range of other stakeholders and propose such a compact . ||| Ils ont demandé au Haut-Commissaire des Nations Unies pour les réfugiés ( HCR ) de consulter les États membres et un large éventail de autres parties prenantes et de proposer un tel pacte .

UNHCR: But what counts as forced or involuntary in the UNHCR framework ? ||| Mais qu’ est -ce qui compte comme forcé ou involontaire dans le cadre de travail du HCR ?

UNHCR: By sharing of refugee data , the Government and UNHCR can plan properly for this integration . ||| En partageant les données sur les réfugiés , le gouvernement et le HCR peuvent planifier correctement cette intégration .

UNHCR: “ UNHCR considers the current situation in Central America to be a protection crisis . ||| « Le HCR considère la situation actuelle en Amérique centrale comme une crise de protection internationale .

UNHCR: “ It is worthwhile to remind UNHCR that its mandate is limited to refugees . ||| « Serait -il de trop de rappeler au UNHCR que son mandat se limite aux réfugiés ?

UNHCR: UNHCR does not examine asylum applications and , ||| Le HCR n’ examine pas les demandes d’ asile et ,

UNHCR: As shown by UNHCR figures , most displaced Iraqis refuse to be treated as refugees . ||| Comme le montrent les chiffres du HCR , la plupart des Irakiens déplacés refusent d' être traités comme réfugiés .

UNHCR: The IOM and UNHCR will provide specialised support at this stage . ||| L’ OIM et le HCR fourniront un appui spécialisé à ce stade .

UNHCR: UNHCR believes that humanitarian crises must ultimately be solved through political solutions . ||| Le HCR estime que les crises humanitaires doivent en fin de compte être résolues grâce à des solutions politiques .

UNHCR: We have often , in the history of UNHCR , been able to close offices and discontinue posts . ||| Nous avons souvent pu , dans l' histoire du HCR fermer des bureaux et supprimer des postes .

UNHCR: “ I call on the Italian Parliament to seek international expert opinion on this law from the Council of Europe and UNHCR before bringing it into force . ” ||| « J' invite le Parlement italien à demander l' avis d' experts internationaux sur cette loi auprès du Conseil de l' Europe et du HCR , avant de la faire entrer en vigueur » .

UNHCR: " The sustainability of an operation like this is always a challenge for UNHCR . ||| « La viabilité d' une telle opération est toujours un défi pour le HCR .

UNHCR: UNHCR is seeking appropriate solutions for Adia . ||| Le HCR cherche des solutions adaptées pour Adia .

UNHCR: UNHCR has so far provided 345 temporary shelter spaces for children alone . ||| Le HCR a fourni à ce jour 345 places d' hébergement temporaire pour les enfants seuls .

UNHCR: Sustainable return remains a long-term challenge that UNHCR and other humanitarian organizations are able to address only initially . ||| Un retour durable reste un défi à long terme auquel l' UNHCR et d' autres organisations humanitaires ne peuvent répondre que durant la phase initiale .

UNHCR: Based on UNHCR official positioning , Libya can not be considered as such . ||| Sur la base du positionnement officiel du HCR , la Libye ne peut être considérée comme telle .

UNHCR: OECD Observer : How significant is this new initiative between UNHCR and the OECD ? ||| L’ Observateur de l’ OCDE : Quelle est la portée de cette nouvelle initiative entre le HCR et l’ OCDE ?

UNHCR: In Dakar , UNHCR is constantly in contact with the Interior Ministry - in charge of coordinating the humanitarian response . ||| A Dakar , le HCR est constamment en contact avec le Ministère de l’ Intérieur - chargé de coordonner la réponse humanitaire .

UNHCR: Recently , the United Nations High Commissioner for Refugees ( UNHCR ) decided to implement a basic income for refugees,2 a strategy that will have positive consequences for their precarious economic and social situation . ||| Récemment , le Haut Commissariat des Nations unies pour les réfugiés ( HCR ) a décidé de mettre en place un revenu de base pour les réfugiés,2 une stratégie qui aura des conséquences positives sur leur précaire situation économique et sociale .

UNHCR: UNHCR will continue the distribution of relief materials in several locations this week . ||| Le HCR continuera à distribuer du matériel de secours dans plusieurs endroits cette semaine .

UNHCR: On the same day UNHCR sent an appeal to the 20 member states of the UN Refugee Fund Executive Committee stressing the importance of showing solidarity to the refugees and to Austria : ||| Le jour même , le HCR a lancé un appel à 20 États membres du Comité exécutif du fonds pour les réfugiés des Nations unies , insistant sur l’ importance de faire preuve de solidarité à l’ égard des réfugiés et de l’ Autriche :

UNHCR: Throughout this process , a big role was played by the UN Refugee Agency ( UNHCR ) , which makes an extraordinary effort to ensure that every migrant in Serbia has better conditions . ||| A travers ce processus , un rôle important a été joué par l' organisation des Nations Unies pour les réfugiés ( UNHCR ) qui fait un effort extraordinaire pour assurer que chaque migrant en Serbie ait de meilleures conditions de vie .

UNHCR: The most important actor in this respect is the UNHCR , because of its international mandate and the pivotal role it plays in resettlement worldwide . ||| L’ acteur le plus important à cet égard est l’ UNHCR , en raison de son mandat international et du rôle clé qu’ il joue dans le domaine de la réinstallation dans le monde entier .

UNHCR: " It is a relief for UNHCR and the displaced people staying at the airport site . ||| ” C’ est un soulagement pour le HCR et les personnes déplacées séjournant sur le site de l’ aéroport .

UNHCR: UNHCR has registered all 1 million children , giving them an identity . ||| Le HCR a immatriculé un million d’ enfants , leur donnant ainsi une identité .

UNHCR: She says : “ The first thing I ’ll do is pay off our debts and then we ’ll use this money to buy food . ” © UNHCR / Caroline Gluck ||| Elle dit : « La première chose que je vais faire , c' est rembourser nos dettes et ensuite nous utiliserons cet argent pour acheter de la nourriture » . © HCR / Caroline Gluck

UNHCR: Such outlets could and should be used to promote the UNHCR ’s message inside the camps . ||| Ces canaux pourraient et devraient être utilisés pour promouvoir le message de l’ UNHCR au sein des camps .

UNHCR: Because the UNHCR was supposed to deal with the integration and rehabilitation of refugees . ||| Parce que le HCR était censé s’ occuper de l’ intégration et de la réhabilitation des réfugiés .

UNHCR: Six months after the events a UNHCR official also told Human Rights Watch that the information available remains incomplete : ||| Six mois après les événements , un responsable du HCR a également déclaré à Human Rights Watch que les informations disponibles demeurent incomplètes :

UNHCR: UNHCR also received technical advice from other agencies . ||| Le HCR a bénéficié également de conseils techniques d' autres institutions .

UNHCR: We have given that space to help the UNHCR . ||| Nous avons accordé cet espace pour aider le HCNUR .

UNHCR: “ I get financial assistance from the UNHCR which allows me to live decently . ||| “ Je reçois une aide financière du HCR , qui me permet de vivre décemment .

UNHCR: However , the Safra Project 's 2004 report considers UNHCR 's report over-optimistic . ||| Cependant , le rapport 2004 du projet safra considère le rapport du hcr comme trop optimiste .

UNHCR: None had been allowed to speak with the United Nations High Commissioner for Refugees ( UNHCR ) to discuss possible refugee claims before being deported . ||| Aucun d' entre eux n' a été autorisé à s' entretenir avec le haut commissariat des nations unies pour les réfugiés ( hcr ) pour discuter d' éventuelles demandes d' asile avant d' être expulsé .

UNHCR: UNHCR has registered all one million children , giving them an identity . ||| Le HCR a enregistré un million d’ enfants , leur donnant ainsi une identité .

UNHCR: UNHCR has registered all one million children , giving them an identity . ||| Le HCR a enregistré un million d' enfants , leur donnant ainsi une identité .

UNHCR: I work for UNHCR , and we are waiting the shipment to reach Jordan , so requesting half quantities is not an option ||| Je travaille pour le HCR , et nous attendons la livraison pour atteindre la Jordanie , afin de demander des quantités de moitié est pas une option

UNHCR: Until then , UNHCR and its partners will continue their efforts to provide assistance and support to this population as long as we are able . ||| D' ici là , le HCR et ses partenaires poursuivront leurs efforts pour fournir une assistance et un soutien à cette population aussi longtemps que nous le pourrons .

UNHCR: ^ According to Amnesty International , Ukraine is not a safe country for asylum : [ 1 ] The UNHCR also asks not to return asylum seekers to Ukraine ||| ↑ Selon Amnesty international , l' Ukraine n' est pas un pays d' asile sûr : [ 1 ] ; Le HCR a aussi appelé à ne pas renvoyer de demandeurs d' asile vers l' Ukraine

UNHCR: For its part , UNHCR started in 1993 the repatriation of 1.3 million refugees . ||| Pour sa part , le HCR a commencé en 1993 , le rapatriement de 1,3 million de réfugiés .

UNHCR: The UNHCR confirms that the majority of refugees and asylum seekers fleeing the war in Ukraine have sought asylum in the Russian Federation ( 427 240 ) . ||| Le HCR confirme que la majorité des réfugiés et des demandeurs d' asile fuyant la guerre en Ukraine ont demandé l' asile en Fédération de Russie ( 427 240 ) .

UNHCR: This work is underpinned by the strengthening of several key alliances for UNHCR . ||| Ce travail est sous-tendu par le renforcement de plusieurs alliances majeures pour le HCR .

UNHCR: We were contacted by the United Nations High Commissioner for Refugees ( UNHCR ) with the request to provide internet access to refugee camps to be established in Greece to connect more than 400,000 refugees . ” ||| Nous avons été contactés par l' UNHCR ( le Haut Commissariat des Nations unies pour les réfugiés ) qui nous a demandé de fournir l' accès à l' internet dans les camps de réfugiés qui seront établis en Grèce en vue de connecter plus de 400?000 réfugiés . »

UNHCR: According to the UN ’s refugee agency , UNHCR , the adoption of the New York Declaration by 193 member states was a historic achievement . ||| Selon le Haut-Commissariat des Nations Unies pour les réfugiés ( HCR ) , l’ adoption de la Déclaration de New York par 193 États membres est un événement historique .

UNHCR: With UNHCR ’s operations in South Sudan funded at just 17 per cent , services and service quality are inevitably threatened . ||| Les programmes du HCR au Soudan du Sud étant financés à hauteur de seulement 17 pour cent , les services et leur qualité sont inévitablement menacés .

UNHCR: There is a growing consensus among concerned agencies , including UNHCR , that their use is to be avoided . ||| Il y a un consensus croissant parmi les organismes concernés , y compris le HCR , que leur utilisation doit être évitée .

UNHCR: Council of Europe and UNHCR urge Hungary to change tone over refugees ||| Le Conseil de l’ Europe et le HCR demandent instamment à la Hongrie de changer de ton à l’ égard des réfugiés

UNHCR: The UNHCR and its partners achieve important results : last year , more than 21 million people benefited from their assistance and protection programmes . ||| Le HCR et ses partenaires obtiennent des résultats importants : l’ an dernier , plus de 21 millions de personnes ont bénéficié d’ assistance ou de protection .

UNHCR: During 1981 , UNHCR continued to provide assistance to a large refugee population in Sudan . ||| En 1981 , le HCR a continué de fournir une assistance à un grand nombre de réfugiés au Soudan .

UNHCR: Several of the survivors have recounted to UNHCR their fight for survival at sea . ||| Plusieurs des survivants ont raconté au HCR leur lutte pour la survie en mer .

UNHCR: In response , UNHCR piloted a Comprehensive Refugee Response Framework ( CRRF ) in 14 countries . ||| En guise de réponse , le HCR a lancé un vaste Cadre d’ action global pour les réfugiés ( CRRF ) dans 14 pays .

UNHCR: They told him there was no UNHCR office in Guatemala . ||| Ils lui ont dit qu' il n' y avait pas de bureau du HCR au Guatemala .

UNHCR: With this regard , the ministry requests UNHCR to close its office in Tashkent within one month . " ||| Par conséquent , le ministère demande à l' UNHCR de fermer son bureau à Tachkent d' ici un mois » .

UNHCR: UNHCR also continues to monitor the situation of refugees and returnees on both sides of the border . ||| Le HCR continue également de surveiller la situation des réfugiés et des rapatriés des deux côtés de la frontière .

UNHCR: We 're really happy with our partnership with UNHCR – a Scout is a friend to all , and that includes with refugees . " ||| Nous sommes vraiment heureux de notre partenariat avec le HCR - un scout est un ami pour tous , et cela inclut les réfugiés . »

UNHCR: Since 1st June , the programme has been co-financed by UNHCR as part of a partnership agreement allowing its prolongation until the end of the year and its geographical extension . ||| Depuis le 1er juin , le programme est cofinancé par le HCR dans le cadre d’ un accord de partenariat permettant sa prolongation jusqu’ à la fin de l’ année et son extension géographique .

UNHCR: The UNHCR ( United Nations High Commissioner for Refugees ) card I possess only allows me to stay in Jakarta and its surrounding areas . ||| Ma carte de l’ UNHCR ( Haut Commissariat des Nations Unies pour les Réfugiés ) ne me permet de rester qu’ à Jakarta et dans ses environs .

UNHCR: This was the first time in weeks that UNHCR staff had been able to walk more or less freely among the blocks of Ifo 2 . ||| C' était la première fois depuis des semaines que des membres du personnel du HCR pouvaient parcourir à pied plus ou moins librement le camp d' Ifo 2 .

UNHCR: In the absence of a National Action Plan , UNHCR will continue to promote key Actions within the country concerned . ||| En l’ absence de Plan d’ action national , le HCR continuera de promouvoir des actions clés dans le pays concerné .

UNHCR: They did not need UNHCR to solve their problems , they had their families , there were hotels , they had whatever they needed and they returned about an hour after the cease-fire . ||| Ils n' avaient pas besoin de l' UNHCR pour résoudre leurs problèmes , ils avaient leur famille , il y avait des hôtels , ils avaient tout ce dont ils avaient besoin et ils sont rentrés chez eux une heure après le cessez-le-feu .

UNHCR: The rapporteur encourages further co-operation between the UNHCR and the Strasbourg organs in strengthening the Rule 39 mechanism . ||| Le rapporteur encourage la poursuite de la coopération entre le HCR et les organes de Strasbourg en vue de renforcer le mécanisme de l’ article 39 .

UNHCR: Finally , we had the opportunity to meet with key UNHCR actors , and we strongly hope that our recommendations will be included in the Global Compact . ||| Enfin nous avons eu l’ opportunité de rencontrer des acteurs clés du HCR , et nous espérons fortement que nos recommandations seront inclues dans le Global Compact .

UNHCR: The Greek government , Greek universities , UNHCR and NGOs working on education issues in Greece are all aware that many refugees are missing the required documents . ||| Le gouvernement grec , les universités grecques , le UNHCR et les ONG travaillant sur les questions d' éducation en Grèce sont tous conscients que de nombreux réfugiés n' ont pas les documents exigés .

UNHCR: Recently , the United Nations High Commissioner for Refugees ( UNHCR ) decided to implement a basic income for refugees2 , a strategy that will have positive consequences for their precarious economic and social situation . ||| Récemment , le Haut Commissariat des Nations unies pour les réfugiés ( HCR ) a décidé de mettre en place un revenu de base pour les réfugiés,2 une stratégie qui aura des conséquences positives sur leur précaire situation économique et sociale .

UNHCR: In association with the international community , the United Nations High Commissioner for Refugees ( UNHCR ) promotes three sustainable solutions for refugees : ||| En association avec la communauté internationale , le Haut Commissariat des Nations unies pour les réfugiés ( UNHCR ) fait la promotion de trois solutions durables pour les réfugiés :

UNHCR: The UNHCR and governments and NGOs of resettlement countries met in Geneva in late February at the Working Group on Resettlement . ||| Le HCR , les gouvernements et les ONG des pays de réinstallation se sont rencontrés à Genève à la fin février au Groupe de travail sur la réinstallation .

UNHCR: Since 1992 , UNHCR has spent millions of dollars to build or improve these community projects . ||| Depuis 1992 , le HCR a investi des millions de dollars dans la construction ou l' amélioration de ces projets communautaires .

UNHCR: “ More recently , together with UNHCR , we created the Olympic Refuge Foundation . ||| « Plus récemment , avec le HCR , nous avons créé la Fondation pour le refuge olympique .

