1file

Riddhis Riddhis | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 5637 | align_1: 8-10 | align_2: 9-18 | entity: Riddhis - Riddhis |    The Vibhutis of the Lord , Siddhis and Riddhis are theirs though they do not want them . ||| Die Vibhutis ( Gnade ) des Herrn , Siddhis und Riddhis ( acht / vier okkulte Kräfte ) gehören ihnen , obwohl sie sie nicht begehren . 
UdK UdK | w_freq: 2 - 2 | wiki_freq: 66 - 383 | sentence_idx: 899207 | align_1: 21-16 | align_2: 22-23 | entity: UdK - UdK |    … That ’s true , but I want to say to young artists : When I was still studying at the UdK , many thought that I was a very talented painter . ||| Das ist wahr , aber ich möchte jungen Künstlern sagen : Als ich noch an der UdK ( Universität der Künste ) studierte , dachten viele , dass ich eine sehr talentierte Malerin sei . 




SSG SSG | w_freq: 4 - 4 | wiki_freq: 1136 - 755 | sentence_idx: 29068 | align_1: 6-6 | align_2: 7-10 | entity: SSG - SSG |    Has the Secret Shadow Government ( SSG ) been hijacked by the Dracos and is it now serving their evil , anti-human Agenda ? ||| Wurde das Secret Shadow Government ( SSG , geheime Schattenregierung ) von den Dracos übernommen und dient sie nun ihrer bösen , menschenfeindlichen Agenda ? 

Seveso Seveso | w_freq: 4 - 4 | wiki_freq: 250 - 100 | sentence_idx: 315721 | align_1: 14-10 | align_2: 15-16 | entity: Seveso - Seveso |    In 1976 , large amounts of dioxins were released in an industrial accident at Seveso , although no immediate human fatalities or birth defects occurred . ||| 1976 wurden große Beträge von Dioxinen bei einem Industrieunfall an Seveso ( Seveso Katastrophe ) veröffentlicht , obwohl keine unmittelbaren menschlichen Schicksalsschläge oder Geburtsdefekte vorkamen . 

Agni Agni | w_freq: 6 - 8 | wiki_freq: 2349 - 241 | sentence_idx: 985418 | align_1: 8-4 | align_2: 9-15 | entity: Agni - Agni |    When Sita plunges into the sacrificial fire , Agni the lord of fire raises Sita , unharmed , to the throne , attesting to her purity . ||| Wenn Sita-Eintauchen ins Opferfeuer Agni ( * Hindu Gottheiten [ [ 50 ] ] ) der Herr des Feuers Sita , unversehrt zum Thron erhebt , für ihre Reinheit zeugend . 
