Internas Internas | w_freq: 1 - 1 | wiki_freq: 90 - 5 | sentence_idx: 224 | align_1: 13-14 | align_2: 14-19 | ner_entity: the Servicio de Rentas Internas-Servicio de Rentas Internas |    Secondly , we have greatly improved controls , and the Servicio de Rentas Internas has also improved a lot in terms of human resources . ||| Deuxièmement , nous avons beaucoup amélioré les contrôles , et le Servicio de Rentas Internas ( SRI ) s’ est aussi beaucoup amélioré en termes de ressources humaines .
Frontex Frontex | w_freq: 42 - 43 | wiki_freq: 232 - 180 | sentence_idx: 15783 | align_1: 6-7 | align_2: 7-11 | ner_entity: Frontex-Frontex |    " The two latest reports by Frontex show that joint surveillance operations with countries neighbouring the European Union ( EU ) are still a priority for its member states . ||| Les deux derniers rapports de l’ agence Frontex [ 1 ] montrent que les activités conjointes de surveillance avec les pays voisins de l’ Union européenne ( UE ) constituent toujours une priorité pour les États membres .

Talks Talks | w_freq: 33 - 9 | wiki_freq: 3794 - 139 | sentence_idx: 16569 | align_1: 4-4 | align_2: 5-12 | ner_entity: “ Table Talks-Tables Talks |    In his “ Table Talks ” he speaks jokingly of his sex relations with the mother of his six children . ||| Dans ses « Tables Talks » [ « propos de table » ] , il parle en plaisantant de ses relations sexuelles avec la mère de ses six enfants .

Karana Karana | w_freq: 5 - 2 | wiki_freq: 266 - 27 | sentence_idx: 16592 | align_1: 10-9 | align_2: 11-14 | ner_entity: Karana-Karana |    The question asked here is , “ What challenges did Karana face while alone in the wilderness ? ” ||| La question posée ici est : « Quels défis Karana a -t -elle fait face tout seul dans le désert ?

Keep Gardez | w_freq: 534 - 411 | wiki_freq: 13153 - 94 | sentence_idx: 16987 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-Gardez |    Keep water privatization away from our communities . ” ||| Gardez la privatisation de l’ eau loin de nos communautés » .

Lara Lara | w_freq: 36 - 34 | wiki_freq: 11677 - 4054 | sentence_idx: 17131 | align_1: 6-7 | align_2: 7-12 | ner_entity: Lara-Lara |    A question arose : how did Lara become the proud heroine we all know now ? ||| Une question est alors posée : comment Lara a -t -elle pu devenir la fière héroïne que nous connaissons tous ?

Nato Otan | w_freq: 32 - 103 | wiki_freq: 489 - 431 | sentence_idx: 22522 | align_1: 14-16 | align_2: 15-20 | ner_entity: Nato-Otan |    At the same time we are aware that accession to the European Union and Nato do not exclusively involve advantages . ||| Nous sommes en même temps conscients que l’ adhésion à l’ Union européenne et à l’ Otan , ce ne sont pas uniquement des avantages .

IFEA IFEA | w_freq: 1 - 1 | wiki_freq: 24 - 55 | sentence_idx: 26003 | align_1: 16-19 | align_2: 17-23 | ner_entity: IFEA-IFEA |    Inaccuracies and technical errors of the so-called “ experts ” prove that no specialist of the IFEA really addressed the issue . ||| Les imprécisions et les erreurs techniques des soi - disant « experts » prouvent qu’ aucun spécialiste de l’ IFEA ne s’ est réellement penché sur le dossier .

Abroad Suisses | w_freq: 31 - 41 | wiki_freq: 4324 - 2894 | sentence_idx: 29993 | align_1: 8-11 | align_2: 9-15 | ner_entity: none-Suisses |    This is not always easy for young Swiss Abroad . ||| Or , ce n’ est pas toujours simple pour les jeunes Suisses de l’ étranger .

Dawes)11 Dawes | w_freq: 1 - 3 | wiki_freq: 0 - 537 | sentence_idx: 35217 | align_1: 5-5 | align_2: 5-9 | ner_entity: Dawes)11-Dawes |    Someday Never Comes ( with Dawes)11 . ||| Someday Never Comes ( avec Dawes ( en ) )

Shift Shift | w_freq: 20 - 9 | wiki_freq: 4642 - 460 | sentence_idx: 35479 | align_1: 23-24 | align_2: 24-35 | ner_entity: “ Time and Global Shift-Time and Global Shift |    We actually spoke on the same stage at a conference I was doing in Portland in 2003 , called “ Time and Global Shift ” . ||| Nous avons parlé sur la même scène lors d’ une conférence que je faisais à Portland en 2003 , intitulée « Time and Global Shift » [ « Le Temps et le Changement Global » ] .

KIK KiK | w_freq: 1 - 1 | wiki_freq: 81 - 2 | sentence_idx: 35763 | align_1: 15-20 | align_2: 16-24 | ner_entity: KIK-KiK |    We can not build a sustainable supply chain in the garment industry if companies like KIK do not commit . ||| Nous ne pouvons pas construire une chaîne d’ approvisionnement durable dans l’ industrie de la confection si des entreprises comme KiK ne s’ y engagent pas .

Miduchi Miduchi | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 46366 | align_1: 3-2 | align_2: 4-6 | ner_entity: Miduchi-Miduchi |    To be a Miduchi is not to be pure , Tané . ||| Être une Miduchi , ce n’ est pas être pure , Tané .

Chica Chica | w_freq: 7 - 7 | wiki_freq: 1346 - 256 | sentence_idx: 51638 | align_1: 12-13 | align_2: 13-17 | ner_entity: Boca Chica-Boca Chica |    While many of their neighbours , who do n't live in Boca Chica year round , have taken the offer , they continue to try to negotiate . ||| Bien que beaucoup de leurs voisins , qui ne vivent pas dans Boca Chica long de l’ année , ont pris de l’ offre , ils continuent d’ essayer de négocier .

MacArthur MacArthur | w_freq: 12 - 12 | wiki_freq: 12628 - 1940 | sentence_idx: 52290 | align_1: 18-22 | align_2: 19-26 | ner_entity: MacArthur-MacArthur |    In 1945 , Americans knew that there was truly “ no substitute for victory , ” as General MacArthur said in his farewell speech to Congress . ||| En 1945 , les américains savaient qu' il y avait véritablement « aucun substitut à la victoire » , comme le général MacArthur l’ avait clairement dit dans son discours d' adieu au Congrès .

Canada16 Canada16 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 56316 | align_1: 13-18 | align_2: 14-23 | ner_entity: Canada16-Canada16 |    Post-tax income is generally considered to be a better measure of low-income in Canada16 for two reasons . ||| En effet , le revenu après impôt est généralement considéré comme une meilleure mesure du faible revenu au Canada16 , et ce , pour deux raisons .

Epstein Epstein | w_freq: 64 - 63 | wiki_freq: 8498 - 2042 | sentence_idx: 61510 | align_1: 5-4 | align_2: 6-8 | ner_entity: Jeffrey Epstein-Jeffrey Epstein |    6 : Why did Jeffrey Epstein tell guards that someone was trying to kill him ? ||| # 6 Pourquoi Jeffrey Epstein a -t -il dit aux gardes que quelqu’ un essayait de le tuer ?

An-148 An-148 | w_freq: 1 - 1 | wiki_freq: 75 - 12 | sentence_idx: 63147 | align_1: 5-6 | align_2: 6-10 | ner_entity: An-148-An-148 |    It is worth noting that An-148 is not a modification of An-74 , but an entirely new passenger aircraft . ||| Il convient de noter que le An-148 - ce n' est pas une modification de l' An-74 , et un avion de passagers complètement nouveau .

Maternity maternité | w_freq: 4 - 149 | wiki_freq: 2339 - 3645 | sentence_idx: 65340 | align_1: 25-26 | align_2: 26-31 | ner_entity: Female Workers ’ Maternity-none |    A little more than two months have passed since the entry into force in Cuba of Decree-Laws 339 and 340 , on Female Workers ’ Maternity and the Modification of Special Social Security Regimes with regard to maternity protection , respectively . ||| UN peu plus de deux mois se sont écoulés depuis l’ entrée en vigueur à Cuba des Décrets de Loi 339 et 340 : Sur la maternité de la travailleuse , et Modification des régimes spéciaux de la Sécurité sociale concernant la protection maternelle , respectivement .

Sabbath sabbat | w_freq: 199 - 118 | wiki_freq: 10374 - 807 | sentence_idx: 65867 | align_1: 5-5 | align_2: 6-11 | ner_entity: Sabbath-none |    Do you call it the Sabbath or the Lord 's Day ? ||| Allait -on le nommer «   sabbat   » , «   dimanche   » ou «   jour du Seigneur   »   ?

Risk Risk | w_freq: 119 - 16 | wiki_freq: 12467 - 525 | sentence_idx: 68039 | align_1: 9-9 | align_2: 10-23 | ner_entity: none-Outsourcing in China : Five Basics for Reducing Risk |    “ Outsourcing in China : Five Basics for Reducing Risk , ” Business and Law , February 2005 . ||| “ Outsourcing in China : Five Basics for Reducing Risk ” ( Sous-traiter en Chine : cinq clés pour réduire les risques ) , Business and Law , February 2005 .

Abkhazia Abkhasie | w_freq: 14 - 1 | wiki_freq: 6331 - 5 | sentence_idx: 68133 | align_1: 18-18 | align_2: 19-22 | ner_entity: Abkhazia-Abkhasie |    I hope that these centers of education and culture of the Armenian people on the ancient land of Abkhazia will never go out . ||| J' espère que ces foyers d' éducation et de culture du peuple arménien , sur cette antique terre Abkhasie , ne s' éteindront jamais .

E-165 E-165 | w_freq: 8 - 6 | wiki_freq: 2 - 0 | sentence_idx: 68358 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-165 |    E-165 Now , do n't let this Devil spray you with his education . ||| E-165 ( 112 ) Maintenant , ne laissez pas ce démon vous vaporiser avec son instruction .

Sigal Sigal | w_freq: 2 - 2 | wiki_freq: 294 - 72 | sentence_idx: 71258 | align_1: 15-23 | align_2: 16-27 | ner_entity: Johnny Sigal-Johnny Sigal |    He even put , instead of his head on camera , a video of Johnny Sigal found on YouTube ! ||| Il a même été jusqu’ à me mettre , à la place de sa tête à la caméra , une vidéo de Johnny Sigal que l’ on trouve sur YouTube !

07:44 79:44 | w_freq: 1 - 1 | wiki_freq: 17 - 0 | sentence_idx: 74734 | align_1: 0-0 | align_2: 1-7 | ner_entity: 07:44-none |    07:44 of thy lord . ||| 79:44 Son terme n’ est connu que de ton Seigneur ,

Syrians Syrien | w_freq: 205 - 20 | wiki_freq: 3109 - 454 | sentence_idx: 85559 | align_1: 0-1 | align_2: 1-6 | ner_entity: Syrians-Syrien |    Syrians have refused to bow under pressure because they have n’t lost sight of their original cry for freedom . ||| Les Syrien - ne - s ont refusé de se plier sous la pression parce qu’ ils n’ ont pas perdu de vue leur cri original pour la liberté .

violating violant | w_freq: 88 - 32 | wiki_freq: 14055 - 556 | sentence_idx: 86334 | align_1: 15-16 | align_2: 16-21 | ner_entity: none-États violant le droit de l’ Union |    Massive filing of complaints before the European Commission with more than 60 NGOs against States violating EU law ( June 2018 ) ||| Dépôt massifs de plaintes devant la Commission européenne avec plus de 60 associations contre les États violant le droit de l’ Union ( juin 2018 )

Funds Fonds | w_freq: 76 - 524 | wiki_freq: 5581 - 9501 | sentence_idx: 87379 | align_1: 5-4 | align_2: 6-10 | ner_entity: none-Fonds fiduciaires pour la conservation |    ( G ) Conservation Trust Funds affirm themselves as effective means to ensuring the sustainability of activities and impacts on conservation . ||| ( g ) Les Fonds fiduciaires pour la conservation s’ affirment en tant que moyens efficaces pour garantir la durabilité des activités et impacts sur la conservation .

Limbs Limbs | w_freq: 2 - 2 | wiki_freq: 487 - 37 | sentence_idx: 91271 | align_1: 10-11 | align_2: 11-15 | ner_entity: Life Without Limbs-Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe - 800,000 people in the streets of Kyiv Ukraine ! ||| « Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine !

Beings Êtres | w_freq: 66 - 67 | wiki_freq: 777 - 101 | sentence_idx: 91423 | align_1: 20-23 | align_2: 21-28 | ner_entity: none-Êtres nobles |    For the first time since you were permitted to enter limited consciousness , you are to be acknowledged as worthy Beings by your former ‘ masters . ’ ||| Pour la première fois depuis que vous avez eu la permission d’ entrer dans la conscience limitée , vous serez reconnus comme des Êtres nobles , de la part de vos anciens « maîtres » .

Dürer Dürer | w_freq: 3 - 3 | wiki_freq: 2336 - 1704 | sentence_idx: 95947 | align_1: 2-1 | align_2: 3-6 | ner_entity: Dürer-Dürer |    Why did Dürer not finish the rest of the work ? ||| Pourquoi Dürer n’ a -t -il pas achevé le reste de l’ œuvre ?

Allah Allah | w_freq: 659 - 741 | wiki_freq: 12189 - 3093 | sentence_idx: 96083 | align_1: 12-17 | align_2: 13-21 | ner_entity: none-Allah |    This is the pleasure of the present world ’s life ; but Allah has the excellent Return ( Paradise with flowing rivers . etc . ) ” ||| Telle est la provision de la vie d’ ici - bas ; mais c’ est auprès d’ Allah qu’ il y a un excellent endroit de retour . »

PWA PWA | w_freq: 11 - 12 | wiki_freq: 926 - 77 | sentence_idx: 98660 | align_1: 6-6 | align_2: 7-13 | ner_entity: PWA-PWA |    Support the Palestinian Water Authority ( PWA ) on institutional and governance issues ; ||| soutenir la Palestinian Water Authority ( PWA , Autorité palestinienne de l’ eau ) sur les enjeux institutionnels et de gouvernance ;

Achor Acor | w_freq: 3 - 3 | wiki_freq: 96 - 5 | sentence_idx: 99547 | align_1: 12-15 | align_2: 13-19 | ner_entity: Achor-Acor |    Therefore the name of that place has been called the valley of Achor to this day . " ||| C’ est pourquoi on a appelé le nom de ce lieu - làla vallée d’ Acor * , jusqu’ à ce jour .

Need Avez | w_freq: 228 - 844 | wiki_freq: 13539 - 204 | sentence_idx: 100011 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Avez |    Need ideas on how you can thank a volunteer ? ||| Avez -vous besoin d’ idées sur les façons dont vous pouvez remercier un bénévole ?

Galilee Galilée | w_freq: 43 - 62 | wiki_freq: 5786 - 4585 | sentence_idx: 100807 | align_1: 11-10 | align_2: 12-15 | ner_entity: Galilee-Galilée |    How do you tell Christian fundamentalists that that lovely man from Galilee two thousand years ago was a part of that program ? ||| Comment dire aux Chrétiens Fondamentalistes que cet homme magnifique de Galilée , il y a deux mille ans , faisait partie de ce programme ?

Mama Maman | w_freq: 63 - 89 | wiki_freq: 12085 - 1437 | sentence_idx: 109488 | align_1: 4-6 | align_2: 5-11 | ner_entity: none-Maman |    I said , " Mama may not be able to walk with you down through there , but He will . " ||| 12 J’ ai dit : « Maman , peut-être , ne peut pas être en mesure de descendre avec vous là , mais Lui le pourra . »

Sakina Sakina | w_freq: 2 - 2 | wiki_freq: 332 - 118 | sentence_idx: 109589 | align_1: 2-2 | align_2: 3-6 | ner_entity: Bibi Sakina-Bibi Sakina |    When Bibi Sakina told Her dream , all the Holy Ladies ( A.S ) started to cry . ||| Quand Bibi Sakina ( a.s ) parla de son rêve , toutes les Saintes Dames ( a.s ) commencèrent à pleurer .

Prophet Prophète | w_freq: 250 - 185 | wiki_freq: 9638 - 1698 | sentence_idx: 116967 | align_1: 1-1 | align_2: 2-5 | ner_entity: Prophet-Prophète |    The Prophet replied , “ After this day , your father will suffer no more pain . ” ||| Le Prophète ( saw ) répondit : « Ton père ne connaîtra plus de souffrance après ce jour . »

Sustainability viabilité | w_freq: 68 - 113 | wiki_freq: 6069 - 1234 | sentence_idx: 118826 | align_1: 5-6 | align_2: 6-11 | ner_entity: none-Dialogue des entreprises sur la viabilité de l’ environnement |    A Business Dialogue for Environmental Sustainability also took place on Wednesday . ||| Un Dialogue des entreprises sur la viabilité de l’ environnement a également eu lieu mercredi .

Zack Zack | w_freq: 13 - 13 | wiki_freq: 8075 - 2419 | sentence_idx: 135103 | align_1: 9-9 | align_2: 10-13 | ner_entity: Zack-Zack |    " I do n’t know if that ’s what Zack and Chris [ Nolan ] are doing , but it looks like that ’s part of the idea and I could not be more thrilled to see that movie . ||| Je ne sais pas si c’ est ce que Zack [ Snyder ] et Chris [ Nolan ] sont en train de faire , mais ça ressemble à une partie de l’ idée et je ne pourrais pas être plus enthousiaste à l’ idée de voir ce film .

Abuse abus | w_freq: 19 - 505 | wiki_freq: 6165 - 11908 | sentence_idx: 136160 | align_1: 21-22 | align_2: 22-27 | ner_entity: National Institute on Drug Abuse-Institut national américain pour l’ abus des drogues |    If this sounds like the classic symptoms of addiction , well….the head of the United States ’ National Institute on Drug Abuse agrees . ||| Si cela ressemble aux symptômes classiques de la dépendance , eh bien … le chef de l’ Institut national américain pour l’ abus des drogues est d’ accord .

Xingjian Xingjian | w_freq: 1 - 1 | wiki_freq: 129 - 67 | sentence_idx: 136166 | align_1: 1-1 | align_2: 2-6 | ner_entity: Gao Xingjian-Gao Xingjian |    Gao Xingjian was not like so many others a “ professional exile ” , always immersed in the past . ||| Gao Xingjian n ’ a pas été comme tant d ’ autres un « exilé professionnel » , toujours plongé dans le passé .

Prayer prière | w_freq: 115 - 1113 | wiki_freq: 14534 - 13969 | sentence_idx: 138586 | align_1: 4-2 | align_2: 5-7 | ner_entity: the Lord 's Prayer-none |    In the Lord 's Prayer we say : ||| Dans la prière du Notre Père , nous disons :

Sanur Sanur | w_freq: 2 - 2 | wiki_freq: 219 - 26 | sentence_idx: 140627 | align_1: 6-7 | align_2: 7-12 | ner_entity: Sanur-Sanur |    Rumah Aspirasi created his own in Sanur ten years ago out of concern for the environment . ||| Rumah Aspirasi a créé la sienne à Sanur , il y a dix ans par souci pour l’ environnement .

ISTP ISTP | w_freq: 1 - 1 | wiki_freq: 49 - 66 | sentence_idx: 140800 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-ISTP |    ISTP You rarely worry about anything anyway , this is no surprise . ||| ISTP De toute façon , vous vous inquiétez rarement de quoi que ce soit , ce n' est pas une surprise .

Himself Lui | w_freq: 320 - 1192 | wiki_freq: 2348 - 8176 | sentence_idx: 142513 | align_1: 12-10 | align_2: 13-18 | ner_entity: Jesus Himself-Jésus Lui |    We can begin with a simple question : how long did Jesus Himself say that He would be in the tomb ? ||| Commençons par une question basique : combien de temps Jésus Lui - même a - t - Il dit qu’ Il resterait dans le tombeau ?

Parliamentarians parlementaires | w_freq: 27 - 348 | wiki_freq: 2559 - 14882 | sentence_idx: 143661 | align_1: 5-3 | align_2: 6-8 | ner_entity: Parliamentarians-none |    “ We , the undersigned Parliamentarians met on April 19th at the World Bank . ||| « Nous , parlementaires signataires , nous sommes réunis le 19 avril à la Banque mondiale .

OECD OCDE | w_freq: 278 - 270 | wiki_freq: 6560 - 2334 | sentence_idx: 145763 | align_1: 3-2 | align_2: 4-7 | ner_entity: OECD-OCDE |    What can the OECD as an organisation contribute to the Bali road map ? ||| Comment l’ OCDE peut -elle , en tant qu’ organisation , contribuer à la feuille de route de Bali ?

Bugg Bugg | w_freq: 1 - 1 | wiki_freq: 555 - 52 | sentence_idx: 147684 | align_1: 1-1 | align_2: 2-6 | ner_entity: Jake Bugg-Jake Bugg |    Jake Bugg " There 's a Beast and We All Feed it " ||| Jake Bugg : un nouveau titre « There’ s A Beast And We All Feed It »

Giovannoni Giovannoni | w_freq: 1 - 1 | wiki_freq: 69 - 75 | sentence_idx: 149313 | align_1: 7-7 | align_2: 8-11 | ner_entity: Christophe Giovannoni-Christophe Giovannoni |    Two sad news to conclude : Christophe Giovannoni passed away at the end of September . ||| Deux tristes nouvelles pour terminer : Christophe Giovannoni s’ en est allé fin septembre .

UNHCR HCR | w_freq: 142 - 132 | wiki_freq: 2768 - 575 | sentence_idx: 153845 | align_1: 1-7 | align_2: 2-13 | ner_entity: UNHCR-HCR |    Read UNHCR ’s latest report on refugee education , Left Behind : Refugee Education in Crisis . ||| Pour lire le tout dernier rapport du HCR ( en anglais ) sur l’ éducation des réfugiés , Left Behind : Refugee Education in Crisis .

Jobs jobs | w_freq: 128 - 32 | wiki_freq: 7147 - 207 | sentence_idx: 154746 | align_1: 2-1 | align_2: 3-6 | ner_entity: Steve Jobs-Steve jobs |    Was Steve Jobs a positive influence on our world ? ||| Steve jobs a -t -il eu une influence positive sur notre monde ?

Regions Régions | w_freq: 93 - 53 | wiki_freq: 11151 - 2849 | sentence_idx: 155028 | align_1: 6-5 | align_2: 7-11 | ner_entity: The Council of European Municipalities and Regions-Conseil des Communes et Régions d’ Europe |    The Council of European Municipalities and Regions offers 14 ways to improve cohesion policy for the future . ||| Le Conseil des Communes et Régions d’ Europe ( CCRE ) offre 14 façons d’ améliorer la politique de cohésion pour l’ avenir .

HDP HDP | w_freq: 19 - 19 | wiki_freq: 1445 - 226 | sentence_idx: 157584 | align_1: 5-5 | align_2: 6-10 | ner_entity: HDP-HDP |    We do not support the HDP in the election , but we have links in solidarity with them on the streets . ||| Nous ne supportons pas le HDP [ parti pro-kurde ] aux élections , mais nous avons des liens de solidarité avec eux dans les rues .

PARAMETERS Paramètres | w_freq: 1 - 9 | wiki_freq: 2 - 336 | sentence_idx: 158233 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Paramètres |    GAS PARAMETERS Gas consumption : * * * Dimensions in cm . ||| Paramètres du gaz : Consommation de gaz : * * * Dimensions in cm .

Conventions Conventions | w_freq: 83 - 49 | wiki_freq: 4960 - 752 | sentence_idx: 158252 | align_1: 5-4 | align_2: 6-9 | ner_entity: the UN Conventions-Conventions de l’ ONU |    This also contravenes the UN Conventions on religious freedom and civil rights , which Beijing signed on 5 October 1998 , but has never ratified . ||| Cela contrevient également aux Conventions de l’ ONU en matière de liberté religieuse et de droits civiques que Pékin a pourtant signées le 5 octobre 1998 mais n’ a jamais ratifiées .

2/3/4/ 2/3/4/ | w_freq: 2 - 2 | wiki_freq: 0 - 3 | sentence_idx: 160579 | align_1: 7-10 | align_2: 8-14 | ner_entity: Populous and Ateliers 2/3/4/-none |    The proposal made by Populous and Ateliers 2/3/4/ proved to be the most suitable to meet the objectives that we have set for the medium and long term . ||| La proposition faite par ' Populous ' et ' Ateliers 2/3/4/ ' s’ est révélée être la plus adaptée pour répondre aux objectifs que nous nous sommes fixés à moyen et long termes .

Qur’an Coran | w_freq: 82 - 328 | wiki_freq: 541 - 7889 | sentence_idx: 166578 | align_1: 7-9 | align_2: 8-15 | ner_entity: none-Coran |    43:3 We have made it an Arabic Qur’an that perchance you may understand . ||| - Qur' an 43:3 Nous en avons fait un Coran en langue arabe , afin que vous en saisissiez le sens .

Rhee Rhee | w_freq: 2 - 2 | wiki_freq: 1941 - 349 | sentence_idx: 171504 | align_1: 17-23 | align_2: 18-27 | ner_entity: Jhoon Rhee-Jhoon Rhee |    Ironically , few people — in America or his native South Korea — know much about Jhoon Rhee other than the aforementioned points . ||| Ironiquement , peu de gens – en Amérique ou en Corée du Sud , son pays natal – en savent beaucoup sur Jhoon Rhee , à l’ exception des points susmentionnés .

Zack Zack | w_freq: 13 - 13 | wiki_freq: 8075 - 2419 | sentence_idx: 171556 | align_1: 8-9 | align_2: 9-13 | ner_entity: Zack-Zack |    I do n’t know if that ’s what Zack and Chris [ Nolan ] are doing , but it looks like that ’s part of the idea and I could not be more thrilled to see that movie . ||| Je ne sais pas si c’ est ce que Zack [ Snyder ] et Chris [ Nolan ] sont en train de faire , mais ça ressemble à une partie de l’ idée et je ne pourrais pas être plus enthousiaste à l’ idée de voir ce film .

E-162 E-162 | w_freq: 9 - 8 | wiki_freq: 0 - 1 | sentence_idx: 174227 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-162 |    E-162 He could identify himself ; he had the message of the hour . ||| E-162 ( 151 ) Il pouvait s' identifier ; il avait le Message de l' heure .

1782/2003 1782/2003 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 174504 | align_1: 5-8 | align_2: 6-12 | ner_entity: 1782/2003-none |    ( 3 ) Under Regulation 1782/2003 it is not possible to introduce a claim for less than 10 ewes and/or goats . ||| ( 2 ) En application du règlement no 1782/2003 du Conseil , il n' est pas possible d' introduire une demande portant sur moins de dix brebis et / ou chèvres .

CDs CDs | w_freq: 53 - 16 | wiki_freq: 14414 - 135 | sentence_idx: 177981 | align_1: 21-21 | align_2: 22-27 | ner_entity: none-CDs |    In any case , for the vast majority of people , these protection technologies would effectively destroy the archiving use of CDs . ||| Dans tous les cas , pour la vaste majorité des gens , ces technologies de protection détruiraient effectivement l' utilisation des CDs à des fin d’ archivage .

Secure Secure | w_freq: 52 - 30 | wiki_freq: 3728 - 354 | sentence_idx: 181384 | align_1: 5-5 | align_2: 6-16 | ner_entity: Keeping Your Client 's Information Secure-Keeping Your Client' s Information Secure |    Keeping Your Client 's Information Secure , published in the Summer 2011 issue of our Loss Prevention Bulletin ; ||| Keeping Your Client' s Information Secure ( Assurer la sécurité des informations de votre client ) , publié dans le numéro d’ été 2011 de notre Bulletin de prévention des pertes ;

Volcom Volcom | w_freq: 1 - 1 | wiki_freq: 231 - 61 | sentence_idx: 186053 | align_1: 9-11 | align_2: 10-16 | ner_entity: Volcom-Volcom |    I think all brands should be as conscious as Volcom . ||| Je crois que toutes les marques devraient être aussi conscientes que Volcom , à ce sujet .

Reason Reason | w_freq: 81 - 12 | wiki_freq: 8606 - 611 | sentence_idx: 187272 | align_1: 6-7 | align_2: 7-14 | ner_entity: The Age of Reason-The Age of Reason |    When I read The Age of Reason by Thomas Paine , I was then convinced that Christianity was a false religion . ||| Quand j' ai lu The Age of Reason ( l’ Âge de Raison ) de Thomas Paine , j' étais alors convaincu que le Christianisme était une fausse religion .

FECRIS FECRIS | w_freq: 3 - 3 | wiki_freq: 33 - 11 | sentence_idx: 189476 | align_1: 6-10 | align_2: 7-16 | ner_entity: none-FECRIS |    The question is “ How can FECRIS be financed by the French State and support such activities in Russia ? ” ||| La question qui se pose est : « Comment la FECRIS peut -elle à la fois être financée par l' Etat français et soutenir de telles activités en Russie ? »

HARVEST RÉCOLTE | w_freq: 3 - 2 | wiki_freq: 9 - 0 | sentence_idx: 189926 | align_1: 3-6 | align_2: 4-12 | ner_entity: none-LA RÉCOLTE |    WHAT ABOUT THE HARVEST 25,000 YEARS AGO ( the end of the 2nd cycle ) ||| QU’ EN EST -IL DE LA RÉCOLTE D’ IL Y A 25 000 ANS ( fin du 2e cycle )

Seeking Partir | w_freq: 29 - 26 | wiki_freq: 4720 - 249 | sentence_idx: 191174 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Partir |    Seeking a new ontology is a long-term strategy , but this is where I choose to situate my artistic practice . ” ||| Partir en quête d’ une nouvelle ontologie est une stratégie à long terme , mais c’ est à cet endroit que je choisis d’ installer ma pratique artistique . »

