Directive directive | w_freq: 748 - 961 | wiki_freq: 8800 - 10212 | sentence_idx: 2541 | align_1: 17-21 | align_2: 18-28 | entity: Article 11 of the Copyright Directive - none |    Furthermore , we highlight the possibility of the EU legislation and notably Article 11 of the Copyright Directive to draw from the previous experience of the very similar national legislation in Germany , which failed to give satisfactory results . ||| En outre , nous soulignons le risque que la législation de l’ UE , et notamment l’ article 11 de la directive sur le droit d’ auteur , puisse s’ inspirer de l’ expérience antérieure de la législation nationale très similaire en Allemagne , qui n’ a pas donné des résultats satisfaisants . 
Thursdays Jeudis | w_freq: 10 - 1 | wiki_freq: 4510 - 114 | sentence_idx: 44288 | align_1: 14-18 | align_2: 15-23 | entity: Innovation Thursdays - Jeudis de l’ innovation |    It can also be defined as interesting activities like weekly meetups ( or Innovation Thursdays as they like to call it ) . ||| Il peut également se définir par des activités intéressantes , comme des rencontres hebdomadaires ( ou les « Jeudis de l’ innovation » comme ils aiment les appeler ) . 

Israelis Israéliens | w_freq: 603 - 598 | wiki_freq: 6972 - 1730 | sentence_idx: 48265 | align_1: 1-2 | align_2: 2-7 | entity: Israelis - Israéliens |    Many Israelis hope that Barack Obama will do for them what seems impossible without him : bring them peace . ||| Beaucoup d’ Israéliens , vraiment beaucoup , espèrent que Barack Obama fera pour eux ce qui semble impossible sans lui : leur apporter la paix . 

scriptures Écritures | w_freq: 97 - 202 | wiki_freq: 6312 - 1886 | sentence_idx: 60316 | align_1: 18-21 | align_2: 19-25 | entity: none - Écritures |    Now , let 's look at what George Fox said about All , ( his words agree with scriptures above ) . ||| Maintenant , regardons ce que George Fox a dit au sujet de TOUS , ( ses paroles s' accordent avec les Écritures citées ci - dessus ) . 

Q. Q | w_freq: 326 - 1019 | wiki_freq: 6036 - 6432 | sentence_idx: 61569 | align_1: 0-0 | align_2: 1-6 | entity: none - Q |    Q. Not long ago you baptized the daughter of a lesbian couple . ||| Q : Il n’ y a pas longtemps vous avez baptisé la fille d’ un couple lesbien . 

Savior Sauveur | w_freq: 98 - 154 | wiki_freq: 3102 - 2454 | sentence_idx: 62616 | align_1: 1-1 | align_2: 2-6 | entity: Savior - Le Sauveur de l’ humanité |    Our Savior was “ despised and rejected of men . ” ||| Le Sauveur de l’ humanité devait être “ méprisé et rejeté des hommes , … / … 

Medjugorje Medjugorje | w_freq: 43 - 43 | wiki_freq: 433 - 61 | sentence_idx: 63227 | align_1: 8-13 | align_2: 9-20 | entity: Medjugorje - Medjugorje |    He told me while the bus was entering Medjugorje something happened with him . ||| Il m' a dit qu' au moment même où le bus entrait à Medjugorje , il s' est passé quelque chose en lui . 

BBQ BBQ | w_freq: 11 - 9 | wiki_freq: 1769 - 71 | sentence_idx: 67347 | align_1: 1-1 | align_2: 2-5 | entity: BBQ - BBQ |    The BBQ has been tried and failed - as soon as the event is over the criminals just go back to business as usual . ||| Le BBQ ( barbecue ) a été essayé et échoué - dès que l' événement sera au-dessus des criminels retournent juste aux affaires comme d' habitude . 

Correa Correa | w_freq: 7 - 7 | wiki_freq: 4222 - 986 | sentence_idx: 67851 | align_1: 13-14 | align_2: 14-20 | entity: Rafaël Correa - Rafaël Correa |    The question is : if it did take place , when was Rafaël Correa aware of the CIA 's intervention via UC Global ? ||| La question serait plutôt : si elle a bien eu lieu , quand Rafaël Correa a -t -il été au courant de l’ intervention de la CIA via UC Global ? 

Macina Macina | w_freq: 2 - 2 | wiki_freq: 143 - 347 | sentence_idx: 69101 | align_1: 7-5 | align_2: 8-9 | entity: Macina - Macina |    As a result , the people of Macina testified that their animals began to cross the river , which had not been possible for three years . ||| Aussi , les populations de Macina ont - elles témoigné que leurs animaux ont commencé à traverser le fleuve , ce qui n’ était pas possible depuis trois ans . 

Suspended Suspendue | w_freq: 8 - 3 | wiki_freq: 1151 - 59 | sentence_idx: 69345 | align_1: 7-7 | align_2: 8-11 | entity: none - Aura Une Douche Suspendue |    This Cruise Ship Will Have a Shower Suspended Over the Sea ||| Ce Bateau De Croisière Aura Une Douche Suspendue Au - Dessus De La Mer 

N145 N145 | w_freq: 1 - 1 | wiki_freq: 22 - 30 | sentence_idx: 70249 | align_1: 15-12 | align_2: 16-17 | entity: N145 - N145 |    Therefore , the French themselves often prefer to get to Andorra via Spain on the N145 . ||| Ainsi , les Français mêmes préfèrent souvent arriver en Andorre par la N145 à travers l’ Espagne . 

Hermans Hermans | w_freq: 1 - 1 | wiki_freq: 645 - 274 | sentence_idx: 71968 | align_1: 13-15 | align_2: 14-19 | entity: Hermans - Hermans |    Birds fly there only three times a year ; they are called “ Hermans ” and resemble our bullfinches . ||| Les oiseaux n’ y volent que trois fois par an ; On les appelle " Hermans [ Germains ] " et ils ressemblent à nos bouvreuils . 

Albanians Albanais | w_freq: 28 - 31 | wiki_freq: 9918 - 2887 | sentence_idx: 73000 | align_1: 35-41 | align_2: 36-46 | entity: Kosovo Albanians - Albanais |    We argued consistently that it would be impossible , after that , to tell the Abkhazians and Ossetians ( and dozens of other groups around the world ) that what was good for the Kosovo Albanians was not good for them . ||| « Nous avons dit régulièrement qu’ il serait impossible , après cela , de dire aux Abkhazes et aux Ossètes ( et à des dizaines d’ autres communautés dans le monde entier ) que ce qui a été bon pour les Albanais du Kosovo ne l’ est pas pour eux . 

10/2011 10/2011 | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 77306 | align_1: 13-16 | align_2: 14-20 | entity: 10/2011 - none |    Even before the European rules such as regulation EC 1935/2004 and regulation EU 10/2011 came into force , the FDA regulation already existed in the United States of America . ||| Même avant que les règles européennes , comme le règlement CE 1935/2004 et le règlement UE 10/2011 , ne soient entrées en vigueur , le règlement FDA existait déjà aux États-Unis . 

Skin Skin | w_freq: 43 - 20 | wiki_freq: 9388 - 813 | sentence_idx: 78826 | align_1: 10-9 | align_2: 11-13 | entity: the Supergroup Skin - Skin |    Since 2008 , he is also part of the Supergroup Skin only as a guitarist but this one only made a concert in Los Angeles . ||| Depuis 2008 , il fait également partie du supergroupe Skin ( groupe ) seulement en tant que guitariste mais celui-ci n' a fait qu' un concert à Los Angeles . 

Friedensgebete Friedensgebete | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 79492 | align_1: 2-2 | align_2: 3-9 | entity: Friedensgebete - Friedensgebete |    But the Friedensgebete continued to grow and by the spring , the authorities saw the prayer meetings as a threat . ||| Mais la Friedensgebete ( prière pour la paix ) continua de croître et , au printemps , les autorités considéraient les réunions de prière comme une menace . 

E-260 E-260 | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 81314 | align_1: 0-0 | align_2: 1-4 | entity: none - E-260 |    E-260 Now just take a look at yourself in God 's mirror , and just see if you can identify yourself tonight . ||| E-260 ( 190 ) Maintenant jetez simplement un regard sur vous - même à travers le miroir de Dieu et voyez si seulement vous pouvez vous identifier ce soir . 

GS GS | w_freq: 23 - 23 | wiki_freq: 4101 - 1301 | sentence_idx: 89721 | align_1: 11-11 | align_2: 12-16 | entity: GS - GS |    This begs the obvious question that goes unanswered ; why was GS targeted ? ||| Cela pose la question évidente qui reste sans réponse ; Pourquoi GS a -t -il été ciblé ? 

mid-December mi-décembre | w_freq: 15 - 13 | wiki_freq: 3448 - 1550 | sentence_idx: 91399 | align_1: 7-10 | align_2: 8-15 | entity: mid-December - none |    A trip to Turkey and Israel in mid-December impressed on me the surprisingly weak position of being a mere prime minister in both countries . ||| Un voyage en Turquie et en Israël , à la mi-décembre , m' a bien fait comprendre la position étonnamment faible de simple Premier ministre dans les deux pays . 

Please Veuillez | w_freq: 1184 - 513 | wiki_freq: 10571 - 98 | sentence_idx: 93128 | align_1: 2-2 | align_2: 3-9 | entity: none - Veuillez |    A : Please read or download the simple but detailed instructions on how to proceed . ||| A : Veuillez , s’ il vous plaît , lire ou télécharger les instructions , simples mais détaillées sur la façon de procéder . 

Protectors Protecteurs | w_freq: 8 - 7 | wiki_freq: 654 - 78 | sentence_idx: 93526 | align_1: 13-16 | align_2: 14-22 | entity: none - Protecteurs de l’ Eau |    And , as Morton County has made clear , so long as Water Protectors pray and demonstrate , it will continue to perpetrate violence on this community . ||| Et , comme le Comté de Morton l’ a clairement fait savoir , tant que les Protecteurs de l’ Eau continueront à prier et manifester , ils continueront à employer la violence contre la communauté . 

Epics Epics | w_freq: 5 - 6 | wiki_freq: 440 - 9 | sentence_idx: 94220 | align_1: 3-5 | align_2: 4-9 | entity: none - Epics |    In XP , Epics are vulgarly “ Big user-stories ” and nothing more . ||| Dans l’ XP , les Epics ( Epopées ) sont vulgairement des “ Big user - stories ” et rien de plus . 

Merkel Merkel | w_freq: 196 - 191 | wiki_freq: 4594 - 1464 | sentence_idx: 95145 | align_1: 3-2 | align_2: 4-7 | entity: Merkel - Mme Merkel |    Why is Mrs Merkel silent about reality in Eastern Europe … ||| Pourquoi Mme Merkel passe -t -elle sous silence la situation en Europe orientale … 

E-62 E-62 | w_freq: 27 - 28 | wiki_freq: 2 - 1 | sentence_idx: 95264 | align_1: 0-0 | align_2: 1-4 | entity: none - E-62 |    E-62 Now , another great seed was planted . ||| E-62 ( 100 ) Maintenant , une autre grande Semence fut plantée . 

Fora Fora | w_freq: 3 - 4 | wiki_freq: 845 - 322 | sentence_idx: 99942 | align_1: 40-42 | align_2: 41-50 | entity: Juiz de Fora - Holy House of Juiz de Fora |    “ First , I wish to thank God for the fact that I am alive , that a truly miraculous operation was done ( on me ) by the hands of the professionals of the Holy House of Juiz de Fora ( hospital ) . ||| «   En premiers lieux , je veux remercier Dieu pour le fait que je sois toujours vivant , qu’ une opération vraiment miraculeuse ait été faite ( sur moi ) par les mains des professionnels de la Holy House of Juiz de Fora [ Maison Sainte de Juiz de Fora ( hôpital)]. 

Gavi Gavi | w_freq: 13 - 12 | wiki_freq: 335 - 165 | sentence_idx: 102095 | align_1: 0-0 | align_2: 1-6 | entity: Gavi - Gavi |    Gavi only contributed 50 % of the cost of the vaccine during the first year of introduction . ||| Gavi n’ a contribué qu’ à hauteur de 50 % du coût du vaccin au cours de la première année d’ introduction . 

Myself Moi | w_freq: 34 - 676 | wiki_freq: 4840 - 3936 | sentence_idx: 103251 | align_1: 12-17 | align_2: 13-21 | entity: none - Moi |    " I am the all-existence One Who has created something off of Myself to be a son of Mine , or a temporary , or an amateur little one of Mine . " ||| “ Je suis Celui par qui tout existe , J’ ai créé quelque chose à partir de Moi - même , pour en faire Mon fils , ou un de Mes petits , temporairement , de façon amateur . ” 

Isaiah Ismaël | w_freq: 37 - 14 | wiki_freq: 7747 - 1392 | sentence_idx: 107935 | align_1: 12-13 | align_2: 13-17 | entity: Isaiah - Ismaël |    God calling to repentance the children of Israel at the time of Isaiah . ||| Ainsi Dieu délivra les fils d' Israël de l' esclavage des enfants d' Ismaël ( Musulmans ) . 

Torso Torso | w_freq: 1 - 1 | wiki_freq: 570 - 91 | sentence_idx: 108485 | align_1: 7-8 | align_2: 8-12 | entity: the Turning Torso - Turning Torso |    But what is special about the Turning Torso is not so much its height as its strange architecture … The tower turns on itself at 90 degrees ! ||| Mais ce qui est particulier avec la Turning Torso , ce n’ est pas tant sa hauteur que son architecture étrange … La tour tourne sur elle-même à 90 degrés ! 

M102 M102 | w_freq: 1 - 1 | wiki_freq: 129 - 58 | sentence_idx: 109260 | align_1: 12-13 | align_2: 13-19 | entity: none - M102 |    It appears not necessarily obvious that this is the same object as M102 described above . ||| il n' est pas forcément évident que ceci soit le même objet que M102 , à partir de la description ci - dessus . 

Isa Isa | w_freq: 26 - 22 | wiki_freq: 7449 - 980 | sentence_idx: 109800 | align_1: 1-3 | align_2: 2-8 | entity: Isa - Isa |    ' Isa , son of Maryam , of high esteem in this world and the hereafter , and one of those brought near . " ||| : « ' Isa ( Jésus ) » , fils de Maryam ( Marie ) , illustre ici - bas comme dans l' au-delà , et l' un des rapprochés d' Allah . 

Maryam Maryam | w_freq: 25 - 22 | wiki_freq: 2582 - 690 | sentence_idx: 109800 | align_1: 5-11 | align_2: 6-15 | entity: Maryam - Maryam |    ' Isa , son of Maryam , of high esteem in this world and the hereafter , and one of those brought near . " ||| : « ' Isa ( Jésus ) » , fils de Maryam ( Marie ) , illustre ici - bas comme dans l' au-delà , et l' un des rapprochés d' Allah . 

ACP ACP | w_freq: 105 - 130 | wiki_freq: 3721 - 1041 | sentence_idx: 111667 | align_1: 12-18 | align_2: 13-22 | entity: ACP - ACP |    Thereafter , throughout the discussions , extending over a year , the ACP never negotiated otherwise than as a Group and spoke always with one voice . ||| Par la suite , au cours des discussions , qui ont duré plus d' un an , les ACP n’ ont plus jamais négocié autrement qu’ en tant que Groupe , et n’ ont eu de cesse de parler d' une seule voix . 

Cow vache | w_freq: 16 - 114 | wiki_freq: 7360 - 5238 | sentence_idx: 112668 | align_1: 12-13 | align_2: 13-17 | entity: Om and the Cow - none |    “ Modiji : Instead of politically charged statements on Om and the Cow worry about our Universities ! ||| “ Modiji : Au lieu de déclarations politiquement chargées sur Om et la vache , vous vous inquiétez pour nos universités ! 

Remember Souviens | w_freq: 1019 - 30 | wiki_freq: 9753 - 330 | sentence_idx: 114182 | align_1: 6-6 | align_2: 7-10 | entity: none - Souviens |    He has never said , “ Remember Sunday to keep it holy—and just call it the Lord 's day ! ” ||| Il n’ a jamais dit « Souviens - toi du dimanche pour le sanctifier — et appelle - le tout simplement le Jour du Seigneur ! » . 

Hillary Hillary | w_freq: 131 - 131 | wiki_freq: 13374 - 2089 | sentence_idx: 114248 | align_1: 0-0 | align_2: 1-4 | entity: Hillary - Hillary |    Hillary barely held on to her role and , and is now the champion for both Houses … not to mention the entire Deep State establishment . ||| Hillary s’ est à peine accrochée à son rôle et , à présent , elle est la championne des deux Maisons … sans parler de celle de tout l’ establishment du Deep State . 

Moriah Moriah | w_freq: 11 - 2 | wiki_freq: 946 - 111 | sentence_idx: 118301 | align_1: 6-4 | align_2: 7-9 | entity: Moriah - pays Moriah |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays Moriah et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . » 

Package paquet | w_freq: 48 - 369 | wiki_freq: 4368 - 3552 | sentence_idx: 118325 | align_1: 12-13 | align_2: 13-18 | entity: the Second Energy Package - none |    The Regional Initiatives aim at the correct implementation of the Second Energy Package and especially those parts of the acquis requiring cross-border coordination . ||| Les initiatives régionales ont pour objectif la mise en œuvre correcte du deuxième paquet sur l’ énergie , et notamment des parties de l’ acquis nécessitant une coordination transfrontalière . 

Maybe Peut | w_freq: 964 - 2242 | wiki_freq: 6736 - 3705 | sentence_idx: 119363 | align_1: 20-25 | align_2: 21-29 | entity: none - Peut |    Indeed , perhaps have you incorrectly identified the insect at home or did you take a product by chance … Maybe you purchased the wrong product ! ||| En effet , peut-être n’ avez -vous pas identifié correctement l’ insecte à la maison ou bien avez -vous pris un produit au hasard … Peut - être avez -vous le mauvais produit ! 

banning Interdire | w_freq: 64 - 12 | wiki_freq: 11760 - 17 | sentence_idx: 121473 | align_1: 1-0 | align_2: 2-5 | entity: none - Interdire |    Simply banning farming activities in cities – as has often been the case in the past – is not necessarily the best alternative . ||| Interdire d’ emblée les activités agricoles dans les villes , comme cela a souvent été le cas dans le passé , n' est pas nécessairement la meilleure alternative . 

Timor Timor | w_freq: 38 - 51 | wiki_freq: 13126 - 2558 | sentence_idx: 122125 | align_1: 7-8 | align_2: 8-12 | entity: East Timor - Timor |    Recognising the enormous challenges faced by East Timor we reaffirm our support for the efforts by people of East Timor to build a sustainable nation . ||| Conscients des énormes défis que doit affronter le Timor - Oriental , nous réaffirmons notre appui aux efforts du peuple timorais pour édifier une nation durable . 

yesterday hier | w_freq: 720 - 851 | wiki_freq: 3562 - 1775 | sentence_idx: 130545 | align_1: 5-5 | align_2: 6-9 | entity: yesterday - none |    We had a good car yesterday meaning that conditions were quite ideal for us in terms of balance and so on . ||| Nous avions une bonne voiture hier , ce qui signifiait que les conditions étaient assez idéales pour nous en termes d' équilibre et tout le reste . 

59:16 59:16 | w_freq: 3 - 3 | wiki_freq: 8 - 0 | sentence_idx: 135813 | align_1: 0-0 | align_2: 1-4 | entity: 59:16 - none |    59:16 Like the devil , when he says to the human being , ' Disbelieve . ' ||| 59:16 : ils sont semblables au Diable quand il dit à l' homme : ‹Sois incrédule›. 

753 753 | w_freq: 5 - 6 | wiki_freq: 1613 - 447 | sentence_idx: 137681 | align_1: 4-5 | align_2: 5-9 | entity: IATA Resolution 753 - none |    What is IATA Resolution 753 ? ||| En quoi consiste la résolution 753 de l’ IATA ? 

Margolis Margolis | w_freq: 4 - 4 | wiki_freq: 994 - 102 | sentence_idx: 138914 | align_1: 5-7 | align_2: 6-11 | entity: Margolis - Margolis |    I therefore also agree with Margolis that the Iranian oil industry can not be protected from a determined US / Israeli attack . ||| Je suis donc également d’ accord avec Margolis lorsqu’ il dit que l’ industrie pétrolière iranienne ne peut pas être protégée contre une attaque israélo - américaine déterminée . 

Refugees Réfugiés | w_freq: 85 - 14 | wiki_freq: 5214 - 467 | sentence_idx: 142921 | align_1: 14-7 | align_2: 15-12 | entity: the Office of the UN High Commissioner for Refugees - Haut-Commissariat aux Réfugiés des Nations - Unies |    According to a recent report by the Office of the UN High Commissioner for Refugees , migration remains a critical issue for all levels of governance in Council of Europe member states . ||| Selon un rapport récent du Haut-Commissariat aux Réfugiés des Nations - Unies , les migrations demeurent un problème critique pour tous les niveaux de gouvernance dans les Etats membres du Conseil de l’ Europe . 

E-15 E-15 | w_freq: 15 - 19 | wiki_freq: 34 - 6 | sentence_idx: 144371 | align_1: 0-0 | align_2: 1-4 | entity: none - E-15 |    E-15 Brother Oral 's starting some kind of a Bible school out there now , I believe , or something . ||| E-15 ( 14 ) Frère Oral ouvre une sorte d' école biblique là maintenant , je pense , ou quelque chose comme cela . 

Messina Messina | w_freq: 9 - 3 | wiki_freq: 7338 - 643 | sentence_idx: 147166 | align_1: 1-1 | align_2: 2-5 | entity: Chris Messina - Chris Messina |    Chris Messina , in 2007 , proposes to use a similar system on Twitte . ||| Chris Messina ( en ) , en 2007 , propose d' utiliser un système similaire sur Twitter . 

Argentines argentins | w_freq: 17 - 27 | wiki_freq: 1527 - 1959 | sentence_idx: 151057 | align_1: 3-3 | align_2: 4-10 | entity: Argentines - none |    59 % of Argentines agree nowadays that migrants should enjoy the same human rights as nationals , whether in health , education or access to justice.[5 ] ||| 59 % des argentins , à l’ heure actuelle s’ accordent à penser que les migrants devraient jouir des mêmes droits de l’ homme que les ressortissants nationaux , qu’ il s’ agisse de santé , d’ éducation ou d’ accès à la justice.[5 ] 

WASHINGTON WASHINGTON | w_freq: 6 - 6 | wiki_freq: 52 - 2 | sentence_idx: 152615 | align_1: 0-0 | align_2: 1-4 | entity: WASHINGTON - WASHINGTON |    WASHINGTON -- Americans are living longer than ever , but not as long as people in 41 other countries . ||| WASHINGTON ( AP ) -- Les Américains vivent plus longtemps que jamais , mais pas aussi longtemps que les habitants de 41 autres pays . 

Musa Moïse | w_freq: 14 - 459 | wiki_freq: 11287 - 6344 | sentence_idx: 154364 | align_1: 1-3 | align_2: 2-9 | entity: Musa - Moïse |    But Musa was alone . ||| Par contre , Moïse , quant à lui , est seul . 

Yalta Yalta | w_freq: 15 - 14 | wiki_freq: 2073 - 969 | sentence_idx: 156293 | align_1: 0-0 | align_2: 1-6 | entity: Yalta - Yalta |    Yalta was also not a historic necessity but a political decision of the great powers . ||| Yalta n’ a pas non plus été une nécessité historique mais une décision politique des Grands Trois . 

LORD Seigneur | w_freq: 155 - 2343 | wiki_freq: 627 - 10952 | sentence_idx: 157797 | align_1: 7-5 | align_2: 8-10 | entity: none - Seigneur |    Come , my soul , has the LORD given thee the morning star ? ||| « Mon âme , le Seigneur t’ a -t -il donné l’ étoile du matin ? 

Precaution Précaution | w_freq: 3 - 2 | wiki_freq: 114 - 74 | sentence_idx: 163391 | align_1: 5-5 | align_2: 6-10 | entity: Chebsko – Environmental Precaution - Précaution |    The ‘ Chebsko – Environmental Precaution ’ project includes three separate improvement works . ||| Le projet « Chebsko – Précaution en matière d’ environnement » regroupe trois travaux d’ amélioration distincts . 

Andalusia Andalousie | w_freq: 27 - 39 | wiki_freq: 6806 - 6159 | sentence_idx: 166445 | align_1: 10-11 | align_2: 11-15 | entity: Andalusia - Andalousie |    While continuing to support socialists at the regional level in Andalusia . ||| Tout en continuant de soutenir les socialistes au niveau régional en Andalousie ( sud ) . 

el-Azar-us us | w_freq: 1 - 28 | wiki_freq: 0 - 1248 | sentence_idx: 166778 | align_1: 8-13 | align_2: 9-21 | entity: el-Azar-us - none |    He performed miracles and raised one man , el-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

el-Azar-us Azar | w_freq: 1 - 3 | wiki_freq: 0 - 211 | sentence_idx: 166778 | align_1: 8-11 | align_2: 9-21 | entity: el-Azar-us - El - Azar |    He performed miracles and raised one man , el-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

98/56 98/56 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 171398 | align_1: 1-1 | align_2: 2-5 | entity: none - PR 98/56 Ci |    PR 98/56 Available in Italian only ||| PR 98/56 Ci - dessous disponible en italien seulement 

Ones Chers | w_freq: 54 - 183 | wiki_freq: 7641 - 122 | sentence_idx: 172638 | align_1: 5-5 | align_2: 6-11 | entity: none - Très Chers |    All is perfect , Dear Ones , please remember this and hold steady your Light . ||| Tout est parfait , Très Chers , s’ il vous plaît , souvenez -vous de cela et maintenez votre Lumière stable . 

What´s Qu’ | w_freq: 2 - 1165 | wiki_freq: 1 - 1116 | sentence_idx: 173262 | align_1: 4-4 | align_2: 5-9 | entity: What´s - none |    For the study ‘ What´s important on your CV ? ’ , Page Personnel interviewed 4,245 job candidates and 619 recruitment consultants across Europe . ||| Pour l’ étude « Qu’ est -ce qui est important dans votre CV ? » , Page Personnel a interviewé 4 245 postulants à un emploi et 619 conseillers en recrutement à travers l’ Europe . 

