Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 
Syrians Syriens | w_freq: 191 - 191 | wiki_freq: 3109 - 940 | sentence_idx: 40202 | align_1: 12-14 | align_2: 13-19 | entity: Syrians - Syriens |    “ There will also be an integrated military command so that the Syrians themselves can secure the liberation of their territory in a coherent way . ||| Il y aura également un commandement militaire intégré de façon à ce que les Syriens puissent , eux - mêmes , assurer la libération de leur territoire de manière cohérente . 

Jordanians Jordaniens | w_freq: 19 - 18 | wiki_freq: 653 - 155 | sentence_idx: 42759 | align_1: 14-14 | align_2: 15-19 | entity: Jordanians - Jordaniens |    Behind all of these demands and debate , lies a big question : are Jordanians ruling Jordan ? ||| Derrière toutes ces revendications et débats , se cache une grande question : les Jordaniens sont -ils ceux qui dirigent la Jordanie ? 

Thursdays Jeudis | w_freq: 10 - 1 | wiki_freq: 4510 - 114 | sentence_idx: 44288 | align_1: 14-18 | align_2: 15-23 | entity: Innovation Thursdays - Jeudis de l’ innovation |    It can also be defined as interesting activities like weekly meetups ( or Innovation Thursdays as they like to call it ) . ||| Il peut également se définir par des activités intéressantes , comme des rencontres hebdomadaires ( ou les « Jeudis de l’ innovation » comme ils aiment les appeler ) . 

Savior Sauveur | w_freq: 98 - 154 | wiki_freq: 3102 - 2454 | sentence_idx: 62616 | align_1: 1-1 | align_2: 2-6 | entity: Savior - Le Sauveur de l’ humanité |    Our Savior was “ despised and rejected of men . ” ||| Le Sauveur de l’ humanité devait être “ méprisé et rejeté des hommes , … / … 

Medjugorje Medjugorje | w_freq: 43 - 43 | wiki_freq: 433 - 61 | sentence_idx: 63227 | align_1: 8-13 | align_2: 9-20 | entity: Medjugorje - Medjugorje |    He told me while the bus was entering Medjugorje something happened with him . ||| Il m' a dit qu' au moment même où le bus entrait à Medjugorje , il s' est passé quelque chose en lui . 

BBQ BBQ | w_freq: 11 - 9 | wiki_freq: 1769 - 71 | sentence_idx: 67347 | align_1: 1-1 | align_2: 2-5 | entity: BBQ - BBQ |    The BBQ has been tried and failed - as soon as the event is over the criminals just go back to business as usual . ||| Le BBQ ( barbecue ) a été essayé et échoué - dès que l' événement sera au-dessus des criminels retournent juste aux affaires comme d' habitude . 

Correa Correa | w_freq: 7 - 7 | wiki_freq: 4222 - 986 | sentence_idx: 67851 | align_1: 13-14 | align_2: 14-20 | entity: Rafaël Correa - Rafaël Correa |    The question is : if it did take place , when was Rafaël Correa aware of the CIA 's intervention via UC Global ? ||| La question serait plutôt : si elle a bien eu lieu , quand Rafaël Correa a -t -il été au courant de l’ intervention de la CIA via UC Global ? 

Macina Macina | w_freq: 2 - 2 | wiki_freq: 143 - 347 | sentence_idx: 69101 | align_1: 7-5 | align_2: 8-9 | entity: Macina - Macina |    As a result , the people of Macina testified that their animals began to cross the river , which had not been possible for three years . ||| Aussi , les populations de Macina ont - elles témoigné que leurs animaux ont commencé à traverser le fleuve , ce qui n’ était pas possible depuis trois ans . 

Suspended Suspendue | w_freq: 8 - 3 | wiki_freq: 1151 - 59 | sentence_idx: 69345 | align_1: 7-7 | align_2: 8-11 | entity: none - Aura Une Douche Suspendue |    This Cruise Ship Will Have a Shower Suspended Over the Sea ||| Ce Bateau De Croisière Aura Une Douche Suspendue Au - Dessus De La Mer 

N145 N145 | w_freq: 1 - 1 | wiki_freq: 22 - 30 | sentence_idx: 70249 | align_1: 15-12 | align_2: 16-17 | entity: N145 - N145 |    Therefore , the French themselves often prefer to get to Andorra via Spain on the N145 . ||| Ainsi , les Français mêmes préfèrent souvent arriver en Andorre par la N145 à travers l’ Espagne . 

Hermans Hermans | w_freq: 1 - 1 | wiki_freq: 645 - 274 | sentence_idx: 71968 | align_1: 13-15 | align_2: 14-19 | entity: Hermans - Hermans |    Birds fly there only three times a year ; they are called “ Hermans ” and resemble our bullfinches . ||| Les oiseaux n’ y volent que trois fois par an ; On les appelle " Hermans [ Germains ] " et ils ressemblent à nos bouvreuils . 

10/2011 10/2011 | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 77306 | align_1: 13-16 | align_2: 14-20 | entity: 10/2011 - none |    Even before the European rules such as regulation EC 1935/2004 and regulation EU 10/2011 came into force , the FDA regulation already existed in the United States of America . ||| Même avant que les règles européennes , comme le règlement CE 1935/2004 et le règlement UE 10/2011 , ne soient entrées en vigueur , le règlement FDA existait déjà aux États-Unis . 

Friedensgebete Friedensgebete | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 79492 | align_1: 2-2 | align_2: 3-9 | entity: Friedensgebete - Friedensgebete |    But the Friedensgebete continued to grow and by the spring , the authorities saw the prayer meetings as a threat . ||| Mais la Friedensgebete ( prière pour la paix ) continua de croître et , au printemps , les autorités considéraient les réunions de prière comme une menace . 

E-260 E-260 | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 81314 | align_1: 0-0 | align_2: 1-4 | entity: none - E-260 |    E-260 Now just take a look at yourself in God 's mirror , and just see if you can identify yourself tonight . ||| E-260 ( 190 ) Maintenant jetez simplement un regard sur vous - même à travers le miroir de Dieu et voyez si seulement vous pouvez vous identifier ce soir . 

GS GS | w_freq: 23 - 23 | wiki_freq: 4101 - 1301 | sentence_idx: 89721 | align_1: 11-11 | align_2: 12-16 | entity: GS - GS |    This begs the obvious question that goes unanswered ; why was GS targeted ? ||| Cela pose la question évidente qui reste sans réponse ; Pourquoi GS a -t -il été ciblé ? 

mid-December mi-décembre | w_freq: 15 - 13 | wiki_freq: 3448 - 1550 | sentence_idx: 91399 | align_1: 7-10 | align_2: 8-15 | entity: mid-December - none |    A trip to Turkey and Israel in mid-December impressed on me the surprisingly weak position of being a mere prime minister in both countries . ||| Un voyage en Turquie et en Israël , à la mi-décembre , m' a bien fait comprendre la position étonnamment faible de simple Premier ministre dans les deux pays . 

Protectors Protecteurs | w_freq: 8 - 7 | wiki_freq: 654 - 78 | sentence_idx: 93526 | align_1: 13-16 | align_2: 14-22 | entity: none - Protecteurs de l’ Eau |    And , as Morton County has made clear , so long as Water Protectors pray and demonstrate , it will continue to perpetrate violence on this community . ||| Et , comme le Comté de Morton l’ a clairement fait savoir , tant que les Protecteurs de l’ Eau continueront à prier et manifester , ils continueront à employer la violence contre la communauté . 

Epics Epics | w_freq: 5 - 6 | wiki_freq: 440 - 9 | sentence_idx: 94220 | align_1: 3-5 | align_2: 4-9 | entity: none - Epics |    In XP , Epics are vulgarly “ Big user-stories ” and nothing more . ||| Dans l’ XP , les Epics ( Epopées ) sont vulgairement des “ Big user - stories ” et rien de plus . 

Merkel Merkel | w_freq: 196 - 191 | wiki_freq: 4594 - 1464 | sentence_idx: 95145 | align_1: 3-2 | align_2: 4-7 | entity: Merkel - Mme Merkel |    Why is Mrs Merkel silent about reality in Eastern Europe … ||| Pourquoi Mme Merkel passe -t -elle sous silence la situation en Europe orientale … 

E-62 E-62 | w_freq: 27 - 28 | wiki_freq: 2 - 1 | sentence_idx: 95264 | align_1: 0-0 | align_2: 1-4 | entity: none - E-62 |    E-62 Now , another great seed was planted . ||| E-62 ( 100 ) Maintenant , une autre grande Semence fut plantée . 

Fora Fora | w_freq: 3 - 4 | wiki_freq: 845 - 322 | sentence_idx: 99942 | align_1: 40-42 | align_2: 41-50 | entity: Juiz de Fora - Holy House of Juiz de Fora |    “ First , I wish to thank God for the fact that I am alive , that a truly miraculous operation was done ( on me ) by the hands of the professionals of the Holy House of Juiz de Fora ( hospital ) . ||| «   En premiers lieux , je veux remercier Dieu pour le fait que je sois toujours vivant , qu’ une opération vraiment miraculeuse ait été faite ( sur moi ) par les mains des professionnels de la Holy House of Juiz de Fora [ Maison Sainte de Juiz de Fora ( hôpital)]. 

Gavi Gavi | w_freq: 13 - 12 | wiki_freq: 335 - 165 | sentence_idx: 102095 | align_1: 0-0 | align_2: 1-6 | entity: Gavi - Gavi |    Gavi only contributed 50 % of the cost of the vaccine during the first year of introduction . ||| Gavi n’ a contribué qu’ à hauteur de 50 % du coût du vaccin au cours de la première année d’ introduction . 

Myself Moi | w_freq: 34 - 676 | wiki_freq: 4840 - 3936 | sentence_idx: 103251 | align_1: 12-17 | align_2: 13-21 | entity: none - Moi |    " I am the all-existence One Who has created something off of Myself to be a son of Mine , or a temporary , or an amateur little one of Mine . " ||| “ Je suis Celui par qui tout existe , J’ ai créé quelque chose à partir de Moi - même , pour en faire Mon fils , ou un de Mes petits , temporairement , de façon amateur . ” 

Torso Torso | w_freq: 1 - 1 | wiki_freq: 570 - 91 | sentence_idx: 108485 | align_1: 7-8 | align_2: 8-12 | entity: the Turning Torso - Turning Torso |    But what is special about the Turning Torso is not so much its height as its strange architecture … The tower turns on itself at 90 degrees ! ||| Mais ce qui est particulier avec la Turning Torso , ce n’ est pas tant sa hauteur que son architecture étrange … La tour tourne sur elle-même à 90 degrés ! 

M102 M102 | w_freq: 1 - 1 | wiki_freq: 129 - 58 | sentence_idx: 109260 | align_1: 12-13 | align_2: 13-19 | entity: none - M102 |    It appears not necessarily obvious that this is the same object as M102 described above . ||| il n' est pas forcément évident que ceci soit le même objet que M102 , à partir de la description ci - dessus . 

Maryam Maryam | w_freq: 25 - 22 | wiki_freq: 2582 - 690 | sentence_idx: 109800 | align_1: 5-11 | align_2: 6-15 | entity: Maryam - Maryam |    ' Isa , son of Maryam , of high esteem in this world and the hereafter , and one of those brought near . " ||| : « ' Isa ( Jésus ) » , fils de Maryam ( Marie ) , illustre ici - bas comme dans l' au-delà , et l' un des rapprochés d' Allah . 

ACP ACP | w_freq: 105 - 130 | wiki_freq: 3721 - 1041 | sentence_idx: 111667 | align_1: 12-18 | align_2: 13-22 | entity: ACP - ACP |    Thereafter , throughout the discussions , extending over a year , the ACP never negotiated otherwise than as a Group and spoke always with one voice . ||| Par la suite , au cours des discussions , qui ont duré plus d' un an , les ACP n’ ont plus jamais négocié autrement qu’ en tant que Groupe , et n’ ont eu de cesse de parler d' une seule voix . 

Moriah Moriah | w_freq: 11 - 2 | wiki_freq: 946 - 111 | sentence_idx: 118301 | align_1: 6-4 | align_2: 7-9 | entity: Moriah - pays Moriah |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays Moriah et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . » 

Package paquet | w_freq: 48 - 369 | wiki_freq: 4368 - 3552 | sentence_idx: 118325 | align_1: 12-13 | align_2: 13-18 | entity: the Second Energy Package - none |    The Regional Initiatives aim at the correct implementation of the Second Energy Package and especially those parts of the acquis requiring cross-border coordination . ||| Les initiatives régionales ont pour objectif la mise en œuvre correcte du deuxième paquet sur l’ énergie , et notamment des parties de l’ acquis nécessitant une coordination transfrontalière . 

yesterday hier | w_freq: 720 - 851 | wiki_freq: 3562 - 1775 | sentence_idx: 130545 | align_1: 5-5 | align_2: 6-9 | entity: yesterday - none |    We had a good car yesterday meaning that conditions were quite ideal for us in terms of balance and so on . ||| Nous avions une bonne voiture hier , ce qui signifiait que les conditions étaient assez idéales pour nous en termes d' équilibre et tout le reste . 

59:16 59:16 | w_freq: 3 - 3 | wiki_freq: 8 - 0 | sentence_idx: 135813 | align_1: 0-0 | align_2: 1-4 | entity: 59:16 - none |    59:16 Like the devil , when he says to the human being , ' Disbelieve . ' ||| 59:16 : ils sont semblables au Diable quand il dit à l' homme : ‹Sois incrédule›. 

753 753 | w_freq: 5 - 6 | wiki_freq: 1613 - 447 | sentence_idx: 137681 | align_1: 4-5 | align_2: 5-9 | entity: IATA Resolution 753 - none |    What is IATA Resolution 753 ? ||| En quoi consiste la résolution 753 de l’ IATA ? 

Margolis Margolis | w_freq: 4 - 4 | wiki_freq: 994 - 102 | sentence_idx: 138914 | align_1: 5-7 | align_2: 6-11 | entity: Margolis - Margolis |    I therefore also agree with Margolis that the Iranian oil industry can not be protected from a determined US / Israeli attack . ||| Je suis donc également d’ accord avec Margolis lorsqu’ il dit que l’ industrie pétrolière iranienne ne peut pas être protégée contre une attaque israélo - américaine déterminée . 

E-15 E-15 | w_freq: 15 - 19 | wiki_freq: 34 - 6 | sentence_idx: 144371 | align_1: 0-0 | align_2: 1-4 | entity: none - E-15 |    E-15 Brother Oral 's starting some kind of a Bible school out there now , I believe , or something . ||| E-15 ( 14 ) Frère Oral ouvre une sorte d' école biblique là maintenant , je pense , ou quelque chose comme cela . 

Argentines argentins | w_freq: 17 - 27 | wiki_freq: 1527 - 1959 | sentence_idx: 151057 | align_1: 3-3 | align_2: 4-10 | entity: Argentines - none |    59 % of Argentines agree nowadays that migrants should enjoy the same human rights as nationals , whether in health , education or access to justice.[5 ] ||| 59 % des argentins , à l’ heure actuelle s’ accordent à penser que les migrants devraient jouir des mêmes droits de l’ homme que les ressortissants nationaux , qu’ il s’ agisse de santé , d’ éducation ou d’ accès à la justice.[5 ] 

WASHINGTON WASHINGTON | w_freq: 6 - 6 | wiki_freq: 52 - 2 | sentence_idx: 152615 | align_1: 0-0 | align_2: 1-4 | entity: WASHINGTON - WASHINGTON |    WASHINGTON -- Americans are living longer than ever , but not as long as people in 41 other countries . ||| WASHINGTON ( AP ) -- Les Américains vivent plus longtemps que jamais , mais pas aussi longtemps que les habitants de 41 autres pays . 

Yalta Yalta | w_freq: 15 - 14 | wiki_freq: 2073 - 969 | sentence_idx: 156293 | align_1: 0-0 | align_2: 1-6 | entity: Yalta - Yalta |    Yalta was also not a historic necessity but a political decision of the great powers . ||| Yalta n’ a pas non plus été une nécessité historique mais une décision politique des Grands Trois . 

Precaution Précaution | w_freq: 3 - 2 | wiki_freq: 114 - 74 | sentence_idx: 163391 | align_1: 5-5 | align_2: 6-10 | entity: Chebsko – Environmental Precaution - Précaution |    The ‘ Chebsko – Environmental Precaution ’ project includes three separate improvement works . ||| Le projet « Chebsko – Précaution en matière d’ environnement » regroupe trois travaux d’ amélioration distincts . 

el-Azar-us us | w_freq: 1 - 28 | wiki_freq: 0 - 1248 | sentence_idx: 166778 | align_1: 8-13 | align_2: 9-21 | entity: el-Azar-us - none |    He performed miracles and raised one man , el-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

el-Azar-us Azar | w_freq: 1 - 3 | wiki_freq: 0 - 211 | sentence_idx: 166778 | align_1: 8-11 | align_2: 9-21 | entity: el-Azar-us - El - Azar |    He performed miracles and raised one man , el-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

98/56 98/56 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 171398 | align_1: 1-1 | align_2: 2-5 | entity: none - PR 98/56 Ci |    PR 98/56 Available in Italian only ||| PR 98/56 Ci - dessous disponible en italien seulement 

What´s Qu’ | w_freq: 2 - 1165 | wiki_freq: 1 - 1116 | sentence_idx: 173262 | align_1: 4-4 | align_2: 5-9 | entity: What´s - none |    For the study ‘ What´s important on your CV ? ’ , Page Personnel interviewed 4,245 job candidates and 619 recruitment consultants across Europe . ||| Pour l’ étude « Qu’ est -ce qui est important dans votre CV ? » , Page Personnel a interviewé 4 245 postulants à un emploi et 619 conseillers en recrutement à travers l’ Europe . 

surfer Surfeur | w_freq: 13 - 1 | wiki_freq: 2633 - 43 | sentence_idx: 177312 | align_1: 2-1 | align_2: 3-7 | entity: none - Surfeur A |    Has a surfer discovered the theory of everything ? ||| Un Surfeur A - T - Il Découvert La Théorie De Tout ? 

E-20 E-20 | w_freq: 14 - 15 | wiki_freq: 32 - 6 | sentence_idx: 179096 | align_1: 0-0 | align_2: 1-4 | entity: none - E-20 |    E-20 You know , your " amen " do n't hurt me . ||| E-20 ( 34 ) Vous savez , votre « amen » ne me fait pas mal . 

WIPO OMPI | w_freq: 13 - 14 | wiki_freq: 1104 - 251 | sentence_idx: 182641 | align_1: 9-14 | align_2: 10-19 | entity: the WIPO Copyright treaty - OMPI |    Developing countries should think very carefully before joining the WIPO Copyright treaty . ||| Les pays en développement devraient bien réfléchir avant d’ adhérer au traité de l’ OMPI sur le droit d’ auteur . 

ISU-152 ISU-152 | w_freq: 2 - 2 | wiki_freq: 103 - 33 | sentence_idx: 189777 | align_1: 3-2 | align_2: 4-7 | entity: none - ISU-152 |    Why was the ISU-152 so successful ? ||| Pourquoi l' ISU-152 a -t -il eu autant de succès ? 

Package paquet | w_freq: 48 - 369 | wiki_freq: 4368 - 3552 | sentence_idx: 198007 | align_1: 12-13 | align_2: 13-18 | entity: the Second Energy Package - none |    The Regional Initiatives aim at the correct implementation of the Second Energy Package and especially those parts of the acquis requiring cross-border coordination . ||| Les initiatives régionales ont pour objectif la mise en œuvre correcte du deuxième paquet sur l' énergie , et notamment des parties de l' acquis nécessitant une coordination transfrontalière . 

Hopefully Espérons | w_freq: 101 - 110 | wiki_freq: 859 - 39 | sentence_idx: 204938 | align_1: 0-0 | align_2: 1-4 | entity: none - Espérons |    Hopefully you already had guessed that your office ’s coffee corner is not a magical place that functions thanks to mysterious powers . ||| Espérons qu’ au moins vous saviez déjà que le coin café de votre bureau n’ est pas un lieu magique qui fonctionne grâce à des pouvoirs mystérieux . 

Ratzinger Ratzinger | w_freq: 16 - 17 | wiki_freq: 1113 - 501 | sentence_idx: 216134 | align_1: 15-21 | align_2: 16-25 | entity: Cardinal Ratzinger - Cardinal Ratzinger |    Furthermore , does it seem likely that Father Dollinger and his friend and colleague Cardinal Ratzinger never spoke about Fatima at all throughout their long relationship ? ||| En outre , est -ce qu’ il semble probable que le Père Dollinger et son ami et collègue , le Cardinal Ratzinger , n' aient jamais parlé de Fatima tout au long de leur longue relation ? 

Healing Healing | w_freq: 38 - 8 | wiki_freq: 4171 - 199 | sentence_idx: 221050 | align_1: 10-8 | align_2: 11-17 | entity: the " Voice of Healing - Voice of Healing |    Brother Lindsay has gone back to the " Voice of Healing . " ||| Frère Lindsay est retourné à " Voice of Healing " [ La Voix de la Guérison - NDT]. 

Bucher Bücher | w_freq: 2 - 1 | wiki_freq: 824 - 42 | sentence_idx: 221133 | align_1: 4-4 | align_2: 5-10 | entity: Karl Bucher - Karl Bücher |    The German economist Karl Bucher twenty years ago tried to find in trade ( the path between the producer and the consumer ) a criterion of the whole economic development . ||| L' économiste allemand Karl Bücher , il y a quelque vingt ans , essaya de trouver dans le commerce ( voie intermédiaire entre le producteur et le consommateur ) le critère de tout le développement économique . 

Nilsen Nilsen | w_freq: 1 - 1 | wiki_freq: 1971 - 257 | sentence_idx: 225520 | align_1: 11-11 | align_2: 12-15 | entity: Nilsen - M. Nilsen |    I agree that it was natural for Mr Johnsen and Mr Nilsen as representatives to look after the interests of the police officers in the debate . ||| J’ admets qu’ il était naturel que M. Johnsen et M. Nilsen , en leur qualité de représentants , prissent en compte les intérêts des policiers dans le débat . 

Iblis Iblis | w_freq: 2 - 1 | wiki_freq: 539 - 150 | sentence_idx: 231928 | align_1: 6-5 | align_2: 7-10 | entity: Iblis - Iblis |    How many a person killed by Iblis they have revived . ||| Combien de personnes assassinées par Iblis ( Démon ) ont -ils ressuscitées ? 

Walzer Walzer | w_freq: 10 - 10 | wiki_freq: 364 - 117 | sentence_idx: 246581 | align_1: 7-7 | align_2: 8-13 | entity: Walzer - Walzer |    One of the questions raised is whether Walzer is basically unable to justify the unjustifiable in the name of common values , even though these common values are bad for a whole host of reasons . ||| Une question suscitée est de savoir si Walzer , au fond , n’ arrive pas à justifier l’ injustifiable au nom des valeurs communes même si ces valeurs communes sont mauvaises pour tout un tas de raisons . 

39/1 39/1 | w_freq: 1 - 1 | wiki_freq: 15 - 6 | sentence_idx: 250675 | align_1: 1-6 | align_2: 2-11 | entity: Resolution 39/1 - none |    Resolution 39/1 requested an oral update regarding the situation in the Bolivarian Republic of Venezuela . ||| Dans le cadre de la résolution 39/1 , le Conseil a demandé un exposé oral sur la situation en République bolivarienne du Venezuela . 

Allāh Allāh | w_freq: 8 - 1 | wiki_freq: 665 - 212 | sentence_idx: 251215 | align_1: 5-6 | align_2: 6-11 | entity: Allāh - Allāh |    I became a Muslim because Allāh showed me first what was wrong with the way I had been raised through “ Western values ” . ||| Je suis devenu musulman parce que Allāh m’ a d’ abord montré ce qui n’ allait pas dans la manière dont j’ avais été élevé par les “ valeurs occidentales ” . 

yesterday hier | w_freq: 720 - 851 | wiki_freq: 3562 - 1775 | sentence_idx: 254301 | align_1: 11-17 | align_2: 12-23 | entity: yesterday - none |    Why in all the years since these scandals broke out was yesterday the first mention of this information ? ||| Pourquoi , depuis toutes les années durant lesquelles ces scandales ont éclaté , ce n’ est qu’ hier que l’ on a eu la première mention de cette information ? 

CAP PAC | w_freq: 99 - 95 | wiki_freq: 3916 - 1256 | sentence_idx: 256269 | align_1: 11-11 | align_2: 12-15 | entity: CAP - none |    Secondly , it presents and evaluates French political commentaries on the CAP . ||| Deuxièmement , il présente et évalue Français commentaires politiques sur la PAC ( ici ) . 

Yesterday Hier | w_freq: 193 - 191 | wiki_freq: 4941 - 457 | sentence_idx: 256539 | align_1: 0-0 | align_2: 1-6 | entity: Yesterday - none |    Yesterday Defense Secretary Mattis called for a ceasefire in Yemen : ||| Hier , le ministre de la défense Mattis a appelé à un cessez-le-feu au Yémen : 

Vendini Vendini | w_freq: 1 - 1 | wiki_freq: 22 - 1 | sentence_idx: 258860 | align_1: 1-1 | align_2: 2-7 | entity: Vendini - Vendini |    “ Vendini has successfully built a similarly unique value proposition . ||| « Vendini , de son côté , a réussi à bâtir une proposition de valeur tout aussi unique . 

Fukubukuro Fukubukuro | w_freq: 1 - 1 | wiki_freq: 4 - 1 | sentence_idx: 265275 | align_1: 12-11 | align_2: 13-15 | entity: Fukubukuro - Fukubukuro |    At the same time , this is also the purpose of the Fukubukuro that we finish to end with the double , triple or quadruple of the amount of the bag itself , otherwise everyone would not jostle to buy LOL ! ||| En même temps , c' est aussi ça le but du Fukubukuro , c' est qu' on finit avec le double , triple ou quadruple du montant du sac lui-même , sinon tout le monde ne se bousculerait pas pour en acheter LOL ! 

Sikorsky Sikorsky | w_freq: 6 - 6 | wiki_freq: 3622 - 976 | sentence_idx: 266643 | align_1: 10-12 | align_2: 11-16 | entity: Sikorsky - Sikorsky |    Despite his progress in solving technical problems of control , Sikorsky realized that the aircraft would never fly . ||| Malgré ses progrès dans la résolution des problèmes techniques de contrôle , Sikorsky s’ est rendu compte que l’ avion ne volerait jamais . 

Juncker Juncker | w_freq: 101 - 100 | wiki_freq: 807 - 533 | sentence_idx: 267186 | align_1: 3-2 | align_2: 4-10 | entity: Jean-Claude Juncker - Jean-Claude Juncker |    Commission President Jean-Claude Juncker said : " Our parents and grandparents founded this Union with one common vision : never again war . ||| M. Jean-Claude Juncker , président de la Commission , a déclaré à ce propos : « Nos parents et grands - parents ont fondé cette Union avec une vision commune : plus jamais de guerre . 

G7 G7 | w_freq: 134 - 138 | wiki_freq: 2596 - 931 | sentence_idx: 268124 | align_1: 8-9 | align_2: 9-14 | entity: G7 - G7 |    This is the case for both the overall G7 and also within every individual G7 nation and in each of the 20 sectors covered in the research . ||| C’ est le cas à la fois pour le G7 dans son ensemble , ainsi qu’ au sein de chaque pays du G7 et dans chacun des 20 secteurs couverts par la recherche . 

Midian Midian | w_freq: 3 - 2 | wiki_freq: 333 - 38 | sentence_idx: 270321 | align_1: 4-4 | align_2: 5-8 | entity: Midian - Midian |    And the army of Midian was below him in the valley . ||| Or l’ armée de Midian ( Madian ) était au - dessous de lui , dans la vallée . 

Interception interception | w_freq: 1 - 25 | wiki_freq: 622 - 3071 | sentence_idx: 276430 | align_1: 2-1 | align_2: 3-6 | entity: The UK Interception of Communications Commissioner - none |    The UK Interception of Communications Commissioner is an example of such an independent oversight mechanism . ||| L’ interception du Royaume - Uni du Commissaire aux Communications est un exemple de ce mécanisme de supervision indépendant . 

Tsitsipas Tsitsipas | w_freq: 1 - 1 | wiki_freq: 492 - 16 | sentence_idx: 279321 | align_1: 1-5 | align_2: 2-9 | entity: Stefanos Tsitsipas - Stefanos Tsitsipas |    Stefanos Tsitsipas has so far always translated his words into action . ||| Jusqu’ à présent , Stefanos Tsitsipas , lui , a toujours traduit ses paroles en actes . 

Kyi Kyi | w_freq: 21 - 23 | wiki_freq: 2084 - 506 | sentence_idx: 279423 | align_1: 4-6 | align_2: 5-10 | entity: Aung San Suu Kyi - Aung San Suu Kyi |    Perhaps Aung San Suu Kyi learned an important lesson during her years under house arrest by the military regime : the country will never develop if it sells out completely to the “ international community . ” ||| Peut - être Aung San Suu Kyi a -t -elle appris une leçon importante pendant ses années sous résidence surveillée , aux mains du régime militaire : le pays ne se développera jamais s’ il se vend complètement à la « communauté internationale » . 

