Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 
el-Azar-us Azar | w_freq: 1 - 3 | wiki_freq: 0 - 211 | sentence_idx: 166778 | align_1: 8-11 | align_2: 9-21 | entity: el-Azar-us - El - Azar |    He performed miracles and raised one man , el-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

98/56 98/56 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 171398 | align_1: 1-1 | align_2: 2-5 | entity: none - PR 98/56 Ci |    PR 98/56 Available in Italian only ||| PR 98/56 Ci - dessous disponible en italien seulement 

E-20 E-20 | w_freq: 14 - 15 | wiki_freq: 32 - 6 | sentence_idx: 179096 | align_1: 0-0 | align_2: 1-4 | entity: none - E-20 |    E-20 You know , your " amen " do n't hurt me . ||| E-20 ( 34 ) Vous savez , votre « amen » ne me fait pas mal . 

ISU-152 ISU-152 | w_freq: 2 - 2 | wiki_freq: 103 - 33 | sentence_idx: 189777 | align_1: 3-2 | align_2: 4-7 | entity: none - ISU-152 |    Why was the ISU-152 so successful ? ||| Pourquoi l' ISU-152 a -t -il eu autant de succès ? 

Hopefully Espérons | w_freq: 101 - 110 | wiki_freq: 859 - 39 | sentence_idx: 204938 | align_1: 0-0 | align_2: 1-4 | entity: none - Espérons |    Hopefully you already had guessed that your office ’s coffee corner is not a magical place that functions thanks to mysterious powers . ||| Espérons qu’ au moins vous saviez déjà que le coin café de votre bureau n’ est pas un lieu magique qui fonctionne grâce à des pouvoirs mystérieux . 

Bucher Bücher | w_freq: 2 - 1 | wiki_freq: 824 - 42 | sentence_idx: 221133 | align_1: 4-4 | align_2: 5-10 | entity: Karl Bucher - Karl Bücher |    The German economist Karl Bucher twenty years ago tried to find in trade ( the path between the producer and the consumer ) a criterion of the whole economic development . ||| L' économiste allemand Karl Bücher , il y a quelque vingt ans , essaya de trouver dans le commerce ( voie intermédiaire entre le producteur et le consommateur ) le critère de tout le développement économique . 

Iblis Iblis | w_freq: 2 - 1 | wiki_freq: 539 - 150 | sentence_idx: 231928 | align_1: 6-5 | align_2: 7-10 | entity: Iblis - Iblis |    How many a person killed by Iblis they have revived . ||| Combien de personnes assassinées par Iblis ( Démon ) ont -ils ressuscitées ? 

Walzer Walzer | w_freq: 10 - 10 | wiki_freq: 364 - 117 | sentence_idx: 246581 | align_1: 7-7 | align_2: 8-13 | entity: Walzer - Walzer |    One of the questions raised is whether Walzer is basically unable to justify the unjustifiable in the name of common values , even though these common values are bad for a whole host of reasons . ||| Une question suscitée est de savoir si Walzer , au fond , n’ arrive pas à justifier l’ injustifiable au nom des valeurs communes même si ces valeurs communes sont mauvaises pour tout un tas de raisons . 

39/1 39/1 | w_freq: 1 - 1 | wiki_freq: 15 - 6 | sentence_idx: 250675 | align_1: 1-6 | align_2: 2-11 | entity: Resolution 39/1 - none |    Resolution 39/1 requested an oral update regarding the situation in the Bolivarian Republic of Venezuela . ||| Dans le cadre de la résolution 39/1 , le Conseil a demandé un exposé oral sur la situation en République bolivarienne du Venezuela . 

Allāh Allāh | w_freq: 8 - 1 | wiki_freq: 665 - 212 | sentence_idx: 251215 | align_1: 5-6 | align_2: 6-11 | entity: Allāh - Allāh |    I became a Muslim because Allāh showed me first what was wrong with the way I had been raised through “ Western values ” . ||| Je suis devenu musulman parce que Allāh m’ a d’ abord montré ce qui n’ allait pas dans la manière dont j’ avais été élevé par les “ valeurs occidentales ” . 

Vendini Vendini | w_freq: 1 - 1 | wiki_freq: 22 - 1 | sentence_idx: 258860 | align_1: 1-1 | align_2: 2-7 | entity: Vendini - Vendini |    “ Vendini has successfully built a similarly unique value proposition . ||| « Vendini , de son côté , a réussi à bâtir une proposition de valeur tout aussi unique . 

Fukubukuro Fukubukuro | w_freq: 1 - 1 | wiki_freq: 4 - 1 | sentence_idx: 265275 | align_1: 12-11 | align_2: 13-15 | entity: Fukubukuro - Fukubukuro |    At the same time , this is also the purpose of the Fukubukuro that we finish to end with the double , triple or quadruple of the amount of the bag itself , otherwise everyone would not jostle to buy LOL ! ||| En même temps , c' est aussi ça le but du Fukubukuro , c' est qu' on finit avec le double , triple ou quadruple du montant du sac lui-même , sinon tout le monde ne se bousculerait pas pour en acheter LOL ! 

Juncker Juncker | w_freq: 101 - 100 | wiki_freq: 807 - 533 | sentence_idx: 267186 | align_1: 3-2 | align_2: 4-10 | entity: Jean-Claude Juncker - Jean-Claude Juncker |    Commission President Jean-Claude Juncker said : " Our parents and grandparents founded this Union with one common vision : never again war . ||| M. Jean-Claude Juncker , président de la Commission , a déclaré à ce propos : « Nos parents et grands - parents ont fondé cette Union avec une vision commune : plus jamais de guerre . 

Midian Midian | w_freq: 3 - 2 | wiki_freq: 333 - 38 | sentence_idx: 270321 | align_1: 4-4 | align_2: 5-8 | entity: Midian - Midian |    And the army of Midian was below him in the valley . ||| Or l’ armée de Midian ( Madian ) était au - dessous de lui , dans la vallée . 

Tsitsipas Tsitsipas | w_freq: 1 - 1 | wiki_freq: 492 - 16 | sentence_idx: 279321 | align_1: 1-5 | align_2: 2-9 | entity: Stefanos Tsitsipas - Stefanos Tsitsipas |    Stefanos Tsitsipas has so far always translated his words into action . ||| Jusqu’ à présent , Stefanos Tsitsipas , lui , a toujours traduit ses paroles en actes . 

AFRICA AFRIQUE | w_freq: 13 - 11 | wiki_freq: 136 - 14 | sentence_idx: 282502 | align_1: 1-1 | align_2: 2-6 | entity: SOUTH AFRICA - AFRIQUE |    SOUTH AFRICA queried if there are other sources of data , where customs data is not available . ||| L’ AFRIQUE DU SUD s’ est demandée s’ il existe d’ autres sources de données , lorsque les données des douanes ne sont pas disponibles . 

Mentalism Mentalism | w_freq: 1 - 1 | wiki_freq: 70 - 1 | sentence_idx: 286911 | align_1: 10-10 | align_2: 11-17 | entity: The Law of Mentalism - The Law of Mentalism |    In 1902 , A. Victor Segno publishes The Law of Mentalism which obtains a global success . ||| En 1902 , A. Victor Segno publie The Law of Mentalism ( La Loi du Mentalisme ) qui obtient un succès mondial . 

OIG OIG | w_freq: 3 - 3 | wiki_freq: 609 - 58 | sentence_idx: 287252 | align_1: 3-4 | align_2: 4-8 | entity: OIG - OIG |    Possibly , the OIG selected the exact bars in 1998 that were put in in 1996 . ||| Peut - être l' OIG a -t -il choisi les barres exactes de 1998 qui ont été mises en place en 1996 . 

Xili Xili | w_freq: 1 - 1 | wiki_freq: 67 - 5 | sentence_idx: 287827 | align_1: 0-0 | align_2: 1-4 | entity: Xili - Xili |    Xili wants the authorities to “ begin tackling their own corrupt structures , ” before even thinking about providing jobs or better education . ||| Xili , lui , demande aux autorités « de commencer à lutter contre leurs propres structures corrompues » , avant même de penser à donner du travail ou une meilleure éducation . 

E-112 E-112 | w_freq: 7 - 7 | wiki_freq: 5 - 3 | sentence_idx: 288498 | align_1: 0-0 | align_2: 1-4 | entity: none - E-112 |    E-112 Brother Tom Simpson is here tonight . ||| E-112 ( 55 ) Frère Tom Simpson est ici ce soir . 

Moriah Moriyya | w_freq: 11 - 5 | wiki_freq: 946 - 3 | sentence_idx: 291614 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . » 

Pulizzi Pulizzi | w_freq: 2 - 2 | wiki_freq: 50 - 2 | sentence_idx: 301087 | align_1: 15-16 | align_2: 16-20 | entity: Joe Pulizzi - Joe Pulizzi |    Businesses now need to produce less content and make it more engaging , as Joe Pulizzi himself admitted . ||| Les entreprises doivent désormais produire moins de contenu et le rendre plus intéressant , comme Joe Pulizzi l’ a d’ ailleurs admis . 

Tillerson Tillerson | w_freq: 20 - 20 | wiki_freq: 508 - 74 | sentence_idx: 306115 | align_1: 0-0 | align_2: 1-4 | entity: Tillerson - Tillerson |    Tillerson failed to strike the right balance , but perhaps Pompeo , with his direct line to the White House , can do better . ||| Tillerson n’ a pas réussi à trouver le bon équilibre , mais peut-être que Pompeo , avec sa ligne directe à la Maison Blanche , peut faire mieux . 

Cordus Cordus | w_freq: 1 - 1 | wiki_freq: 114 - 39 | sentence_idx: 307360 | align_1: 1-1 | align_2: 2-5 | entity: Valerius Cordus - Valerius Cordus |    Valerius Cordus first distilled the essential oil in 1544 after the Portuguese discovered the East . ||| Valerius Cordus a d ’ abord distillé l’ huile essentielle en 1544 après que les Portugais aient découvert l’ Est . 

Wallah Wallah | w_freq: 2 - 2 | wiki_freq: 68 - 49 | sentence_idx: 311243 | align_1: 4-5 | align_2: 5-11 | entity: Wallah - Wallah |    He declared : “ Wallah , if the Rafah crossing opened tomorrow , everyone would leave . ||| Il a déclaré : « Wallah [ Je te jure ] , si le passage de Rafah s’ ouvrait demain , tout le monde partirait . 

CITC CITC | w_freq: 2 - 2 | wiki_freq: 37 - 6 | sentence_idx: 312651 | align_1: 17-19 | align_2: 18-31 | entity: CITC - CITC |    In addition , Saudi Arabia redirects all international traffic through the Communications and Information Technology Commission ( CITC ) , to filter out “ inappropriate ” content . ||| En outre , l' Arabie saoudite redirige tout le trafic international via la Communications and Information Technology Commission ( CITC , Commission de la technologie de l' information et des communications ) afin de filtrer les contenus « inappropriés » . 

Frankl Frankl | w_freq: 7 - 7 | wiki_freq: 567 - 151 | sentence_idx: 316978 | align_1: 3-3 | align_2: 4-7 | entity: Victor Frankl - Victor Frankl |    The psychiatrist Victor Frankl was one of the first to speak of the benefits have to accept what we can not change . ||| Le psychiatre Victor Frankl a d’ ailleurs été l’ un des premiers à parler des avantages à accepter ce que nous ne pouvons pas changer . 

Moriah Moriyya | w_freq: 11 - 5 | wiki_freq: 946 - 3 | sentence_idx: 322385 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai » 

Berking Berking | w_freq: 3 - 3 | wiki_freq: 36 - 28 | sentence_idx: 352888 | align_1: 1-1 | align_2: 2-5 | entity: Willy Berking - Willy Berking |    Willy Berking there really nothing more to say about Willy Berking ? ||| Willy Berking Est -ce qu' il n' y a plus rien à dire sur Willy Berking ? 

Gerstein Gerstein | w_freq: 7 - 7 | wiki_freq: 563 - 313 | sentence_idx: 353118 | align_1: 24-26 | align_2: 25-31 | entity: Gerstein - Gerstein |    In fact , it was in the Senate that the intention of the act seemed to be more clearly stated when our colleague Senator Gerstein spoke on November 24 , 2011 . ||| En fait , c' est au Sénat que l' objectif de la loi semble avoir été énoncé plus clairement , lorsque notre collègue , le sénateur Gerstein , a pris la parole le 24 novembre 2011 . 

Mataji Mataji | w_freq: 8 - 8 | wiki_freq: 239 - 37 | sentence_idx: 361512 | align_1: 7-5 | align_2: 8-9 | entity: Mataji - Mataji |    They started saying , “ When is Mataji coming ? ||| Ils ont commencé à dire:"Quand Mataji va -t -elle venir ? 

Al-Bakri Bakri | w_freq: 1 - 1 | wiki_freq: 131 - 345 | sentence_idx: 363734 | align_1: 6-10 | align_2: 7-14 | entity: Al-Bakri - Al - Bakri |    It is perhaps somewhat ironic that Al-Bakri never travelled to this region and spent his entire life in Al-Andalus . ||| Ce qui est ironique , c’ est qu’ Al - Bakri ne s’ est jamais rendu dans cette région et a passé toute sa vie en Al - Andalus . 

14.06(4 14.06(2 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 377762 | align_1: 0-0 | align_2: 1-5 | entity: 14.06(4 - none |    14.06(4 ) if it wishes to demonstrate a conflict . ||| 14.06(2 ) et ( 4 ) s’ il souhaite démontrer qu’ il y a conflit . 

ASF ASF | w_freq: 17 - 18 | wiki_freq: 961 - 521 | sentence_idx: 385829 | align_1: 5-5 | align_2: 6-12 | entity: The African Standby Force ( ASF ) - ASF |    The African Standby Force ( ASF ) , promised since 2010 , remains a dream . ||| La African Standby Force ( ASF - Force africaine prête à intervenir ) , promise depuis 2010 , reste un rêve . 

Syriza Syriza | w_freq: 98 - 105 | wiki_freq: 532 - 44 | sentence_idx: 386914 | align_1: 16-17 | align_2: 17-21 | entity: Syriza - Syriza |    I think the fundamental problem [ with Syriza 's capitulation ] was in the fact that Syriza never spoke out about an alternative to the European Union . ||| Je pense que le problème fondamental [ avec la capitulation de Syriza ] est le fait que Syriza ne s’ est jamais exprimé sur une alternative à l’ Union 

E-412 E-412 | w_freq: 2 - 2 | wiki_freq: 0 - 1 | sentence_idx: 388951 | align_1: 0-0 | align_2: 1-4 | entity: none - E-412 |    E-412 the devil is weaving it right under your nose and do n't know it . ||| E-412 la chose , le diable est en train de l’ introduire sous votre nez , et vous ne le savez pas . 

GDPR RGPD | w_freq: 68 - 29 | wiki_freq: 653 - 261 | sentence_idx: 394610 | align_1: 2-1 | align_2: 3-7 | entity: GDPR - RGPD |    Will the GDPR reduce some of the contingent effects ( interference , etc . ) caused by Facebook ? ||| Le RGPD va -t -il permettre d' amoindrir certains des effets contingents ( ingérence , etc. ) causés par Facebook ? 

E-5 E-5 | w_freq: 30 - 32 | wiki_freq: 264 - 32 | sentence_idx: 405217 | align_1: 0-0 | align_2: 1-6 | entity: none - E-5 |    E-5 Many here maybe who has already has accepted You , and has not yet been filled with Thy Spirit . ||| E-5 Il y en a peut-être beaucoup ici qui T’ ont déjà accepté , et qui n’ ont pas encore été remplis de Ton Esprit . 

Failan Failan | w_freq: 1 - 1 | wiki_freq: 10 - 7 | sentence_idx: 408266 | align_1: 5-4 | align_2: 6-10 | entity: none - Dragon Inn Failan |    Good Bye , Dragon Inn Failan What Time is it There ? ||| Goodbye , Dragon Inn Failan Et là - bas , quelle heure est -il ? 

TABST TABST | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 408622 | align_1: 15-15 | align_2: 16-20 | entity: none - TABST |    0,10 % of domestic carnivores are used for the Target animal batch safety test ( TABST ) still required by several countries outside of Europe in order to release vaccines . ||| 0,10 % de carnivores domestiques sont utilisés pour le Target animal batch safety test ( TABST – contrôle d’ innocuité ) encore demandé par plusieurs pays hors Europe pour la libération des vaccins . 

Petitjean Petitjean | w_freq: 1 - 1 | wiki_freq: 137 - 491 | sentence_idx: 411713 | align_1: 1-1 | align_2: 2-5 | entity: Claude Petitjean - Claude Petitjean |    Claude Petitjean prefers to talk about his role and " simple , but determined gestures . " ||| Claude Petitjean , lui , préfère parler de son rôle et de “ gestes simples , mais déterminés ” . 

prepper Prepper | w_freq: 4 - 2 | wiki_freq: 29 - 0 | sentence_idx: 422278 | align_1: 2-1 | align_2: 3-6 | entity: none - Prepper |    No sane prepper would put a big sign on their house saying “ I have emergency food , ” for example . ||| Aucun Prepper sain d’ esprit ne mettrait un gros panneau sur leur maison en disant « J’ ai de la nourriture d’ urgence » , par exemple . 

E-296 E-296 | w_freq: 3 - 3 | wiki_freq: 0 - 1 | sentence_idx: 422579 | align_1: 0-0 | align_2: 1-5 | entity: E-296 - none |    E-296 Only thing that we can do , Lord , is to believe . ||| E-296 ( 255 ) La seule chose que nous pouvons faire , Seigneur , c' est de croire . 

Sarnia-Lambton Lambton | w_freq: 1 - 2 | wiki_freq: 19 - 413 | sentence_idx: 428895 | align_1: 8-14 | align_2: 9-19 | entity: Sarnia-Lambton - Lambton |    When I first started as executive director at Sarnia-Lambton five years ago , the relationships between the agency and First Nations were n’t good . ||| Lorsque je suis entrée en fonction à titre de directrice générale à Sarnia - Lambton , il y a cinq ans , les relations entre l’ agence et les Premières nations n’ étaient pas bonnes . 

Antarsya Antarsya | w_freq: 3 - 5 | wiki_freq: 4 - 4 | sentence_idx: 433593 | align_1: 0-0 | align_2: 1-4 | entity: Antarsya - Antarsya |    Antarsya is not the same but there is still wide confusion in its ranks . ||| Antarsya , ce n’ est pas la même chose , il règne cependant toujours une grande confusion dans ses rangs . 

Psychopaths Psychopaths | w_freq: 10 - 1 | wiki_freq: 112 - 6 | sentence_idx: 438133 | align_1: 7-7 | align_2: 8-13 | entity: none - Women Who Love Psychopaths |    If you have read Women Who Love Psychopaths , please be an ' Ambassador for Change ' in your community by teaching youth and adults what you learned in the book . ||| Si vous avez lu Women Who Love Psychopaths , s' il vous plaît , devenez un « Ambassadeur du Changement » dans votre communauté , en apprenant aux jeunes et aux adultes ce que vous avez appris dans ce livre . 

Hair-Turkey Hair | w_freq: 1 - 16 | wiki_freq: 0 - 671 | sentence_idx: 438880 | align_1: 1-1 | align_2: 2-9 | entity: Hair-Turkey - Hair |    At Hair-Turkey , we understand that traveling for medical services is a new concept . ||| À Hair - Turkey ( cheveux - Turquie ) , nous comprenons que voyager pour des services médicaux est un nouveau concept . 

Hair-Turkey Turkey | w_freq: 1 - 7 | wiki_freq: 0 - 434 | sentence_idx: 438880 | align_1: 1-3 | align_2: 2-9 | entity: Hair-Turkey - Turkey |    At Hair-Turkey , we understand that traveling for medical services is a new concept . ||| À Hair - Turkey ( cheveux - Turquie ) , nous comprenons que voyager pour des services médicaux est un nouveau concept . 

E-67 E-67 | w_freq: 21 - 19 | wiki_freq: 1 - 2 | sentence_idx: 439288 | align_1: 0-0 | align_2: 1-5 | entity: none - E-67 |    E-67 I was saying it the other day , at Phoenix . ||| E-67 C’ est ce que je disais , l’ autre jour , à Phoenix . 

42:48 Shura-48 | w_freq: 1 - 2 | wiki_freq: 1 - 0 | sentence_idx: 440254 | align_1: 0-4 | align_2: 1-9 | entity: 42:48 - none |    42:48 If then they run away , We have not sent thee as a guard over them . ||| 42 / Ash - Shura-48 : Après cela , s’ ils détournent leur visage , Nous ne t’ avons pas envoyé comme gardien sur eux . 

viva viva | w_freq: 3 - 2 | wiki_freq: 591 - 152 | sentence_idx: 440986 | align_1: 20-22 | align_2: 21-29 | entity: none - DPhil viva |    I have particular reason to be grateful to him : I met him for the first time at my DPhil viva , where he was the external examiner ( 1970 ) . ||| J’ ai des raisons particulières de lui en être reconnaissant : je l’ ai rencontré pour la première fois à mon DPhil viva ( ndt : examen oral ) , où il était examinateur externe ( 1970 ) . 

