Magento-specialists Magento-Spezialisten | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 1636 | align_1: 7-5 | align_2: 8-9 | ner_entity: Magento-specialists-none |    Years of experience – We have been Magento-specialists since 2008 ! ||| Jahrelange Erfahrung – Wir sind Magento-Spezialisten , und das seit 2008 !
Tortillerias Tortillerias | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 628137 | align_1: 10-10 | align_2: 11-15 | ner_entity: Tortillerias-none |    If you ’re in Mexico , Lesage recommends visiting the Tortillerias where they often throw out the day ’s cold tortillas . ||| Wenn Sie in Mexiko sind , empfiehlt Lesage , die Tortillerias zu besuchen , in denen die kalten Tortillas des Tages häufig weggeworfen werden .

NaNo NaNo | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 642545 | align_1: 3-3 | align_2: 4-8 | ner_entity: NaNo-NaNo |    When I did NaNo I thought to myself , “ Why is n’t there such a thing for songwriters ? ” ||| Als ich an NaNo teilgenommen habe , dachte ich so bei mir : " Warum gibt es sowas nicht für Songwriter ? "

ECIU ECIU | w_freq: 1 - 1 | wiki_freq: 20 - 3 | sentence_idx: 667297 | align_1: 26-28 | align_2: 27-35 | ner_entity: ECIU-ECIU |    [ 18 ] An example of an emerging positive interrelation between universities and their " hinterland " is the so-called European Consortium of Innovative Universities ( ECIU ) . ||| [ 18 ] Ein Beispiel für den Aufbau eines guten Zusammenspiels zwischen Hochschulen und ihrem , Hinterland " ist das sogenannte , European Consortium of Innovative Universities ( ECIU ) " ( Konsortium innovativer Universitäten ) .

Rick—joining rick | w_freq: 1 - 10 | wiki_freq: 0 - 6 | sentence_idx: 676042 | align_1: 15-18 | align_2: 16-23 | ner_entity: Rick—joining-rick |    But none of it prepared her to find Sean—along with herself and her husband , Rick—joining the cast of a TV series . ||| Aber nichts davon bereitete sie darauf vor , sean zu finden - zusammen mit ihr und ihrem ehemann rick - , die sich der besetzung einer fernsehserie anschlossen .

F-15J F-15J | w_freq: 1 - 1 | wiki_freq: 71 - 8 | sentence_idx: 694798 | align_1: 3-2 | align_2: 4-6 | ner_entity: F-15J-F-15J |    As for the F-15J whose Japan is equipped , they are different from the F-15C only by some transformations of the electronics components . ||| Was das F-15J betrifft , mit dem Japan sich ausstattet , unterscheiden sie sich vom F-15C nur durch einige Umwandlungen der elektronischen Ausstattungen .

Shanghailanders Shanghailander | w_freq: 1 - 2 | wiki_freq: 13 - 0 | sentence_idx: 786140 | align_1: 33-37 | align_2: 34-42 | ner_entity: Shanghailanders-Shanghailander |    Citizens of many countries and all continents came to Shanghai to live and work during the ensuing decades ; those who stayed for long periods - some for generations - called themselves " Shanghailanders " . ||| Bürger von vielen Ländern und allen Kontinenten kamen nach Schanghai , um zu leben und während der folgenden Jahrzehnte zu arbeiten ; diejenigen , die seit langen Zeiträumen - einigen für Generationen blieben - nannten sich " Shanghailander ( Shanghailander ) s " .

Chèvre chèvre | w_freq: 1 - 4 | wiki_freq: 63 - 12 | sentence_idx: 790678 | align_1: 10-10 | align_2: 11-17 | ner_entity: Danse de la Chèvre-Danse de la chèvre |    During this time period he also wrote Danse de la Chèvre ( 1921 ) , an essential piece of flute repertoire . ||| Während dieser Zeit schrieb Periode er auch Danse de la chèvre ( Danse de la chèvre ) ( 1921 ) , wesentliches Stück Flöte-Repertoire .

donepezil Donepezil | w_freq: 5 - 5 | wiki_freq: 74 - 35 | sentence_idx: 794699 | align_1: 7-12 | align_2: 8-19 | ner_entity: none-Donepezil |    We observed that patients who continued taking donepezil were better able to remember , understand , communicate and perform daily tasks for at least a year longer than those who stopped taking the drugs . ||| " Wir haben festgestellt , dass Patienten , die sich weiter mit Donepezil befanden , sich in der Lage waren , sich zu erinnern , zu verstehen , zu kommunizieren und tägliche Aufgaben für mindestens ein Jahr länger zu leisten , als diejenigen , die die Drogen nicht mehr aufgaben .

Tsiklauri Tsiklauri | w_freq: 2 - 2 | wiki_freq: 34 - 17 | sentence_idx: 816592 | align_1: 3-5 | align_2: 4-9 | ner_entity: Nini Tsiklauri-Nini Tsiklauri |    Unterberger asked Nini Tsiklauri why she believes in a common Europe . ||| Nun stellte Unterberger an Nini Tsiklauri die Frage , warum sie an ein gemeinsames Europa glaube .

Hijr al-Hidschr | w_freq: 1 - 1 | wiki_freq: 39 - 4 | sentence_idx: 833686 | align_1: 5-8 | align_2: 6-16 | ner_entity: Hijr-al-Hidschr |    80And the people of the Hijr ( rocks ) denied the Noble Messengers . ||| 80 Und ( auch ) die Leute von al-Hidschr haben doch ( seinerzeit ) die Gesandten ( Allahs ) der Lüge geziehen .

OMFScienceWednesday OMFScienceWednesday | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 873190 | align_1: 3-3 | align_2: 4-9 | ner_entity: OMFScienceWednesday-OMFScienceWednesday |    On this # OMFScienceWednesday we are happy to introduce a wonderful addition to our team , Michael Sikora . ||| An diesem # OMFScienceWednesday ( OMF Wissenschafts-Mittwoch ) freuen wir uns Ihnen eine wunderbare Ergänzung für unser Team vorzustellen , Michael Sikora .

