Magento-specialists Magento-Spezialisten | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 1636 | align_1: 7-5 | align_2: 8-9 | ner_entity: Magento-specialists-none |    Years of experience – We have been Magento-specialists since 2008 ! ||| Jahrelange Erfahrung – Wir sind Magento-Spezialisten , und das seit 2008 !
SCP-699 SCP-699 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 331710 | align_1: 12-10 | align_2: 13-15 | ner_entity: SCP-699-SCP-699 |    These observers do not exhibit any desire to release the contents of SCP-699 . ||| Diese Beobachter weisen kein Verlangen danach , den Inhalt von SCP-699 zu entlassen , auf .

Mojahedin Mojahedin | w_freq: 2 - 2 | wiki_freq: 155 - 1 | sentence_idx: 345922 | align_1: 17-16 | align_2: 18-20 | ner_entity: Mojahedin-Mojahedin |    March 2002 : The majority of members of the Italian Parliament : " The struggle of the Mojahedin has been recognized by thousands of parliamentarians the world over as the " anti-thesis of fundamentalism and terrorism " . ||| März 2002 : Die Mehrheit des italienischen Parlaments : " Der Kampf , der von den Mojahedin geführt wird , ist von Tausenden von Abgeordneten in der ganzen Welt als das " Gegenmittel zum Fundamentalismus und Terrorismus " anerkannt worden .

Magento-specialists Magento-Spezialisten | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 353783 | align_1: 7-5 | align_2: 8-9 | ner_entity: Magento-specialists-none |    Years of experience – We have been Magento-specialists since 2008 ! ||| Jahrelange Erfahrung – Wir sind Magento-Spezialisten , und das seit 2008 !

al-Ahzab Al-Ahzab | w_freq: 1 - 1 | wiki_freq: 9 - 2 | sentence_idx: 356838 | align_1: 10-9 | align_2: 11-19 | ner_entity: al-Ahzab-Al-Ahzab |    I fear for you the like of the day of al-Ahzab , the like of the people of Noah , of ‘ Ad , of Thamud , and of those who came after them . ||| Ich fürchte für euch Gleiches wie den Tag von Al-Ahzab < ref group="A " name = Ahzab / > , ( 31 ) wie die Gewohnheit der Leute von Noah , von ' Aad und von Thamud und denjenigen nach ihnen .

IDAHOT IDAHOT | w_freq: 1 - 1 | wiki_freq: 23 - 6 | sentence_idx: 363602 | align_1: 14-15 | align_2: 15-22 | ner_entity: IDAHOT-IDAHOT |    It also supports external events such as National Student Pride , our own annual IDAHOT event , and of course – London Pride . ||| Das Komitee unterstützt auch externe Veranstaltungen wie den National Student Pride , unsere eigene jährliche IDAHOT ( Internationaler Tag gegen Homophobie ) Veranstaltung und natürlich – London Pride .

Value-INchange INchange | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 363904 | align_1: 12-14 | align_2: 13-21 | ner_entity: Universal Value-INchange-I and Universal Value INchange |    4 : Taking back our own value by introducing I and Universal Value-INchange . ||| 4 : Rücknahme unseres eigenen Wertes durch Einführung von „ I and Universal Value INchange ( Ich und Universeller Werte-EINtausch ) .

Kaltenbrunner Kaltenbrunner | w_freq: 5 - 5 | wiki_freq: 307 - 509 | sentence_idx: 365407 | align_1: 5-4 | align_2: 6-10 | ner_entity: Kaltenbrunner-Kaltenbrunner |    Since 1943 I had told Kaltenbrunner that Germany must endeavor to end the war by a peace at any price . ||| Seit 1943 hatte ich Kaltenbrunner gegenüber die Auffassung vertreten , daß Deutschland versuchen müsse , den Krieg durch einen Frieden um jeden Preis zu beendigen .

Ratscrew Ratscrew | w_freq: 1 - 2 | wiki_freq: 9 - 0 | sentence_idx: 376866 | align_1: 6-5 | align_2: 7-11 | ner_entity: Egyptian Ratscrew-none |    The game is related to Egyptian Ratscrew and is also sometimes known as Heart Attack . ||| Das Spiel ist mit ägyptischem Ratscrew ( Ägyptischer Ratscrew ) verbunden und ist auch manchmal als Herzanfall bekannt .

Saqar Saqar | w_freq: 16 - 15 | wiki_freq: 30 - 1 | sentence_idx: 377344 | align_1: 4-7 | align_2: 5-12 | ner_entity: Saqar-Saqar |    Do you know what Saqar is ? ||| Und wie kannst du wissen , was Saqar ( das Höllenfeuer ) ist ?

Psellus Psellus | w_freq: 1 - 2 | wiki_freq: 76 - 3 | sentence_idx: 391868 | align_1: 4-6 | align_2: 5-11 | ner_entity: Michael Psellus-Michael Psellus |    Passages referring to Michael Psellus ( end of the 11th century ) are considered later interpolations . ||| Durchgänge , die sich auf Michael Psellus ( Michael Psellus ) ( Ende des 11. Jahrhunderts ) beziehen , werden als spätere Interpolationen betrachtet .

Headaches Headaches | w_freq: 3 - 1 | wiki_freq: 104 - 1 | sentence_idx: 401329 | align_1: 4-4 | align_2: 5-10 | ner_entity: No More Headaches-No More Headaches |    Book : No More Headaches by HRA Dorothy Thomas . ||| Buch : No More Headaches ( Nie wieder Kopfschmerzen ) von HRA Dorothy Thomas .

SPONSOR.ME SPONSOR.ME | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 401718 | align_1: 9-7 | align_2: 10-12 | ner_entity: SPONSOR.ME-SPONSOR.ME |    The greeting will be visible to other users of SPONSOR.ME unless you choose " Anonymous " . ||| Die Begrüßung ist für andere Benutzer von SPONSOR.ME sichtbar , es sei denn , Sie wählen " Anonymous " .

