E-32 E-32 | w_freq: 15 - 16 | wiki_freq: 14 - 1 | sentence_idx: 13808 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-32 |    E-32 I was just given a new Bible . ||| E-32 Tout récemment , on m' a offert une nouvelle Bible .
Mihigo Mihigo | w_freq: 1 - 1 | wiki_freq: 71 - 48 | sentence_idx: 49025 | align_1: 8-15 | align_2: 9-20 | ner_entity: Kizito Mihigo-Monsieur Kizito Mihigo |    We also welcome the release of Mr Kizito Mihigo at the same time with 2138 other prisoners . ||| Nous nous réjouissons également de ce qu’ un autre prisonnier de conscience , Monsieur Kizito Mihigo , ait été libéré en même temps que 2138 autres prisonniers .

Gnosis Gnose | w_freq: 29 - 30 | wiki_freq: 389 - 103 | sentence_idx: 49505 | align_1: 5-7 | align_2: 6-12 | ner_entity: none-Gnose |    But really , religion and Gnosis disagree with this because we understand the Consciousness in a very different way from Western psychology . ||| Mais réellement , la religion et la Gnose ne sont pas d’ accord avec cela parce que nous comprenons la Conscience d’ une manière très différente de la psychologie occidentale .

E-48 E-48 | w_freq: 18 - 19 | wiki_freq: 3 - 3 | sentence_idx: 58126 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-48 |    E-48 Now , I want to say something to you , you that 's been here all week . ||| E-48 ( 95 ) Maintenant , je veux vous dire quelque chose , vous qui avez été ici toute la semaine .

Mosiah Mosiah | w_freq: 3 - 3 | wiki_freq: 230 - 17 | sentence_idx: 60277 | align_1: 8-6 | align_2: 9-12 | ner_entity: Mosiah-Mosiah |    How did the conversion of the sons of Mosiah influence their desire to be missionaries ? ||| Comment la conversion des fils de Mosiah a -t -elle eu une influence sur leur désir d’ être des missionnaires ?

E-6 E-6 | w_freq: 24 - 23 | wiki_freq: 341 - 46 | sentence_idx: 73229 | align_1: 0-0 | align_2: 1-8 | ner_entity: none-E-6 |    E-6 A lady came in not long ago , her boy is an exterminator at Texarkana . ||| E-6 Il n' y a pas longtemps , une dame est venue , son fils est un exterminateur à Texarkana .

NEWater NEWater | w_freq: 1 - 1 | wiki_freq: 75 - 1 | sentence_idx: 80806 | align_1: 6-7 | align_2: 7-14 | ner_entity: none-NEWater |    If Singapore does not have enough NEWater after 2011 , that is Singapore 's own doing , right ? ||| Si Singapour n' a pas assez de NEWater [ Ndt : eau recyclée ] après 2011 , cela ne regarde que Singapour , n' est -ce pas ?

Cayce Cayce | w_freq: 12 - 12 | wiki_freq: 616 - 94 | sentence_idx: 82261 | align_1: 11-11 | align_2: 12-16 | ner_entity: Edgar Cayce-Edgar Cayce |    Imagine having the ability to predict your own death – Edgar Cayce did . ||| Imaginez avoir la capacité de prévoir votre propre mort – Edgar Cayce lui , l’ a fait .

Cosmogonies Cosmogonies | w_freq: 1 - 1 | wiki_freq: 4 - 14 | sentence_idx: 84519 | align_1: 2-3 | align_2: 3-7 | ner_entity: Cosmogonies " Water "-Cosmogonies |    In all Cosmogonies " Water " plays the same important part . ||| Dans toutes les Cosmogonies , l ' " Eau " joue le même rôle important .

Kortenoeven Kortenoeven | w_freq: 1 - 1 | wiki_freq: 14 - 0 | sentence_idx: 91049 | align_1: 0-0 | align_2: 1-5 | ner_entity: Kortenoeven-Kortenoeven |    Kortenoeven furthermore inquired whether the size of the Iranian Embassy in The Hague was proportional to actual relations between Iran and the Netherlands ? ||| Kortenoeven s’ est , de plus , enquis de savoir si la taille de l’ Ambassade iranienne à la Haye était proportionnelle au niveau réel des relations entre l’ Iran et les Pays - Bas ?

E-15 E-15 | w_freq: 29 - 28 | wiki_freq: 34 - 6 | sentence_idx: 97305 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-15 |    E-15 But , you know , if I said anything different than what 's in my heart , I 'd be a hypocrite . ||| E-15 ( 12 ) Mais , vous savez , si je disais autre chose que ce qui est dans mon coeur , je serais un hypocrite .

LFI LFI | w_freq: 6 - 7 | wiki_freq: 220 - 542 | sentence_idx: 104016 | align_1: 7-7 | align_2: 8-12 | ner_entity: LFI-LFI |    But the systematic dictatorial internal functioning of LFI was not yet known to the general public . ||| Mais le fonctionnement interne systématiquement dictatorial de LFI , lui , n’ était pas encore connu du grand public .

L-260 E-260 | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 118371 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-260 |    L-260 Now just take a look at yourself in God 's mirror , and just see if you can identify yourself tonight . ||| E-260 ( 190 ) Maintenant jetez simplement un regard sur vous - même à travers le miroir de Dieu et voyez si seulement vous pouvez vous identifier ce soir .

Oakwell Oakwell | w_freq: 1 - 1 | wiki_freq: 377 - 5 | sentence_idx: 119482 | align_1: 12-12 | align_2: 13-17 | ner_entity: Oakwell-Oakwell |    However , the way in which they went about their business at Oakwell last weekend was pleasing . ||| Cependant , la façon dont ils s’ occupaient de leurs affaires à Oakwell le week - end dernier était agréable .

E-126 E-126 | w_freq: 11 - 14 | wiki_freq: 33 - 9 | sentence_idx: 131195 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-126 |    E-126 We have had many great battles , spiritual battles . ||| E-126 ( 73 ) Nous avons eu beaucoup de grandes batailles , des batailles spirituelles .

E-24 E-24 | w_freq: 25 - 22 | wiki_freq: 16 - 2 | sentence_idx: 136294 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-24 |    E-24 You see , there 's probably one or two strangers with us this morning . ||| E-24 ( 9 ) Vous voyez , il y a probablement un ou deux étrangers parmi nous , ce matin .

BULLY-180….what BULLY-180 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 139696 | align_1: 0-0 | align_2: 1-8 | ner_entity: none-BULLY-180 |    BULLY-180….what ’s in a name ? ||| BULLY-180 … .Qu' est -ce qu' il y a dans un nom ?

Gwion Gwion | w_freq: 1 - 1 | wiki_freq: 211 - 42 | sentence_idx: 145088 | align_1: 8-8 | align_2: 9-15 | ner_entity: Gwion-Gwion |    Imagine you can drink Awen – after all Gwion did . ||| Imaginez pouvoir boire l’ Awen – après tout Gwion , lui , l’ a bien fait .

Orihara Orihara | w_freq: 2 - 2 | wiki_freq: 108 - 17 | sentence_idx: 145156 | align_1: 18-18 | align_2: 19-22 | ner_entity: Orihara-Orihara |    No , I just want to know what kind of students they are , not their relationship with Orihara . ||| Non , je veux juste savoir quel genre d’ étudiants ils sont , et pas leur relation avec Orihara , pensai -je .

GYN GYN | w_freq: 4 - 6 | wiki_freq: 253 - 0 | sentence_idx: 154769 | align_1: 8-10 | align_2: 9-15 | ner_entity: none-GYN |    It is important to note that OB / GYN malpractice insurance premiums are among the highest for physicians . ||| Il est important de noter que les primes OB / GYN d’ assurance contre la faute professionnelle sont parmi les plus élevés pour les médecins .

IMMAYAH IMMAYAH | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 167250 | align_1: 10-9 | align_2: 11-13 | ner_entity: none-IMMAYAH |    Do you really have the RUACH ha KODESH , your IMMAYAH within ? ||| Avez -vous réellement la RUACH ha KODESH , votre IMMAYAH , à l’ intérieur de vous ?

Pleiadian Pléiadien | w_freq: 4 - 1 | wiki_freq: 6 - 0 | sentence_idx: 170322 | align_1: 7-8 | align_2: 8-12 | ner_entity: Pleiadian-Pléiadien |    H : Are Resistance Movement or the Pleiadian aware of any of the mass meditations we are doing daily on the We Love Mass Meditation ( WLMM ) blog ? ||| H : Le Mouvement de Résistance ou le Pléiadien sont -ils au courant de l' une des méditations de masse que nous faisons quotidiennement sur le blog We Love Mass Meditation ( WLMM ) ?

Swank Swank | w_freq: 1 - 1 | wiki_freq: 985 - 131 | sentence_idx: 190967 | align_1: 6-6 | align_2: 7-11 | ner_entity: Swank-Swank |    In Boys Do n't Cry , Swank actually transformed herself into the role of the character she was playing . ||| Dans Boys Don’ t Cry , Swank s’ est transformée en fait dans le rôle du personnage qu’ elle jouait .

Buzzi Buzzi | w_freq: 1 - 1 | wiki_freq: 295 - 176 | sentence_idx: 192096 | align_1: 1-1 | align_2: 2-7 | ner_entity: Buzzi-Buzzi |    Dr. Buzzi talked about a rehabilitation period of about five or six months , what do you think ? ||| M. Buzzi ( le médecin ) a parlé d’ une période de réhabilitation d’ environ cinq ou six mois , qu’ en pensez -vous ?

Saint-Urbain Saint-Urbain | w_freq: 1 - 1 | wiki_freq: 97 - 401 | sentence_idx: 199196 | align_1: 7-7 | align_2: 8-12 | ner_entity: Saint-Urbain-Saint-Urbain |    Unfortunately , it does not work in Saint-Urbain because we are between two mountains . ||| Malheureusement , cela ne fonctionne pas à Saint-Urbain , et c' est parce qu' on est entre deux monts .

E-36 E-36 | w_freq: 27 - 30 | wiki_freq: 2 - 2 | sentence_idx: 204811 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-36 |    E-36 And there was an old fisherman . ||| E-36 ( 56 ) Et il y avait là un vieux pêcheur .

E-51 E-51 | w_freq: 24 - 25 | wiki_freq: 13 - 2 | sentence_idx: 214596 | align_1: 0-0 | align_2: 1-5 | ner_entity: E-51-E-51 |    E-51 Another hand or two before we go further ? ||| E-51 Y a -t -il encore une ou deux mains avant que nous allions plus loin ?

Antarik Antarik | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 216051 | align_1: 24-24 | align_2: 25-28 | ner_entity: Antarik-Antarik |    I did not expect , however , that the most beautiful week of my life will be on your course of Spiritual Regression in Antarik ! ||| Je ne me attendais pas , cependant , que la plus belle semaine de ma vie sera sur votre cours de régression spirituelle dans Antarik ( Cz ) !

Lac-Mégantic Mégantic | w_freq: 9 - 10 | wiki_freq: 265 - 595 | sentence_idx: 217192 | align_1: 9-12 | align_2: 10-16 | ner_entity: Lac-Mégantic-Lac - Mégantic |    The fact that 47 people were burned alive in Lac-Mégantic is not a conspiracy . ||| Le fait que 47 personnes aient été brûlées vives à Lac - Mégantic , ce n' est pas un complot .

E-95 E-95 | w_freq: 13 - 15 | wiki_freq: 3 - 1 | sentence_idx: 223424 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-95 |    E-95 Not long ago , an old Baptist preacher out there ... ||| E-95 Il n’ y a pas longtemps , un vieux prédicateur baptiste là - bas ...

Ernman Ernman | w_freq: 2 - 2 | wiki_freq: 100 - 36 | sentence_idx: 227553 | align_1: 2-1 | align_2: 3-6 | ner_entity: Malena Ernman-Malena Ernman |    Did Malena Ernman not publish a book with her husband just a few days before the start of Greta 's strike ? ||| Malena Ernman n’ a -t -elle pas publié un livre , avec son conjoint , quelques jours à peine avant le début de la grève de Greta ?

Abs Abs | w_freq: 8 - 7 | wiki_freq: 542 - 58 | sentence_idx: 228006 | align_1: 14-17 | align_2: 15-23 | ner_entity: Abs-Abs |    When I visited Yemen in September , I went to the northern city of Abs , where we support the only fully functioning hospital in a rural area . ||| Lorsque j’ ai visité le Yémen en septembre , je me suis rendu dans la ville d’ Abs , au Nord du pays , où nous soutenons le seul hôpital pleinement fonctionnel en zone rurale .

31.12 31.12 | w_freq: 1 - 1 | wiki_freq: 28 - 1 | sentence_idx: 235639 | align_1: 4-6 | align_2: 5-10 | ner_entity: 31.12-none |    A third sit-in on 31.12 was also once again violently broken up . ||| Un troisième sit - in le 31.12 . , a été une fois de plus dispersé violemment .

Oriflame Oriflame | w_freq: 5 - 5 | wiki_freq: 57 - 6 | sentence_idx: 240383 | align_1: 6-6 | align_2: 7-10 | ner_entity: Oriflame-Oriflame |    It turns out that the company Oriflame except cosmetics produces good vitamins ! . ||| Il s' avère que la société Oriflame , à l' exception des cosmétiques , produit de bonnes vitamines ! .

Al-Hashir Hashir | w_freq: 1 - 1 | wiki_freq: 0 - 6 | sentence_idx: 242006 | align_1: 2-4 | align_2: 3-10 | ner_entity: Al-Hashir-Hashir |    I am Al-Hashir who will be the first to be resurrected , with the people being resurrected Hereafter . ||| je suis al - Hashir ( le rassembleur ) , qui sera le premier à être ressuscité et après qui les gens seront ressuscités ;

EIONET EIONET | w_freq: 1 - 1 | wiki_freq: 1 - 6 | sentence_idx: 251586 | align_1: 13-12 | align_2: 14-25 | ner_entity: none-EIONET |    According to a study of the European Environment Information and Observation Network ( EIONET ) , European countries generate high percentages of packaging waste . ||| Selon une étude de du European Environment Information and Observation Network ( EIONET ) ( Réseau d' observation et d' informations sur l' environnement européen ) , les pays européens génèrent d' importants pourcentages de déchets d' emballage .

O'kanada kanada | w_freq: 2 - 2 | wiki_freq: 0 - 4 | sentence_idx: 251870 | align_1: 3-8 | align_2: 4-12 | ner_entity: Simon O'kanada-Simon O' kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| " Une de mes amies , Simon O' kanada , s’ est demandé pourquoi son fils était toujours malade .

O'kanada kanada | w_freq: 2 - 2 | wiki_freq: 0 - 4 | sentence_idx: 251871 | align_1: 3-8 | align_2: 4-12 | ner_entity: Simon O'kanada-Simon O' kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| " Une de mes amies , Simon O' kanada , s’ est demandé pourquoi son fils était toujours malade .

Twyfelfontein Twyfelfontein | w_freq: 1 - 1 | wiki_freq: 33 - 16 | sentence_idx: 252476 | align_1: 3-3 | align_2: 4-8 | ner_entity: Twyfelfontein-Twyfelfontein |    The elephants at Twyfelfontein two days ago must have been one group . ||| Les éléphants de Twyfelfontein , il y a deux jours a doivent être un groupe .

E-7 E-7 | w_freq: 23 - 21 | wiki_freq: 243 - 16 | sentence_idx: 257369 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-7 |    E-7 And so , I 'll try to let you out each night if ... ||| E-7 ( 18 ) Et ainsi , je vais essayer de vous laisser partir chaque soir si ...

Grubach Grubach | w_freq: 2 - 2 | wiki_freq: 6 - 3 | sentence_idx: 259554 | align_1: 4-5 | align_2: 5-12 | ner_entity: Paul Grubach-Paul Grubach |    At the time Paul Grubach had not shrunk from writing : “ Mark Weber is to be congratulated [ … ] . ||| A l’ époque , Paul Grubach , pour sa part , n’ avait pas craint d’ écrire : « Mark Weber is to be congratulated [ … ] .

TFEU TFUE | w_freq: 29 - 27 | wiki_freq: 445 - 278 | sentence_idx: 264970 | align_1: 2-3 | align_2: 3-8 | ner_entity: Article 24 TFEU-TFUE |    Article 24 TFEU directly governs the way in which the European institutions work regarding the use of the twenty-four languages . ||| L' article 24 TFUE régit , de façon directe , le mode de travail des institutions européennes quant à l' utilisation des vingt-quatre langues .

WMO WMO | w_freq: 5 - 1 | wiki_freq: 816 - 17 | sentence_idx: 276689 | align_1: 3-4 | align_2: 4-14 | ner_entity: WMO-WMO |    ‘ Even if WMO agrees , I will still not pass on the data . ||| « Même si la WMO [ Organisation mondiale de la météorologie ] est d’ accord , je ne vais toujours pas transmettre les données .

11.13 11.13 | w_freq: 2 - 2 | wiki_freq: 121 - 4 | sentence_idx: 277971 | align_1: 0-0 | align_2: 1-5 | ner_entity: 11.13-none |    11.13 Are there new passport requirements for travel to the United States under the VWP ? ||| 11.13 Y - a -t -il de nouvelles exigences concernant les passeports pour voyager aux USA via le VWP ?

Mohamud Mohamud | w_freq: 1 - 1 | wiki_freq: 680 - 18 | sentence_idx: 280811 | align_1: 2-1 | align_2: 3-11 | ner_entity: Mohamud-Mohamud |    Somalia President Mohamud also acknowledged that this is a major difficulty . ||| M. Mohamud , le président de la Somalie , a lui aussi reconnu qu’ il s’ agissait d’ une difficulté majeure .

Delivering Livrer | w_freq: 8 - 1 | wiki_freq: 544 - 9 | sentence_idx: 281668 | align_1: 5-5 | align_2: 6-10 | ner_entity: none-Croyance # 3 : « Livrer de la valeur d’ affaires |    Belief # 3 : “ Delivering business value is more important than individual employee utilization . ” ||| Croyance # 3 : «   Livrer de la valeur d’ affaires est plus important que l’ utilisation individuelle des employés .   »

E-194 E-194 | w_freq: 8 - 6 | wiki_freq: 0 - 0 | sentence_idx: 295564 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-194 |    E-194 But God has got a Christmas Present for you tonight . ||| E-194 ( 193 ) Mais Dieu a un Cadeau de Noël pour vous ce soir .

Muzito Muzito | w_freq: 1 - 1 | wiki_freq: 61 - 115 | sentence_idx: 303887 | align_1: 1-1 | align_2: 2-6 | ner_entity: Adolphe Muzito-Adolphe Muzito |    Adolphe Muzito therefore believes that the Congolese people generally need moral and psychological support . ||| Adolphe Muzito pense , de ce fait , que le peuple congolais a besoin de manière générale d’ un soutien moral et psychologique .

Mataji Mataji | w_freq: 18 - 18 | wiki_freq: 239 - 37 | sentence_idx: 313739 | align_1: 7-5 | align_2: 8-9 | ner_entity: Mataji-Mataji |    They started saying , " When is Mataji coming ? ||| Ils ont commencé à dire:"Quand Mataji va -t -elle venir ?

E-35 E-35 | w_freq: 22 - 25 | wiki_freq: 12 - 1 | sentence_idx: 316833 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-35 |    E-35 And then , we seen all along the road the hand of the Lord . ||| E-35 ( 33 ) Et puis , nous avons vu , tout le long du chemin , la main du Seigneur .

Morag Morag | w_freq: 5 - 5 | wiki_freq: 897 - 53 | sentence_idx: 317961 | align_1: 5-8 | align_2: 6-13 | ner_entity: Morag-Morag |    Just as they supported destroying Morag eight years ago . ||| Exactement comme ils ont soutenu la destruction de Morag , il y a huit ans .

Shu'aib Chuaïb | w_freq: 2 - 3 | wiki_freq: 29 - 0 | sentence_idx: 330047 | align_1: 11-5 | align_2: 12-14 | ner_entity: Shu'aib-Chuaïb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui traitaient Chuaïb de menteur ( disparurent ) comme s´ils n´y avaient jamais vécu .

Cohenim Cohenim | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 338349 | align_1: 6-8 | align_2: 7-12 | ner_entity: Cohenim-Cohenim |    My parents actually thought we were Cohenim — the real thing . ||| Mes parents croyaient en effet que nous étions Cohenim ( sic ) – le vrai du vrai .

E-383 E-383 | w_freq: 4 - 1 | wiki_freq: 0 - 0 | sentence_idx: 351854 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-383 |    E-383 How many women in here this morning ... ||| E-383 ( 382 ) Combien de femmes ici ce matin ...

3.2.10 3.2.10 | w_freq: 1 - 1 | wiki_freq: 9 - 1 | sentence_idx: 352341 | align_1: 0-0 | align_2: 1-4 | ner_entity: 3.2.10 Auto Invest-none |    3.2.10 Auto Invest invests in loans on the secondary market ? ||| 3.2.10 Est -ce que Auto Invest investit dans des prêts sur le marché secondaire ?

Gnosis Gnose | w_freq: 29 - 30 | wiki_freq: 389 - 103 | sentence_idx: 352421 | align_1: 5-7 | align_2: 6-12 | ner_entity: none-Gnose |    But really , religion and Gnosis disagree with this because we understand the consciousness in a very different way from Western psychology . ||| Mais réellement , la religion et la Gnose ne sont pas d’ accord avec cela parce que nous comprenons la Conscience d’ une manière très différente de la psychologie occidentale .

Slutwalk Slutwalk | w_freq: 1 - 1 | wiki_freq: 46 - 9 | sentence_idx: 355867 | align_1: 16-19 | align_2: 17-27 | ner_entity: Slutwalk-Slutwalk |    It would appear that , through lack of clarity , something has finally become clear : Slutwalk has lost me . ||| Il semblerait que , par manque de clarté , quelque chose est finalement devenu très clair : la « Slutwalk » ( Marche des salopes ) m’ a perdue .

MEE MEE | w_freq: 7 - 7 | wiki_freq: 90 - 19 | sentence_idx: 360679 | align_1: 7-6 | align_2: 8-11 | ner_entity: MEE-MEE |    All the young refugees who spoke to MEE emphasised that they do not view the Nakba as simply a historical event which began and ended in 1948 . ||| Tous les jeunes réfugiés avec qui MEE s’ est entretenu ont insisté sur le fait qu’ ils ne considèrent pas la Nakba comme un simple événement historique qui a commencé et s’ est terminé en 1948 .

Moriah Moriya | w_freq: 6 - 2 | wiki_freq: 946 - 90 | sentence_idx: 361314 | align_1: 6-5 | align_2: 7-10 | ner_entity: Moriah-Moriya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . »

Kerviel Kerviel | w_freq: 2 - 2 | wiki_freq: 129 - 223 | sentence_idx: 366317 | align_1: 5-5 | align_2: 6-9 | ner_entity: Jérôme Kerviel-Jérôme Kerviel |    ( II ): how Jérôme Kerviel managed to get out of this framework ? ||| II ) : comment Jérôme Kerviel a -t -il réussi à sortir de ce cadre ?

Syriza Syriza | w_freq: 93 - 95 | wiki_freq: 532 - 44 | sentence_idx: 371356 | align_1: 2-1 | align_2: 3-6 | ner_entity: Syriza-Syriza |    Why was Syriza not able to reach an agreement with the Communist Party ( KKE ) ? ||| Pourquoi Syriza n’ a -t -il pas été en mesure de parvenir à un accord avec le Parti communiste grec ( KKE ) ?

weblogs Weblogs | w_freq: 1 - 1 | wiki_freq: 171 - 6 | sentence_idx: 379405 | align_1: 15-14 | align_2: 16-19 | ner_entity: none-Weblogs |    [ May 28 , 1999 ] In April 1997 I started one of the first weblogs , Scripting News . ||| [ 28 mai 1999 ] En avril 1997 j' ai démarré un des premiers Weblogs ( carnets Web ) , Scripting News .

OpKKK OpKKK | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 379516 | align_1: 7-9 | align_2: 8-16 | ner_entity: none-OpKKK |    You should 've expected us . # OpKKK continues to be a success . ||| " Vous auriez dû nous voir venir . # OpKKK [ leur actionanti - KKK ] continue d' être un succès .

IEM IEM | w_freq: 3 - 4 | wiki_freq: 514 - 213 | sentence_idx: 382145 | align_1: 9-11 | align_2: 10-15 | ner_entity: IEM-none |    In 1988 was created the first prediction market : IEM – the electronic market of Iowa . ||| En 1988 fut créé le premier marché de prédictions : l' IEM ( en ) - le marché électronique de l' Iowa .

Preobrazhensky Préobrazhensky | w_freq: 1 - 1 | wiki_freq: 433 - 0 | sentence_idx: 388251 | align_1: 10-12 | align_2: 11-16 | ner_entity: Preobrazhensky-Préobrazhensky |    If Marx had not been very clear about this , Preobrazhensky had been very clear . ||| Si Marx n’ avait pas été très clair à ce sujet , Préobrazhensky , lui , avait été très clair .

Abadi Abadi | w_freq: 6 - 8 | wiki_freq: 533 - 176 | sentence_idx: 390924 | align_1: 3-4 | align_2: 4-8 | ner_entity: Abadi-Abadi |    This is what Abadi failed to do throughout his term in office , despite his recent electoral speech about his will to fight corruption . ||| C’ est ce qu’ Abadi n’ a pas réussi à faire tout au long de son mandat , malgré son discours électoral récent sur sa volonté de combattre la corruption .

Precursor Precursor | w_freq: 2 - 1 | wiki_freq: 713 - 35 | sentence_idx: 403693 | align_1: 1-1 | align_2: 2-5 | ner_entity: none-Sentinel-5 Precursor |    Sentinel-5 Precursor focussing on gases and aerosols ; ||| Sentinel-5 Precursor , qui se focalise sur les gaz et les aérosols ;

85/337 85/337 | w_freq: 3 - 3 | wiki_freq: 5 - 3 | sentence_idx: 407447 | align_1: 11-18 | align_2: 12-22 | ner_entity: Article 10a of Directive 85/337-none |    Article 11 of Directive 2011/92 was originally Article 10a of Directive 85/337 . ||| L’ article 11 de la directive 2011/92 était à l’ origine l’ article 10 bis de la directive 85/337 ( 10 ) .

Caligastia Caligastia | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 416846 | align_1: 18-21 | align_2: 19-25 | ner_entity: Caligastia-Caligastia |    But it became impossible for these souls to leave these places around Earth in the way Lucifer and Caligastia acted . ||| Mais cela devenait impossible pour ces âmes de quitter ces lieux autour de la terre de la façon dont Lucifer et Caligastia s’ y sont pris .

106,000 106000 | w_freq: 2 - 1 | wiki_freq: 456 - 9 | sentence_idx: 420072 | align_1: 3-4 | align_2: 4-8 | ner_entity: 106,000-none |    Costsofwar.com has tallied 106,000 Americans wounded in Iraq and Afghanistan or evacuated from those war zones because of accident or disease . ||| Costsofwar.com a évalué à 106000 le nombre d’ américains blessés en Irak et en Afghanistan , ou évacués de ces zones de guerre , pour cause d’ accident , ou de maladie .

5.8The 5.8La | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 425184 | align_1: 0-0 | align_2: 1-8 | ner_entity: 5.8The Abortion Information Act-none |    5.8The Abortion Information Act can be described as a system of strict State control governing the manner in which information must be given . ||| 5.8La loi sur l’ information relative à l’ avortement peut être décrite comme un système de contrôle étatique strict régissant la manière dont l’ information doit être fournie .

millennials Millenials | w_freq: 81 - 4 | wiki_freq: 944 - 10 | sentence_idx: 427874 | align_1: 9-12 | align_2: 10-16 | ner_entity: none-Millenials |    So then , the real question … Do us millennials travel only to take pictures ? ||| La vraie question est donc … Est -ce que nous , les Millenials , on ne voyage que pour prendre des photos ?

LUXEMBOURG LUXEMBOURG | w_freq: 2 - 2 | wiki_freq: 8 - 7 | sentence_idx: 431244 | align_1: 0-0 | align_2: 1-4 | ner_entity: LUXEMBOURG-LUXEMBOURG |    LUXEMBOURG – If you want your past to be forgotten on the internet , it might be best to move to Europe . ||| LUXEMBOURG ( Reuters ) – Si vous souhaitez que votre passé soit oublié sur Internet , le mieux est peut-être de déménager en Europe .

