11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | entity: 11.1 Party - none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue . 
Gnosis Gnose | w_freq: 29 - 30 | wiki_freq: 389 - 103 | sentence_idx: 49505 | align_1: 5-7 | align_2: 6-12 | entity: none - Gnose |    But really , religion and Gnosis disagree with this because we understand the Consciousness in a very different way from Western psychology . ||| Mais réellement , la religion et la Gnose ne sont pas d’ accord avec cela parce que nous comprenons la Conscience d’ une manière très différente de la psychologie occidentale . 

Kigali Kigali | w_freq: 35 - 35 | wiki_freq: 2288 - 1029 | sentence_idx: 49516 | align_1: 4-5 | align_2: 5-10 | entity: Kigali - Kigali |    Official sources reached in Kigali disagree . ||| Les sources officielles contactées à Kigali ne sont pas d’ accord . 

Cypriots Chypriotes | w_freq: 55 - 50 | wiki_freq: 2804 - 454 | sentence_idx: 54686 | align_1: 21-23 | align_2: 22-27 | entity: Cypriots - Chypriotes |    The final solution of the Cyprus problem can not be imposed on other countries , it must be taken by the Cypriots . ||| La solution finale au problème de Chypre ne peut pas être imposée par d' autres pays , elle doit être acceptée par les Chypriotes eux - mêmes . 

PKK PKK | w_freq: 74 - 76 | wiki_freq: 3551 - 1055 | sentence_idx: 56989 | align_1: 12-14 | align_2: 13-18 | entity: PKK - PKK |    The government built a factory in the southeast of Turkey but the PKK exploded it . ||| Le gouvernement a construit une usine dans le Sud-Est de la Turquie mais le PKK l’ a fait exploser . 

E-48 E-48 | w_freq: 18 - 19 | wiki_freq: 3 - 3 | sentence_idx: 58126 | align_1: 0-0 | align_2: 1-4 | entity: none - E-48 |    E-48 Now , I want to say something to you , you that 's been here all week . ||| E-48 ( 95 ) Maintenant , je veux vous dire quelque chose , vous qui avez été ici toute la semaine . 

Mosiah Mosiah | w_freq: 3 - 3 | wiki_freq: 230 - 17 | sentence_idx: 60277 | align_1: 8-6 | align_2: 9-12 | entity: Mosiah - Mosiah |    How did the conversion of the sons of Mosiah influence their desire to be missionaries ? ||| Comment la conversion des fils de Mosiah a -t -elle eu une influence sur leur désir d’ être des missionnaires ? 

E-6 E-6 | w_freq: 24 - 23 | wiki_freq: 341 - 46 | sentence_idx: 73229 | align_1: 0-0 | align_2: 1-8 | entity: none - E-6 |    E-6 A lady came in not long ago , her boy is an exterminator at Texarkana . ||| E-6 Il n' y a pas longtemps , une dame est venue , son fils est un exterminateur à Texarkana . 

NOTE NOTEZ | w_freq: 96 - 2 | wiki_freq: 2069 - 1 | sentence_idx: 80802 | align_1: 1-0 | align_2: 2-5 | entity: none - NOTEZ |    PLEASE NOTE : As with all of this Web site , I try to give general answers to common questions my patients and their parents ask me in my ( real ) office . ||| NOTEZ S’ IL VOUS PLAÎT : Comme avec tous de ce site Web , je tente de donner des réponses générales aux questions courantes mes patients et leurs parents me demandent mon ( vrai ) bureau . 

NEWater NEWater | w_freq: 1 - 1 | wiki_freq: 75 - 1 | sentence_idx: 80806 | align_1: 6-7 | align_2: 7-14 | entity: none - NEWater |    If Singapore does not have enough NEWater after 2011 , that is Singapore 's own doing , right ? ||| Si Singapour n' a pas assez de NEWater [ Ndt : eau recyclée ] après 2011 , cela ne regarde que Singapour , n' est -ce pas ? 

Peres Peres | w_freq: 21 - 18 | wiki_freq: 2811 - 620 | sentence_idx: 81104 | align_1: 2-3 | align_2: 3-7 | entity: Peres - Peres |    To which Peres once patiently responded to me : “ Doubt is not a policy . ||| Ce à quoi Peres m’ a une fois patiemment répondu : « le doute n’ est pas une politique . 

Cayce Cayce | w_freq: 12 - 12 | wiki_freq: 616 - 94 | sentence_idx: 82261 | align_1: 11-11 | align_2: 12-16 | entity: Edgar Cayce - Edgar Cayce |    Imagine having the ability to predict your own death – Edgar Cayce did . ||| Imaginez avoir la capacité de prévoir votre propre mort – Edgar Cayce lui , l’ a fait . 

Conventions Conventions | w_freq: 85 - 58 | wiki_freq: 4960 - 752 | sentence_idx: 82566 | align_1: 8-8 | align_2: 9-13 | entity: the Geneva Conventions - Conventions de Genève |    Had I thought we were following the Geneva Conventions as an officer I would have investigated what was clearly a very suspicious situation . ’ ||| Si j’ avais pensé que nous suivions les Conventions de Genève , en tant qu’ officier j’ aurais enquêté sur ce qui était clairement une situation très suspecte . ” 

Conventions Conventions | w_freq: 85 - 58 | wiki_freq: 4960 - 752 | sentence_idx: 82567 | align_1: 8-8 | align_2: 9-13 | entity: the Geneva Conventions - Conventions de Genève |    Had I thought we were following the Geneva Conventions as an officer I would have investigated what was clearly a very suspicious situation . ’ ||| Si j' avais pensé que nous suivions les Conventions de Genève , en tant qu' officier j' aurais enquêté sur ce qui était clairement une situation très suspecte . ” 

Cosmogonies Cosmogonies | w_freq: 1 - 1 | wiki_freq: 4 - 14 | sentence_idx: 84519 | align_1: 2-3 | align_2: 3-7 | entity: Cosmogonies " Water " - Cosmogonies |    In all Cosmogonies " Water " plays the same important part . ||| Dans toutes les Cosmogonies , l ' " Eau " joue le même rôle important . 

Kortenoeven Kortenoeven | w_freq: 1 - 1 | wiki_freq: 14 - 0 | sentence_idx: 91049 | align_1: 0-0 | align_2: 1-5 | entity: Kortenoeven - Kortenoeven |    Kortenoeven furthermore inquired whether the size of the Iranian Embassy in The Hague was proportional to actual relations between Iran and the Netherlands ? ||| Kortenoeven s’ est , de plus , enquis de savoir si la taille de l’ Ambassade iranienne à la Haye était proportionnelle au niveau réel des relations entre l’ Iran et les Pays - Bas ? 

WTO OMC | w_freq: 295 - 296 | wiki_freq: 3840 - 1280 | sentence_idx: 91954 | align_1: 17-16 | align_2: 18-21 | entity: WTO - OMC |    We also commit ourselves to fight against the disastrous aspects of the post-Doha work programme of the WTO and against the undemocratic nature of the WTO system . ||| Nous nous engageons également à lutter contre les aspects catastrophiques du programme de travail de l' OMC pour l' après-Doha , et contre la nature antidémocratique du système de l' OMC . 

Fergus Fergus | w_freq: 4 - 4 | wiki_freq: 4467 - 737 | sentence_idx: 96633 | align_1: 7-10 | align_2: 8-16 | entity: Fergus - M. Fergus |    When I was here last , Mr. Fergus rightly observed that diabetes is a scourge . ||| La dernière fois que je suis venue ici , M. Fergus a fait remarquer , à juste titre , que le diabète est un fléau . 

E-15 E-15 | w_freq: 29 - 28 | wiki_freq: 34 - 6 | sentence_idx: 97305 | align_1: 0-0 | align_2: 1-4 | entity: none - E-15 |    E-15 But , you know , if I said anything different than what 's in my heart , I 'd be a hypocrite . ||| E-15 ( 12 ) Mais , vous savez , si je disais autre chose que ce qui est dans mon coeur , je serais un hypocrite . 

Guidelines Principes | w_freq: 73 - 79 | wiki_freq: 4619 - 3361 | sentence_idx: 98031 | align_1: 20-23 | align_2: 21-31 | entity: the OECD Guidelines - Principes directeurs |    The implementation process of these principles at national level is underway in 25 countries and is integrated into the OECD Guidelines for multinationals.[14 ] ||| Le processus de mise en place de ces principes au niveau national est en cours dans 25 pays et est intégré dans les Principes directeurs de l’ OCDE à l’ intention des multinationales.[14 ] 

LFI LFI | w_freq: 6 - 7 | wiki_freq: 220 - 542 | sentence_idx: 104016 | align_1: 7-7 | align_2: 8-12 | entity: LFI - LFI |    But the systematic dictatorial internal functioning of LFI was not yet known to the general public . ||| Mais le fonctionnement interne systématiquement dictatorial de LFI , lui , n’ était pas encore connu du grand public . 

L-260 E-260 | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 118371 | align_1: 0-0 | align_2: 1-4 | entity: none - E-260 |    L-260 Now just take a look at yourself in God 's mirror , and just see if you can identify yourself tonight . ||| E-260 ( 190 ) Maintenant jetez simplement un regard sur vous - même à travers le miroir de Dieu et voyez si seulement vous pouvez vous identifier ce soir . 

Oakwell Oakwell | w_freq: 1 - 1 | wiki_freq: 377 - 5 | sentence_idx: 119482 | align_1: 12-12 | align_2: 13-17 | entity: Oakwell - Oakwell |    However , the way in which they went about their business at Oakwell last weekend was pleasing . ||| Cependant , la façon dont ils s’ occupaient de leurs affaires à Oakwell le week - end dernier était agréable . 

BDS BDS | w_freq: 97 - 96 | wiki_freq: 2109 - 422 | sentence_idx: 119552 | align_1: 18-12 | align_2: 19-18 | entity: none - BDS |    We are now beginning to harvest the fruits of 10 years of strategic , morally-consistent and undeniably effective BDS human rights campaigning . ||| Nous commençons maintenant à récolter les fruits de 10 ans de campagne BDS pour les droits de l’ Homme , stratégique , moralement cohérente et indéniablement efficace . 

Processes Processus | w_freq: 8 - 41 | wiki_freq: 2258 - 1787 | sentence_idx: 124279 | align_1: 3-2 | align_2: 4-7 | entity: none - Processus de Transformation |    Changing the Transformation Processes themselves , with the aim of making them more efficient is even more difficult because they are more complex . ||| Changer les Processus de Transformation eux - mêmes dans le but de les rendre plus efficace est encore plus difficile parce qu’ ils sont plus complexes . 

Hittite Hittite | w_freq: 4 - 2 | wiki_freq: 3785 - 113 | sentence_idx: 129126 | align_1: 10-11 | align_2: 11-16 | entity: Uriah the Hittite - Hittite |    Then you shall say , ‘ Your servant Uriah the Hittite also died . ’ " ||| Alors , tu lui diras : “ Ton serviteur Ourias le Hittite est mort , lui aussi ! ” » 

E-126 E-126 | w_freq: 11 - 14 | wiki_freq: 33 - 9 | sentence_idx: 131195 | align_1: 0-0 | align_2: 1-4 | entity: none - E-126 |    E-126 We have had many great battles , spiritual battles . ||| E-126 ( 73 ) Nous avons eu beaucoup de grandes batailles , des batailles spirituelles . 

ECB BCE | w_freq: 271 - 279 | wiki_freq: 2989 - 1178 | sentence_idx: 132852 | align_1: 3-2 | align_2: 4-7 | entity: ECB - BCE |    Why has the ECB not used debt purchases to support more directly the ecological transition or the fight against inequality ? ||| Pourquoi la BCE n’ a -t -elle pas utilisé les rachats des dettes pour soutenir plus directement la transition écologique ou la lutte contre les inégalités ? 

E-24 E-24 | w_freq: 25 - 22 | wiki_freq: 16 - 2 | sentence_idx: 136294 | align_1: 0-0 | align_2: 1-4 | entity: none - E-24 |    E-24 You see , there 's probably one or two strangers with us this morning . ||| E-24 ( 9 ) Vous voyez , il y a probablement un ou deux étrangers parmi nous , ce matin . 

BULLY-180….what BULLY-180 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 139696 | align_1: 0-0 | align_2: 1-8 | entity: none - BULLY-180 |    BULLY-180….what ’s in a name ? ||| BULLY-180 … .Qu' est -ce qu' il y a dans un nom ? 

Gwion Gwion | w_freq: 1 - 1 | wiki_freq: 211 - 42 | sentence_idx: 145088 | align_1: 8-8 | align_2: 9-15 | entity: Gwion - Gwion |    Imagine you can drink Awen – after all Gwion did . ||| Imaginez pouvoir boire l’ Awen – après tout Gwion , lui , l’ a bien fait . 

Orihara Orihara | w_freq: 2 - 2 | wiki_freq: 108 - 17 | sentence_idx: 145156 | align_1: 18-18 | align_2: 19-22 | entity: Orihara - Orihara |    No , I just want to know what kind of students they are , not their relationship with Orihara . ||| Non , je veux juste savoir quel genre d’ étudiants ils sont , et pas leur relation avec Orihara , pensai -je . 

Truly Oh | w_freq: 125 - 766 | wiki_freq: 1959 - 3926 | sentence_idx: 146891 | align_1: 0-0 | align_2: 1-5 | entity: none - Oh ! |    Truly blessed and grateful . " ||| Oh ! qu’ elle est heureuse et reconnaissante ! " 

GYN GYN | w_freq: 4 - 6 | wiki_freq: 253 - 0 | sentence_idx: 154769 | align_1: 8-10 | align_2: 9-15 | entity: none - GYN |    It is important to note that OB / GYN malpractice insurance premiums are among the highest for physicians . ||| Il est important de noter que les primes OB / GYN d’ assurance contre la faute professionnelle sont parmi les plus élevés pour les médecins . 

IMMAYAH IMMAYAH | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 167250 | align_1: 10-9 | align_2: 11-13 | entity: none - IMMAYAH |    Do you really have the RUACH ha KODESH , your IMMAYAH within ? ||| Avez -vous réellement la RUACH ha KODESH , votre IMMAYAH , à l’ intérieur de vous ? 

Pleiadian Pléiadien | w_freq: 4 - 1 | wiki_freq: 6 - 0 | sentence_idx: 170322 | align_1: 7-8 | align_2: 8-12 | entity: Pleiadian - Pléiadien |    H : Are Resistance Movement or the Pleiadian aware of any of the mass meditations we are doing daily on the We Love Mass Meditation ( WLMM ) blog ? ||| H : Le Mouvement de Résistance ou le Pléiadien sont -ils au courant de l' une des méditations de masse que nous faisons quotidiennement sur le blog We Love Mass Meditation ( WLMM ) ? 

Lenovo Lenovo | w_freq: 32 - 32 | wiki_freq: 2409 - 218 | sentence_idx: 188449 | align_1: 8-9 | align_2: 9-13 | entity: Lenovo - Lenovo |    This was one of my biggest concerns when Lenovo acquired Motorola a few years ago , but after seeing the Moto 360 Sport , it is no longer there . ||| C’ était l’ une de mes principales préoccupations lorsque Lenovo a fait l’ acquisition de Motorola il ya quelques années , mais après avoir vu le Moto 360 Sport , il n’ est plus là . 

Swank Swank | w_freq: 1 - 1 | wiki_freq: 985 - 131 | sentence_idx: 190967 | align_1: 6-6 | align_2: 7-11 | entity: Swank - Swank |    In Boys Do n't Cry , Swank actually transformed herself into the role of the character she was playing . ||| Dans Boys Don’ t Cry , Swank s’ est transformée en fait dans le rôle du personnage qu’ elle jouait . 

Buzzi Buzzi | w_freq: 1 - 1 | wiki_freq: 295 - 176 | sentence_idx: 192096 | align_1: 1-1 | align_2: 2-7 | entity: Buzzi - Buzzi |    Dr. Buzzi talked about a rehabilitation period of about five or six months , what do you think ? ||| M. Buzzi ( le médecin ) a parlé d’ une période de réhabilitation d’ environ cinq ou six mois , qu’ en pensez -vous ? 

Saint-Urbain Saint-Urbain | w_freq: 1 - 1 | wiki_freq: 97 - 401 | sentence_idx: 199196 | align_1: 7-7 | align_2: 8-12 | entity: Saint-Urbain - Saint-Urbain |    Unfortunately , it does not work in Saint-Urbain because we are between two mountains . ||| Malheureusement , cela ne fonctionne pas à Saint-Urbain , et c' est parce qu' on est entre deux monts . 

E-36 E-36 | w_freq: 27 - 30 | wiki_freq: 2 - 2 | sentence_idx: 204811 | align_1: 0-0 | align_2: 1-4 | entity: none - E-36 |    E-36 And there was an old fisherman . ||| E-36 ( 56 ) Et il y avait là un vieux pêcheur . 

Yolande Yolande | w_freq: 1 - 3 | wiki_freq: 1339 - 2051 | sentence_idx: 208762 | align_1: 4-5 | align_2: 5-9 | entity: Yolande - Yolande |    What has changed in Yolande is not what she sees . ||| Ce qui a changé en Yolande , ce n’ est pas ce qu’ elle voit . 

CAP PAC | w_freq: 107 - 121 | wiki_freq: 3916 - 1256 | sentence_idx: 210078 | align_1: 9-8 | align_2: 10-14 | entity: CAP - PAC |    On the issue of pesticides , will the new CAP reduce their use ? ||| Sur la question des pesticides , la nouvelle PAC va -t -elle permettre de réduire leur usage   ? 

Islamists islamistes | w_freq: 107 - 151 | wiki_freq: 2538 - 3389 | sentence_idx: 211028 | align_1: 5-3 | align_2: 6-9 | entity: Islamists - none |    Some of the radical young Islamists will instinctively support the struggle . ||| Certains des jeunes islamistes radicaux , au contraire , soutiendront instinctivement la lutte . 

Extinction Extinction | w_freq: 13 - 11 | wiki_freq: 2201 - 534 | sentence_idx: 212538 | align_1: 2-0 | align_2: 3-5 | entity: none - Extinction |    Polar Bear Extinction – actually they are increasing ! ||| Extinction de l’ ours blanc – en fait , ils augmentent ! 

Landscapes Landscapes | w_freq: 3 - 1 | wiki_freq: 1773 - 61 | sentence_idx: 214545 | align_1: 10-10 | align_2: 11-18 | entity: none - Initiative for Sustainable Landscapes [ Initiative pour des paysages durables |    In parnership with Olam and ISLA ( Initiative for Sustainable Landscapes ) . ||| En partenariat avec Olam et ISLA ( Initiative for Sustainable Landscapes [ Initiative pour des paysages durables ] ) . 

E-51 E-51 | w_freq: 24 - 25 | wiki_freq: 13 - 2 | sentence_idx: 214596 | align_1: 0-0 | align_2: 1-5 | entity: E-51 - E-51 |    E-51 Another hand or two before we go further ? ||| E-51 Y a -t -il encore une ou deux mains avant que nous allions plus loin ? 

Antarik Antarik | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 216051 | align_1: 24-24 | align_2: 25-28 | entity: Antarik - Antarik |    I did not expect , however , that the most beautiful week of my life will be on your course of Spiritual Regression in Antarik ! ||| Je ne me attendais pas , cependant , que la plus belle semaine de ma vie sera sur votre cours de régression spirituelle dans Antarik ( Cz ) ! 

Lac-Mégantic Mégantic | w_freq: 9 - 10 | wiki_freq: 265 - 595 | sentence_idx: 217192 | align_1: 9-12 | align_2: 10-16 | entity: Lac-Mégantic - Lac - Mégantic |    The fact that 47 people were burned alive in Lac-Mégantic is not a conspiracy . ||| Le fait que 47 personnes aient été brûlées vives à Lac - Mégantic , ce n' est pas un complot . 

MBS MBS | w_freq: 17 - 18 | wiki_freq: 1474 - 283 | sentence_idx: 218101 | align_1: 0-0 | align_2: 1-5 | entity: MBS - MBS |    MBS also failed to contain the loss he “ inherited ” from the failures of previous Saudi policies in Lebanon and Iraq . ||| MBS n’ a pas non plus réussi à contenir la perte qu’ il a « hérité » des échecs des précédentes politiques saoudiennes au Liban et en Irak . 

Priority Priority | w_freq: 65 - 3 | wiki_freq: 4585 - 126 | sentence_idx: 223388 | align_1: 2-2 | align_2: 3-10 | entity: none - Name Resolution Priority |    Name Resolution Priority : This refers to the name resolution on the Windows network . ||| Name Resolution Priority ( Priorité de résolution de nom ) : Cela concerne la résolution de nom sur le réseau Windows . 

E-95 E-95 | w_freq: 13 - 15 | wiki_freq: 3 - 1 | sentence_idx: 223424 | align_1: 0-0 | align_2: 1-5 | entity: none - E-95 |    E-95 Not long ago , an old Baptist preacher out there ... ||| E-95 Il n’ y a pas longtemps , un vieux prédicateur baptiste là - bas ... 

Ernman Ernman | w_freq: 2 - 2 | wiki_freq: 100 - 36 | sentence_idx: 227553 | align_1: 2-1 | align_2: 3-6 | entity: Malena Ernman - Malena Ernman |    Did Malena Ernman not publish a book with her husband just a few days before the start of Greta 's strike ? ||| Malena Ernman n’ a -t -elle pas publié un livre , avec son conjoint , quelques jours à peine avant le début de la grève de Greta ? 

Abs Abs | w_freq: 8 - 7 | wiki_freq: 542 - 58 | sentence_idx: 228006 | align_1: 14-17 | align_2: 15-23 | entity: Abs - Abs |    When I visited Yemen in September , I went to the northern city of Abs , where we support the only fully functioning hospital in a rural area . ||| Lorsque j’ ai visité le Yémen en septembre , je me suis rendu dans la ville d’ Abs , au Nord du pays , où nous soutenons le seul hôpital pleinement fonctionnel en zone rurale . 

31.12 31.12 | w_freq: 1 - 1 | wiki_freq: 28 - 1 | sentence_idx: 235639 | align_1: 4-6 | align_2: 5-10 | entity: 31.12 - none |    A third sit-in on 31.12 was also once again violently broken up . ||| Un troisième sit - in le 31.12 . , a été une fois de plus dispersé violemment . 

Oriflame Oriflame | w_freq: 5 - 5 | wiki_freq: 57 - 6 | sentence_idx: 240383 | align_1: 6-6 | align_2: 7-10 | entity: Oriflame - Oriflame |    It turns out that the company Oriflame except cosmetics produces good vitamins ! . ||| Il s' avère que la société Oriflame , à l' exception des cosmétiques , produit de bonnes vitamines ! . 

Al-Hashir Hashir | w_freq: 1 - 1 | wiki_freq: 0 - 6 | sentence_idx: 242006 | align_1: 2-4 | align_2: 3-10 | entity: Al-Hashir - Hashir |    I am Al-Hashir who will be the first to be resurrected , with the people being resurrected Hereafter . ||| je suis al - Hashir ( le rassembleur ) , qui sera le premier à être ressuscité et après qui les gens seront ressuscités ; 

ECB BCE | w_freq: 271 - 279 | wiki_freq: 2989 - 1178 | sentence_idx: 249978 | align_1: 4-4 | align_2: 5-8 | entity: ECB - BCE |    Conversely though , the ECB uses and abuses ineffective monetary policies which have terrible repercussions on our daily lives . ||| En revanche , la BCE , elle , use et abuse de politiques monétaires inefficaces qui ont de terribles conséquences sur notre quotidien . 

EIONET EIONET | w_freq: 1 - 1 | wiki_freq: 1 - 6 | sentence_idx: 251586 | align_1: 13-12 | align_2: 14-25 | entity: none - EIONET |    According to a study of the European Environment Information and Observation Network ( EIONET ) , European countries generate high percentages of packaging waste . ||| Selon une étude de du European Environment Information and Observation Network ( EIONET ) ( Réseau d' observation et d' informations sur l' environnement européen ) , les pays européens génèrent d' importants pourcentages de déchets d' emballage . 

O'kanada kanada | w_freq: 2 - 2 | wiki_freq: 0 - 4 | sentence_idx: 251870 | align_1: 3-8 | align_2: 4-12 | entity: Simon O'kanada - Simon O' kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| " Une de mes amies , Simon O' kanada , s’ est demandé pourquoi son fils était toujours malade . 

O'kanada kanada | w_freq: 2 - 2 | wiki_freq: 0 - 4 | sentence_idx: 251871 | align_1: 3-8 | align_2: 4-12 | entity: Simon O'kanada - Simon O' kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| " Une de mes amies , Simon O' kanada , s’ est demandé pourquoi son fils était toujours malade . 

Twyfelfontein Twyfelfontein | w_freq: 1 - 1 | wiki_freq: 33 - 16 | sentence_idx: 252476 | align_1: 3-3 | align_2: 4-8 | entity: Twyfelfontein - Twyfelfontein |    The elephants at Twyfelfontein two days ago must have been one group . ||| Les éléphants de Twyfelfontein , il y a deux jours a doivent être un groupe . 

flyers Flyers | w_freq: 9 - 2 | wiki_freq: 2778 - 2204 | sentence_idx: 256371 | align_1: 28-32 | align_2: 29-36 | entity: none - Flyers |    The answer that many business owners , entrepreneurs and marketers ( including me ) have come up with is : yes , but they need to be good flyers . ||| La réponse que de nombreux propriétaires d`entreprises , les entrepreneurs et les commerçants ( y compris moi ) sont venus avec est : Oui , mais ils ont besoin d`être de bons Flyers ( ici ) . 

E-7 E-7 | w_freq: 23 - 21 | wiki_freq: 243 - 16 | sentence_idx: 257369 | align_1: 0-0 | align_2: 1-4 | entity: none - E-7 |    E-7 And so , I 'll try to let you out each night if ... ||| E-7 ( 18 ) Et ainsi , je vais essayer de vous laisser partir chaque soir si ... 

Grubach Grubach | w_freq: 2 - 2 | wiki_freq: 6 - 3 | sentence_idx: 259554 | align_1: 4-5 | align_2: 5-12 | entity: Paul Grubach - Paul Grubach |    At the time Paul Grubach had not shrunk from writing : “ Mark Weber is to be congratulated [ … ] . ||| A l’ époque , Paul Grubach , pour sa part , n’ avait pas craint d’ écrire : « Mark Weber is to be congratulated [ … ] . 

Dhamma Dhamma | w_freq: 18 - 17 | wiki_freq: 1093 - 36 | sentence_idx: 264772 | align_1: 6-6 | align_2: 7-14 | entity: Dhamma - Dhamma |    This , then , is why Dhamma is not yet an effective means to cure the world . ||| Voilà la raison pour laquelle le Dhamma , à l’ heure actuelle , n’ est pas encore un moyen efficace pour guérir le monde . 

