11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | ner_entity: 11.1 Party-none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue .
Beings Êtres | w_freq: 70 - 59 | wiki_freq: 777 - 101 | sentence_idx: 40151 | align_1: 20-23 | align_2: 21-28 | ner_entity: none-Êtres nobles |    For the first time since you were permitted to enter limited consciousness , you are to be acknowledged as worthy Beings by your former ' masters . ' ||| Pour la première fois depuis que vous avez eu la permission d’ entrer dans la conscience limitée , vous serez reconnus comme des Êtres nobles , de la part de vos anciens « maîtres » .

yesterday hier | w_freq: 708 - 859 | wiki_freq: 3562 - 1775 | sentence_idx: 41340 | align_1: 28-26 | align_2: 29-31 | ner_entity: yesterday-none |    This operation was passed onto you by your father , and you will certainly transmit it to your son ; what is the difference between the champagnes of yesterday and the ones of today and tomorrow ? ||| Cette exploitation vous a été transmise par votre père , vous la transmettrez certainement à votre fils , quelle est la différence entre le champagne d' hier , celui d' aujourd'hui et celui de demain ?

Knesset Knesset | w_freq: 65 - 67 | wiki_freq: 8500 - 1650 | sentence_idx: 41368 | align_1: 3-4 | align_2: 4-9 | ner_entity: Knesset-Knesset |    This Monday the Knesset reassembled for its winter session after a long ( and blessed ) vacation . ||| Ce lundi , la Knesset s’ est de nouveau réunie pour sa session d’ hiver après de longues ( et bienvenues ) vacances .

Visa Visa | w_freq: 158 - 113 | wiki_freq: 6274 - 978 | sentence_idx: 43723 | align_1: 16-16 | align_2: 17-20 | ner_entity: Working Holiday Visa-Visa Vacances - Travail |    Because without an international insurance certificate , I had no chance of getting my Working Holiday Visa for Argentina . ||| Parce que sans attestation d’ assurance internationale , je n’ avais aucune chance de décrocher mon Visa Vacances - Travail pour l’ Argentine .

E-79 E-79 | w_freq: 14 - 15 | wiki_freq: 7 - 2 | sentence_idx: 44069 | align_1: 0-0 | align_2: 1-7 | ner_entity: none-E-79 Fiston |    E-79 You 've been paralyzed like that a long time son , " but even now , Lord . " ||| E-79 Fiston , cela fait longtemps que tu es paralysé comme cela , « mais , même maintenant , Seigneur » .

Trish Trish | w_freq: 7 - 7 | wiki_freq: 2366 - 536 | sentence_idx: 44257 | align_1: 4-5 | align_2: 5-9 | ner_entity: none-Trish |    Success Stories : Why Trish Sold Everything She Owned to Travel ||| Histoires de réussite : Pourquoi Trish a -t -elle vendu tout ce qu' elle possédait pour voyager ?

Yentob Yentob | w_freq: 1 - 1 | wiki_freq: 173 - 10 | sentence_idx: 47951 | align_1: 1-1 | align_2: 2-6 | ner_entity: Yentob-Alan Yentob |    Did Yentob ever feel his salary — over £ 300,000 a year as creative director and documentary-maker — was excessive ? ||| Alan Yentob n’ a -t -il jamais pensé que son salaire – plus de 300   000   livres par an comme directeur créatif et documentariste – était excessif   ?

Mihigo Mihigo | w_freq: 1 - 1 | wiki_freq: 71 - 48 | sentence_idx: 49025 | align_1: 8-15 | align_2: 9-20 | ner_entity: Kizito Mihigo-Monsieur Kizito Mihigo |    We also welcome the release of Mr Kizito Mihigo at the same time with 2138 other prisoners . ||| Nous nous réjouissons également de ce qu’ un autre prisonnier de conscience , Monsieur Kizito Mihigo , ait été libéré en même temps que 2138 autres prisonniers .

Gnosis Gnose | w_freq: 29 - 30 | wiki_freq: 389 - 103 | sentence_idx: 49505 | align_1: 5-7 | align_2: 6-12 | ner_entity: none-Gnose |    But really , religion and Gnosis disagree with this because we understand the Consciousness in a very different way from Western psychology . ||| Mais réellement , la religion et la Gnose ne sont pas d’ accord avec cela parce que nous comprenons la Conscience d’ une manière très différente de la psychologie occidentale .

Kigali Kigali | w_freq: 35 - 35 | wiki_freq: 2288 - 1029 | sentence_idx: 49516 | align_1: 4-5 | align_2: 5-10 | ner_entity: Kigali-Kigali |    Official sources reached in Kigali disagree . ||| Les sources officielles contactées à Kigali ne sont pas d’ accord .

Cypriots Chypriotes | w_freq: 55 - 50 | wiki_freq: 2804 - 454 | sentence_idx: 54686 | align_1: 21-23 | align_2: 22-27 | ner_entity: Cypriots-Chypriotes |    The final solution of the Cyprus problem can not be imposed on other countries , it must be taken by the Cypriots . ||| La solution finale au problème de Chypre ne peut pas être imposée par d' autres pays , elle doit être acceptée par les Chypriotes eux - mêmes .

PKK PKK | w_freq: 74 - 76 | wiki_freq: 3551 - 1055 | sentence_idx: 56989 | align_1: 12-14 | align_2: 13-18 | ner_entity: PKK-PKK |    The government built a factory in the southeast of Turkey but the PKK exploded it . ||| Le gouvernement a construit une usine dans le Sud-Est de la Turquie mais le PKK l’ a fait exploser .

E-48 E-48 | w_freq: 18 - 19 | wiki_freq: 3 - 3 | sentence_idx: 58126 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-48 |    E-48 Now , I want to say something to you , you that 's been here all week . ||| E-48 ( 95 ) Maintenant , je veux vous dire quelque chose , vous qui avez été ici toute la semaine .

Nicaraguan nicaraguayennes | w_freq: 17 - 4 | wiki_freq: 5331 - 68 | sentence_idx: 59440 | align_1: 11-13 | align_2: 12-20 | ner_entity: Nicaraguan-none |    Hendrix ’s study surveys the deaths recorded by the three main Nicaraguan human rights organizations . ||| L’ étude de Hendrix examine les décès enregistrés par les trois principales organisations nicaraguayennes de défense des droits de l’ homme .

Mosiah Mosiah | w_freq: 3 - 3 | wiki_freq: 230 - 17 | sentence_idx: 60277 | align_1: 8-6 | align_2: 9-12 | ner_entity: Mosiah-Mosiah |    How did the conversion of the sons of Mosiah influence their desire to be missionaries ? ||| Comment la conversion des fils de Mosiah a -t -elle eu une influence sur leur désir d’ être des missionnaires ?

Israelis Israéliens | w_freq: 590 - 586 | wiki_freq: 6972 - 1730 | sentence_idx: 62465 | align_1: 20-22 | align_2: 21-27 | ner_entity: Israelis-Israéliens |    That was also the opinion of the governments of the organised international community , all of them , and you Israelis told them to go to hell . ” ||| C’ était aussi l’ avis des gouvernements de la communauté internationale organisée , de tous les gouvernements , et vous , les Israéliens , vous leur avez dit d’ aller au diable . »

E-6 E-6 | w_freq: 24 - 23 | wiki_freq: 341 - 46 | sentence_idx: 73229 | align_1: 0-0 | align_2: 1-8 | ner_entity: none-E-6 |    E-6 A lady came in not long ago , her boy is an exterminator at Texarkana . ||| E-6 Il n' y a pas longtemps , une dame est venue , son fils est un exterminateur à Texarkana .

NOTE NOTEZ | w_freq: 96 - 2 | wiki_freq: 2069 - 1 | sentence_idx: 80802 | align_1: 1-0 | align_2: 2-5 | ner_entity: none-NOTEZ |    PLEASE NOTE : As with all of this Web site , I try to give general answers to common questions my patients and their parents ask me in my ( real ) office . ||| NOTEZ S’ IL VOUS PLAÎT : Comme avec tous de ce site Web , je tente de donner des réponses générales aux questions courantes mes patients et leurs parents me demandent mon ( vrai ) bureau .

NEWater NEWater | w_freq: 1 - 1 | wiki_freq: 75 - 1 | sentence_idx: 80806 | align_1: 6-7 | align_2: 7-14 | ner_entity: none-NEWater |    If Singapore does not have enough NEWater after 2011 , that is Singapore 's own doing , right ? ||| Si Singapour n' a pas assez de NEWater [ Ndt : eau recyclée ] après 2011 , cela ne regarde que Singapour , n' est -ce pas ?

Peres Peres | w_freq: 21 - 18 | wiki_freq: 2811 - 620 | sentence_idx: 81104 | align_1: 2-3 | align_2: 3-7 | ner_entity: Peres-Peres |    To which Peres once patiently responded to me : “ Doubt is not a policy . ||| Ce à quoi Peres m’ a une fois patiemment répondu : « le doute n’ est pas une politique .

Cayce Cayce | w_freq: 12 - 12 | wiki_freq: 616 - 94 | sentence_idx: 82261 | align_1: 11-11 | align_2: 12-16 | ner_entity: Edgar Cayce-Edgar Cayce |    Imagine having the ability to predict your own death – Edgar Cayce did . ||| Imaginez avoir la capacité de prévoir votre propre mort – Edgar Cayce lui , l’ a fait .

Conventions Conventions | w_freq: 85 - 58 | wiki_freq: 4960 - 752 | sentence_idx: 82566 | align_1: 8-8 | align_2: 9-13 | ner_entity: the Geneva Conventions-Conventions de Genève |    Had I thought we were following the Geneva Conventions as an officer I would have investigated what was clearly a very suspicious situation . ’ ||| Si j’ avais pensé que nous suivions les Conventions de Genève , en tant qu’ officier j’ aurais enquêté sur ce qui était clairement une situation très suspecte . ”

Conventions Conventions | w_freq: 85 - 58 | wiki_freq: 4960 - 752 | sentence_idx: 82567 | align_1: 8-8 | align_2: 9-13 | ner_entity: the Geneva Conventions-Conventions de Genève |    Had I thought we were following the Geneva Conventions as an officer I would have investigated what was clearly a very suspicious situation . ’ ||| Si j' avais pensé que nous suivions les Conventions de Genève , en tant qu' officier j' aurais enquêté sur ce qui était clairement une situation très suspecte . ”

Cosmogonies Cosmogonies | w_freq: 1 - 1 | wiki_freq: 4 - 14 | sentence_idx: 84519 | align_1: 2-3 | align_2: 3-7 | ner_entity: Cosmogonies " Water "-Cosmogonies |    In all Cosmogonies " Water " plays the same important part . ||| Dans toutes les Cosmogonies , l ' " Eau " joue le même rôle important .

Kortenoeven Kortenoeven | w_freq: 1 - 1 | wiki_freq: 14 - 0 | sentence_idx: 91049 | align_1: 0-0 | align_2: 1-5 | ner_entity: Kortenoeven-Kortenoeven |    Kortenoeven furthermore inquired whether the size of the Iranian Embassy in The Hague was proportional to actual relations between Iran and the Netherlands ? ||| Kortenoeven s’ est , de plus , enquis de savoir si la taille de l’ Ambassade iranienne à la Haye était proportionnelle au niveau réel des relations entre l’ Iran et les Pays - Bas ?

WTO OMC | w_freq: 295 - 296 | wiki_freq: 3840 - 1280 | sentence_idx: 91954 | align_1: 17-16 | align_2: 18-21 | ner_entity: WTO-OMC |    We also commit ourselves to fight against the disastrous aspects of the post-Doha work programme of the WTO and against the undemocratic nature of the WTO system . ||| Nous nous engageons également à lutter contre les aspects catastrophiques du programme de travail de l' OMC pour l' après-Doha , et contre la nature antidémocratique du système de l' OMC .

Fergus Fergus | w_freq: 4 - 4 | wiki_freq: 4467 - 737 | sentence_idx: 96633 | align_1: 7-10 | align_2: 8-16 | ner_entity: Fergus-M. Fergus |    When I was here last , Mr. Fergus rightly observed that diabetes is a scourge . ||| La dernière fois que je suis venue ici , M. Fergus a fait remarquer , à juste titre , que le diabète est un fléau .

E-15 E-15 | w_freq: 29 - 28 | wiki_freq: 34 - 6 | sentence_idx: 97305 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-15 |    E-15 But , you know , if I said anything different than what 's in my heart , I 'd be a hypocrite . ||| E-15 ( 12 ) Mais , vous savez , si je disais autre chose que ce qui est dans mon coeur , je serais un hypocrite .

Guidelines Principes | w_freq: 73 - 79 | wiki_freq: 4619 - 3361 | sentence_idx: 98031 | align_1: 20-23 | align_2: 21-31 | ner_entity: the OECD Guidelines-Principes directeurs |    The implementation process of these principles at national level is underway in 25 countries and is integrated into the OECD Guidelines for multinationals.[14 ] ||| Le processus de mise en place de ces principes au niveau national est en cours dans 25 pays et est intégré dans les Principes directeurs de l’ OCDE à l’ intention des multinationales.[14 ]

LFI LFI | w_freq: 6 - 7 | wiki_freq: 220 - 542 | sentence_idx: 104016 | align_1: 7-7 | align_2: 8-12 | ner_entity: LFI-LFI |    But the systematic dictatorial internal functioning of LFI was not yet known to the general public . ||| Mais le fonctionnement interne systématiquement dictatorial de LFI , lui , n’ était pas encore connu du grand public .

Covenant chapelet | w_freq: 54 - 8 | wiki_freq: 9410 - 1254 | sentence_idx: 112388 | align_1: 6-6 | align_2: 7-12 | ner_entity: the Ark of the Covenant-none |    Uzzah touched the Ark of the Covenant . ||| Le tasbih par l’ usage du chapelet [ dans la mosquée ] ?

IMF FMI | w_freq: 303 - 304 | wiki_freq: 7216 - 2355 | sentence_idx: 112702 | align_1: 2-4 | align_2: 3-8 | ner_entity: IMF-FMI |    That the IMF failed to anticipate any of this was a serious scientific and professional failure . ||| Le fait que le FMI n’ ait pas réussi à anticiper l’ un de ces problèmes était un grave échec scientifique et professionnel .

L-260 E-260 | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 118371 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-260 |    L-260 Now just take a look at yourself in God 's mirror , and just see if you can identify yourself tonight . ||| E-260 ( 190 ) Maintenant jetez simplement un regard sur vous - même à travers le miroir de Dieu et voyez si seulement vous pouvez vous identifier ce soir .

Oakwell Oakwell | w_freq: 1 - 1 | wiki_freq: 377 - 5 | sentence_idx: 119482 | align_1: 12-12 | align_2: 13-17 | ner_entity: Oakwell-Oakwell |    However , the way in which they went about their business at Oakwell last weekend was pleasing . ||| Cependant , la façon dont ils s’ occupaient de leurs affaires à Oakwell le week - end dernier était agréable .

BDS BDS | w_freq: 97 - 96 | wiki_freq: 2109 - 422 | sentence_idx: 119552 | align_1: 18-12 | align_2: 19-18 | ner_entity: none-BDS |    We are now beginning to harvest the fruits of 10 years of strategic , morally-consistent and undeniably effective BDS human rights campaigning . ||| Nous commençons maintenant à récolter les fruits de 10 ans de campagne BDS pour les droits de l’ Homme , stratégique , moralement cohérente et indéniablement efficace .

Processes Processus | w_freq: 8 - 41 | wiki_freq: 2258 - 1787 | sentence_idx: 124279 | align_1: 3-2 | align_2: 4-7 | ner_entity: none-Processus de Transformation |    Changing the Transformation Processes themselves , with the aim of making them more efficient is even more difficult because they are more complex . ||| Changer les Processus de Transformation eux - mêmes dans le but de les rendre plus efficace est encore plus difficile parce qu’ ils sont plus complexes .

Hittite Hittite | w_freq: 4 - 2 | wiki_freq: 3785 - 113 | sentence_idx: 129126 | align_1: 10-11 | align_2: 11-16 | ner_entity: Uriah the Hittite-Hittite |    Then you shall say , ‘ Your servant Uriah the Hittite also died . ’ " ||| Alors , tu lui diras : “ Ton serviteur Ourias le Hittite est mort , lui aussi ! ” »

gentlemen Messieurs | w_freq: 162 - 85 | wiki_freq: 7173 - 1393 | sentence_idx: 130688 | align_1: 5-4 | align_2: 6-9 | ner_entity: none-Mesdames et Messieurs encore une fois |    Rob – Again ladies and gentlemen we have gentlemen who are both having genuine contacts and it seems these groups are working within their own different parameters . ||| Rob – Mesdames et Messieurs encore une fois , nous avons messieurs qui sont à la fois avoir des contacts authentiques et il semble que ces groupes travaillent au sein de leurs propres paramètres différents .

gentlemen Messieurs | w_freq: 162 - 85 | wiki_freq: 7173 - 1393 | sentence_idx: 130689 | align_1: 5-4 | align_2: 6-9 | ner_entity: none-Mesdames et Messieurs encore une fois |    Rob – Again ladies and gentlemen we have gentlemen who are both having genuine contacts and it seems these groups are working within their own different parameters . ||| Rob - Mesdames et Messieurs encore une fois , nous avons messieurs qui sont à la fois avoir des contacts authentiques et il semble que ces groupes travaillent au sein de leurs propres paramètres différents .

E-126 E-126 | w_freq: 11 - 14 | wiki_freq: 33 - 9 | sentence_idx: 131195 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-126 |    E-126 We have had many great battles , spiritual battles . ||| E-126 ( 73 ) Nous avons eu beaucoup de grandes batailles , des batailles spirituelles .

ECB BCE | w_freq: 271 - 279 | wiki_freq: 2989 - 1178 | sentence_idx: 132852 | align_1: 3-2 | align_2: 4-7 | ner_entity: ECB-BCE |    Why has the ECB not used debt purchases to support more directly the ecological transition or the fight against inequality ? ||| Pourquoi la BCE n’ a -t -elle pas utilisé les rachats des dettes pour soutenir plus directement la transition écologique ou la lutte contre les inégalités ?

E-24 E-24 | w_freq: 25 - 22 | wiki_freq: 16 - 2 | sentence_idx: 136294 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-24 |    E-24 You see , there 's probably one or two strangers with us this morning . ||| E-24 ( 9 ) Vous voyez , il y a probablement un ou deux étrangers parmi nous , ce matin .

Especially Oui | w_freq: 462 - 2617 | wiki_freq: 6766 - 2293 | sentence_idx: 139294 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Oui |    Especially since none of these companies , none of these systems , none of these spy applications can escape a classic hacking . ||| Oui , d’ autant qu’ aucune de ces entreprises , aucun de ces systèmes , aucune de ces applications espionnes ne peut échapper à un hacking classique .

BULLY-180….what BULLY-180 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 139696 | align_1: 0-0 | align_2: 1-8 | ner_entity: none-BULLY-180 |    BULLY-180….what ’s in a name ? ||| BULLY-180 … .Qu' est -ce qu' il y a dans un nom ?

Creator Créateur | w_freq: 933 - 900 | wiki_freq: 5423 - 1257 | sentence_idx: 142059 | align_1: 2-1 | align_2: 3-7 | ner_entity: none-Le Créateur Lui |    The very Creator that created the winds and the waves was in Him . ||| Le Créateur Lui - même , Celui qui avait créé les vents et les flots , était en Lui .

Gwion Gwion | w_freq: 1 - 1 | wiki_freq: 211 - 42 | sentence_idx: 145088 | align_1: 8-8 | align_2: 9-15 | ner_entity: Gwion-Gwion |    Imagine you can drink Awen – after all Gwion did . ||| Imaginez pouvoir boire l’ Awen – après tout Gwion , lui , l’ a bien fait .

Orihara Orihara | w_freq: 2 - 2 | wiki_freq: 108 - 17 | sentence_idx: 145156 | align_1: 18-18 | align_2: 19-22 | ner_entity: Orihara-Orihara |    No , I just want to know what kind of students they are , not their relationship with Orihara . ||| Non , je veux juste savoir quel genre d’ étudiants ils sont , et pas leur relation avec Orihara , pensai -je .

Truly Oh | w_freq: 125 - 766 | wiki_freq: 1959 - 3926 | sentence_idx: 146891 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-Oh ! |    Truly blessed and grateful . " ||| Oh ! qu’ elle est heureuse et reconnaissante ! "

GYN GYN | w_freq: 4 - 6 | wiki_freq: 253 - 0 | sentence_idx: 154769 | align_1: 8-10 | align_2: 9-15 | ner_entity: none-GYN |    It is important to note that OB / GYN malpractice insurance premiums are among the highest for physicians . ||| Il est important de noter que les primes OB / GYN d’ assurance contre la faute professionnelle sont parmi les plus élevés pour les médecins .

IMMAYAH IMMAYAH | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 167250 | align_1: 10-9 | align_2: 11-13 | ner_entity: none-IMMAYAH |    Do you really have the RUACH ha KODESH , your IMMAYAH within ? ||| Avez -vous réellement la RUACH ha KODESH , votre IMMAYAH , à l’ intérieur de vous ?

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 168816 | align_1: 11-11 | align_2: 12-15 | ner_entity: none-Peut |    2008 – 15 , 16 , 18 April – Illinois – Maybe we had a comet fragment impact or two or three over a period of several nights ? ||| 2008 - 15 , 16 , 18 avril - Illinois - Peut - être avons -nous eu un impact de fragment de comète , ou deux ou trois , sur une période de plusieurs nuits ?

Pleiadian Pléiadien | w_freq: 4 - 1 | wiki_freq: 6 - 0 | sentence_idx: 170322 | align_1: 7-8 | align_2: 8-12 | ner_entity: Pleiadian-Pléiadien |    H : Are Resistance Movement or the Pleiadian aware of any of the mass meditations we are doing daily on the We Love Mass Meditation ( WLMM ) blog ? ||| H : Le Mouvement de Résistance ou le Pléiadien sont -ils au courant de l' une des méditations de masse que nous faisons quotidiennement sur le blog We Love Mass Meditation ( WLMM ) ?

gentlemen Messieurs | w_freq: 162 - 85 | wiki_freq: 7173 - 1393 | sentence_idx: 178568 | align_1: 5-4 | align_2: 6-9 | ner_entity: none-Mesdames et Messieurs encore une fois |    Rob - Again ladies and gentlemen we have gentlemen who are both having genuine contacts and it seems these groups are working within their own different parameters . ||| Rob – Mesdames et Messieurs encore une fois , nous avons messieurs qui sont à la fois avoir des contacts authentiques et il semble que ces groupes travaillent au sein de leurs propres paramètres différents .

gentlemen Messieurs | w_freq: 162 - 85 | wiki_freq: 7173 - 1393 | sentence_idx: 178569 | align_1: 5-4 | align_2: 6-9 | ner_entity: none-Mesdames et Messieurs encore une fois |    Rob - Again ladies and gentlemen we have gentlemen who are both having genuine contacts and it seems these groups are working within their own different parameters . ||| Rob - Mesdames et Messieurs encore une fois , nous avons messieurs qui sont à la fois avoir des contacts authentiques et il semble que ces groupes travaillent au sein de leurs propres paramètres différents .

Belgians Belges | w_freq: 47 - 51 | wiki_freq: 3110 - 5659 | sentence_idx: 182929 | align_1: 1-3 | align_2: 2-7 | ner_entity: Belgians-Belges |    We Belgians will always remember her with gratitude . ||| Nous autres , Belges , nous nous souviendrons toujours d’ elle avec reconnaissance .

Qur’an Coran | w_freq: 89 - 346 | wiki_freq: 541 - 7889 | sentence_idx: 183500 | align_1: 1-2 | align_2: 2-6 | ner_entity: Qur’an-Coran |    The Qur’an says “ We have honored the children of Adam ” ( 17:70 ) . ||| Dans le Coran , il est dit : « Nous avons honoré les fils d’Adam » ( Sourate XVII , v. 70 ) .

Lenovo Lenovo | w_freq: 32 - 32 | wiki_freq: 2409 - 218 | sentence_idx: 188449 | align_1: 8-9 | align_2: 9-13 | ner_entity: Lenovo-Lenovo |    This was one of my biggest concerns when Lenovo acquired Motorola a few years ago , but after seeing the Moto 360 Sport , it is no longer there . ||| C’ était l’ une de mes principales préoccupations lorsque Lenovo a fait l’ acquisition de Motorola il ya quelques années , mais après avoir vu le Moto 360 Sport , il n’ est plus là .

Swank Swank | w_freq: 1 - 1 | wiki_freq: 985 - 131 | sentence_idx: 190967 | align_1: 6-6 | align_2: 7-11 | ner_entity: Swank-Swank |    In Boys Do n't Cry , Swank actually transformed herself into the role of the character she was playing . ||| Dans Boys Don’ t Cry , Swank s’ est transformée en fait dans le rôle du personnage qu’ elle jouait .

Buzzi Buzzi | w_freq: 1 - 1 | wiki_freq: 295 - 176 | sentence_idx: 192096 | align_1: 1-1 | align_2: 2-7 | ner_entity: Buzzi-Buzzi |    Dr. Buzzi talked about a rehabilitation period of about five or six months , what do you think ? ||| M. Buzzi ( le médecin ) a parlé d’ une période de réhabilitation d’ environ cinq ou six mois , qu’ en pensez -vous ?

Creator Créateur | w_freq: 933 - 900 | wiki_freq: 5423 - 1257 | sentence_idx: 194167 | align_1: 4-4 | align_2: 5-10 | ner_entity: none-le Créateur |    Question : And the Creator always helps in a case like this ? ||| Question : Et le Créateur aide - t - Il toujours dans ces cas -là ?

Sachs Sachs | w_freq: 38 - 37 | wiki_freq: 9220 - 2004 | sentence_idx: 195081 | align_1: 2-1 | align_2: 3-7 | ner_entity: Goldman Sachs-Goldman Sachs |    Is Goldman Sachs buying your city ? ||| Goldman Sachs est -il en train d' acheter votre ville ?

Saint-Urbain Saint-Urbain | w_freq: 1 - 1 | wiki_freq: 97 - 401 | sentence_idx: 199196 | align_1: 7-7 | align_2: 8-12 | ner_entity: Saint-Urbain-Saint-Urbain |    Unfortunately , it does not work in Saint-Urbain because we are between two mountains . ||| Malheureusement , cela ne fonctionne pas à Saint-Urbain , et c' est parce qu' on est entre deux monts .

E-36 E-36 | w_freq: 27 - 30 | wiki_freq: 2 - 2 | sentence_idx: 204811 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-36 |    E-36 And there was an old fisherman . ||| E-36 ( 56 ) Et il y avait là un vieux pêcheur .

Remember Souviens | w_freq: 1056 - 34 | wiki_freq: 9753 - 330 | sentence_idx: 206910 | align_1: 1-1 | align_2: 2-5 | ner_entity: none-Souviens |    “ Remember how it felt , I had my chances . ||| " Souviens - toi de ce que j' ai ressenti , j' ai eu mes chances .

Yolande Yolande | w_freq: 1 - 3 | wiki_freq: 1339 - 2051 | sentence_idx: 208762 | align_1: 4-5 | align_2: 5-9 | ner_entity: Yolande-Yolande |    What has changed in Yolande is not what she sees . ||| Ce qui a changé en Yolande , ce n’ est pas ce qu’ elle voit .

CAP PAC | w_freq: 107 - 121 | wiki_freq: 3916 - 1256 | sentence_idx: 210078 | align_1: 9-8 | align_2: 10-14 | ner_entity: CAP-PAC |    On the issue of pesticides , will the new CAP reduce their use ? ||| Sur la question des pesticides , la nouvelle PAC va -t -elle permettre de réduire leur usage   ?

Islamists islamistes | w_freq: 107 - 151 | wiki_freq: 2538 - 3389 | sentence_idx: 211028 | align_1: 5-3 | align_2: 6-9 | ner_entity: Islamists-none |    Some of the radical young Islamists will instinctively support the struggle . ||| Certains des jeunes islamistes radicaux , au contraire , soutiendront instinctivement la lutte .

Extinction Extinction | w_freq: 13 - 11 | wiki_freq: 2201 - 534 | sentence_idx: 212538 | align_1: 2-0 | align_2: 3-5 | ner_entity: none-Extinction |    Polar Bear Extinction – actually they are increasing ! ||| Extinction de l’ ours blanc – en fait , ils augmentent !

Landscapes Landscapes | w_freq: 3 - 1 | wiki_freq: 1773 - 61 | sentence_idx: 214545 | align_1: 10-10 | align_2: 11-18 | ner_entity: none-Initiative for Sustainable Landscapes [ Initiative pour des paysages durables |    In parnership with Olam and ISLA ( Initiative for Sustainable Landscapes ) . ||| En partenariat avec Olam et ISLA ( Initiative for Sustainable Landscapes [ Initiative pour des paysages durables ] ) .

