Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | ner_entity: Golang-none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。
Gomorrah 醋 | w_freq: 1 - 66 | wiki_freq: 731 - 687 | sentence_idx: 163661 | align_1: 29-199 | align_2: 30-208 | ner_entity: Gomorrah-none |    Abraham , no doubt cognizant of Lot ( his righteous relative ) living in Sodom ( see 2Peter 2:6 - 8) , attempts to barter to have it and Gomorrah spared ( Genesis 18:23 ) . ||| ） （ 叮 ） （ 触 ） （ 发 ） （ 技 ） （ 能 ） （ 妻 ） （ 子 ） （ 的 ） （ 吻 ） （ ， ） （ 妻 ） （ 子 ） （ 的 ） （ 吻 ） （ 1 ） （ 生 ） （ 命 ） （ 值 ） （ 翻 ） （ 倍 ） （ ， ） （ 获 ） （ 得 ） （ 额 ） （ 外 ） （ 生 ） （ 命 ） （ 值 ） （ 2 ） （ 分 ） （ 钟 ） （ 于 ） （ 萌 ） （ 声 ） （ 色 ） （ 严 ） （ 厉 ） （ 的 ） （ 斥 ） （ 责 ） （ 他 ） （ 们 ） （ ： ） （ 你 ） （ 们 ） （ 不 ） （ 要 ） （ 命 ） （ ， ） （ 你 ） （ 们 ） （ 父 ） （ 母 ） （ 也 ） （ 不 ） （ 要 ） （ 命 ） （ 了 ） （ 吗 ） （ 第 ） （ 1 ） （ 8 ） （ 8 ） （ 章 ） （ ） （ 吃 ） （ 醋 ） （ 求 ） （ 推 ） （ 荐 ） （ 票 ）

Eastenders 东区人 | w_freq: 1 - 1 | wiki_freq: 121 - 5 | sentence_idx: 168412 | align_1: 32-26 | align_2: 33-30 | ner_entity: Eastenders-东区人 |    For the other three actions participants were asked to carry out a task in response to a cue ( for example , “ When you come to a quiz question about ‘ Eastenders ’ I would like you to give me this book ” ) . ||| 对于 其他 三 个 行动 的 参与者 被 要求 对 进行 一个 任务 做出 响应 （ 例如 ， “ 当 你 来到 一个 提问 关于 “ 东区人 ” 时 ， “ 我 想 你 给 我 这 本书 ” ） 。

Madiba 马迪巴 | w_freq: 6 - 3 | wiki_freq: 108 - 4 | sentence_idx: 175546 | align_1: 6-5 | align_2: 7-9 | ner_entity: Madiba-马迪巴 |    “ Over the past 24 years Madiba taught us how to come together and to believe in ourselves and each other . ||| “ 过去 24年 来 ， 马迪巴 （ 曼德拉 ） 教会 我们 如何 团结 ， 如何 相信 自己 和 彼此 。

PwC PwC | w_freq: 6 - 3 | wiki_freq: 771 - 14 | sentence_idx: 181794 | align_1: 4-3 | align_2: 5-7 | ner_entity: PwC-none |    When people arrive at PwC they may already be experiencing a range of emotions . ||| 当 人们 来到 PwC 的 时候 ， 他们 可能 已经 经历 了 一 系列 的 各种 情绪 。

Goyim-cattle cattle | w_freq: 2 - 2 | wiki_freq: 0 - 12 | sentence_idx: 182880 | align_1: 16-16 | align_2: 17-20 | ner_entity: Goyim-cattle-none |    This is because , contrary to what Rabbi Finkelstein says in the interview , the „ Goyim-cattle “ is not made up of stupid people and cowards . ||| 这是 因为 ， 与 Rabbi Finkelstein 在 采访 中 说 的 相反 ， “ goyim – cattle （ 牧群 ） ” 不是 由 愚蠢 的 人和 懦夫 组成 的 。

Goyim-cattle goyim | w_freq: 2 - 3 | wiki_freq: 0 - 0 | sentence_idx: 182880 | align_1: 16-14 | align_2: 17-20 | ner_entity: Goyim-cattle-none |    This is because , contrary to what Rabbi Finkelstein says in the interview , the „ Goyim-cattle “ is not made up of stupid people and cowards . ||| 这是 因为 ， 与 Rabbi Finkelstein 在 采访 中 说 的 相反 ， “ goyim – cattle （ 牧群 ） ” 不是 由 愚蠢 的 人和 懦夫 组成 的 。

TOW 比尔·坦普尔 | w_freq: 1 - 1 | wiki_freq: 700 - 0 | sentence_idx: 186035 | align_1: 9-4 | align_2: 10-13 | ner_entity: none-比尔·坦普尔 |    ‘ For just as Bill Temple ’s yarn in TOW will long be remembered as the cat story … ’ ||| “ 因为 就 像 比尔·坦普尔 的 故事 一样 ， 它 的 故事 也 将 被 长久 地 铭记 为 猫 的 故事 …… ”

Belmonts Belmonts | w_freq: 3 - 4 | wiki_freq: 257 - 0 | sentence_idx: 188247 | align_1: 3-3 | align_2: 4-12 | ner_entity: Belmonts-none |    Dion and The Belmonts – “ I Wonder Why ” ||| Dion and the Belmonts （ 英语 ： Dion and the Belmonts ） （ " I Wonder Why （ 英语 ： I Wonder Why ） " ）

SR-71 SR-71 | w_freq: 4 - 4 | wiki_freq: 775 - 160 | sentence_idx: 192484 | align_1: 7-5 | align_2: 8-10 | ner_entity: SR-71-none |    Since it was built to intercept the SR-71 it was required to have an extreme speed , hence its Mach 3.2 top capability . ||| 由于 它 是 为了 拦截 SR-71 而 建造 的 ， 因此 需要 具有 极 高 的 速度 ， 因此 它 具有 Mach 3.2 的 顶级 能力 。

Florentino 弗洛伦蒂诺 | w_freq: 9 - 4 | wiki_freq: 1000 - 12 | sentence_idx: 192925 | align_1: 3-2 | align_2: 4-6 | ner_entity: Florentino-弗洛伦蒂诺 |    Of course , Florentino can get him , nothing is impossible in life . ||| “ 当然 弗洛伦蒂诺 [ 佩雷斯 ] 可以 得到 他 ， 生活 中 没有 什么 是 不 可能 的 。

Amitabha Amitabha | w_freq: 3 - 2 | wiki_freq: 578 - 1 | sentence_idx: 193156 | align_1: 18-16 | align_2: 19-24 | ner_entity: Amitabha-none |    But , for example , if I want to teach this to westerners , I just say " Amitabha , " just the name part—to simplify it . ||| 但是 ， 比如 ， 如果 我 要 对 西方人 教授 这个 ， 我 只 说 " Amitabha " （ 「 阿弥 他 巴 」 ， 只是 名号 部分 —— 来 简化 之 。

Burberry Burberry | w_freq: 15 - 14 | wiki_freq: 909 - 89 | sentence_idx: 194090 | align_1: 10-17 | align_2: 11-22 | ner_entity: Burberry-none |    Unexpectedly , 90 years later , the British luxury brand Burberry is still repeating a similar story . ||| 没 想到  , 在 90 年后 的 今天   , 英国 奢侈 品牌 巴宝莉 ( Burberry ) 竟 然 还 在 重复 着 类似 的 故事 。

Zealandia Zealandia | w_freq: 2 - 1 | wiki_freq: 525 - 1 | sentence_idx: 196729 | align_1: 1-3 | align_2: 2-7 | ner_entity: Zealandia-Zealandia |    Why Zealandia is a new continent ? ||| 为什么 齐兰迪亚 ( Zealandia ) 几乎 肯定 是 一个 新 的 大陆 ？

SR-71 SR-71 | w_freq: 4 - 4 | wiki_freq: 775 - 160 | sentence_idx: 207591 | align_1: 7-5 | align_2: 8-10 | ner_entity: SR-71-none |    Since it was built to intercept the SR-71 it was required to have an extreme speed , hence its mach 3.2 top capability . ||| 由于 它 是 为了 拦截 SR-71 而 建造 的 ， 因此 需要 具有 极 高 的 速度 ， 因此 它 具有 Mach 3.2 的 顶级 能力 。

Jadalem Jadalem | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 209707 | align_1: 16-19 | align_2: 17-24 | ner_entity: Jadalem-none |    He saw God for the first time during his second trip , on a planet called Jadalem that ’s mostly covered in water and ice . ||| 他 首次 见到 耶稣 是 在 第二 次 天堂 之 旅 中 ， 当时 他 在 一 颗 名叫 Jadalem 的 星球 上 ， 那 颗 星球 主要 被 水 和 冰所 覆盖 。

Foodette 召嘉 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 222889 | align_1: 3-3 | align_2: 4-9 | ner_entity: Foodette-none |    And grievously hath Foodette answer’d it . ||| 上 大怒 ， 召嘉 诣尚书 ， 以 他 事 责问 。

DOLLAR 沃尔玛 | w_freq: 2 - 75 | wiki_freq: 19 - 435 | sentence_idx: 223549 | align_1: 3-11 | align_2: 4-27 | ner_entity: none-沃尔玛 |    Title : ALMIGHTY DOLLAR : Follow the Incredible Journey of a Single Dollar to See How the Global Economy Really Works ||| . 一 美元 的 全球 经济 之 旅 ： 从 美国 沃尔玛 、 中国 央行 到 奈及利亚 铁路 ， 洞悉 世界 的 运作 真相 The Almighty Dollar : Follow the Incredible Journey of a Single Dollar to See How the Global Economy Really Works .

Eurodad Eurodad | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 228391 | align_1: 15-11 | align_2: 16-19 | ner_entity: Eurodad-none |    [ 12 ] We are not in the habit of engaging in lobbying – unlike Eurodad , another organisation that is mobilised around the issue of debt . ||| [ 11 ] 我们 不 习惯 搞 游说 　 ── 不 像 Eurodad （ 债务 和 发展 欧洲 网络 ） ， 它 是 围绕 债务 问题 动员 起来 的 另 一个 组织 。

Amitabha Amitabha | w_freq: 3 - 2 | wiki_freq: 578 - 1 | sentence_idx: 230304 | align_1: 18-16 | align_2: 19-24 | ner_entity: Amitabha-none |    But , for example , if I want to teach this to westerners , I just say " Amitabha , " just the name part—to simplify it . ||| 但是 ， 比如 ， 如果 我 要 对 西方人 教授 这个 ， 我 只 说 " Amitabha " （ 「 阿弥 他 巴 」 ， 只是 名号 部分 ―― 来 简化 之 。

FAHISH 下流 | w_freq: 1 - 12 | wiki_freq: 0 - 472 | sentence_idx: 230400 | align_1: 11-12 | align_2: 12-20 | ner_entity: FAHISH-none |    17:32 And go not near the zina : surely it is FAHISH . ||| 17 : 32 你们 不要 接近 私通 ， 因为 私通 确 是 下流 的 事 ， 这 行径 真 恶劣 ！

taqlid 麦道卫 | w_freq: 1 - 1 | wiki_freq: 157 - 0 | sentence_idx: 237443 | align_1: 7-7 | align_2: 8-11 | ner_entity: none-麦道卫 |    Rather they are people of imitation ( taqlid ) . ||| 他们 必定 是 虚构 的 ” （ 麦道卫 ， 11 页 ） 。

Samay Samay | w_freq: 3 - 6 | wiki_freq: 299 - 0 | sentence_idx: 246644 | align_1: 4-5 | align_2: 5-12 | ner_entity: Soluna Samay-none |    15 Denmark English Soluna Samay " Should 've Known Better " — 23 21 ||| 15 丹麦 英语 6 Soluna Samay （ 英语 ： Soluna Samay ） " Should've Known Better （ 英语 ： Should've Known Better ） " — 23 21

Pryda 主悔改 | w_freq: 1 - 1 | wiki_freq: 44 - 0 | sentence_idx: 247280 | align_1: 10-7 | align_2: 11-15 | ner_entity: Pryda-none |    If not called upon , the provision would revert to Pryda . ” ||| 如果 不是 这样 ， 就 应当 向 主悔改 、 祈求 ， 才 有 复兴 临到 。

Hottie Hottie | w_freq: 2 - 2 | wiki_freq: 155 - 2 | sentence_idx: 252617 | align_1: 22-26 | align_2: 23-35 | ner_entity: Hottie-none |    Very soon after at 2:16 , he says , “ Have any of you enjoyed this special pizza here tonight called the Hottie ? … If you have n’t had it , you should try it , it ’s delicious . ” ||| 之后 不久 ， 在 2:16 ， 他 说 ： “ 你们 有 没有 人 品尝 / 享受 过 今晚 这里 的 这个 特别 的 披萨 叫 Hottie （ 字面 上 是 辣妹 的 意思 ） ？ …… 如果 你 还 没有 ， 你 应该 试 一下 ， 它 很 美味 。

Glassley Glassley | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 259907 | align_1: 12-9 | align_2: 13-15 | ner_entity: William E. Glassley-none |    “ Very few people have spent as much time as William E. Glassley in such deep wilderness . ||| “ 很少 有人 像 威廉·E·格拉斯利 （ William E . Glassley ） 一样 如此 深入 地 在 荒野 中 度过 这么 长 时间 。

Hud 沿袭寨 | w_freq: 6 - 1 | wiki_freq: 635 - 0 | sentence_idx: 261009 | align_1: 7-2 | align_2: 8-7 | ner_entity: Hud-none |    Gone are Aad , the people of Hud . ||| 佤族人 至今 沿袭寨 主制 ， 寨主 世袭 。

ISHL ISHL | w_freq: 1 - 1 | wiki_freq: 9 - 0 | sentence_idx: 265708 | align_1: 17-25 | align_2: 18-32 | ner_entity: ISHL-none |    Japan Existing and New Chemical Substances Inventory ( ENCS ) and Industrial Safety and Health Law ( ISHL ) ||| 日本 Existing and New Chemical Substances Inventory ( ENCS ) （ 现有 和 新 化学 物质 名录 ） 和 Industrial Safety and Health Law ( ISHL ) （ 工业 安全 和 健康法 ）

HotOrNot hotor | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 265998 | align_1: 9-9 | align_2: 10-13 | ner_entity: HotOrNot-none |    Sure , you can put your face up on HotOrNot or buy one of those Ugly iPhone apps to gauge your “ scientific ” attractiveness rating . ||| 当然 ， 你 可以 把 你 的 脸贴 在 hotor not 上 ， 或者 买 一个 丑陋 的 iPhone 应用 来 衡量 你 的 “ 科学 ” 吸引力 。

All-Care 天起誓 | w_freq: 1 - 2 | wiki_freq: 1 - 0 | sentence_idx: 267117 | align_1: 5-7 | align_2: 6-12 | ner_entity: All-Care-none |    Many pet owners swear by All-Care . ||| 所以 很多 毒誓 ， 都 是 对 天起誓 ， 真的 会 灵验 。

Veyne Veyne | w_freq: 1 - 1 | wiki_freq: 46 - 0 | sentence_idx: 268564 | align_1: 1-5 | align_2: 2-10 | ner_entity: Paul Veyne-none |    Paul Veyne , Did the Greeks Believe in Their Myths ? ||| 保罗 ． 韦纳 （ Paul Veyne ） 著 ， 张 竝译︰ 《 古希腊人 是否 相信 他们 的 神话 ︰论 构建 的 想像 》 （ Did the Greeks Believe in Their Myths ?

mage 项瑾 | w_freq: 2 - 1 | wiki_freq: 912 - 1 | sentence_idx: 279342 | align_1: 1-0 | align_2: 2-5 | ner_entity: none-项瑾 |    The mage said he would meet us here , so here we shall wait . ” ||| 项瑾 回答 ： “ 他 说 他 过来 找 我们 ， 我们 就 在 这 等等 吧 。

Goyim-cattle cattle | w_freq: 2 - 2 | wiki_freq: 0 - 12 | sentence_idx: 285071 | align_1: 16-16 | align_2: 17-20 | ner_entity: Goyim-cattle-none |    This is because , contrary to what Rabbi Finkelstein says in the interview , the „ Goyim-cattle “ is not made up of stupid people and cowards . ||| 这是 因为 ， 与 Rabbi Finkelstein 在 采访 中 说 的 相反 ， “ goyim – cattle （ 牧群 ） ” 不是 由 愚蠢 的 人和 懦夫 组成 的 。

Goyim-cattle goyim | w_freq: 2 - 3 | wiki_freq: 0 - 0 | sentence_idx: 285071 | align_1: 16-14 | align_2: 17-20 | ner_entity: Goyim-cattle-none |    This is because , contrary to what Rabbi Finkelstein says in the interview , the „ Goyim-cattle “ is not made up of stupid people and cowards . ||| 这是 因为 ， 与 Rabbi Finkelstein 在 采访 中 说 的 相反 ， “ goyim – cattle （ 牧群 ） ” 不是 由 愚蠢 的 人和 懦夫 组成 的 。

Matplotlib Matplotlib | w_freq: 3 - 1 | wiki_freq: 32 - 0 | sentence_idx: 286285 | align_1: 4-2 | align_2: 5-6 | ner_entity: Matplotlib-none |    Seaborn is based on Matplotlib and highly dependent on that . ||| Seaborn 基于 Matplotlib   , 并 高度 依赖 于 此      。

NACE NACE | w_freq: 5 - 4 | wiki_freq: 148 - 1 | sentence_idx: 286445 | align_1: 3-3 | align_2: 4-12 | ner_entity: NACE-none |    Brooks : In NACE we have 81 member institutions . ||| Brooks ： 在 NACE （ 国家 电子 顾问 委员会 ） 中 ， 我们 有 81 个 成员 机构 。

Chirag Chirag | w_freq: 3 - 3 | wiki_freq: 625 - 5 | sentence_idx: 294309 | align_1: 4-2 | align_2: 5-6 | ner_entity: Chirag-none |    The production started from Chirag and it continues successfully . ||| 生产 始于 Chirag 部分 领域 ， 并 继续 成功 。

RTM RTM | w_freq: 10 - 10 | wiki_freq: 888 - 145 | sentence_idx: 297684 | align_1: 6-6 | align_2: 7-11 | ner_entity: RTM-none |    Our original plan was to hold RTM until all the billing infrastructure is in place . ||| 我们 最初 的 计划 是 搁置 RTM 版本 的 发布 ， 直到 所有 的 计费 基础 设施 到位 。

TMCs TMC | w_freq: 1 - 5 | wiki_freq: 10 - 31 | sentence_idx: 323930 | align_1: 5-4 | align_2: 6-9 | ner_entity: TMCs-none |    We ’re different from other TMCs because our standard level of service includes customer-friendly software and expert corporate travel service . ||| 我们 与 其他 的 TMC 并 不 相同 ， 因为 我们 的 标准 服务 水平 包含 服务 于 客户 的 软件 以及 专业 的 商务 差旅 服务 。

FAB 佛家 | w_freq: 7 - 1 | wiki_freq: 816 - 251 | sentence_idx: 328160 | align_1: 3-1 | align_2: 4-6 | ner_entity: FAB-none |    We hope at FAB to provide a space for God 's people to gather together in worship of the living God . ||| 就 佛家 的 角度 ， 绝对 是 个 乘愿 到 娑婆 世界 接引 众生 的 菩萨 。

Mar-a-Lago Mar-a-Lago | w_freq: 8 - 8 | wiki_freq: 451 - 5 | sentence_idx: 328812 | align_1: 10-8 | align_2: 11-13 | ner_entity: Mar-a-Lago-none |    ‘ I was recruited at a very young age from Mar-a-Lago and entrapped in a world that I did n’t understand . ||| “ 我 很 小 的 时候 就 从 Mar-a-Lago 招募 来 的 ， 并且 陷入 了 一个 我 不 了解 的 世界 。

Northup Northup | w_freq: 2 - 4 | wiki_freq: 792 - 3 | sentence_idx: 335149 | align_1: 1-1 | align_2: 2-8 | ner_entity: Harry Northup-Harry Northup |    Harry Northup as Joe & Jim 's bartender ||| Harry Northup （ 英语 ： Harry Northup ） 饰 Joe & Jim's bartender

Autoweek Autoweek | w_freq: 4 - 4 | wiki_freq: 92 - 3 | sentence_idx: 335232 | align_1: 7-14 | align_2: 8-18 | ner_entity: Autoweek-none |    I feel ready , " he told Autoweek . ||| 我 感觉 已经 准备 好 了    ， ” 他 告诉 《 Autoweek 》   。

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 338401 | align_1: 1-2 | align_2: 2-6 | ner_entity: NEW YORK-N EW YORK |    NEW YORK – Apple wants the plastic credit card to become as rare as the paper check . ||| N EW YORK （ 美联社 ） - Apple 希望 塑料 信用卡 变 得 像 纸质 支票 一样 罕见 。

Ibiolab Ibiolab | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 341164 | align_1: 8-11 | align_2: 9-16 | ner_entity: Ibiolab-none |    In 2007 , MotulTech joined the European project Ibiolab grouping 22 partners from 7 European countries . ||| 2007年 ， 摩特 科技 （ MotulTech ） 加入 了 欧洲 欧洲 Ibiolab 项目 ， 该 项目 设计 22 个 来自 7 个 欧洲 国家 的 合作 伙伴 。

JENKINS Jenkins | w_freq: 1 - 34 | wiki_freq: 7 - 159 | sentence_idx: 341528 | align_1: 0-7 | align_2: 1-15 | ner_entity: none-Lee Jenkins |    JENKINS : Mother 's Day holds special place in NBA 's heart ||| 以上 资料 主要 来自 SI.com 作者 Lee Jenkins 的 Look At Me Now , Mom : Mother's Day holds a special place in NBA 's heart 一 文

WILD 首页 | w_freq: 4 - 845 | wiki_freq: 318 - 770 | sentence_idx: 343671 | align_1: 1-0 | align_2: 2-9 | ner_entity: WILD-none |    Previous WILD – 75 Freshwater Tropical Fish of the World ||| 首页 〉外 文书 〉 生活 〉动 植物 〉 Wild : 75 Freshwater Tropical Fish of the World

