Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?
Passover Adha | w_freq: 19 - 1 | wiki_freq: 3664 - 4 | sentence_idx: 26052 | align_1: 11-17 | align_2: 12-22 | ner_entity: none-Adha |    The Lord said to Moses and Aaron : This is the Passover statute . ||| Und der Herr sprach zu Musa ( Moses ) und Aaron : " Dies ist die Weise Adha ( Passah ) zu halten .

Prophet Allahs | w_freq: 299 - 112 | wiki_freq: 9638 - 337 | sentence_idx: 29956 | align_1: 1-2 | align_2: 2-6 | ner_entity: none-Allahs |    The Prophet said to us , “ Do you think this woman would throw her child in the fire ? ” ||| Der Gesandte Allahs ( s ) sagte zu uns : “ Haltet ihr es für möglich , dass diese Frau ihr Kind ins Feuer werfen würde ? ”

McCudden McCudden | w_freq: 1 - 2 | wiki_freq: 244 - 19 | sentence_idx: 32710 | align_1: 5-5 | align_2: 6-10 | ner_entity: James McCudden-James McCudden |    A typical example is James McCudden 's grave , though there are many others . ||| Ein typisches Beispiel ist James McCudden ( James McCudden ) 's Grab , obwohl es viele andere gibt .

sickness Sickness | w_freq: 104 - 1 | wiki_freq: 9593 - 152 | sentence_idx: 33884 | align_1: 14-13 | align_2: 15-19 | ner_entity: none-Motion Sickness |    “ But even with Mario 64 there was a lot of feedback about motion sickness with the 3D or maybe us making it too difficult . ” ||| " Aber selbst bei Mario 64 gab es eine Menge Feedback zu Motion Sickness ( Reisekrankheit ) in Verbindung mit 3D oder darüber , dass wir es zu schwierig gemacht hätten . "

Baidoun Baidoun | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 35510 | align_1: 2-4 | align_2: 3-8 | ner_entity: Baidoun-Baidoun |    A decision Baidoun says she ’ll regret for a long time . ||| Eine Entscheidung , die Baidoun getroffen hat , besagt , dass sie es für lange Zeit bereuen wird .

Sevilleproved Sevilla | w_freq: 1 - 47 | wiki_freq: 0 - 9023 | sentence_idx: 36999 | align_1: 7-7 | align_2: 8-12 | ner_entity: Sevilleproved-Sevilla |    The first Spanish inquisitors , operating in Sevilleproved so severe that Sixtus IV attempted to intervene . ||| Die ersten spanischen Inquisitoren , die in Sevilla , erwies sich als so schwerwiegend , dass Sixtus IV. versuchte , zu intervenieren .

Peronist Peronist | w_freq: 3 - 1 | wiki_freq: 1138 - 18 | sentence_idx: 38404 | align_1: 2-2 | align_2: 3-6 | ner_entity: Peronist-Peronist |    His namesake Peronist movement , to the present day a struggle of ideologically diverse and competing interests , remains the central political development of Argentina since 1945 . ||| Sein Namensvetter Peronist ( Peronism ) Bewegung , zu heutiger Tag Kampf ideologisch verschiedene und konkurrierende Interessen , bleibt politische Hauptentwicklung Argentinien seit 1945.

Umar Umar | w_freq: 18 - 17 | wiki_freq: 8780 - 961 | sentence_idx: 42065 | align_1: 6-7 | align_2: 7-12 | ner_entity: Umar-Umar |    The Christians making this pact with Umar pledged : ||| Die Christen , die diesen Pakt mit Umar geschlossen haben , haben zugesagt :

Daimler Daimler | w_freq: 75 - 64 | wiki_freq: 4540 - 3443 | sentence_idx: 44675 | align_1: 4-3 | align_2: 5-8 | ner_entity: Daimler-Daimler |    This situation has moved Daimler to develop a new standard – MBN 10544 . ||| Diesen Fakt hat Daimler zum Gegenstand genommen , um eine neue Norm – MBN 10544 – zu entwickeln .

BELVUE BELVUE | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 46102 | align_1: 0-0 | align_2: 1-4 | ner_entity: BELVUE-BELVUE |    BELVUE Slow Breakfast : you only pay for what you eat . ||| BELVUE “ SLOW ” Frühstück : Sie zahlen nur für das was SIE essen .

Zion Zion | w_freq: 66 - 65 | wiki_freq: 11679 - 2003 | sentence_idx: 48175 | align_1: 24-22 | align_2: 25-29 | ner_entity: Zion-Zion |    “ Now also many nations are gathered against thee , that say , Let her be defiled , and let our eye look upon Zion . ||| Da haben sich viele Nationen gegen dich versammelt , die sagen : Sie werde entweiht ! und : Unsere Augen sollen an Zion ( Jerusalem ) ihre Lust sehen !

Goldman Goldman | w_freq: 68 - 65 | wiki_freq: 13785 - 1956 | sentence_idx: 48754 | align_1: 10-8 | align_2: 11-13 | ner_entity: Emma Goldman-Emma Goldman |    Discussion groups organised by the Villagers were frequented by Emma   Goldman , among others . ||| Von den Dorfbewohnern organisierte Diskussionsgruppen wurden von Emma Goldman ( Emma Goldman ) , unter anderen oft besucht .

Telegram telegram | w_freq: 49 - 7 | wiki_freq: 3264 - 7 | sentence_idx: 53149 | align_1: 5-5 | align_2: 6-9 | ner_entity: Telegram-telegram |    1 reason for me to Telegram was to build a means of communication that ca n’t be accessed by the Russian security agencies . ||| Ein grund für mich , telegram zu starten , war der aufbau eines kommunikationsmittels , auf das die russischen sicherheitsbehörden nicht zugreifen können .

prednisone Prednison | w_freq: 9 - 11 | wiki_freq: 406 - 113 | sentence_idx: 57996 | align_1: 4-3 | align_2: 5-8 | ner_entity: none-Prednison |    Could it be the prednisone I 'm on for my stupid asthma , the same medication I 'm pretty sure is responsible for me catching yet another cold ? ||| Könnte es das Prednison sein , in dem ich für mein dummes Asthma bin , das gleiche Medikament , von dem ich ziemlich sicher bin , dass es für mich verantwortlich ist , dass ich noch einmal erkältet bin ?

Joacim Joacim | w_freq: 1 - 1 | wiki_freq: 177 - 76 | sentence_idx: 58719 | align_1: 5-8 | align_2: 6-12 | ner_entity: Joacim-Joacim |    “ It all started with Joacim suggesting we should try to write a song together with our long time producer James Michael . ||| " Es fing alles damit an , dass Joacim ( v. ) vorschlug , wir sollten mal versuchen , einen Song mit unserem langjährigen Produzenten James Michael zusammen zu schreiben .

Varkiza Varkiza | w_freq: 2 - 4 | wiki_freq: 95 - 39 | sentence_idx: 62440 | align_1: 12-10 | align_2: 13-16 | ner_entity: Treaty of Varkiza-Treaty of Varkiza |    In February 1945 , the various Greek parties signed the Treaty of Varkiza , with the support of all the Allies . ||| Im Februar 1945 , unterzeichneten verschiedene griechische Parteien Treaty of Varkiza ( Treaty of Varkiza ) , mit Unterstützung alle Verbündete .

Hades Hades | w_freq: 10 - 12 | wiki_freq: 3363 - 992 | sentence_idx: 63369 | align_1: 8-7 | align_2: 9-11 | ner_entity: Hades-Hades |    And its rider 's name was Death and Hades followed him . " ) . ||| " Sein Name war Tod und der Hades ( Vergessenheit ) folgte ihm .

Guadeloupe Guadeloupe | w_freq: 5 - 6 | wiki_freq: 6254 - 1314 | sentence_idx: 66825 | align_1: 6-5 | align_2: 7-10 | ner_entity: Guadeloupe-Guadeloupe |    It is also felt in neighboring Guadeloupe , where one person is killed . ||| Es wird auch im benachbarten Guadeloupe ( Guadeloupe ) gefühlt , wo eine Person getötet wird .

Thanksgiving Thanksgiving | w_freq: 128 - 74 | wiki_freq: 11046 - 429 | sentence_idx: 67023 | align_1: 3-3 | align_2: 4-9 | ner_entity: Thanksgiving-Thanksgiving Day |    When Americans celebrate Thanksgiving , they do n't know what they are celebrating . ||| Wenn die Amerikaner Thanksgiving Day ( Erntedankfest ) feiern , dann wissen sie nicht , was sie feiern .

Zorrozaurre Zorrozaurre | w_freq: 1 - 2 | wiki_freq: 6 - 1 | sentence_idx: 67411 | align_1: 18-17 | align_2: 19-23 | ner_entity: Zorrozaurre-Zorrozaurre |    However , in 2007 , a plan was approved to continue the canal and form the island of Zorrozaurre . ||| Jedoch , 2007 , wurde ein Plan genehmigt , um den Kanal fortzusetzen und die Insel von Zorrozaurre ( Zorrozaurre ) zu bilden .

Data?6:30 Data | w_freq: 1 - 345 | wiki_freq: 0 - 5334 | sentence_idx: 68102 | align_1: 3-3 | align_2: 3-8 | ner_entity: Data?6:30-none |    What is Big Data?6:30 ||| Wo bleibt Big Data ? ( ab Minute 6:30 )

EFF EFF | w_freq: 17 - 18 | wiki_freq: 1325 - 150 | sentence_idx: 69485 | align_1: 13-12 | align_2: 14-16 | ner_entity: EFF-EFF |    Disastrous IP Legislation Is Back – And It 's Worse than Ever ( EFF ) ||| Katastrophales IP-Gesetz ist zurück – Und es ist schlimmer denn je ( EFF , auf Englisch )

Allah Allahs | w_freq: 728 - 112 | wiki_freq: 12189 - 337 | sentence_idx: 72687 | align_1: 15-12 | align_2: 16-16 | ner_entity: Allah-Allahs |    106And the others , they are the ones who are left to the command of Allah . ||| 106 Und ( wieder ) andere werden zurückgestellt , bis die Anordnung Allahs ( ergeht ) .

Beings Beings | w_freq: 75 - 3 | wiki_freq: 777 - 79 | sentence_idx: 74761 | align_1: 11-11 | align_2: 12-20 | ner_entity: Politics of the Plate : Humane Beings-Politics of the Plate : Humane Beings |    In the first article , Politics of the Plate : Humane Beings ( May 18 , 2009 ) , we are told : ||| In dem ersten Artikel , Politics of the Plate : Humane Beings [ Politik des Tellers : Humane Wesen ] ( 18. Mai 2009 ) wird uns mitgeteilt :

ICEP ICEP | w_freq: 1 - 1 | wiki_freq: 10 - 16 | sentence_idx: 75557 | align_1: 2-2 | align_2: 3-7 | ner_entity: ICEP-ICEP |    We created ICEP to do something useful and lasting for people in developing countries . ||| Wir haben ICEP ins Leben gerufen , um etwas Sinnvolles und Dauerhaftes für die Menschen in Entwicklungsländern zu leisten .

Pharaoh Pharaos | w_freq: 384 - 58 | wiki_freq: 5590 - 587 | sentence_idx: 80071 | align_1: 22-20 | align_2: 23-26 | ner_entity: Pharaoh-Pharaos |    They denied the signs of their Lord , so We destroyed them by their sins , and We drowned the people of Pharaoh ; all of them were wicked . ||| Sie haben geleugnet ihres Herrn Zeichen , darum ließen wir sie zugrunde gehen um ihrer Sünden willen , und wir Pharaos Nächste ; ertrinken lassen , und jeder ist Unterdrücker gewesen .

Highwood Highwood | w_freq: 2 - 2 | wiki_freq: 455 - 38 | sentence_idx: 80619 | align_1: 37-31 | align_2: 38-39 | ner_entity: Highwood-Highwood |    I am hoping that in the new year we will be able to provide an email newsletter to keep you informed about the little miracles and stories of how God changes the lives of our guests through Highwood . ||| Ich hoffe , dass wir im neuen Jahr einen Rundbrief per Email anbieten können , um euch über die kleinen Wunder und Geschichten , wie Gott das Leben unserer Gäste auf Highwood verändert , auf dem Laufenden zu halten .

Response Response | w_freq: 83 - 39 | wiki_freq: 13554 - 1026 | sentence_idx: 86305 | align_1: 12-11 | align_2: 13-17 | ner_entity: Cold Response-Cold Response |    Norway is hosting Europe ’s biggest annual military exercise codenamed ‘ Cold Response ’ . ||| Norwegen veranstaltet Europas größte jährliche Militärübung unter dem Namen „ Cold Response “ - „ Kalte Antwort “ .

SCP-1437 SCP-1437 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 86986 | align_1: 5-9 | align_2: 6-13 | ner_entity: SCP-1437-SCP-1437 |    Any trespassers attempting to access SCP-1437 are to be charged with the crime of industrial espionage . ||| Jegliche Eindringlinge , die versuchen , sich Zutritt zu SCP-1437 zu verschaffen , sind wegen dem Verbrechen der Industriespionage anzuklagen .

Israelite Mose | w_freq: 37 - 548 | wiki_freq: 3404 - 3240 | sentence_idx: 100691 | align_1: 5-5 | align_2: 6-12 | ner_entity: Israelite-Mose |    Zipporah who was not an Israelite knew what Moses disobedience was . ||| gebrachte Israelit kein anderer als Mose gewesen sei , von dem man weiß , daß er eine

Buda Buda | w_freq: 9 - 8 | wiki_freq: 3525 - 1165 | sentence_idx: 104117 | align_1: 12-14 | align_2: 13-19 | ner_entity: Buda-Buda |    The growing number of Italian traders moving to Hungary , specially to Buda , helped this process . ||| Die steigende Zahl von italienischen Händlern , die sich nach Ungarn , besonders zu Buda ( Buda ) bewegen , half diesem Prozess .

Musa Musa | w_freq: 93 - 72 | wiki_freq: 11287 - 2031 | sentence_idx: 105130 | align_1: 6-6 | align_2: 7-12 | ner_entity: Musa-Musa |    This is the second sign of Musa . ||| Und das ist die Dua von Musa ( dem Propheten Moses ) .

Requin Requin | w_freq: 1 - 1 | wiki_freq: 216 - 43 | sentence_idx: 112508 | align_1: 13-12 | align_2: 14-17 | ner_entity: La Requin-La Requin |    Like many , me and my friends called the TN , ‘ La Requin . ’ ” ||| Wie viele nannten ich und meine Freunde den TN , " La Requin " ( Hai ) .

Casadesus Casadesus | w_freq: 2 - 3 | wiki_freq: 295 - 159 | sentence_idx: 117702 | align_1: 12-13 | align_2: 13-18 | ner_entity: Marius Casadesus-Marius Casadesus |    It was later discovered that Casadesus and his brothers , notably Marius Casadesus , wrote these works . ||| Es war später entdeckt , dass Casadesus und seine Brüder , namentlich Marius Casadesus ( Marius Casadesus ) , diese Arbeiten schrieben .

Huiyihuiying Huiyihuiying | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 119633 | align_1: 2-2 | align_2: 3-6 | ner_entity: Huiyihuiying-Huiyihuiying |    I founded Huiyihuiying and wanted to explore further . ||| Ich gründete Huiyihuiying ( HY ) und wollte weiter zu erforschen .

GBP GBP | w_freq: 43 - 49 | wiki_freq: 845 - 479 | sentence_idx: 123831 | align_1: 40-37 | align_2: 41-42 | ner_entity: GBP-GBP |    What ’s even better is that we will take their fear of losing their first investments with our ‘ First Trade Risk Free ’ promo , which allow them to have a return up to 50 USD / EUR / GBP . ||| Was noch besser ist , dass wir die Angst vor dem Verlust ihrer ersten Investitionen mit unseren ‘ First Handels Risk Free ’ promo , die sie an eine Rückkehr bis zu 50 USD / EUR / GBP haben , erlauben nehmen .

Goreans Online-Goreaner | w_freq: 8 - 1 | wiki_freq: 7 - 0 | sentence_idx: 131112 | align_1: 5-3 | align_2: 6-8 | ner_entity: Goreans-none |    I have met many online Goreans unwilling to fully embrace this precept despite its importance to Gorean philosophy . ||| Ich habe viele Online-Goreaner getroffen , die nicht gewillt waren , diesen Grundsatz völlig zu akzeptieren , trotz seiner Wichtigkeit für die goreanische Philosophie .

Allah Allah | w_freq: 728 - 635 | wiki_freq: 12189 - 1130 | sentence_idx: 132156 | align_1: 1-0 | align_2: 2-4 | ner_entity: Allah-Allah |    And Allah said : “ Thus and We caused the Children of Israel to inherit them ” ( 26 : 59 ) . ||| Allah -erhaben ist Er- sagte : „ Und Wir ließen die Kinder lsra ´ ils das Meer durchschreiten .

Musa Mose | w_freq: 93 - 548 | wiki_freq: 11287 - 3240 | sentence_idx: 133215 | align_1: 8-5 | align_2: 9-11 | ner_entity: Musa-Mose |    " 26.63 " : Then We revealed to Musa : Strike the sea with your staff . ||| 26:63 Und wir gaben dem Mose ( die Weisung ) ein : Schlag mit deinem Stock auf das Meer !

Abolitionist Abolitionniste | w_freq: 4 - 1 | wiki_freq: 609 - 0 | sentence_idx: 134396 | align_1: 24-21 | align_2: 25-29 | ner_entity: Initiative for the Resurgence of the Abolitionist Movement-Initiative pour la Résurgence du Mouvement Abolitionniste |    One of these human rights organizations we are in close contact with is the anti-slavery organization IRA ( Initiative for the Resurgence of the Abolitionist Movement ) . ||| Eine dieser Menschenrechtsorganisationen , mit denen wir eng zusammenarbeiten , ist die Anti-Sklaverei-Organisation IRA ( Initiative pour la Résurgence du Mouvement Abolitionniste , deutsch : Initiative zur Wiederbelebung der Abschaffungsbewegung ) .

Removal Removal | w_freq: 10 - 6 | wiki_freq: 4127 - 420 | sentence_idx: 137782 | align_1: 20-19 | align_2: 21-23 | ner_entity: Removal-none |    The best acknowledgement of our effectiveness comes from the Japanese Fisheries Agency and the Institute for Cetacean Research ( or Removal as I like to call it ) . ||| Die treffendste Anerkennung unserer Wirksamkeit kommt von der Japanese Fisheries Agency und dem Institute for Cetacean Research ( oder Removal , Beseitigung , wie ich es gern nenne ) .

VIC-20 VIC-20 | w_freq: 6 - 8 | wiki_freq: 543 - 10 | sentence_idx: 139712 | align_1: 8-9 | align_2: 9-14 | ner_entity: VIC-20-VIC-20 |    When Jack asked me how to price the VIC-20 I said " $ 299.95 " - because that 's a friendly number and would sell a million units in the mass market . ||| Als Jack mich gefragt hat , wie teuer der VIC-20 werden soll , sagte ich : " 299,95 $ " - denn das ist eine freundliche Zahl und würde sich eine Million Einheiten im Massenmarkt verkaufen .

al-Baqarah al-Baqarah | w_freq: 3 - 3 | wiki_freq: 28 - 0 | sentence_idx: 141082 | align_1: 11-12 | align_2: 12-23 | ner_entity: Soorat al-Baqarah-Sura al-Baqarah |    Indeed , Satan runs away from a house in which Soorat al-Baqarah is recited . » ||| “ Wahrlich , Satan flieht von dem Haus , in dem Sura al-Baqarah ( das 2. Kapitel des Qur ´ an ) rezitiert wird . ”

ImpOS ImpOS | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 143897 | align_1: 16-19 | align_2: 17-25 | ner_entity: ImpOS-ImpOS |    Of course , I bought the scanner to use it under OS/2 , and especially with ImpOS . ||| Natürlich habe ich den Scanner vor allem gekauft , um ihn unter OS / 2 , und speziell mit ImpOS / 2 , zu verwenden .

oldies Oldies | w_freq: 5 - 7 | wiki_freq: 5071 - 302 | sentence_idx: 147855 | align_1: 10-15 | align_2: 11-21 | ner_entity: none-Golden Oldies |    Anis likes his music like his cars : 1950s golden oldies . ||| Anis mag seine Musik so , wie auch seine Autos sind : Die „ Golden Oldies “ aus den 1950er Jahren .

Israelis Israelis | w_freq: 465 - 474 | wiki_freq: 6972 - 1597 | sentence_idx: 148441 | align_1: 14-16 | align_2: 15-21 | ner_entity: Israelis-none |    The message that Abbas is sending to the world is : How dare these Israelis take security measures to stop terrorist attacks against their civilians and soldiers ! ||| Die Botschaft , die Abbas an die Welt richtet , lautet : Wie können es diese Israelis wagen , Sicherheitsmaßnahmen zu ergreifen , um Terroranschläge gegen ihre Soldaten und Zivilisten zu unterbinden !

Israelites Israeliten | w_freq: 200 - 113 | wiki_freq: 6428 - 1641 | sentence_idx: 149779 | align_1: 2-3 | align_2: 3-8 | ner_entity: Israelites-none |    When the Israelites did nothing but complain to Moses . ||| Und als die Israeliten [ aus Ägypten ] auszogen , belebte Mose ihn .

Auditorium Auditorium | w_freq: 12 - 29 | wiki_freq: 11349 - 1797 | sentence_idx: 149988 | align_1: 2-2 | align_2: 3-7 | ner_entity: Ambassador Auditorium-Botschafter Auditorium |    The Ambassador Auditorium , center , along with other former Ambassador College buildings , in December 2008 . ||| Der Botschafter Auditorium ( Botschafter Auditorium ) , Zentrum , zusammen mit anderen ehemaligen Botschafter-Universitätsgebäuden , im Dezember 2008.

Portugués Portuguéss | w_freq: 1 - 1 | wiki_freq: 283 - 0 | sentence_idx: 158298 | align_1: 13-11 | align_2: 14-16 | ner_entity: Rio Portugués-Rio Portuguéss |    For security reasons , these families moved to the banks of the Rio Portugués , then called Baramaya . ||| Für Sicherheitsgründe bewegten sich diese Familien zu den Banken des Rio Portuguéss ( Rio Portugués ) , dann genannt Baramaya .

Mexicans Mexikanern | w_freq: 44 - 8 | wiki_freq: 5505 - 340 | sentence_idx: 162802 | align_1: 11-11 | align_2: 12-16 | ner_entity: Mexicans-none |    It was first used in Texas to disinfect the clothing of Mexicans crossing the border . ||| Es wurde zuerst in Texas verwendet , um die Kleidung von Mexikanern zu desinfizieren , die über die Grenze kamen .

Donbass Donbass | w_freq: 73 - 74 | wiki_freq: 1581 - 731 | sentence_idx: 165725 | align_1: 9-6 | align_2: 10-11 | ner_entity: Donbass-Donbass |    It is denied that there has been war in Donbass since the spring of 2014 , and asylum is refused . ||| Es wird geleugnet , dass in Donbass ( Stadt Donezk ) seit dem Frühjahr 2014 Krieg herrscht und Asyl wird verweigert .

Boniperti Boniperti | w_freq: 1 - 2 | wiki_freq: 89 - 39 | sentence_idx: 170026 | align_1: 26-29 | align_2: 27-34 | ner_entity: Giampiero Boniperti-Giampiero Boniperti |    His phone calls , every morning at 6 am , from wherever he was , whatever was he doing , to the club 's president Giampiero Boniperti , were legendary . ||| Seine Anrufe , jeden Morgen um 6:00 Uhr , von wo auch immer er war , was auch immer war er das Tun , zu Präsident des Klubs Giampiero Boniperti ( Giampiero Boniperti ) , waren legendär .

Qawla Ungläubigen | w_freq: 1 - 111 | wiki_freq: 0 - 753 | sentence_idx: 171014 | align_1: 22-26 | align_2: 23-31 | ner_entity: Qawla Al-Ĥaqqi-none |    19.34 : Such was Jesus , son ( ABNU , see above ) of Mary : a statement of the truth ( Qawla Al-Ĥaqqi ) concerning which they doubt . ||| 19:34 Solcher Art ( w. Dies ) ist Jesus , der Sohn der Maria um die Wahrheit zu sagen , über die sie ( d.h. die Ungläubigen ( unter den Christen ? ) ) ( immer noch ) im Zweifel sind .

Agartha Agartha | w_freq: 3 - 2 | wiki_freq: 76 - 39 | sentence_idx: 172973 | align_1: 5-5 | align_2: 6-9 | ner_entity: Agartha-Agartha |    The Agarthans offered places in Agartha where , if necessary , we can arrange for special individual or group teachings . ||| Die Agarther boten Orte in Agartha an , an denen wir , falls nötig , spezielle Einzel- oder Gruppen-Unterrichte arrangieren können .

Al-Haq Al-Haq | w_freq: 2 - 2 | wiki_freq: 128 - 14 | sentence_idx: 174715 | align_1: 11-10 | align_2: 12-15 | ner_entity: Al-Haq-Al-Haq |    The following statistics were provided by Birzeit , Adalah , and Al-Haq to illustrate the extent to which this policy is affecting the university and its faculty : ||| » Die folgenden Statistiken wurden von Birzeit , Adalah und Al-Haq zur Verfügung gestellt , um zu veranschaulichen , in welchem Ausmaß diese Politik die Universität und ihre Fakultät betrifft :

Sagar Sagar | w_freq: 11 - 11 | wiki_freq: 4944 - 292 | sentence_idx: 177238 | align_1: 6-9 | align_2: 7-13 | ner_entity: Kirpal Sagar-Kirpal Sagar |    He expressed his esteem for Kirpal Sagar as a place where all religions are respected . ||| In seiner Rede brachte er seine Wertschätzung für Kirpal Sagar zum Ausdruck , da es ein Ort ist , an dem alle Religionen geachtet werden .

Fun Fun | w_freq: 87 - 50 | wiki_freq: 12622 - 1820 | sentence_idx: 180646 | align_1: 3-4 | align_2: 4-8 | ner_entity: Lovin' You is Fun-Lovin ' You Is Fun |    Lovin' You is Fun by Easton Corbin ||| Lovin ' You Is Fun , bekannt geworden durch Easton Corbin

Distance Distance | w_freq: 37 - 8 | wiki_freq: 9070 - 805 | sentence_idx: 184255 | align_1: 16-15 | align_2: 17-20 | ner_entity: ESP Beyond Time and Distance-ESP Beyond Time and Distance |    I therefore now bring 9 diagrams from Tom Lethbridge ’s book " ESP Beyond Time and Distance . " ||| Ich bringe deshalb nun 9 Diagramme aus Tom Lethbridges Buch " ESP Beyond Time and Distance " ( Außersinnliche Wahrnehmung .

Saqar Saqar | w_freq: 6 - 7 | wiki_freq: 30 - 1 | sentence_idx: 199696 | align_1: 5-7 | align_2: 6-12 | ner_entity: Saqar-Saqar |    So do you know what Saqar is ? ||| Und wie kannst du wissen , was Saqar ( das Höllenfeuer ) ist ?

Nineveh Nineveh | w_freq: 6 - 2 | wiki_freq: 2261 - 33 | sentence_idx: 200884 | align_1: 9-11 | align_2: 10-18 | ner_entity: Nineveh-Nineveh |    Commanded by God to go to the city of Nineveh to prophesy against it " for their great wickedness is come up before me . " ||| Bestellt vom Gott ( Gott ) , um zur Stadt von Nineveh ( Nineveh ) zu gehen , um dagegen " ihrer großen Boshaftigkeit Prophezeiungen zu machen , wird vor mir heraufgekommen . "

Embodiment Wahre | w_freq: 1 - 158 | wiki_freq: 193 - 872 | sentence_idx: 201889 | align_1: 2-1 | align_2: 3-6 | ner_entity: The Embodiment of Truth-none |    الْحَقُّ The Embodiment of Truth : The Truth , The True , The One who truly exists . ||| Das Wahre ( K ) an der Wahrheit ( S ) ist ihre Wahrhaftigkeit ( G ) und so eine Gültigkeit ( Gesetz ) .

resorts Resorts | w_freq: 91 - 85 | wiki_freq: 10974 - 970 | sentence_idx: 221498 | align_1: 10-8 | align_2: 11-13 | ner_entity: none-Disney World Resorts |    You should also consider a travel package through Disney World resorts to save money , especially if you are traveling with a large group . ||| Sie sollten auch ein Reisepaket durch Disney World Resorts in Betracht ziehen , um Geld zu sparen , insbesondere wenn Sie mit einer großen Gruppe reisen .

Atom Atom | w_freq: 11 - 57 | wiki_freq: 5144 - 1887 | sentence_idx: 223926 | align_1: 6-9 | align_2: 7-13 | ner_entity: Captain Atom-Kapitän Atom |    He also co-created the superhero Captain Atom in 1960 . ||| Er auch co-created der Superheld ( Superheld ) Kapitän Atom ( Kapitän Atom ) 1960.

