Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?
Varkiza Varkiza | w_freq: 2 - 4 | wiki_freq: 95 - 39 | sentence_idx: 62440 | align_1: 12-10 | align_2: 13-16 | ner_entity: Treaty of Varkiza-Treaty of Varkiza |    In February 1945 , the various Greek parties signed the Treaty of Varkiza , with the support of all the Allies . ||| Im Februar 1945 , unterzeichneten verschiedene griechische Parteien Treaty of Varkiza ( Treaty of Varkiza ) , mit Unterstützung alle Verbündete .

Hades Hades | w_freq: 10 - 12 | wiki_freq: 3363 - 992 | sentence_idx: 63369 | align_1: 8-7 | align_2: 9-11 | ner_entity: Hades-Hades |    And its rider 's name was Death and Hades followed him . " ) . ||| " Sein Name war Tod und der Hades ( Vergessenheit ) folgte ihm .

Zorrozaurre Zorrozaurre | w_freq: 1 - 2 | wiki_freq: 6 - 1 | sentence_idx: 67411 | align_1: 18-17 | align_2: 19-23 | ner_entity: Zorrozaurre-Zorrozaurre |    However , in 2007 , a plan was approved to continue the canal and form the island of Zorrozaurre . ||| Jedoch , 2007 , wurde ein Plan genehmigt , um den Kanal fortzusetzen und die Insel von Zorrozaurre ( Zorrozaurre ) zu bilden .

EFF EFF | w_freq: 17 - 18 | wiki_freq: 1325 - 150 | sentence_idx: 69485 | align_1: 13-12 | align_2: 14-16 | ner_entity: EFF-EFF |    Disastrous IP Legislation Is Back – And It 's Worse than Ever ( EFF ) ||| Katastrophales IP-Gesetz ist zurück – Und es ist schlimmer denn je ( EFF , auf Englisch )

Beings Beings | w_freq: 75 - 3 | wiki_freq: 777 - 79 | sentence_idx: 74761 | align_1: 11-11 | align_2: 12-20 | ner_entity: Politics of the Plate : Humane Beings-Politics of the Plate : Humane Beings |    In the first article , Politics of the Plate : Humane Beings ( May 18 , 2009 ) , we are told : ||| In dem ersten Artikel , Politics of the Plate : Humane Beings [ Politik des Tellers : Humane Wesen ] ( 18. Mai 2009 ) wird uns mitgeteilt :

ICEP ICEP | w_freq: 1 - 1 | wiki_freq: 10 - 16 | sentence_idx: 75557 | align_1: 2-2 | align_2: 3-7 | ner_entity: ICEP-ICEP |    We created ICEP to do something useful and lasting for people in developing countries . ||| Wir haben ICEP ins Leben gerufen , um etwas Sinnvolles und Dauerhaftes für die Menschen in Entwicklungsländern zu leisten .

Highwood Highwood | w_freq: 2 - 2 | wiki_freq: 455 - 38 | sentence_idx: 80619 | align_1: 37-31 | align_2: 38-39 | ner_entity: Highwood-Highwood |    I am hoping that in the new year we will be able to provide an email newsletter to keep you informed about the little miracles and stories of how God changes the lives of our guests through Highwood . ||| Ich hoffe , dass wir im neuen Jahr einen Rundbrief per Email anbieten können , um euch über die kleinen Wunder und Geschichten , wie Gott das Leben unserer Gäste auf Highwood verändert , auf dem Laufenden zu halten .

SCP-1437 SCP-1437 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 86986 | align_1: 5-9 | align_2: 6-13 | ner_entity: SCP-1437-SCP-1437 |    Any trespassers attempting to access SCP-1437 are to be charged with the crime of industrial espionage . ||| Jegliche Eindringlinge , die versuchen , sich Zutritt zu SCP-1437 zu verschaffen , sind wegen dem Verbrechen der Industriespionage anzuklagen .

Israelite Mose | w_freq: 37 - 548 | wiki_freq: 3404 - 3240 | sentence_idx: 100691 | align_1: 5-5 | align_2: 6-12 | ner_entity: Israelite-Mose |    Zipporah who was not an Israelite knew what Moses disobedience was . ||| gebrachte Israelit kein anderer als Mose gewesen sei , von dem man weiß , daß er eine

Buda Buda | w_freq: 9 - 8 | wiki_freq: 3525 - 1165 | sentence_idx: 104117 | align_1: 12-14 | align_2: 13-19 | ner_entity: Buda-Buda |    The growing number of Italian traders moving to Hungary , specially to Buda , helped this process . ||| Die steigende Zahl von italienischen Händlern , die sich nach Ungarn , besonders zu Buda ( Buda ) bewegen , half diesem Prozess .

Requin Requin | w_freq: 1 - 1 | wiki_freq: 216 - 43 | sentence_idx: 112508 | align_1: 13-12 | align_2: 14-17 | ner_entity: La Requin-La Requin |    Like many , me and my friends called the TN , ‘ La Requin . ’ ” ||| Wie viele nannten ich und meine Freunde den TN , " La Requin " ( Hai ) .

Casadesus Casadesus | w_freq: 2 - 3 | wiki_freq: 295 - 159 | sentence_idx: 117702 | align_1: 12-13 | align_2: 13-18 | ner_entity: Marius Casadesus-Marius Casadesus |    It was later discovered that Casadesus and his brothers , notably Marius Casadesus , wrote these works . ||| Es war später entdeckt , dass Casadesus und seine Brüder , namentlich Marius Casadesus ( Marius Casadesus ) , diese Arbeiten schrieben .

Huiyihuiying Huiyihuiying | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 119633 | align_1: 2-2 | align_2: 3-6 | ner_entity: Huiyihuiying-Huiyihuiying |    I founded Huiyihuiying and wanted to explore further . ||| Ich gründete Huiyihuiying ( HY ) und wollte weiter zu erforschen .

GBP GBP | w_freq: 43 - 49 | wiki_freq: 845 - 479 | sentence_idx: 123831 | align_1: 40-37 | align_2: 41-42 | ner_entity: GBP-GBP |    What ’s even better is that we will take their fear of losing their first investments with our ‘ First Trade Risk Free ’ promo , which allow them to have a return up to 50 USD / EUR / GBP . ||| Was noch besser ist , dass wir die Angst vor dem Verlust ihrer ersten Investitionen mit unseren ‘ First Handels Risk Free ’ promo , die sie an eine Rückkehr bis zu 50 USD / EUR / GBP haben , erlauben nehmen .

Goreans Online-Goreaner | w_freq: 8 - 1 | wiki_freq: 7 - 0 | sentence_idx: 131112 | align_1: 5-3 | align_2: 6-8 | ner_entity: Goreans-none |    I have met many online Goreans unwilling to fully embrace this precept despite its importance to Gorean philosophy . ||| Ich habe viele Online-Goreaner getroffen , die nicht gewillt waren , diesen Grundsatz völlig zu akzeptieren , trotz seiner Wichtigkeit für die goreanische Philosophie .

Abolitionist Abolitionniste | w_freq: 4 - 1 | wiki_freq: 609 - 0 | sentence_idx: 134396 | align_1: 24-21 | align_2: 25-29 | ner_entity: Initiative for the Resurgence of the Abolitionist Movement-Initiative pour la Résurgence du Mouvement Abolitionniste |    One of these human rights organizations we are in close contact with is the anti-slavery organization IRA ( Initiative for the Resurgence of the Abolitionist Movement ) . ||| Eine dieser Menschenrechtsorganisationen , mit denen wir eng zusammenarbeiten , ist die Anti-Sklaverei-Organisation IRA ( Initiative pour la Résurgence du Mouvement Abolitionniste , deutsch : Initiative zur Wiederbelebung der Abschaffungsbewegung ) .

Removal Removal | w_freq: 10 - 6 | wiki_freq: 4127 - 420 | sentence_idx: 137782 | align_1: 20-19 | align_2: 21-23 | ner_entity: Removal-none |    The best acknowledgement of our effectiveness comes from the Japanese Fisheries Agency and the Institute for Cetacean Research ( or Removal as I like to call it ) . ||| Die treffendste Anerkennung unserer Wirksamkeit kommt von der Japanese Fisheries Agency und dem Institute for Cetacean Research ( oder Removal , Beseitigung , wie ich es gern nenne ) .

VIC-20 VIC-20 | w_freq: 6 - 8 | wiki_freq: 543 - 10 | sentence_idx: 139712 | align_1: 8-9 | align_2: 9-14 | ner_entity: VIC-20-VIC-20 |    When Jack asked me how to price the VIC-20 I said " $ 299.95 " - because that 's a friendly number and would sell a million units in the mass market . ||| Als Jack mich gefragt hat , wie teuer der VIC-20 werden soll , sagte ich : " 299,95 $ " - denn das ist eine freundliche Zahl und würde sich eine Million Einheiten im Massenmarkt verkaufen .

al-Baqarah al-Baqarah | w_freq: 3 - 3 | wiki_freq: 28 - 0 | sentence_idx: 141082 | align_1: 11-12 | align_2: 12-23 | ner_entity: Soorat al-Baqarah-Sura al-Baqarah |    Indeed , Satan runs away from a house in which Soorat al-Baqarah is recited . » ||| “ Wahrlich , Satan flieht von dem Haus , in dem Sura al-Baqarah ( das 2. Kapitel des Qur ´ an ) rezitiert wird . ”

ImpOS ImpOS | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 143897 | align_1: 16-19 | align_2: 17-25 | ner_entity: ImpOS-ImpOS |    Of course , I bought the scanner to use it under OS/2 , and especially with ImpOS . ||| Natürlich habe ich den Scanner vor allem gekauft , um ihn unter OS / 2 , und speziell mit ImpOS / 2 , zu verwenden .

Portugués Portuguéss | w_freq: 1 - 1 | wiki_freq: 283 - 0 | sentence_idx: 158298 | align_1: 13-11 | align_2: 14-16 | ner_entity: Rio Portugués-Rio Portuguéss |    For security reasons , these families moved to the banks of the Rio Portugués , then called Baramaya . ||| Für Sicherheitsgründe bewegten sich diese Familien zu den Banken des Rio Portuguéss ( Rio Portugués ) , dann genannt Baramaya .

Donbass Donbass | w_freq: 73 - 74 | wiki_freq: 1581 - 731 | sentence_idx: 165725 | align_1: 9-6 | align_2: 10-11 | ner_entity: Donbass-Donbass |    It is denied that there has been war in Donbass since the spring of 2014 , and asylum is refused . ||| Es wird geleugnet , dass in Donbass ( Stadt Donezk ) seit dem Frühjahr 2014 Krieg herrscht und Asyl wird verweigert .

Boniperti Boniperti | w_freq: 1 - 2 | wiki_freq: 89 - 39 | sentence_idx: 170026 | align_1: 26-29 | align_2: 27-34 | ner_entity: Giampiero Boniperti-Giampiero Boniperti |    His phone calls , every morning at 6 am , from wherever he was , whatever was he doing , to the club 's president Giampiero Boniperti , were legendary . ||| Seine Anrufe , jeden Morgen um 6:00 Uhr , von wo auch immer er war , was auch immer war er das Tun , zu Präsident des Klubs Giampiero Boniperti ( Giampiero Boniperti ) , waren legendär .

Qawla Ungläubigen | w_freq: 1 - 111 | wiki_freq: 0 - 753 | sentence_idx: 171014 | align_1: 22-26 | align_2: 23-31 | ner_entity: Qawla Al-Ĥaqqi-none |    19.34 : Such was Jesus , son ( ABNU , see above ) of Mary : a statement of the truth ( Qawla Al-Ĥaqqi ) concerning which they doubt . ||| 19:34 Solcher Art ( w. Dies ) ist Jesus , der Sohn der Maria um die Wahrheit zu sagen , über die sie ( d.h. die Ungläubigen ( unter den Christen ? ) ) ( immer noch ) im Zweifel sind .

Agartha Agartha | w_freq: 3 - 2 | wiki_freq: 76 - 39 | sentence_idx: 172973 | align_1: 5-5 | align_2: 6-9 | ner_entity: Agartha-Agartha |    The Agarthans offered places in Agartha where , if necessary , we can arrange for special individual or group teachings . ||| Die Agarther boten Orte in Agartha an , an denen wir , falls nötig , spezielle Einzel- oder Gruppen-Unterrichte arrangieren können .

Al-Haq Al-Haq | w_freq: 2 - 2 | wiki_freq: 128 - 14 | sentence_idx: 174715 | align_1: 11-10 | align_2: 12-15 | ner_entity: Al-Haq-Al-Haq |    The following statistics were provided by Birzeit , Adalah , and Al-Haq to illustrate the extent to which this policy is affecting the university and its faculty : ||| » Die folgenden Statistiken wurden von Birzeit , Adalah und Al-Haq zur Verfügung gestellt , um zu veranschaulichen , in welchem Ausmaß diese Politik die Universität und ihre Fakultät betrifft :

Sagar Sagar | w_freq: 11 - 11 | wiki_freq: 4944 - 292 | sentence_idx: 177238 | align_1: 6-9 | align_2: 7-13 | ner_entity: Kirpal Sagar-Kirpal Sagar |    He expressed his esteem for Kirpal Sagar as a place where all religions are respected . ||| In seiner Rede brachte er seine Wertschätzung für Kirpal Sagar zum Ausdruck , da es ein Ort ist , an dem alle Religionen geachtet werden .

Saqar Saqar | w_freq: 6 - 7 | wiki_freq: 30 - 1 | sentence_idx: 199696 | align_1: 5-7 | align_2: 6-12 | ner_entity: Saqar-Saqar |    So do you know what Saqar is ? ||| Und wie kannst du wissen , was Saqar ( das Höllenfeuer ) ist ?

Nineveh Nineveh | w_freq: 6 - 2 | wiki_freq: 2261 - 33 | sentence_idx: 200884 | align_1: 9-11 | align_2: 10-18 | ner_entity: Nineveh-Nineveh |    Commanded by God to go to the city of Nineveh to prophesy against it " for their great wickedness is come up before me . " ||| Bestellt vom Gott ( Gott ) , um zur Stadt von Nineveh ( Nineveh ) zu gehen , um dagegen " ihrer großen Boshaftigkeit Prophezeiungen zu machen , wird vor mir heraufgekommen . "

Embodiment Wahre | w_freq: 1 - 158 | wiki_freq: 193 - 872 | sentence_idx: 201889 | align_1: 2-1 | align_2: 3-6 | ner_entity: The Embodiment of Truth-none |    الْحَقُّ The Embodiment of Truth : The Truth , The True , The One who truly exists . ||| Das Wahre ( K ) an der Wahrheit ( S ) ist ihre Wahrhaftigkeit ( G ) und so eine Gültigkeit ( Gesetz ) .

ANP ANP | w_freq: 4 - 4 | wiki_freq: 899 - 176 | sentence_idx: 224215 | align_1: 19-21 | align_2: 20-25 | ner_entity: ANP-ANP |    Studies under this program were done until May 1951 when NEPA was replaced by the Aircraft Nuclear Propulsion ( ANP ) program . ||| Die Studien im Rahmen dieses Projekts wurden bis zum Mai 1951 fortgesetzt , als das NEPA vom Aircraft Nuclear Propulsion ( ANP ) ( Flugzeug-Nuklearantrieb ) Programm abgelöst wurde .

Generali-Arena Generali-Arena | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 231688 | align_1: 14-13 | align_2: 15-17 | ner_entity: Generali-Arena-Generali-Arena |    ABB has installed its new and innovative technologies throughout the stadium , making the Generali-Arena what it is today : the most modern and beautiful stadium in Austria . " ||| ABB hat im gesamten Stadion seine neuen innovativen Technologien installiert , damit die Generali-Arena das wird , was sie heute ist : das modernste und schönste Stadion in Österreich . “

Bled Bled | w_freq: 7 - 7 | wiki_freq: 1071 - 863 | sentence_idx: 240170 | align_1: 13-11 | align_2: 14-15 | ner_entity: Bled-Bled |    This is , I think , one of the best day trips from Bled you can do . ||| Dies ist , denke ich , einer der besten Tagesausflüge von Bled aus , die Sie machen können .

Aad Ad | w_freq: 15 - 53 | wiki_freq: 187 - 2159 | sentence_idx: 242639 | align_1: 18-15 | align_2: 19-25 | ner_entity: Aad-Ad |    “ If I were to meet them , then I would kill them , as the people of Aad were killed . ”(4 ) . ||| Sollte ich sie jemals treffen , würde ich sie töten wie die Leute von ‘ Ad [ das antike Volk , das von Allah ausgelöscht wurde ] . “

Aman Aman | w_freq: 6 - 5 | wiki_freq: 3937 - 635 | sentence_idx: 251849 | align_1: 16-13 | align_2: 17-18 | ner_entity: Darul Aman-Darul Aman |    " And that I will be able to tell my son that his parents rebuilt Darul Aman because we were so full of hope for Afghanistan . " ||| Und dass ich meinem Sohn dann erklären kann , dass seine Eltern Darul Aman wieder aufgebaut haben , weil wir voller Hoffnung für Afghanistan waren . "

Sian Sian | w_freq: 5 - 5 | wiki_freq: 1487 - 167 | sentence_idx: 253703 | align_1: 12-14 | align_2: 13-19 | ner_entity: Sian-Sian |    We were kind of into American history and culture anyway but then Sian was reading about this guy and we thought we 'd link it to that . " ||| Wir waren Art in die amerikanische Geschichte und Kultur irgendwie , aber dann dachte Sian ( Sian Evans ) war über diesen Kerl lesend , und wir , dass wir uns es dazu verbinden würden . "

ayatollahs Ayatollahs | w_freq: 9 - 10 | wiki_freq: 47 - 4 | sentence_idx: 259337 | align_1: 4-5 | align_2: 5-10 | ner_entity: none-Ayatollahs |    What about the mad ayatollahs obtaining atomic bombs and annihilating us ? " ||| Was ist mit den verrückten Ayatollahs , die die Atombomben erhalten und uns vernichten wollen ? “

Thunberg Thunberg | w_freq: 17 - 13 | wiki_freq: 1179 - 666 | sentence_idx: 264246 | align_1: 23-21 | align_2: 24-26 | ner_entity: Greta Thunberg-Greta Thunberg |    " Away from camera flashes we need to make sure that the enthusiasm that this Parliament showed today in the presence of Greta Thunberg remains and is transformed into real action . ||| „ Abseits der Blitzlichter müssen wir dafür sorgen , dass der Enthusiasmus , den dieses Parlament heute in Anwesenheit von Greta Thunberg gezeigt hat , erhalten bleibt und in echte Taten umgesetzt wird .

Khloe khloe | w_freq: 11 - 3 | wiki_freq: 137 - 0 | sentence_idx: 265294 | align_1: 3-3 | align_2: 4-8 | ner_entity: Khloe-khloe |    Those closest to Khloe fear that her desire for a family will make her ultimately stay with Tristan . ||| Diejenigen , die khloe am nächsten sind , befürchten , dass ihr wunsch nach einer familie sie letztendlich dazu bringen wird , bei tristan zu bleiben .

rustbelt Belt | w_freq: 1 - 25 | wiki_freq: 12 - 1797 | sentence_idx: 267351 | align_1: 19-23 | align_2: 20-28 | ner_entity: none-Rust Belt |    Whatever the cause of job loss , in every election the parties promised to help workers in the so-called rustbelt of the upper Midwest , but nothing improved . ||| Was auch immer der Grund für Arbeitsplatzverlust ist : Bei jeder Wahl versprachen die Parteien Hilfe für die Arbeiter des sogenannten „ Rust Belt “ ( Rostgürtel ) des oberen Mittleren Westens , aber nichts verbesserte sich .

rustbelt Rust | w_freq: 1 - 11 | wiki_freq: 12 - 2115 | sentence_idx: 267351 | align_1: 19-22 | align_2: 20-28 | ner_entity: none-Rust Belt |    Whatever the cause of job loss , in every election the parties promised to help workers in the so-called rustbelt of the upper Midwest , but nothing improved . ||| Was auch immer der Grund für Arbeitsplatzverlust ist : Bei jeder Wahl versprachen die Parteien Hilfe für die Arbeiter des sogenannten „ Rust Belt “ ( Rostgürtel ) des oberen Mittleren Westens , aber nichts verbesserte sich .

Easing Lockerung | w_freq: 5 - 36 | wiki_freq: 103 - 1192 | sentence_idx: 271373 | align_1: 6-6 | align_2: 7-10 | ner_entity: Quantitative Easing-quantitative Lockerung |    It ’s not exactly “ Quantitative Easing I , II , and III , ” but it will have some of the same effects . ||| Es ist nicht gerade " quantitative Lockerung ( QE ) I , II und III " , aber es wird ähnliche Auswirkungen haben .

Novorossiya Noworossija | w_freq: 3 - 2 | wiki_freq: 336 - 8 | sentence_idx: 275748 | align_1: 7-7 | align_2: 8-14 | ner_entity: Novorossiya-Noworossija |    “ Why are Donetsk and Luhansk ‘ Novorossiya , ’ but when a passenger jet crashes in its territory , it is instantly transformed into Ukraine ? ” ||| “ Warum sind Donezk und Luhansk ‘ Noworossija ’ ( ‘ Neurussland ’ ) , aber wenn ein Passagierflugzeug in seinem Hoheitsgebiet abstürzt , verwandelt es sich sofort wieder in die Ukraine ? ”

Alliandre Alliandre | w_freq: 2 - 2 | wiki_freq: 1 - 1 | sentence_idx: 304759 | align_1: 13-11 | align_2: 14-16 | ner_entity: Alliandre-Alliandre |    “ Lord Perrin , your Lady wife and I were hunting with Queen Alliandre when we were attacked by Aiel . ||| » Lord Perrin , Eure Gemahlin und ich waren mit Königin Alliandre auf der Jagd , als wir von Aiel angegriffen wurden .

swears swt | w_freq: 21 - 7 | wiki_freq: 2327 - 37 | sentence_idx: 321216 | align_1: 1-1 | align_2: 2-6 | ner_entity: none-Allah swt |    Allah swears by the pen and by what is written by the pen in another Sura . ||| Allah swt hat diesen Vertrag , in der Thora , im Evangelium und im Quran niedergeschrieben .

donepezil Donepezil | w_freq: 2 - 2 | wiki_freq: 74 - 35 | sentence_idx: 325048 | align_1: 8-12 | align_2: 9-19 | ner_entity: none-Donepezil |    “ We observed that patients who continued taking donepezil were better able to remember , understand , communicate and perform daily tasks for at least a year longer than those who stopped taking the drugs . ” ||| " Wir haben festgestellt , dass Patienten , die sich weiter mit Donepezil befanden , sich in der Lage waren , sich zu erinnern , zu verstehen , zu kommunizieren und tägliche Aufgaben für mindestens ein Jahr länger zu leisten , als diejenigen , die die Drogen nicht mehr aufgaben .

Messenia Messenia | w_freq: 1 - 2 | wiki_freq: 864 - 6 | sentence_idx: 328443 | align_1: 17-18 | align_2: 18-24 | ner_entity: Messenia-Messenia |    This term was sometimes used to refer to all the regions under direct Spartan control , including Messenia . ||| Dieser Begriff wurde manchmal gebraucht , um sich auf alle Gebiete unter der direkten spartanischen Kontrolle , einschließlich Messenia ( Messenia ) zu beziehen .

Voll Voll | w_freq: 4 - 26 | wiki_freq: 324 - 1050 | sentence_idx: 328750 | align_1: 1-1 | align_2: 2-6 | ner_entity: Reinhold Voll-Reinhold Voll |    Reinhold Voll was awarded three times , here are his most important awards : ||| Reinhold Voll ( Reinhold Voll ) wurde dreimal verliehen , hier sind seine wichtigsten Auszeichnungen :

EFSA EFSA | w_freq: 66 - 62 | wiki_freq: 513 - 334 | sentence_idx: 331996 | align_1: 15-19 | align_2: 16-23 | ner_entity: EFSA-EFSA |    A cooperation project on ciguatoxin food poisoning involving 13 organisations from six Member States and EFSA is taking shape . ||| Ein Kooperationsprojekt zur Ciguatoxin-Lebensmittelvergiftung ( „ Ciguatera “ ) , an dem 13 Organisationen aus sechs Mitgliedstaaten und die EFSA beteiligt sind , nimmt Gestalt an .

UNEP UNEP | w_freq: 15 - 15 | wiki_freq: 1386 - 456 | sentence_idx: 333210 | align_1: 8-8 | align_2: 9-14 | ner_entity: UNEP-UNEP |    According to the United Nations Environment Program ( UNEP ) , 127 State members have some kind of plastic bag legislation . ||| Nach Angaben des United Nations Environment Program ( UNEP = Umweltprogramm der Vereinten Nationen ) haben 127 Mitgliedsstaaten irgendeine Form von Plastiktütengesetz .

Peoples'.(3 Peoples | w_freq: 1 - 6 | wiki_freq: 0 - 721 | sentence_idx: 334769 | align_1: 31-34 | align_2: 32-44 | ner_entity: The Rights of Indigenous Peoples'.(3-The Rights of Indigenous Peoples |    Since they do not specify anything in particular , I am choosing to look at the UN Fact Sheet No . 9 ( Rev. 1 ) , The Rights of Indigenous Peoples'.(3 ) ||| Da sie nichts weiter gesondert spezifizieren , entscheide ich mich einen Blick auf „ UN Fact Sheet No . 9 ( Rev.1 ) [ UN Faktenblatt Nr. 9 ] , The Rights of Indigenous Peoples “ [ Die Rechte einheimischer Völker ] zu werfen.(3 )

Korah Korah | w_freq: 19 - 21 | wiki_freq: 379 - 13 | sentence_idx: 336610 | align_1: 0-1 | align_2: 1-5 | ner_entity: Korah-Korah |    Korah was a man from the people of Moses . ||| " Korah ( Qaaruun ) gehörte zum Volk Moses .

ayatollahs Ayatollahs | w_freq: 9 - 10 | wiki_freq: 47 - 4 | sentence_idx: 346304 | align_1: 4-5 | align_2: 5-10 | ner_entity: none-Ayatollahs |    What about the mad ayatollahs obtaining atomic bombs and annihilating us ? " ||| Was ist mit den verrückten Ayatollahs , die die Atombomben erhalten und uns vernichten wollen ? "

